Year,Record,Wins,Losses,Ties,Conference_Record,Conference_Wins,Conferences_Losses,Conference_Ties,Coach,Bowl,Bowl_Outcome,Notes
2012,8-5,8,5,,5-4,5,4,,Gundy,Heart of Dallas Bowl ,W,
2011,12-1,12,1,,8-1,8,1,,Gundy,Fiesta Bowl ,W,Big 12 Champions
2010,11-2,11,2,,6-2,6,2,,Gundy,Alamo Bowl ,W,
2009,9-4,9,4,,6-2,6,2,,Gundy,Cotton Bowl ,L,
2008,9-4,9,4,,5-3,5,3,,Gundy,Holiday Bowl ,L,
2007,7-6,7,6,,4-4,4,4,,Gundy,Insight Bowl ,W,
2006,7-6,7,6,,3-5,3,5,,Gundy,Independence Bowl ,W,
2005,4-7,4,7,,1-7,1,7,,Gundy,NA,,
2004,7-5,7,5,,4-4,4,4,,Miles,Alamo Bowl ,L,
2003,9-4,9,4,,5-3,5,3,,Miles,Cotton Bowl ,L,Lewis Field renamed Boone Pickens Stadium
2002,8-5,8,5,,5-3,5,3,,Miles,Houston Bowl ,W,
2001,4-7,4,7,,2-6,2,6,,Miles,NA,,
2000,3-8,3,8,,1-7,1,7,,Simmons,NA,,
1999,5-6,5,6,,3-5,3,5,,Simmons,NA,,
1998,5-6,5,6,,3-5,3,5,,Simmons,NA,,
1997,8-4,8,4,,5-3,5,3,,Simmons,Alamo Bowl ,L,
1996,5-6,5,6,,2-6,2,6,,Simmons,NA,,OSU joins Big 12
1995,4-8,4,8,,2-5,2,5,,Simmons,NA,,
1994,3-7-1,3,7,1,0-6-1,0,6,1,Jones,NA,,
1993,3-8,3,8,,0-7,0,7,,Jones,NA,,
1992,4-6-1,4,6,1,2-4-1,2,4,1,Jones,NA,,
1991,0-10-1,0,10,1,0-6-1,0,6,1,Jones,NA,,
1990,4-7,4,7,,2-5,2,5,,Jones,NA,,
1989,4-7,4,7,,3-4,3,4,,Jones,NA,,
1988,10-2,10,2,,5-2,5,2,,Jones,Holiday Bowl ,W,Barry Sanders wins Heisman
1987,10-2,10,2,,5-2,5,2,,Jones,Sun Bowl ,W,
1986,6-5,6,5,,4-3,4,3,,Jones,NA,,
1985,8-4,8,4,,4-3,4,3,,Jones,Gator Bowl ,L,
1984,10-2,10,2,,5-2,5,2,,Jones,Gator Bowl ,W,
1983,8-4,8,4,,3-4,3,4,,Johnson,Bluebonnet Bowl ,W,
