,Sport,School_ID,Year,Number,Player,Last_Name,First_Name,Position,Height,Weight,Class,Hometown,City,State,High_School,Prior_College,URL,Height_Inches
1,FBALL,OKState,2012-2013,46,Brent Anderson,Anderson,Brent,WR,5'10'',200,RS FR,"Oxford, AL",Oxford,AL,Oxford,Samford,http://www.okstate.com/sports/m-footbl/mtt/brent_anderson_797140.html,70
2,FBALL,OKState,2012-2013,82,Isaiah Anderson,Anderson,Isaiah,WR,5'10'',175,SR,"Wichita Falls, TX",Wichita Falls,TX,Wichita Falls,,http://www.okstate.com/sports/m-footbl/mtt/isaiah_anderson_423077.html,70
3,FBALL,OKState,2012-2013,99,Calvin Barnett,Barnett,Calvin,DT,6'2'',299,JR,"Tulsa, OK",Tulsa,OK,Washington,Navarro JC,http://www.okstate.com/sports/m-footbl/mtt/calvin_barnett_796921.html,74
4,FBALL,OKState,2012-2013,80,Cooper Bassett,Bassett,Cooper,DE,6'5'',270,SR,"Tuttle, OK",Tuttle,OK,Tuttle,,http://www.okstate.com/sports/m-footbl/mtt/cooper_bassett_423237.html,77
5,FBALL,OKState,2012-2013,25,Yves Batoba,Batoba,Yves,CB,5'10'',186,JR,"Keller, TX",Keller,TX,Keller,,http://www.okstate.com/sports/m-footbl/mtt/yves_batoba_601805.html,70
6,FBALL,OKState,2012-2013,92,Jimmy Bean,Bean,Jimmy,DE,6'5'',230,SO,"Denton, TX",Denton,TX,Guyer,,http://www.okstate.com/sports/m-footbl/mtt/jimmy_bean_761735.html,77
7,FBALL,OKState,2012-2013,20,Corey Bennett,Bennett,Corey,RB,5'9'',185,RS FR,"Choctaw, OK",Choctaw,OK,Choctaw,,http://www.okstate.com/sports/m-footbl/mtt/corey_bennett_796922.html,69
8,FBALL,OKState,2012-2013,46,Derek Branson,Branson,Derek,FB,6'2'',250,SO,"McKinney, TX",McKinney,TX,Boyd,,http://www.okstate.com/sports/m-footbl/mtt/derek_branson_748345.html,74
9,FBALL,OKState,2012-2013,19,Brodrick Brown,Brown,Brodrick,CB,5'8'',185,SR,"Houston, TX",Houston,TX,Westfield,,http://www.okstate.com/sports/m-footbl/mtt/brodrick_brown_410937.html,68
10,FBALL,OKState,2012-2013,73,Grant Canis,Canis,Grant,OL,6'2'',275,FR,"Midland, TX",Midland,TX,Midland,,http://www.okstate.com/sports/m-footbl/mtt/grant_canis_811380.html,74
11,FBALL,OKState,2012-2013,80,Torrance Carr,Carr,Torrance,WR,6'2'',215,RS FR,"Dallas, TX",Dallas,TX,Richardson,,http://www.okstate.com/sports/m-footbl/mtt/torrance_carr_761741.html,74
12,FBALL,OKState,2012-2013,91,James Castleman,Castleman,James,DT,6'2'',296,SO,"Amarillo, TX",Amarillo,TX,Amarillo,,http://www.okstate.com/sports/m-footbl/mtt/james_castleman_761756.html,74
13,FBALL,OKState,2012-2013,32,Kris Catlin,Catlin,Kris,LB,6'1'',225,RS FR,"San Antonio, TX",San Antonio,TX,Madison,,http://www.okstate.com/sports/m-footbl/mtt/kris_catlin_748346.html,73
14,FBALL,OKState,2012-2013,10,Clint Chelf,Chelf,Clint,QB,6'1'',205,JR,"Enid, OK",Enid,OK,Enid,,http://www.okstate.com/sports/m-footbl/mtt/clint_chelf_440151.html,73
15,FBALL,OKState,2012-2013,6,Jase Chilcoat,Chilcoat,Jase,QB,5'11'',198,JR,"Midwest City, OK",Midwest City,OK,Midwest City,,http://www.okstate.com/sports/m-footbl/mtt/jase_chilcoat_640165.html,71
