Sport,School_ID,Year,Number,Player,First_Name,Last_Name,Position,Height,Weight,Class,Hometown,City,State,High_School,URL,Height_Inches
FBALL,OKSTATE,2008-2009,49,Kenny Alexander,Kenny,Alexander,LB,6'1'',225,RS FR,"McKinney, TX ",McKinney,TX,McKinney North HS,http://www.okstate.com/sports/m-footbl/mtt/alexander_kenny00.html,73
FBALL,OKSTATE,2008-2009,55,Zach Allen,Zach,Allen,LS,6'1'',260,SR,"Edmond, OK ",Edmond,OK,Memorial HS,http://www.okstate.com/sports/m-footbl/mtt/allen_zach00.html,73
FBALL,OKSTATE,2008-2009,82,Isiah Anderson,Isiah,Anderson,WR,6'1'',175,FR,"Wichita Falls, TX ",Wichita Falls,TX,Wichita Falls HS,http://www.okstate.com/sports/m-footbl/mtt/anderson_isiah00.html,73
FBALL,OKSTATE,2008-2009,23,Terrance Anderson,Terrance,Anderson,WR,6'1'',180,JR,"Houston, TX ",Houston,TX,Aldine HS,http://www.okstate.com/sports/m-footbl/mtt/anderson_terrance00.html,73
FBALL,OKSTATE,2008-2009,31,Lucien Antoine,Lucien,Antoine,S,6'2'',210,JR,"Coral Springs, FL ",Coral Springs,FL,Coral Springs HS,http://www.okstate.com/sports/m-footbl/mtt/antoine_lucien00.html,74
FBALL,OKSTATE,2008-2009,84,Hubert Anyiam,Hubert,Anyiam,WR,6'1'',190,RS FR,"Garland, TX ",Garland,TX,N Garland HS,http://www.okstate.com/sports/m-footbl/mtt/anyiam_hubert00.html,73
FBALL,OKSTATE,2008-2009,67,Randall Arbuckle,Randall,Arbuckle,LS,6'1'',225,FR,"Canadian, TX ",Canadian,TX,Canadian HS,http://www.okstate.com/sports/m-footbl/mtt/arbuckle_randall00.html,73
FBALL,OKSTATE,2008-2009,31,Ben Bailey,Ben,Bailey,TE,6'3'',225,SO,"Bixby, OK ",Bixby,OK,Bixby HS,http://www.okstate.com/sports/m-footbl/spec-rel/081508aaz.html,75
FBALL,OKSTATE,2008-2009,95,Dan Bailey,Dan,Bailey,K,6'1'',205,SO,"Yukon, OK ",Yukon,OK,Southwest Covenant,http://www.okstate.com/sports/m-footbl/mtt/bailey_dan00.html,73
FBALL,OKSTATE,2008-2009,88,Cooper Bassett,Cooper,Bassett,TE,6'5'',235,FR,"Tuttle, OK ",Tuttle,OK,Tuttle HS,http://www.okstate.com/sports/m-footbl/mtt/bassett_cooper00.html,77
FBALL,OKSTATE,2008-2009,11,T.J. Bell,T.J.,Bell,CB,6'1'',185,SR,"Desoto, TX ",Desoto,TX,De Soto HS,http://www.okstate.com/sports/m-footbl/mtt/bailey_ben00.html,73
FBALL,OKSTATE,2008-2009,40,Beau Bentley,Beau,Bentley,LB,5'10'',205,FR,"Bixby, OK ",Bixby,OK,Bixby HS,http://www.okstate.com/sports/m-footbl/mtt/bentley_beau00.html,70
FBALL,OKSTATE,2008-2009,81,Justin Blackmon,Justin,Blackmon,WR,6'2'',190,FR,"Ardmore, OK ",Ardmore,OK,Plainview HS,http://www.okstate.com/sports/m-footbl/mtt/blackmon_justin00.html,74
FBALL,OKSTATE,2008-2009,50,Jamie Blatnick,Jamie,Blatnick,DE,6'3'',255,RS FR,"Celina, TX ",Celina,TX,Celina HS,http://www.okstate.com/sports/m-footbl/mtt/blatnick_jamie00.html,75
