"","School_Label","CIPFamily","CIPFamilyTitle","Value_Type","Value","Percentage","Category","School.Code","CIPF.Code"
"1","Alabama",3,"NATURAL RESOURCES AND CONSERVATION.","College Major",1,0.037037037,"Football","Albm","NRAC"
"2","Alabama",3,"NATURAL RESOURCES AND CONSERVATION.","College Major",9,0.002016581,"School","Albm","NRAC"
"3","Alabama",5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.","College Major",12,0.002688774,"School","Albm","AECGAGS"
"4","Alabama",9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.","College Major",1,0.037037037,"Football","Albm","CJARP"
"5","Alabama",9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.","College Major",444,0.099484652,"School","Albm","CJARP"
"6","Alabama",11,"COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.","College Major",19,0.004257226,"School","Albm","CAISASS"
"7","Alabama",13,"EDUCATION.","College Major",304,0.068115617,"School","Albm","EDUC"
"8","Alabama",14,"ENGINEERING.","College Major",314,0.070356263,"School","Albm","ENGI"
"9","Alabama",16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.","College Major",34,0.007618194,"School","Albm","FLLAL"
"10","Alabama",19,"FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.","College Major",324,0.072596908,"School","Albm","FACSS"
"11","Alabama",23,"ENGLISH LANGUAGE AND LITERATURE/LETTERS.","College Major",85,0.019045485,"School","Albm","ELAL"
"12","Alabama",24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.","College Major",4,0.148148148,"Football","Albm","LAASGSAH"
"13","Alabama",26,"BIOLOGICAL AND BIOMEDICAL SCIENCES.","College Major",164,0.036746583,"School","Albm","BABS"
"14","Alabama",27,"MATHEMATICS AND STATISTICS.","College Major",26,0.005825678,"School","Albm","MAAS"
"15","Alabama",30,"MULTI/INTERDISCIPLINARY STUDIES.","College Major",98,0.021958324,"School","Albm","MULS"
"16","Alabama",31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.","College Major",3,0.111111111,"Football","Albm","PRLAFS"
"17","Alabama",38,"PHILOSOPHY AND RELIGIOUS STUDIES.","College Major",18,0.004033162,"School","Albm","PARS"
"18","Alabama",40,"PHYSICAL SCIENCES.","College Major",54,0.012099485,"School","Albm","PHYS"
"19","Alabama",42,"PSYCHOLOGY.","College Major",143,0.032041228,"School","Albm","PSYC"
"20","Alabama",43,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.","College Major",2,0.074074074,"Football","Albm","HSLEFARPS"
"21","Alabama",43,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.","College Major",70,0.015684517,"School","Albm","HSLEFARPS"
"22","Alabama",44,"PUBLIC ADMINISTRATION AND SOCIAL SERVICE PROFESSIONS.","College Major",48,0.010755097,"School","Albm","PAASSP"
"23","Alabama",45,"SOCIAL SCIENCES.","College Major",202,0.045261035,"School","Albm","SOCS"
"24","Alabama",50,"VISUAL AND PERFORMING ARTS.","College Major",208,0.046605422,"School","Albm","VAPA"
"25","Alabama",51,"HEALTH PROFESSIONS AND RELATED PROGRAMS.","College Major",457,0.10239749,"School","Albm","HPARP"
"26","Alabama",52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.","College Major",15,0.555555556,"Football","Albm","BMMARSS"
"27","Alabama",52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.","College Major",1334,0.298902084,"School","Albm","BMMARSS"
"28","Alabama",54,"HISTORY.","College Major",1,0.037037037,"Football","Albm","HIST"
"29","Alabama",54,"HISTORY.","College Major",96,0.021510195,"School","Albm","HIST"
"30","Boise State",3,"NATURAL RESOURCES AND CONSERVATION.","College Major",13,0.005017368,"School","BsSt","NRAC"
"31","Boise State",5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.","College Major",3,0.001157854,"School","BsSt","AECGAGS"
"32","Boise State",9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.","College Major",18,0.257142857,"Football","BsSt","CJARP"
"33","Boise State",9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.","College Major",181,0.069857198,"School","BsSt","CJARP"
"34","Boise State",11,"COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.","College Major",52,0.020069471,"School","BsSt","CAISASS"
"35","Boise State",13,"EDUCATION.","College Major",272,0.104978773,"School","BsSt","EDUC"
"36","Boise State",14,"ENGINEERING.","College Major",2,0.028571429,"Football","BsSt","ENGI"
"37","Boise State",14,"ENGINEERING.","College Major",124,0.04785797,"School","BsSt","ENGI"
