,ID_Position,ID_Race,CIPFamily,CIPFamilyTitle,Value,Percentage_Position_Race,Variable
1,CB,AA,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",13,0.139784946,College Major
2,CB,AA,14,ENGINEERING.,5,0.053763441,College Major
3,CB,AA,5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",1,0.010752688,College Major
4,CB,AA,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,5,0.053763441,College Major
5,CB,AA,13,EDUCATION.,2,0.021505376,College Major
6,CB,AA,45,SOCIAL SCIENCES.,21,0.225806452,College Major
7,CB,AA,43,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.",3,0.032258065,College Major
8,CB,AA,42,PSYCHOLOGY.,1,0.010752688,College Major
9,CB,AA,44,PUBLIC ADMINISTRATION AND SOCIAL SERVICE PROFESSIONS.,1,0.010752688,College Major
10,CB,AA,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",3,0.032258065,College Major
11,CB,AA,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",27,0.290322581,College Major
12,CB,AA,50,VISUAL AND PERFORMING ARTS.,1,0.010752688,College Major
13,CB,AA,51,HEALTH PROFESSIONS AND RELATED PROGRAMS.,1,0.010752688,College Major
14,CB,AA,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",8,0.086021505,College Major
15,CB,AA,54,HISTORY.,1,0.010752688,College Major
16,CB,C,3,NATURAL RESOURCES AND CONSERVATION.,1,0.066666667,College Major
17,CB,C,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",2,0.133333333,College Major
18,CB,C,14,ENGINEERING.,1,0.066666667,College Major
19,CB,C,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",1,0.066666667,College Major
20,CB,C,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,1,0.066666667,College Major
21,CB,C,45,SOCIAL SCIENCES.,2,0.133333333,College Major
22,CB,C,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",1,0.066666667,College Major
23,CB,C,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,1,0.066666667,College Major
24,CB,C,30,MULTI/INTERDISCIPLINARY STUDIES.,1,0.066666667,College Major
25,CB,C,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",2,0.133333333,College Major
