School_Label,ID_Race,CIPFamily,CIPFamilyTitle,Variable,Value,Percentage_Race_School
Alabama,AA,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,1,0.1
Alabama,AA,43,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.",College Major,2,0.2
Alabama,AA,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,4,0.4
Alabama,AA,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,3,0.3
Alabama,C,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,1,0.0625
Alabama,C,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,3,0.1875
Alabama,C,54,HISTORY.,College Major,1,0.0625
Alabama,C,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,11,0.6875
Alabama,H,3,NATURAL RESOURCES AND CONSERVATION.,College Major,1,1
Boise State,AA,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,8,0.32
Boise State,AA,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,3,0.12
Boise State,AA,43,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.",College Major,1,0.04
Boise State,AA,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,10,0.4
Boise State,AA,42,PSYCHOLOGY.,College Major,1,0.04
Boise State,AA,45,SOCIAL SCIENCES.,College Major,2,0.08
Boise State,C,14,ENGINEERING.,College Major,2,0.046511628
Boise State,C,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,9,0.209302326
Boise State,C,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,8,0.186046512
Boise State,C,38,PHILOSOPHY AND RELIGIOUS STUDIES.,College Major,1,0.023255814
Boise State,C,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,20,0.465116279
Boise State,C,43,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.",College Major,2,0.046511628
