CIPFamilyTitle,CIPFamily,CIPDefinition,CIPF.Code
"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",1,"Instructional programs that focus on agriculture and related sciences and that prepare individuals to apply specific knowledge, methods, and techniques to the management and performance of agricultural operations.",AG
ARCHITECTURE AND RELATED SERVICES.,4,Instructional programs that prepare individuals for professional practice in the various architecture-related fields and focus on the study of related aesthetic and socioeconomic aspects of the built environment.,ARCH
"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",5,"Instructional programs that focus on the defined areas, regions, and countries of the world; defined minority groups within and across societies; and issues relevant to collective gender and group experience.",ETHNIC
BASIC SKILLS AND DEVELOPMENTAL/REMEDIAL EDUCATION.,32,Instructional programs that focus on the fundamental knowledge and skills that individuals need to function productively in society. These CIP codes are not valid for IPEDS reporting.,BASE.ED
BIOLOGICAL AND BIOMEDICAL SCIENCES.,26,"Instructional programs that focus on the biological sciences and the non-clinical biomedical sciences, and that prepare individuals for research and professional careers as biologists and biomedical scientists.",BIO
"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",52,"Instructional programs that prepare individuals to perform managerial, technical support, and applied research functions related to the operation of commercial and non-profit enterprises and the buying and selling of goods and services.",BIZMAN
CITIZENSHIP ACTIVITIES.,33,"Instructional programs that prepare individuals for citizenship, and provide instruction in how citizens may engage in civic activities. These CIP codes are not valid for IPEDS reporting.",CTZ
"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",9,"Instructional programs that focus on how messages in various media are produced, used, and interpreted within and across different contexts, channels, and cultures, and that prepare individuals to apply communication knowledge and skills professionally.",COMM
COMMUNICATIONS TECHNOLOGIES/TECHNICIANS AND SUPPORT SERVICES.,10,"Instructional programs that prepare individuals to function as equipment operators, support technicians, and operations managers in the film/video, recording, and graphic communications industries.",COMTECH
COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,11,Instructional programs that focus on the computer and information sciences and prepare individuals for various occupations in information technology and computer operations fields.,COMP
CONSTRUCTION TRADES.,46,"Instructional programs that prepare individuals to apply technical knowledge and skills in the building, inspecting, and maintaining of structures and related properties.",CONST
EDUCATION.,13,"Instructional programs that focus on the theory and practice of learning and teaching, and related research, administrative and support services.",EDUC
ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED FIELDS.,15,Instructional programs that prepare individuals to apply basic engineering principles and technical skills in support of engineering and related projects or to prepare for engineering-related fields.,ENGINTECH
ENGINEERING.,14,Instructional programs that prepare individuals to apply mathematical and     scientific principles to the solution of practical problems.,ENGIN
