Hometown,Latitude,Longitude
"Brisbane, QLD",-27.4710107,153.0234489
"Parkdale, AU",-37.9932879,145.0761207
"Melbourne, AU",-37.814107,144.96328
"Miners Rest, AU",-37.4810151,143.8009971
"Milan, MI",45.4654542,9.186516
"Amsterdam, NL",52.3702157,4.8951679
"Berlin, GER",43.35456,0.477907
"West Roxbury, MA",42.2797554,-71.1626756
"Tewksbury, MA",42.610556,-71.234722
"Weston, MA",42.3666667,-71.3036111
"Providence, RI",41.8239891,-71.4128343
"Framingham, MA",42.279286,-71.4161565
"Sudbury, MA",42.383333,-71.416667
"Andover, NH",43.4363889,-71.8233333
"New London, CT",41.3556539,-72.0995209
"Wethersfield, CT",41.7063537,-72.6596244
"West Hartford, CT",41.7620842,-72.7420151
"Meriden, CT",41.5381535,-72.8070435
"Coram, NY",40.8687096,-73.0014946
"Central Islip, NY",40.7906538,-73.2017811
"East Northport, NY",40.8767647,-73.3245613
"Babylon, NY",40.6956552,-73.3256753
"Hicksville, NY",40.7684331,-73.5251253
"Rye, NY",40.9806535,-73.6837399
"St. Albans, NY",40.6894086,-73.7654367
"Jamaica, NY",40.702677,-73.7889689
"Hopewell Junction, NY",41.5839823,-73.8087442
"Bronx, NY",40.85,-73.866667
"Brooklyn, NY",40.65,-73.95
"Englewood, NJ",40.8928771,-73.9726381
"Long Branch, NJ",40.3042778,-73.9923596
"New York, NY",40.7143528,-74.0059731
"New York City, NY",40.7143528,-74.0059731
"Teaneck, NJ",40.8932469,-74.0116536
"Montvale, NJ",41.0467635,-74.0229173
"Hackensack, NJ",40.8859325,-74.0434736
"Secaucus, NJ",40.7895453,-74.0565298
"Wall, NJ",40.1606666,-74.0679753
"Jersey City, NJ",40.7281575,-74.0776417
"Saddle Brook, NJ",40.9040085,-74.1007318
"Elmwood Park, NJ",40.9039878,-74.118476
"Passaic, NJ",40.8567662,-74.1284764
"Staten Island, NY",40.5795317,-74.1502007
"Paterson, NJ",40.9167654,-74.171811
"Hazlet, NJ",40.4155556,-74.1911111
"West Paterson, NJ",40.8898212,-74.1948674
"Montclair, NJ",40.8259007,-74.2090053
"Verona, NJ",40.8298006,-74.2401609
"Linden, NJ",40.6220478,-74.2445902
"Port Reading, NJ",40.5653823,-74.2604236
"Union, NJ",40.6975898,-74.2631635
"Wayne, NJ",40.9253725,-74.2765441
"Woodbridge, NJ",40.5575986,-74.2846022
"West Caldwell, NJ",40.8409329,-74.3018154
"Jackson, NJ",40.1080556,-74.3294444
"Manalapan, NJ",40.2969444,-74.33
"Warwick, NY",41.256483,-74.3598755
"Sayreville, NJ",40.4594021,-74.360846
"Edison, NJ",40.5187154,-74.4120953
"New Brunswick, NJ",40.4862157,-74.4518188
"Piscataway, NJ",40.5397222,-74.4663889
"Galloway, NJ",39.4883333,-74.4755556
"Basking Ridge, NJ",40.706111,-74.549722
"Linwood, NJ",39.3398382,-74.5751557
"Manville, NJ",40.5409367,-74.5876569
"Egg Harbor Township, NJ",39.3911111,-74.5938889
"Somerville, NJ",40.5742696,-74.60988
"Somerset, NJ",40.5292099,-74.6400432
"Skillman, NJ",40.4201165,-74.7146817
"Long Valley, NJ",40.7859331,-74.7801645
"Yardley, PA",40.245664,-74.8459972
"Flemington, NJ",40.5123258,-74.8593318
"Cape May, NJ",38.9351125,-74.9060053
"Langhorne, PA",40.1745538,-74.9226665
"Sicklerville, NJ",39.7173375,-74.9693329
"Holland, PA",40.2010288,-74.9722322
"Palmyra, NJ",40.0070565,-75.0282271
"Audubon, NJ",39.8909466,-75.0729504
"Cheltenham, PA",40.0609445,-75.0940625
"Milford, NJ",40.5687128,-75.0946169
"Glassboro, NJ",39.7028923,-75.1118422
"Deptford, NJ",39.8197222,-75.1227778
"Abington, PA",40.1198332,-75.1253492
"Wyncote, PA",40.0945549,-75.1487863
"Philadelphia, PA",39.952335,-75.163789
"East Stroudsburg, PA",40.9995386,-75.1812913
"Upper Darby, PA",39.957902,-75.3076883
