Year,unitid,Institution_Name,CIP_Classificaiton,cipcode,Award_Level,Total,T.M,T.F
1979-1980,100858,Auburn University,Agriculture and national resources,01',Bachelor's degrees,261,212,49
1979-1980,100858,Auburn University,Engineering,09',Bachelor's degrees,495,455,40
1979-1980,100858,Auburn University,Psychology,20',Bachelor's degrees,60,20,40
1979-1980,100858,Auburn University,Architecture and environmental design,02',Bachelor's degrees,209,189,20
1979-1980,100858,Auburn University,Biological sciences,04',Bachelor's degrees,94,60,34
1979-1980,100858,Auburn University,Health Professions,12',Bachelor's degrees,169,75,94
1979-1980,100858,Auburn University,Public affairs and services,21',Bachelor's degrees,80,48,32
1979-1980,100858,Auburn University,Social sciences,22',Bachelor's degrees,101,50,51
1979-1980,100858,Auburn University,Business and management,05',Bachelor's degrees,758,474,284
1979-1980,100858,Auburn University,Communications,06',Bachelor's degrees,51,15,36
1979-1980,100858,Auburn University,Fine and applied arts,10',Bachelor's degrees,72,27,45
1979-1980,100858,Auburn University,Foreign languages-,11',Bachelor's degrees,43,6,37
1979-1980,100858,Auburn University,Interdisciplinary studies,49',Bachelor's degrees,8,3,5
1979-1980,100858,Auburn University,Letters,15',Bachelor's degrees,89,22,67
1979-1980,100858,Auburn University,Mathematics,17',Bachelor's degrees,19,11,8
1979-1980,100858,Auburn University,Education,08',Bachelor's degrees,471,101,370
1979-1980,100858,Auburn University,Home economics,13',Bachelor's degrees,126,1,125
1979-1980,100858,Auburn University,Physical sciences,19',Bachelor's degrees,71,63,8
1979-1980,142115,Boise State University,Health Professions,12',Bachelor's degrees,29,9,20
1979-1980,142115,Boise State University,Business and management,05',Bachelor's degrees,248,173,75
1979-1980,142115,Boise State University,Education,08',Bachelor's degrees,132,34,98
1979-1980,142115,Boise State University,Foreign languages-,11',Bachelor's degrees,1,1,0
1979-1980,142115,Boise State University,Physical sciences,19',Bachelor's degrees,31,27,4
1979-1980,142115,Boise State University,Public affairs and services,21',Bachelor's degrees,51,27,24
1979-1980,142115,Boise State University,Biological sciences,04',Bachelor's degrees,15,7,8
1979-1980,142115,Boise State University,Fine and applied arts,10',Bachelor's degrees,39,16,23
1979-1980,142115,Boise State University,Mathematics,17',Bachelor's degrees,5,4,1
1979-1980,142115,Boise State University,Communications,06',Bachelor's degrees,39,26,13
1979-1980,142115,Boise State University,Computer and information sciences,07',Bachelor's degrees,5,5,0
1979-1980,142115,Boise State University,Engineering,09',Bachelor's degrees,8,7,1
1979-1980,142115,Boise State University,Letters,15',Bachelor's degrees,13,4,9
1979-1980,142115,Boise State University,Psychology,20',Bachelor's degrees,11,4,7
1979-1980,142115,Boise State University,Social sciences,22',Bachelor's degrees,80,41,39
1979-1980,217882,Clemson University,Foreign languages-,11',Bachelor's degrees,10,2,8
1979-1980,217882,Clemson University,Health Professions,12',Bachelor's degrees,85,3,82
1979-1980,217882,Clemson University,Architecture and environmental design,02',Bachelor's degrees,82,69,13
1979-1980,217882,Clemson University,Engineering,09',Bachelor's degrees,599,520,79
1979-1980,217882,Clemson University,Letters,15',Bachelor's degrees,45,7,38
1979-1980,217882,Clemson University,Public affairs and services,21',Bachelor's degrees,91,51,40
1979-1980,217882,Clemson University,Business and management,05',Bachelor's degrees,114,72,42
1979-1980,217882,Clemson University,Education,08',Bachelor's degrees,228,72,156
1979-1980,217882,Clemson University,Physical sciences,19',Bachelor's degrees,34,26,8
1979-1980,217882,Clemson University,Social sciences,22',Bachelor's degrees,130,67,63
1979-1980,217882,Clemson University,Agriculture and national resources,01',Bachelor's degrees,183,138,45
1979-1980,217882,Clemson University,Biological sciences,04',Bachelor's degrees,97,65,32
1979-1980,217882,Clemson University,Mathematics,17',Bachelor's degrees,46,24,22
1979-1980,217882,Clemson University,Psychology,20',Bachelor's degrees,49,9,40
1979-1980,198419,Duke University,Area studies,03',Bachelor's degrees,7,2,5
1979-1980,198419,Duke University,Engineering,09',Bachelor's degrees,175,128,47
1979-1980,198419,Duke University,Foreign languages-,11',Bachelor's degrees,40,14,26
1979-1980,198419,Duke University,Health Professions,12',Bachelor's degrees,140,16,124
1979-1980,198419,Duke University,Business and management,05',Bachelor's degrees,162,104,58
1979-1980,198419,Duke University,Computer and information sciences,07',Bachelor's degrees,24,16,8
1979-1980,198419,Duke University,Education,08',Bachelor's degrees,14,0,14
1979-1980,198419,Duke University,Letters,15',Bachelor's degrees,96,37,59
1979-1980,198419,Duke University,Social sciences,22',Bachelor's degrees,417,249,168
1979-1980,198419,Duke University,Fine and applied arts,10',Bachelor's degrees,26,12,14
1979-1980,198419,Duke University,Interdisciplinary studies,49',Bachelor's degrees,1,0,1
1979-1980,198419,Duke University,Physical sciences,19',Bachelor's degrees,105,72,33
1979-1980,198419,Duke University,Public affairs and services,21',Bachelor's degrees,66,33,33
1979-1980,198419,Duke University,Theology,23',Bachelor's degrees,33,18,15
1979-1980,198419,Duke University,Biological sciences,04',Bachelor's degrees,139,68,71
1979-1980,198419,Duke University,Mathematics,17',Bachelor's degrees,11,7,4
1979-1980,198419,Duke University,Psychology,20',Bachelor's degrees,127,46,81
1979-1980,134097,Florida State University,Area studies,03',Bachelor's degrees,8,7,1
1979-1980,134097,Florida State University,Business and management,05',Bachelor's degrees,995,679,316
1979-1980,134097,Florida State University,Home economics,13',Bachelor's degrees,227,3,224
1979-1980,134097,Florida State University,Library science,16',Bachelor's degrees,15,1,14
1979-1980,134097,Florida State University,Mathematics,17',Bachelor's degrees,41,29,12
1979-1980,134097,Florida State University,Physical sciences,19',Bachelor's degrees,78,64,14
1979-1980,134097,Florida State University,Psychology,20',Bachelor's degrees,119,58,61
1979-1980,134097,Florida State University,Public affairs and services,21',Bachelor's degrees,432,173,259
1979-1980,134097,Florida State University,Architecture and environmental design,02',Bachelor's degrees,53,2,51
1979-1980,134097,Florida State University,Communications,06',Bachelor's degrees,188,75,113
1979-1980,134097,Florida State University,Education,08',Bachelor's degrees,517,127,390
1979-1980,134097,Florida State University,Health Professions,12',Bachelor's degrees,159,15,144
1979-1980,134097,Florida State University,Interdisciplinary studies,49',Bachelor's degrees,7,3,4
1979-1980,134097,Florida State University,Biological sciences,04',Bachelor's degrees,117,87,30
1979-1980,134097,Florida State University,Fine and applied arts,10',Bachelor's degrees,215,76,139
1979-1980,134097,Florida State University,Foreign languages-,11',Bachelor's degrees,31,8,23
1979-1980,134097,Florida State University,Letters,15',Bachelor's degrees,109,45,64
1979-1980,134097,Florida State University,Social sciences,22',Bachelor's degrees,320,206,114
1979-1980,131496,Georgetown University,Interdisciplinary studies,49',Bachelor's degrees,5,3,2
1979-1980,131496,Georgetown University,Social sciences,22',Bachelor's degrees,541,285,256
1979-1980,131496,Georgetown University,Theology,23',Bachelor's degrees,10,2,8
1979-1980,131496,Georgetown University,Foreign languages-,11',Bachelor's degrees,134,23,111
1979-1980,131496,Georgetown University,Health Professions,12',Bachelor's degrees,129,2,127
1979-1980,131496,Georgetown University,Physical sciences,19',Bachelor's degrees,23,13,10
1979-1980,131496,Georgetown University,Area studies,03',Bachelor's degrees,17,7,10
1979-1980,131496,Georgetown University,Biological sciences,04',Bachelor's degrees,60,36,24
1979-1980,131496,Georgetown University,Business and management,05',Bachelor's degrees,221,132,89
1979-1980,131496,Georgetown University,Fine and applied arts,10',Bachelor's degrees,4,1,3
1979-1980,131496,Georgetown University,Letters,15',Bachelor's degrees,133,67,66
1979-1980,131496,Georgetown University,Mathematics,17',Bachelor's degrees,3,3,0
1979-1980,131496,Georgetown University,Psychology,20',Bachelor's degrees,42,16,26
1979-1980,155399,Kansas State University,Business and management,05',Bachelor's degrees,415,274,141
1979-1980,155399,Kansas State University,Education,08',Bachelor's degrees,329,85,244
1979-1980,155399,Kansas State University,Engineering,09',Bachelor's degrees,365,339,26
1979-1980,155399,Kansas State University,Home economics,13',Bachelor's degrees,248,11,237
1979-1980,155399,Kansas State University,Architecture and environmental design,02',Bachelor's degrees,175,119,56
1979-1980,155399,Kansas State University,Communications,06',Bachelor's degrees,87,43,44
1979-1980,155399,Kansas State University,Fine and applied arts,10',Bachelor's degrees,42,21,21
1979-1980,155399,Kansas State University,Agriculture and national resources,01',Bachelor's degrees,406,321,85
1979-1980,155399,Kansas State University,Biological sciences,04',Bachelor's degrees,108,58,50
1979-1980,155399,Kansas State University,Computer and information sciences,07',Bachelor's degrees,38,28,10
1979-1980,155399,Kansas State University,Psychology,20',Bachelor's degrees,44,20,24
1979-1980,155399,Kansas State University,Public affairs and services,21',Bachelor's degrees,39,3,36
1979-1980,155399,Kansas State University,Health Professions,12',Bachelor's degrees,31,3,28
1979-1980,155399,Kansas State University,Interdisciplinary studies,49',Bachelor's degrees,85,58,27
1979-1980,155399,Kansas State University,Letters,15',Bachelor's degrees,31,7,24
1979-1980,155399,Kansas State University,Physical sciences,19',Bachelor's degrees,44,34,10
1979-1980,155399,Kansas State University,Foreign languages-,11',Bachelor's degrees,22,3,19
1979-1980,155399,Kansas State University,Law,14',Bachelor's degrees,6,1,5
1979-1980,155399,Kansas State University,Mathematics,17',Bachelor's degrees,11,8,3
1979-1980,155399,Kansas State University,Social sciences,22',Bachelor's degrees,129,84,45
1979-1980,159391,Louisiana State University and Agricultural & Mechanical College,Architecture and environmental design,02',Bachelor's degrees,153,109,44
1979-1980,159391,Louisiana State University and Agricultural & Mechanical College,Communications,06',Bachelor's degrees,79,28,51
1979-1980,159391,Louisiana State University and Agricultural & Mechanical College,Letters,15',Bachelor's degrees,80,29,51
1979-1980,159391,Louisiana State University and Agricultural & Mechanical College,Mathematics,17',Bachelor's degrees,10,4,6
1979-1980,159391,Louisiana State University and Agricultural & Mechanical College,Biological sciences,04',Bachelor's degrees,116,95,21
1979-1980,159391,Louisiana State University and Agricultural & Mechanical College,Business and management,05',Bachelor's degrees,483,293,190
1979-1980,159391,Louisiana State University and Agricultural & Mechanical College,Interdisciplinary studies,49',Bachelor's degrees,370,210,160
1979-1980,159391,Louisiana State University and Agricultural & Mechanical College,Social sciences,22',Bachelor's degrees,213,118,95
1979-1980,159391,Louisiana State University and Agricultural & Mechanical College,Agriculture and national resources,01',Bachelor's degrees,160,115,45
1979-1980,159391,Louisiana State University and Agricultural & Mechanical College,Area studies,03',Bachelor's degrees,1,1,0
1979-1980,159391,Louisiana State University and Agricultural & Mechanical College,Computer and information sciences,07',Bachelor's degrees,37,13,24
1979-1980,159391,Louisiana State University and Agricultural & Mechanical College,Physical sciences,19',Bachelor's degrees,49,34,15
1979-1980,159391,Louisiana State University and Agricultural & Mechanical College,Public affairs and services,21',Bachelor's degrees,1,0,1
1979-1980,159391,Louisiana State University and Agricultural & Mechanical College,Education,08',Bachelor's degrees,276,43,233
1979-1980,159391,Louisiana State University and Agricultural & Mechanical College,Engineering,09',Bachelor's degrees,425,386,39
1979-1980,159391,Louisiana State University and Agricultural & Mechanical College,Fine and applied arts,10',Bachelor's degrees,87,17,70
1979-1980,159391,Louisiana State University and Agricultural & Mechanical College,Foreign languages-,11',Bachelor's degrees,26,4,22
1979-1980,159391,Louisiana State University and Agricultural & Mechanical College,Home economics,13',Bachelor's degrees,104,0,104
1979-1980,159391,Louisiana State University and Agricultural & Mechanical College,Psychology,20',Bachelor's degrees,73,28,45
1979-1980,147767,Northwestern University,Fine and applied arts,10',Bachelor's degrees,103,50,53
1979-1980,147767,Northwestern University,Foreign languages-,11',Bachelor's degrees,23,7,16
1979-1980,147767,Northwestern University,Physical sciences,19',Bachelor's degrees,61,42,19
1979-1980,147767,Northwestern University,Area studies,03',Bachelor's degrees,7,2,5
1979-1980,147767,Northwestern University,Business and management,05',Bachelor's degrees,25,10,15
1979-1980,147767,Northwestern University,Computer and information sciences,07',Bachelor's degrees,34,30,4
1979-1980,147767,Northwestern University,Engineering,09',Bachelor's degrees,210,175,35
1979-1980,147767,Northwestern University,Health Professions,12',Bachelor's degrees,177,77,100
1979-1980,147767,Northwestern University,Interdisciplinary studies,49',Bachelor's degrees,6,6,0
1979-1980,147767,Northwestern University,Letters,15',Bachelor's degrees,116,53,63
1979-1980,147767,Northwestern University,Mathematics,17',Bachelor's degrees,27,14,13
1979-1980,147767,Northwestern University,Communications,06',Bachelor's degrees,262,143,119
1979-1980,147767,Northwestern University,Education,08',Bachelor's degrees,62,17,45
1979-1980,147767,Northwestern University,Psychology,20',Bachelor's degrees,78,27,51
1979-1980,147767,Northwestern University,Public affairs and services,21',Bachelor's degrees,1,0,1
1979-1980,147767,Northwestern University,Biological sciences,04',Bachelor's degrees,119,70,49
1979-1980,147767,Northwestern University,Social sciences,22',Bachelor's degrees,396,214,182
1979-1980,204796,Ohio State University-Main Campus,Agriculture and national resources,01',Bachelor's degrees,673,451,222
1979-1980,204796,Ohio State University-Main Campus,Biological sciences,04',Bachelor's degrees,336,226,110
1979-1980,204796,Ohio State University-Main Campus,Computer and information sciences,07',Bachelor's degrees,105,79,26
1979-1980,204796,Ohio State University-Main Campus,Home economics,13',Bachelor's degrees,262,15,247
1979-1980,204796,Ohio State University-Main Campus,Letters,15',Bachelor's degrees,171,73,98
1979-1980,204796,Ohio State University-Main Campus,Mathematics,17',Bachelor's degrees,28,17,11
1979-1980,204796,Ohio State University-Main Campus,Public affairs and services,21',Bachelor's degrees,241,73,168
1979-1980,204796,Ohio State University-Main Campus,Architecture and environmental design,02',Bachelor's degrees,133,112,21
1979-1980,204796,Ohio State University-Main Campus,Business and management,05',Bachelor's degrees,1041,723,318
1979-1980,204796,Ohio State University-Main Campus,Engineering,09',Bachelor's degrees,557,504,53
1979-1980,204796,Ohio State University-Main Campus,Fine and applied arts,10',Bachelor's degrees,238,110,128
1979-1980,204796,Ohio State University-Main Campus,Foreign languages-,11',Bachelor's degrees,87,25,62
1979-1980,204796,Ohio State University-Main Campus,Psychology,20',Bachelor's degrees,169,71,98
1979-1980,204796,Ohio State University-Main Campus,Area studies,03',Bachelor's degrees,6,2,4
1979-1980,204796,Ohio State University-Main Campus,Communications,06',Bachelor's degrees,323,134,189
1979-1980,204796,Ohio State University-Main Campus,Health Professions,12',Bachelor's degrees,532,116,416
1979-1980,204796,Ohio State University-Main Campus,Interdisciplinary studies,49',Bachelor's degrees,117,52,65
1979-1980,204796,Ohio State University-Main Campus,Physical sciences,19',Bachelor's degrees,70,55,15
1979-1980,204796,Ohio State University-Main Campus,Social sciences,22',Bachelor's degrees,519,296,223
1979-1980,204796,Ohio State University-Main Campus,Education,08',Bachelor's degrees,888,214,674
1979-1980,207388,Oklahoma State University-Main Campus,Biological sciences,04',Bachelor's degrees,172,116,56
1979-1980,207388,Oklahoma State University-Main Campus,Business and management,05',Bachelor's degrees,734,444,290
1979-1980,207388,Oklahoma State University-Main Campus,Communications,06',Bachelor's degrees,98,48,50
1979-1980,207388,Oklahoma State University-Main Campus,Fine and applied arts,10',Bachelor's degrees,17,8,9
1979-1980,207388,Oklahoma State University-Main Campus,Health Professions,12',Bachelor's degrees,40,10,30
1979-1980,207388,Oklahoma State University-Main Campus,Mathematics,17',Bachelor's degrees,15,7,8
1979-1980,207388,Oklahoma State University-Main Campus,Computer and information sciences,07',Bachelor's degrees,15,11,4
1979-1980,207388,Oklahoma State University-Main Campus,Foreign languages-,11',Bachelor's degrees,16,1,15
1979-1980,207388,Oklahoma State University-Main Campus,Interdisciplinary studies,49',Bachelor's degrees,51,34,17
1979-1980,207388,Oklahoma State University-Main Campus,Architecture and environmental design,02',Bachelor's degrees,35,30,5
1979-1980,207388,Oklahoma State University-Main Campus,Engineering,09',Bachelor's degrees,521,483,38
1979-1980,207388,Oklahoma State University-Main Campus,Letters,15',Bachelor's degrees,57,10,47
1979-1980,207388,Oklahoma State University-Main Campus,Military sciences,18',Bachelor's degrees,1,1,0
1979-1980,207388,Oklahoma State University-Main Campus,Social sciences,22',Bachelor's degrees,156,81,75
1979-1980,207388,Oklahoma State University-Main Campus,Agriculture and national resources,01',Bachelor's degrees,324,257,67
1979-1980,207388,Oklahoma State University-Main Campus,Education,08',Bachelor's degrees,429,134,295
1979-1980,207388,Oklahoma State University-Main Campus,Home economics,13',Bachelor's degrees,206,12,194
1979-1980,207388,Oklahoma State University-Main Campus,Physical sciences,19',Bachelor's degrees,34,31,3
1979-1980,207388,Oklahoma State University-Main Campus,Psychology,20',Bachelor's degrees,72,17,55
1979-1980,209542,Oregon State University,Engineering,09',Bachelor's degrees,456,427,29
1979-1980,209542,Oregon State University,Letters,15',Bachelor's degrees,52,25,27
1979-1980,209542,Oregon State University,Mathematics,17',Bachelor's degrees,20,14,6
1979-1980,209542,Oregon State University,Social sciences,22',Bachelor's degrees,165,89,76
1979-1980,209542,Oregon State University,Biological sciences,04',Bachelor's degrees,134,68,66
1979-1980,209542,Oregon State University,Computer and information sciences,07',Bachelor's degrees,49,41,8
1979-1980,209542,Oregon State University,Fine and applied arts,10',Bachelor's degrees,50,24,26
1979-1980,209542,Oregon State University,Physical sciences,19',Bachelor's degrees,58,49,9
1979-1980,209542,Oregon State University,Communications,06',Bachelor's degrees,30,16,14
1979-1980,209542,Oregon State University,Foreign languages-,11',Bachelor's degrees,13,4,9
1979-1980,209542,Oregon State University,Health Professions,12',Bachelor's degrees,143,85,58
1979-1980,209542,Oregon State University,Home economics,13',Bachelor's degrees,159,3,156
1979-1980,209542,Oregon State University,Psychology,20',Bachelor's degrees,35,8,27
1979-1980,209542,Oregon State University,Agriculture and national resources,01',Bachelor's degrees,390,262,128
1979-1980,209542,Oregon State University,Area studies,03',Bachelor's degrees,11,7,4
1979-1980,209542,Oregon State University,Business and management,05',Bachelor's degrees,526,368,158
1979-1980,209542,Oregon State University,Education,08',Bachelor's degrees,257,78,179
1979-1980,209542,Oregon State University,Interdisciplinary studies,49',Bachelor's degrees,120,73,47
1979-1980,214777,Pennsylvania State University-Main Campus,Health Professions,12',Bachelor's degrees,283,46,237
1979-1980,214777,Pennsylvania State University-Main Campus,Interdisciplinary studies,49',Bachelor's degrees,212,100,112
1979-1980,214777,Pennsylvania State University-Main Campus,Law,14',Bachelor's degrees,27,21,6
1979-1980,214777,Pennsylvania State University-Main Campus,Mathematics,17',Bachelor's degrees,50,33,17
1979-1980,214777,Pennsylvania State University-Main Campus,Physical sciences,19',Bachelor's degrees,331,276,55
1979-1980,214777,Pennsylvania State University-Main Campus,Agriculture and national resources,01',Bachelor's degrees,761,499,262
1979-1980,214777,Pennsylvania State University-Main Campus,Area studies,03',Bachelor's degrees,7,4,3
1979-1980,214777,Pennsylvania State University-Main Campus,Biological sciences,04',Bachelor's degrees,413,231,182
1979-1980,214777,Pennsylvania State University-Main Campus,Architecture and environmental design,02',Bachelor's degrees,99,67,32
1979-1980,214777,Pennsylvania State University-Main Campus,Communications,06',Bachelor's degrees,258,110,148
1979-1980,214777,Pennsylvania State University-Main Campus,Education,08',Bachelor's degrees,659,210,449
1979-1980,214777,Pennsylvania State University-Main Campus,Engineering,09',Bachelor's degrees,1124,1005,119
1979-1980,214777,Pennsylvania State University-Main Campus,Fine and applied arts,10',Bachelor's degrees,158,60,98
1979-1980,214777,Pennsylvania State University-Main Campus,Psychology,20',Bachelor's degrees,122,50,72
1979-1980,214777,Pennsylvania State University-Main Campus,Public affairs and services,21',Bachelor's degrees,543,267,276
1979-1980,214777,Pennsylvania State University-Main Campus,Business and management,05',Bachelor's degrees,1397,984,413
1979-1980,214777,Pennsylvania State University-Main Campus,Home economics,13',Bachelor's degrees,444,111,333
1979-1980,214777,Pennsylvania State University-Main Campus,Computer and information sciences,07',Bachelor's degrees,120,86,34
1979-1980,214777,Pennsylvania State University-Main Campus,Foreign languages-,11',Bachelor's degrees,79,17,62
1979-1980,214777,Pennsylvania State University-Main Campus,Letters,15',Bachelor's degrees,269,122,147
1979-1980,214777,Pennsylvania State University-Main Campus,Social sciences,22',Bachelor's degrees,299,195,104
1979-1980,186380,Rutgers University-New Brunswick,Area studies,03',Bachelor's degrees,10,2,8
1979-1980,186380,Rutgers University-New Brunswick,Computer and information sciences,07',Bachelor's degrees,122,69,53
1979-1980,186380,Rutgers University-New Brunswick,Engineering,09',Bachelor's degrees,403,352,51
1979-1980,186380,Rutgers University-New Brunswick,Foreign languages-,11',Bachelor's degrees,117,20,97
1979-1980,186380,Rutgers University-New Brunswick,Psychology,20',Bachelor's degrees,273,88,185
1979-1980,186380,Rutgers University-New Brunswick,Agriculture and national resources,01',Bachelor's degrees,288,165,123
1979-1980,186380,Rutgers University-New Brunswick,Education,08',Bachelor's degrees,107,39,68
1979-1980,186380,Rutgers University-New Brunswick,Letters,15',Bachelor's degrees,330,128,202
1979-1980,186380,Rutgers University-New Brunswick,Physical sciences,19',Bachelor's degrees,125,90,35
1979-1980,186380,Rutgers University-New Brunswick,Public affairs and services,21',Bachelor's degrees,39,15,24
1979-1980,186380,Rutgers University-New Brunswick,Architecture and environmental design,02',Bachelor's degrees,56,29,27
1979-1980,186380,Rutgers University-New Brunswick,Health Professions,12',Bachelor's degrees,174,52,122
1979-1980,186380,Rutgers University-New Brunswick,Interdisciplinary studies,49',Bachelor's degrees,116,11,105
1979-1980,186380,Rutgers University-New Brunswick,Biological sciences,04',Bachelor's degrees,486,284,202
1979-1980,186380,Rutgers University-New Brunswick,Business and management,05',Bachelor's degrees,428,275,153
1979-1980,186380,Rutgers University-New Brunswick,Communications,06',Bachelor's degrees,218,97,121
1979-1980,186380,Rutgers University-New Brunswick,Fine and applied arts,10',Bachelor's degrees,173,38,135
1979-1980,186380,Rutgers University-New Brunswick,Home economics,13',Bachelor's degrees,100,0,100
1979-1980,186380,Rutgers University-New Brunswick,Mathematics,17',Bachelor's degrees,78,40,38
1979-1980,186380,Rutgers University-New Brunswick,Social sciences,22',Bachelor's degrees,885,477,408
1979-1980,122755,San Jose State University,Area studies,03',Bachelor's degrees,4,0,4
1979-1980,122755,San Jose State University,Psychology,20',Bachelor's degrees,180,57,123
1979-1980,122755,San Jose State University,Public affairs and services,21',Bachelor's degrees,309,137,172
1979-1980,122755,San Jose State University,Education,08',Bachelor's degrees,170,136,34
1979-1980,122755,San Jose State University,Foreign languages-,11',Bachelor's degrees,43,7,36
1979-1980,122755,San Jose State University,Home economics,13',Bachelor's degrees,80,3,77
1979-1980,122755,San Jose State University,Letters,15',Bachelor's degrees,104,40,64
1979-1980,122755,San Jose State University,Social sciences,22',Bachelor's degrees,362,176,186
1979-1980,122755,San Jose State University,Architecture and environmental design,02',Bachelor's degrees,38,2,36
1979-1980,122755,San Jose State University,Communications,06',Bachelor's degrees,218,118,100
1979-1980,122755,San Jose State University,Engineering,09',Bachelor's degrees,352,328,24
1979-1980,122755,San Jose State University,Interdisciplinary studies,49',Bachelor's degrees,272,54,218
1979-1980,122755,San Jose State University,Physical sciences,19',Bachelor's degrees,107,77,30
1979-1980,122755,San Jose State University,Biological sciences,04',Bachelor's degrees,125,66,59
1979-1980,122755,San Jose State University,Business and management,05',Bachelor's degrees,1050,593,457
1979-1980,122755,San Jose State University,Fine and applied arts,10',Bachelor's degrees,299,113,186
1979-1980,122755,San Jose State University,Health Professions,12',Bachelor's degrees,335,25,310
1979-1980,122755,San Jose State University,Mathematics,17',Bachelor's degrees,56,36,20
1979-1980,228246,Southern Methodist University,Biological sciences,04',Bachelor's degrees,33,24,9
1979-1980,228246,Southern Methodist University,Physical sciences,19',Bachelor's degrees,41,18,23
1979-1980,228246,Southern Methodist University,Psychology,20',Bachelor's degrees,66,18,48
1979-1980,228246,Southern Methodist University,Social sciences,22',Bachelor's degrees,140,71,69
1979-1980,228246,Southern Methodist University,Computer and information sciences,07',Bachelor's degrees,9,8,1
1979-1980,228246,Southern Methodist University,Education,08',Bachelor's degrees,89,12,77
1979-1980,228246,Southern Methodist University,Engineering,09',Bachelor's degrees,92,83,9
1979-1980,228246,Southern Methodist University,Fine and applied arts,10',Bachelor's degrees,90,21,69
1979-1980,228246,Southern Methodist University,Mathematics,17',Bachelor's degrees,14,7,7
1979-1980,228246,Southern Methodist University,Letters,15',Bachelor's degrees,47,24,23
1979-1980,228246,Southern Methodist University,Area studies,03',Bachelor's degrees,4,1,3
1979-1980,228246,Southern Methodist University,Business and management,05',Bachelor's degrees,436,274,162
1979-1980,228246,Southern Methodist University,Communications,06',Bachelor's degrees,114,39,75
1979-1980,228246,Southern Methodist University,Foreign languages-,11',Bachelor's degrees,14,2,12
1979-1980,228246,Southern Methodist University,Health Professions,12',Bachelor's degrees,12,0,12
1979-1980,243744,Stanford University,Biological sciences,04',Bachelor's degrees,327,176,151
1979-1980,243744,Stanford University,Letters,15',Bachelor's degrees,131,62,69
1979-1980,243744,Stanford University,Psychology,20',Bachelor's degrees,100,53,47
1979-1980,243744,Stanford University,Area studies,03',Bachelor's degrees,33,12,21
1979-1980,243744,Stanford University,Mathematics,17',Bachelor's degrees,36,26,10
1979-1980,243744,Stanford University,Communications,06',Bachelor's degrees,59,25,34
1979-1980,243744,Stanford University,Engineering,09',Bachelor's degrees,240,190,50
1979-1980,243744,Stanford University,Fine and applied arts,10',Bachelor's degrees,58,19,39
1979-1980,243744,Stanford University,Physical sciences,19',Bachelor's degrees,108,74,34
1979-1980,243744,Stanford University,Social sciences,22',Bachelor's degrees,486,301,185
1979-1980,243744,Stanford University,Foreign languages-,11',Bachelor's degrees,29,9,20
1979-1980,243744,Stanford University,Health Professions,12',Bachelor's degrees,1,1,0
1979-1980,243744,Stanford University,Interdisciplinary studies,49',Bachelor's degrees,32,19,13
1979-1980,228723,Texas A & M University-College Station,Architecture and environmental design,02',Bachelor's degrees,250,219,31
1979-1980,228723,Texas A & M University-College Station,Mathematics,17',Bachelor's degrees,24,15,9
1979-1980,228723,Texas A & M University-College Station,Agriculture and national resources,01',Bachelor's degrees,777,531,246
1979-1980,228723,Texas A & M University-College Station,Biological sciences,04',Bachelor's degrees,432,257,175
1979-1980,228723,Texas A & M University-College Station,Communications,06',Bachelor's degrees,67,22,45
1979-1980,228723,Texas A & M University-College Station,Education,08',Bachelor's degrees,515,152,363
1979-1980,228723,Texas A & M University-College Station,Engineering,09',Bachelor's degrees,1302,1172,130
1979-1980,228723,Texas A & M University-College Station,Letters,15',Bachelor's degrees,60,17,43
1979-1980,228723,Texas A & M University-College Station,Physical sciences,19',Bachelor's degrees,144,119,25
1979-1980,228723,Texas A & M University-College Station,Social sciences,22',Bachelor's degrees,256,144,112
1979-1980,228723,Texas A & M University-College Station,Health Professions,12',Bachelor's degrees,146,78,68
1979-1980,228723,Texas A & M University-College Station,Business and management,05',Bachelor's degrees,883,506,377
1979-1980,228723,Texas A & M University-College Station,Computer and information sciences,07',Bachelor's degrees,87,61,26
1979-1980,228723,Texas A & M University-College Station,Psychology,20',Bachelor's degrees,94,27,67
1979-1980,228723,Texas A & M University-College Station,Public affairs and services,21',Bachelor's degrees,65,33,32
1979-1980,100751,The University of Alabama,Engineering,09',Bachelor's degrees,224,197,27
1979-1980,100751,The University of Alabama,Home economics,13',Bachelor's degrees,122,1,121
1979-1980,100751,The University of Alabama,Library science,16',Bachelor's degrees,3,0,3
1979-1980,100751,The University of Alabama,Business and management,05',Bachelor's degrees,550,375,175
1979-1980,100751,The University of Alabama,Communications,06',Bachelor's degrees,269,123,146
1979-1980,100751,The University of Alabama,Computer and information sciences,07',Bachelor's degrees,7,4,3
1979-1980,100751,The University of Alabama,Interdisciplinary studies,49',Bachelor's degrees,14,5,9
1979-1980,100751,The University of Alabama,Law,14',Bachelor's degrees,26,19,7
