Year,unitid,Institution_Name,CIP_Classificaiton,Award_Level,Total,T.M,T.F
1987-1988,100858,Auburn University,Communications,Bachelor's degree,103,27,76
1987-1988,100858,Auburn University,Home Economics- General,Bachelor's degree,80,6,74
1987-1988,100858,Auburn University,Social Sciences and History,Bachelor's degree,148,99,49
1987-1988,100858,Auburn University,Agricultural Business and Production,Bachelor's degree,36,27,9
1987-1988,100858,Auburn University,Allied Health,Bachelor's degree,24,6,18
1987-1988,100858,Auburn University,Biological Science/Life Sciences,Bachelor's degree,62,31,31
1987-1988,100858,Auburn University,Business (Administrative Support),Bachelor's degree,11,0,11
1987-1988,100858,Auburn University,Business and Management,Bachelor's degree,830,538,292
1987-1988,100858,Auburn University,Computer and Information Sciences,Bachelor's degree,9,2,7
1987-1988,100858,Auburn University,Conservation and Renewable Natural Resources,Bachelor's degree,52,43,9
1987-1988,100858,Auburn University,Mathematics,Bachelor's degree,53,37,16
1987-1988,100858,Auburn University,Parks- Recreation- Leisure and Fitness Studies,Bachelor's degree,14,9,5
1987-1988,100858,Auburn University,Philosophy and Religion,Bachelor's degree,8,7,1
1987-1988,100858,Auburn University,Physical Sciences,Bachelor's degree,55,41,14
1987-1988,100858,Auburn University,Protective Services,Bachelor's degree,42,28,14
1987-1988,100858,Auburn University,Theological Studies and Religious Vocations,Bachelor's degree,1,0,1
1987-1988,100858,Auburn University,Architecture and Related Programs,Bachelor's degree,76,51,25
1987-1988,100858,Auburn University,Education,Bachelor's degree,443,110,333
1987-1988,100858,Auburn University,Engineering,Bachelor's degree,770,648,122
1987-1988,100858,Auburn University,English Language and Literature/Letters,Bachelor's degree,83,31,52
1987-1988,100858,Auburn University,Psychology,Bachelor's degree,70,23,47
1987-1988,100858,Auburn University,Visual and Performing Arts,Bachelor's degree,113,59,54
1987-1988,100858,Auburn University,Agricultural Sciences,Bachelor's degree,71,51,20
1987-1988,100858,Auburn University,Area- Ethnic and Cultural Studies,Bachelor's degree,1,1,0
1987-1988,100858,Auburn University,Foreign Languages and Literatures,Bachelor's degree,33,5,28
1987-1988,100858,Auburn University,Health Sciences,Bachelor's degree,160,39,121
1987-1988,100858,Auburn University,Marketing Operations/Marketing and Distribution,Bachelor's degree,30,2,28
1987-1988,100858,Auburn University,Public Administration and Services,Bachelor's degree,48,12,36
1987-1988,100858,Auburn University,Science Technologies,Bachelor's degree,11,5,6
1987-1988,142115,Boise State University,Biological Science/Life Sciences,Bachelor's degree,9,5,4
1987-1988,142115,Boise State University,Communications,Bachelor's degree,49,20,29
1987-1988,142115,Boise State University,Engineering,Bachelor's degree,5,1,4
1987-1988,142115,Boise State University,Transporation and Material Moving Workers,Bachelor's degree,4,4,0
1987-1988,142115,Boise State University,Visual and Performing Arts,Bachelor's degree,47,15,32
1987-1988,142115,Boise State University,Business and Management,Bachelor's degree,228,117,111
