Year,unitid,Institution_Name,Award_Level,CIP_Classificaiton,cipcode,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.F
1994-1995,100751,The University of Alabama,Bachelor's degree,Biological Sciences/Life Sciences,'26.0000',63,37,26,58,34,24,2,0,2,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0
1994-1995,100751,The University of Alabama,Bachelor's degree,Communications,'09.0000',309,148,161,275,130,145,23,12,11,4,2,2,3,3,0,0,0,0,1,1,0,3,0,3
1994-1995,100751,The University of Alabama,Bachelor's degree,Engineering,'14.0000',206,171,35,151,135,16,25,11,14,2,2,0,5,3,2,4,3,1,1,0,1,18,17,1
1994-1995,100751,The University of Alabama,Bachelor's degree,Foreign Languages and Literatures,'16.0000',20,6,14,17,5,12,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1994-1995,100858,Auburn University,Bachelor's degree,Architecture and Related Programs,'04.0000',89,54,35,84,51,33,1,1,0,1,1,0,3,1,2,0,0,0,0,0,0,0,0,0
1994-1995,100858,Auburn University,Bachelor's degree,Biological Sciences/Life Sciences,'26.0000',142,73,69,138,71,67,1,1,0,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0
1994-1995,100858,Auburn University,Bachelor's degree,Engineering,'14.0000',755,629,126,707,597,110,19,11,8,4,2,2,14,9,5,3,3,0,0,0,0,8,7,1
1994-1995,100858,Auburn University,Bachelor's degree,Health Professions and Related Sciences,'51.0000',253,53,200,235,49,186,9,1,8,2,1,1,5,2,3,0,0,0,0,0,0,2,0,2
1994-1995,100858,Auburn University,Bachelor's degree,Philosophy and Religion,'38.0000',4,2,2,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994-1995,122755,San Jose State University,Bachelor's degree,Conservation and Renew. Natural Resources,'03.0000',69,29,40,50,21,29,1,0,1,6,1,5,5,3,2,2,0,2,5,4,1,0,0,0
1994-1995,122755,San Jose State University,Bachelor's degree,Home Economics,'19.0000',36,6,30,22,3,19,0,0,0,4,0,4,6,2,4,0,0,0,2,1,1,2,0,2
1994-1995,122755,San Jose State University,Bachelor's degree,Philosophy and Religion,'38.0000',12,6,6,9,4,5,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0
1994-1995,122755,San Jose State University,Bachelor's degree,Protective Services,'43.0000',136,86,50,68,36,32,10,8,2,25,14,11,22,20,2,1,1,0,10,7,3,0,0,0
1994-1995,122755,San Jose State University,Bachelor's degree,Public Administration and Services,'44.0000',50,10,40,18,2,16,3,0,3,16,5,11,11,3,8,0,0,0,2,0,2,0,0,0
1994-1995,122755,San Jose State University,Bachelor's degree,Social Sciences and History,'45.0000',351,189,162,201,107,94,18,12,6,52,31,21,38,16,22,3,2,1,35,18,17,4,3,1
1994-1995,123961,University of Southern California,Bachelor's degree,Computer and Information Sciences,'11.0000',38,30,8,11,9,2,3,1,2,1,0,1,10,10,0,0,0,0,4,4,0,9,6,3
1994-1995,123961,University of Southern California,Bachelor's degree,Engineering-Related Technologies,'15.0000',7,4,3,4,2,2,0,0,0,0,0,0,2,2,0,0,0,0,1,0,1,0,0,0
1994-1995,123961,University of Southern California,Bachelor's degree,Home Economics,'19.0000',12,3,9,3,0,3,0,0,0,1,0,1,8,3,5,0,0,0,0,0,0,0,0,0
1994-1995,123961,University of Southern California,Bachelor's degree,Physical Sciences,'40.0000',15,10,5,10,7,3,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,1,1,0
1994-1995,131496,Georgetown University,Bachelor's degree,Area- Ethnic and Cultural Studies,'05.0000',21,11,10,20,10,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994-1995,131496,Georgetown University,Bachelor's degree,Biological Sciences/Life Sciences,'26.0000',59,28,31,44,22,22,3,2,1,3,1,2,6,2,4,0,0,0,1,1,0,2,0,2
1994-1995,131496,Georgetown University,Bachelor's degree,Computer and Information Sciences,'11.0000',7,4,3,4,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
1994-1995,131496,Georgetown University,Bachelor's degree,Liberal/General Studies and Humanities,'24.0000',24,7,17,19,5,14,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,2,2,0
1994-1995,131496,Georgetown University,Bachelor's degree,Mathematics,'27.0000',8,6,2,4,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,3,0
1994-1995,100751,The University of Alabama,Bachelor's degree,Area- Ethnic and Cultural Studies,'05.0000',19,5,14,17,5,12,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1994-1995,100751,The University of Alabama,Bachelor's degree,Education,'13.0000',409,95,314,380,87,293,21,3,18,1,1,0,1,1,0,1,1,0,0,0,0,5,2,3
1994-1995,100751,The University of Alabama,Bachelor's degree,Mathematics,'27.0000',14,5,9,13,5,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994-1995,100751,The University of Alabama,Bachelor's degree,Parks- Recreation- Leisure and Fitness,'31.0000',11,8,3,10,7,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994-1995,100751,The University of Alabama,Bachelor's degree,Philosophy and Religion,'38.0000',2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1994-1995,100751,The University of Alabama,Bachelor's degree,Social Sciences and History,'45.0000',238,165,73,215,152,63,15,6,9,3,2,1,2,2,0,0,0,0,0,0,0,3,3,0
1994-1995,100751,The University of Alabama,Bachelor's degree,Visual and Performing Arts,'50.0000',120,27,93,115,25,90,4,1,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1994-1995,100858,Auburn University,Bachelor's degree,Business Management and Admin. Services,'52.0000',914,549,365,853,517,336,37,17,20,6,4,2,13,9,4,3,1,2,0,0,0,2,1,1
1994-1995,100858,Auburn University,Bachelor's degree,Communications,'09.0000',126,60,66,120,57,63,4,1,3,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0
1994-1995,100858,Auburn University,Bachelor's degree,Computer and Information Sciences,'11.0000',12,8,4,12,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994-1995,100858,Auburn University,Bachelor's degree,English Language and Literature/Letters,'23.0000',105,43,62,99,42,57,4,1,3,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
1994-1995,100858,Auburn University,Bachelor's degree,Protective Services,'43.0000',63,48,15,58,45,13,4,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1994-1995,100858,Auburn University,Bachelor's degree,Social Sciences and History,'45.0000',188,121,67,167,109,58,18,10,8,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0
1994-1995,122755,San Jose State University,Bachelor's degree,Biological Sciences/Life Sciences,'26.0000',77,28,49,38,17,21,3,0,3,6,1,5,20,7,13,0,0,0,8,3,5,2,0,2
1994-1995,122755,San Jose State University,Bachelor's degree,Computer and Information Sciences,'11.0000',106,60,46,26,16,10,1,0,1,3,1,2,50,26,24,0,0,0,3,3,0,23,14,9
1994-1995,122755,San Jose State University,Bachelor's degree,Foreign Languages and Literatures,'16.0000',29,8,21,13,3,10,0,0,0,7,2,5,4,2,2,0,0,0,4,1,3,1,0,1
1994-1995,122755,San Jose State University,Bachelor's degree,Multi/Interdisciplinary Studies,'30.0000',20,7,13,15,5,10,0,0,0,0,0,0,1,0,1,1,1,0,3,1,2,0,0,0
1994-1995,122755,San Jose State University,Bachelor's degree,Psychology,'42.0000',231,64,167,137,38,99,11,3,8,34,6,28,21,8,13,2,0,2,25,9,16,1,0,1
1994-1995,123961,University of Southern California,Bachelor's degree,Architecture and Related Programs,'04.0000',85,63,22,38,29,9,4,4,0,6,5,1,27,17,10,2,2,0,0,0,0,8,6,2
1994-1995,123961,University of Southern California,Bachelor's degree,Biological Sciences/Life Sciences,'26.0000',117,57,60,64,33,31,0,0,0,16,7,9,31,14,17,0,0,0,0,0,0,6,3,3
1994-1995,123961,University of Southern California,Bachelor's degree,Communications Technologies,'10.0000',111,76,35,86,60,26,5,3,2,6,4,2,5,2,3,0,0,0,4,4,0,5,3,2
1994-1995,123961,University of Southern California,Bachelor's degree,English Language and Literature/Letters,'23.0000',142,60,82,99,44,55,7,2,5,16,5,11,15,6,9,1,1,0,2,1,1,2,1,1
1994-1995,123961,University of Southern California,Bachelor's degree,Mathematics,'27.0000',14,8,6,7,5,2,2,1,1,1,1,0,4,1,3,0,0,0,0,0,0,0,0,0
1994-1995,123961,University of Southern California,Bachelor's degree,Psychology,'42.0000',113,33,80,65,15,50,8,0,8,15,7,8,21,9,12,0,0,0,3,2,1,1,0,1
1994-1995,100751,The University of Alabama,Bachelor's degree,Computer and Information Sciences,'11.0000',17,14,3,11,9,2,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994-1995,100751,The University of Alabama,Bachelor's degree,English Language and Literature/Letters,'23.0000',100,46,54,88,42,46,8,1,7,1,1,0,0,0,0,1,1,0,0,0,0,2,1,1
1994-1995,100751,The University of Alabama,Bachelor's degree,Liberal/General Studies and Humanities,'24.0000',1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994-1995,100751,The University of Alabama,Bachelor's degree,Physical Sciences,'40.0000',32,18,14,26,16,10,2,1,1,1,0,1,1,0,1,0,0,0,1,0,1,1,1,0
1994-1995,100751,The University of Alabama,Bachelor's degree,Psychology,'42.0000',103,28,75,91,26,65,10,1,9,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1
1994-1995,100751,The University of Alabama,Bachelor's degree,Public Administration and Services,'44.0000',29,6,23,25,4,21,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994-1995,100858,Auburn University,Bachelor's degree,Agricultural Business and Production,'01.0000',37,31,6,36,30,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994-1995,100858,Auburn University,Bachelor's degree,Agricultural Sciences,'02.0000',114,75,39,112,75,37,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1994-1995,100858,Auburn University,Bachelor's degree,Conservation and Renew. Natural Resources,'03.0000',119,85,34,119,85,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994-1995,100858,Auburn University,Bachelor's degree,Education,'13.0000',459,104,355,441,96,345,16,7,9,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0
1994-1995,122755,San Jose State University,Bachelor's degree,Communications,'09.0000',280,128,152,161,76,85,16,7,9,27,11,16,42,22,20,2,0,2,26,11,15,6,1,5
1994-1995,122755,San Jose State University,Bachelor's degree,Engineering,'14.0000',419,345,74,126,102,24,12,10,2,25,21,4,208,171,37,2,2,0,41,34,7,5,5,0
1994-1995,122755,San Jose State University,Bachelor's degree,Engineering-Related Technologies,'15.0000',221,189,32,110,100,10,4,3,1,13,12,1,64,51,13,2,2,0,23,19,4,5,2,3
1994-1995,122755,San Jose State University,Bachelor's degree,Liberal/General Studies and Humanities,'24.0000',131,19,112,87,15,72,1,0,1,20,2,18,8,1,7,0,0,0,15,1,14,0,0,0
1994-1995,122755,San Jose State University,Bachelor's degree,Mathematics,'27.0000',28,17,11,10,7,3,0,0,0,5,1,4,5,3,2,1,1,0,6,4,2,1,1,0
1994-1995,122755,San Jose State University,Bachelor's degree,Parks- Recreation- Leisure and Fitness,'31.0000',37,15,22,25,13,12,2,0,2,4,0,4,1,1,0,1,0,1,4,1,3,0,0,0
1994-1995,123961,University of Southern California,Bachelor's degree,Area- Ethnic and Cultural Studies,'05.0000',5,3,2,3,2,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
1994-1995,123961,University of Southern California,Bachelor's degree,Business Management and Admin. Services,'52.0000',961,610,351,487,354,133,35,15,20,74,44,30,234,128,106,3,2,1,14,8,6,114,59,55
1994-1995,123961,University of Southern California,Bachelor's degree,Foreign Languages and Literatures,'16.0000',53,18,35,31,9,22,0,0,0,5,2,3,9,3,6,0,0,0,0,0,0,8,4,4
1994-1995,123961,University of Southern California,Bachelor's degree,Health Professions and Related Sciences,'51.0000',92,1,91,60,1,59,4,0,4,10,0,10,14,0,14,1,0,1,2,0,2,1,0,1
1994-1995,131496,Georgetown University,Bachelor's degree,English Language and Literature/Letters,'23.0000',128,51,77,104,41,63,11,3,8,2,0,2,1,0,1,2,1,1,3,1,2,5,5,0
1994-1995,131496,Georgetown University,Bachelor's degree,Philosophy and Religion,'38.0000',25,13,12,19,8,11,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,4,3,1
1994-1995,131496,Georgetown University,Bachelor's degree,Social Sciences and History,'45.0000',624,321,303,439,239,200,47,17,30,29,13,16,29,15,14,0,0,0,8,3,5,72,34,38
1994-1995,131496,Georgetown University,Bachelor's degree,Visual and Performing Arts,'50.0000',16,6,10,12,4,8,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,2,1,1
1994-1995,100751,The University of Alabama,Bachelor's degree,Architecture and Related Programs,'04.0000',10,8,2,10,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994-1995,100751,The University of Alabama,Bachelor's degree,Business Management and Admin. Services,'52.0000',770,490,280,669,436,233,59,26,33,8,5,3,4,2,2,2,2,0,4,3,1,24,16,8
1994-1995,100751,The University of Alabama,Bachelor's degree,Health Professions and Related Sciences,'51.0000',218,51,167,184,42,142,31,8,23,0,0,0,0,0,0,2,1,1,1,0,1,0,0,0
