Year,unitid,Institution_Name,Award_Level,CIP_Classificaiton,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.F
1994-1995,100858,Auburn University,Bachelor's degree,Agricultural Business and Production,55,48,7,53,47,6,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1994-1995,100858,Auburn University,Bachelor's degree,Agricultural Sciences,116,76,40,112,75,37,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994-1995,100858,Auburn University,Bachelor's degree,Architecture and Related Programs,69,49,20,61,43,18,3,1,2,3,3,0,1,1,0,0,0,0,0,0,0,1,1,0
1994-1995,100858,Auburn University,Bachelor's degree,Area- Ethnic and Cultural Studies,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994-1995,100858,Auburn University,Bachelor's degree,Biological Science/Life Sciences,150,78,72,143,77,66,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,1,1,0
1994-1995,100858,Auburn University,Bachelor's degree,Business Management and Administrative Services,716,432,284,665,409,256,38,15,23,7,5,2,5,3,2,0,0,0,0,0,0,1,0,1
1994-1995,100858,Auburn University,Bachelor's degree,Communications,134,50,84,128,46,82,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
1994-1995,100858,Auburn University,Bachelor's degree,Computer and Information Sciences,7,4,3,6,4,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994-1995,100858,Auburn University,Bachelor's degree,Conservation and Renewable Natural Resources,142,104,38,140,103,37,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0
1994-1995,100858,Auburn University,Bachelor's degree,Education,389,99,290,361,84,277,20,12,8,1,0,1,4,1,3,1,0,1,0,0,0,2,2,0
1994-1995,100858,Auburn University,Bachelor's degree,Engineering,685,572,113,649,545,104,21,14,7,1,0,1,11,10,1,0,0,0,0,0,0,3,3,0
1994-1995,100858,Auburn University,Bachelor's degree,English Language and Literature/Letters,110,47,63,108,46,62,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1994-1995,100858,Auburn University,Bachelor's degree,Foreign Languages and Literatures,22,7,15,18,6,12,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,1,0,1
1994-1995,100858,Auburn University,Bachelor's degree,Health Professions and Related Sciences,246,63,183,227,57,170,10,3,7,1,0,1,4,2,2,1,1,0,0,0,0,3,0,3
1994-1995,100858,Auburn University,Bachelor's degree,Home Economics- General,94,5,89,88,4,84,3,1,2,0,0,0,1,0,1,2,0,2,0,0,0,0,0,0
1994-1995,100858,Auburn University,Bachelor's degree,Marketing Operations/Marketing and Distribution,20,1,19,18,1,17,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
1994-1995,100858,Auburn University,Bachelor's degree,Mathematics,22,12,10,20,12,8,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1994-1995,100858,Auburn University,Bachelor's degree,Parks- Recreation- Leisure and Fitness Studies,7,2,5,7,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994-1995,100858,Auburn University,Bachelor's degree,Philosophy and Religion,7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994-1995,100858,Auburn University,Bachelor's degree,Physical Sciences,33,25,8,31,23,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994-1995,100858,Auburn University,Bachelor's degree,Protective Services,56,41,15,48,35,13,6,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1994-1995,100858,Auburn University,Bachelor's degree,Psychology,147,47,100,138,47,91,5,0,5,1,0,1,1,0,1,2,0,2,0,0,0,0,0,0
1994-1995,100858,Auburn University,Bachelor's degree,Public Administration and Services,45,15,30,39,13,26,5,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1994-1995,100858,Auburn University,Bachelor's degree,Science Technologies,11,2,9,10,2,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994-1995,100858,Auburn University,Bachelor's degree,Social Sciences and History,158,93,65,144,82,62,10,7,3,2,2,0,0,0,0,1,1,0,0,0,0,1,1,0
1994-1995,100858,Auburn University,Bachelor's degree,Visual and Performing Arts,85,51,34,83,49,34,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1994-1995,142115,Boise State University,Bachelor's degree,Area- Ethnic and Cultural Studies,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994-1995,142115,Boise State University,Bachelor's degree,Biological Science/Life Sciences,35,15,20,28,12,16,0,0,0,1,0,1,2,1,1,1,0,1,3,2,1,0,0,0
1994-1995,142115,Boise State University,Bachelor's degree,Business Management and Administrative Services,250,143,107,221,121,100,1,1,0,6,4,2,7,5,2,1,0,1,10,8,2,4,4,0
1994-1995,142115,Boise State University,Bachelor's degree,Communications,58,24,34,44,14,30,2,2,0,2,1,1,3,3,0,0,0,0,3,2,1,4,2,2
1994-1995,142115,Boise State University,Bachelor's degree,Computer and Information Sciences,46,32,14,30,21,9,0,0,0,4,2,2,2,1,1,0,0,0,5,4,1,5,4,1
1994-1995,142115,Boise State University,Bachelor's degree,Construction Trades,15,15,0,12,12,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0
1994-1995,142115,Boise State University,Bachelor's degree,Education,229,54,175,210,48,162,0,0,0,8,2,6,1,0,1,0,0,0,10,4,6,0,0,0
1994-1995,142115,Boise State University,Bachelor's degree,English Language and Literature/Letters,28,9,19,25,7,18,0,0,0,2,2,0,0,0,0,0,0,0,1,0,1,0,0,0
1994-1995,142115,Boise State University,Bachelor's degree,Foreign Languages and Literatures,9,4,5,5,2,3,0,0,0,1,1,0,0,0,0,0,0,0,3,1,2,0,0,0
1994-1995,142115,Boise State University,Bachelor's degree,Health Professions and Related Sciences,115,32,83,99,26,73,0,0,0,1,0,1,1,0,1,3,1,2,9,3,6,2,2,0
1994-1995,142115,Boise State University,Bachelor's degree,Marketing Operations/Marketing and Distribution,17,13,4,15,12,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0
1994-1995,142115,Boise State University,Bachelor's degree,Mathematics,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994-1995,142115,Boise State University,Bachelor's degree,Multi/Interdisciplinary Studies,49,31,18,38,24,14,0,0,0,2,0,2,0,0,0,1,1,0,5,4,1,3,2,1
1994-1995,142115,Boise State University,Bachelor's degree,Parks- Recreation- Leisure and Fitness Studies,30,16,14,29,16,13,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1994-1995,142115,Boise State University,Bachelor's degree,Philosophy and Religion,3,2,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994-1995,142115,Boise State University,Bachelor's degree,Physical Sciences,14,11,3,7,6,1,0,0,0,2,1,1,2,2,0,0,0,0,2,1,1,1,1,0
1994-1995,142115,Boise State University,Bachelor's degree,Protective Services,49,35,14,42,31,11,1,1,0,5,2,3,0,0,0,0,0,0,1,1,0,0,0,0
1994-1995,142115,Boise State University,Bachelor's degree,Psychology,49,12,37,46,11,35,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0
1994-1995,142115,Boise State University,Bachelor's degree,Public Administration and Services,48,11,37,44,9,35,0,0,0,1,0,1,0,0,0,0,0,0,3,2,1,0,0,0
1994-1995,142115,Boise State University,Bachelor's degree,Social Sciences and History,142,79,63,111,59,52,0,0,0,9,5,4,1,0,1,1,0,1,17,12,5,3,3,0
1994-1995,142115,Boise State University,Bachelor's degree,Transporation and Material Moving Workers,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994-1995,142115,Boise State University,Bachelor's degree,Visual and Performing Arts,61,17,44,51,15,36,1,0,1,0,0,0,0,0,0,1,0,1,8,2,6,0,0,0
1994-1995,217882,Clemson University,Bachelor's degree,Agricultural Business and Production,69,57,12,68,56,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1994-1995,217882,Clemson University,Bachelor's degree,Agricultural Sciences,77,47,30,75,46,29,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1
1994-1995,217882,Clemson University,Bachelor's degree,Architecture and Related Programs,112,80,32,106,78,28,3,2,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1
1994-1995,217882,Clemson University,Bachelor's degree,Biological Science/Life Sciences,121,60,61,103,54,49,12,4,8,0,0,0,3,0,3,0,0,0,3,2,1,0,0,0
1994-1995,217882,Clemson University,Bachelor's degree,Business Management and Administrative Services,489,286,203,436,264,172,35,13,22,3,3,0,7,2,5,0,0,0,5,3,2,3,1,2
1994-1995,217882,Clemson University,Bachelor's degree,Computer and Information Sciences,58,45,13,46,38,8,10,7,3,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
1994-1995,217882,Clemson University,Bachelor's degree,Conservation and Renewable Natural Resources,30,25,5,26,22,4,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994-1995,217882,Clemson University,Bachelor's degree,Education,338,79,259,308,68,240,28,10,18,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
1994-1995,217882,Clemson University,Bachelor's degree,Engineering,469,387,82,405,345,60,40,21,19,0,0,0,5,3,2,0,0,0,13,12,1,6,6,0
1994-1995,217882,Clemson University,Bachelor's degree,English Language and Literature/Letters,85,32,53,78,30,48,4,1,3,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0
1994-1995,217882,Clemson University,Bachelor's degree,Foreign Languages and Literatures,51,20,31,42,17,25,3,2,1,1,1,0,2,0,2,1,0,1,0,0,0,2,0,2
1994-1995,217882,Clemson University,Bachelor's degree,Health Professions and Related Sciences,185,24,161,163,21,142,17,2,15,1,1,0,2,0,2,1,0,1,1,0,1,0,0,0
1994-1995,217882,Clemson University,Bachelor's degree,Mathematics,18,7,11,16,7,9,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994-1995,217882,Clemson University,Bachelor's degree,Parks- Recreation- Leisure and Fitness Studies,82,41,41,73,35,38,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
1994-1995,217882,Clemson University,Bachelor's degree,Physical Sciences,45,31,14,42,28,14,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
1994-1995,217882,Clemson University,Bachelor's degree,Psychology,81,22,59,69,20,49,10,2,8,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
1994-1995,217882,Clemson University,Bachelor's degree,Social Sciences and History,179,106,73,154,99,55,18,4,14,2,0,2,1,1,0,0,0,0,4,2,2,0,0,0
1994-1995,217882,Clemson University,Bachelor's degree,Visual and Performing Arts,48,25,23,42,21,21,3,1,2,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0
1994-1995,198419,Duke University,Bachelor's degree,Area- Ethnic and Cultural Studies,48,15,33,34,13,21,5,1,4,8,1,7,1,0,1,0,0,0,0,0,0,0,0,0
1994-1995,198419,Duke University,Bachelor's degree,Biological Science/Life Sciences,215,109,106,150,71,79,12,6,6,8,3,5,44,28,16,0,0,0,0,0,0,1,1,0
1994-1995,198419,Duke University,Bachelor's degree,Computer and Information Sciences,20,14,6,16,13,3,1,0,1,1,1,0,2,0,2,0,0,0,0,0,0,0,0,0
1994-1995,198419,Duke University,Bachelor's degree,Conservation and Renewable Natural Resources,29,11,18,26,8,18,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0
1994-1995,198419,Duke University,Bachelor's degree,Engineering,187,153,34,126,104,22,13,11,2,11,10,1,32,26,6,0,0,0,0,0,0,5,2,3
1994-1995,198419,Duke University,Bachelor's degree,English Language and Literature/Letters,126,50,76,105,42,63,9,3,6,3,1,2,7,3,4,0,0,0,0,0,0,2,1,1
1994-1995,198419,Duke University,Bachelor's degree,Foreign Languages and Literatures,34,13,21,31,12,19,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
1994-1995,198419,Duke University,Bachelor's degree,Mathematics,37,23,14,30,21,9,4,0,4,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0
1994-1995,198419,Duke University,Bachelor's degree,Multi/Interdisciplinary Studies,7,1,6,5,1,4,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1994-1995,198419,Duke University,Bachelor's degree,Philosophy and Religion,26,11,15,20,10,10,2,0,2,3,1,2,1,0,1,0,0,0,0,0,0,0,0,0
1994-1995,198419,Duke University,Bachelor's degree,Physical Sciences,65,37,28,42,24,18,8,1,7,2,2,0,12,9,3,0,0,0,0,0,0,1,1,0
1994-1995,198419,Duke University,Bachelor's degree,Psychology,144,46,98,108,35,73,16,6,10,8,0,8,10,5,5,0,0,0,0,0,0,2,0,2
1994-1995,198419,Duke University,Bachelor's degree,Public Administration and Services,102,45,57,84,40,44,11,2,9,4,3,1,3,0,3,0,0,0,0,0,0,0,0,0
1994-1995,198419,Duke University,Bachelor's degree,Social Sciences and History,415,258,157,314,202,112,47,27,20,27,14,13,20,11,9,1,1,0,0,0,0,6,3,3
1994-1995,198419,Duke University,Bachelor's degree,Visual and Performing Arts,39,9,30,34,9,25,2,0,2,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0
1994-1995,134097,Florida State University,Bachelor's degree,Area- Ethnic and Cultural Studies,13,6,7,6,3,3,0,0,0,2,1,1,3,0,3,0,0,0,0,0,0,2,2,0
1994-1995,134097,Florida State University,Bachelor's degree,Biological Science/Life Sciences,236,108,128,183,89,94,19,4,15,21,6,15,12,9,3,0,0,0,0,0,0,1,0,1
1994-1995,134097,Florida State University,Bachelor's degree,Business Management and Administrative Services,1003,599,404,838,514,324,68,22,46,46,33,13,29,14,15,1,1,0,0,0,0,21,15,6
1994-1995,134097,Florida State University,Bachelor's degree,Communications,236,87,149,198,75,123,21,7,14,12,4,8,4,1,3,1,0,1,0,0,0,0,0,0
1994-1995,134097,Florida State University,Bachelor's degree,Computer and Information Sciences,40,37,3,30,30,0,4,3,1,0,0,0,4,2,2,0,0,0,0,0,0,2,2,0
1994-1995,134097,Florida State University,Bachelor's degree,Education,522,152,370,450,131,319,38,11,27,24,6,18,7,3,4,3,1,2,0,0,0,0,0,0
1994-1995,134097,Florida State University,Bachelor's degree,Engineering,205,168,37,151,126,25,24,15,9,8,8,0,10,8,2,1,1,0,0,0,0,11,10,1
1994-1995,134097,Florida State University,Bachelor's degree,English Language and Literature/Letters,234,105,129,208,95,113,11,3,8,10,5,5,5,2,3,0,0,0,0,0,0,0,0,0
1994-1995,134097,Florida State University,Bachelor's degree,Foreign Languages and Literatures,56,16,40,40,12,28,5,0,5,10,4,6,1,0,1,0,0,0,0,0,0,0,0,0
1994-1995,134097,Florida State University,Bachelor's degree,Health Professions and Related Sciences,208,22,186,184,19,165,12,0,12,5,2,3,7,1,6,0,0,0,0,0,0,0,0,0
1994-1995,134097,Florida State University,Bachelor's degree,Home Economics- General,302,46,256,262,40,222,18,2,16,12,1,11,7,2,5,2,1,1,0,0,0,1,0,1
1994-1995,134097,Florida State University,Bachelor's degree,Liberal Arts and Studies- General Sciences and Humanities,35,14,21,32,12,20,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0
1994-1995,134097,Florida State University,Bachelor's degree,Mathematics,22,15,7,19,13,6,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0
1994-1995,134097,Florida State University,Bachelor's degree,Parks- Recreation- Leisure and Fitness Studies,35,10,25,34,9,25,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1994-1995,134097,Florida State University,Bachelor's degree,Philosophy and Religion,27,20,7,23,17,6,1,1,0,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0
1994-1995,134097,Florida State University,Bachelor's degree,Physical Sciences,90,67,23,82,62,20,4,2,2,2,2,0,2,1,1,0,0,0,0,0,0,0,0,0
1994-1995,134097,Florida State University,Bachelor's degree,Protective Services,444,292,152,358,250,108,50,22,28,31,17,14,4,3,1,0,0,0,0,0,0,1,0,1
1994-1995,134097,Florida State University,Bachelor's degree,Psychology,278,83,195,231,72,159,23,2,21,17,7,10,5,1,4,1,1,0,0,0,0,1,0,1
1994-1995,134097,Florida State University,Bachelor's degree,Public Administration and Services,132,15,117,99,12,87,24,1,23,6,1,5,3,1,2,0,0,0,0,0,0,0,0,0
1994-1995,134097,Florida State University,Bachelor's degree,Social Sciences and History,796,477,319,650,399,251,64,31,33,50,28,22,18,11,7,4,1,3,0,0,0,10,7,3
1994-1995,134097,Florida State University,Bachelor's degree,Visual and Performing Arts,311,118,193,278,105,173,8,3,5,17,10,7,5,0,5,0,0,0,0,0,0,3,0,3
1994-1995,131496,Georgetown University,Bachelor's degree,Area- Ethnic and Cultural Studies,23,11,12,21,11,10,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1994-1995,131496,Georgetown University,Bachelor's degree,Biological Science/Life Sciences,58,30,28,38,19,19,1,1,0,2,2,0,7,2,5,0,0,0,2,2,0,8,4,4
1994-1995,131496,Georgetown University,Bachelor's degree,Business Management and Administrative Services,312,195,117,193,130,63,21,7,14,14,7,7,17,12,5,5,1,4,3,3,0,59,35,24
1994-1995,131496,Georgetown University,Bachelor's degree,Computer and Information Sciences,4,4,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1994-1995,131496,Georgetown University,Bachelor's degree,English Language and Literature/Letters,137,65,72,114,58,56,9,1,8,3,1,2,4,3,1,0,0,0,4,1,3,3,1,2
1994-1995,131496,Georgetown University,Bachelor's degree,Foreign Languages and Literatures,117,25,92,89,21,68,5,1,4,8,0,8,6,1,5,0,0,0,1,0,1,8,2,6
1994-1995,131496,Georgetown University,Bachelor's degree,Health Professions and Related Sciences,88,4,84,78,2,76,4,1,3,2,0,2,3,1,2,0,0,0,0,0,0,1,0,1
1994-1995,131496,Georgetown University,Bachelor's degree,Liberal Arts and Studies- General Sciences and Humanities,35,14,21,27,12,15,4,1,3,2,0,2,0,0,0,0,0,0,1,0,1,1,1,0
1994-1995,131496,Georgetown University,Bachelor's degree,Mathematics,5,2,3,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1994-1995,131496,Georgetown University,Bachelor's degree,Philosophy and Religion,23,12,11,19,11,8,0,0,0,2,1,1,0,0,0,0,0,0,1,0,1,1,0,1
1994-1995,131496,Georgetown University,Bachelor's degree,Physical Sciences,14,8,6,7,3,4,0,0,0,0,0,0,5,3,2,0,0,0,0,0,0,2,2,0
1994-1995,131496,Georgetown University,Bachelor's degree,Psychology,91,30,61,62,24,38,16,4,12,3,1,2,2,0,2,0,0,0,2,0,2,6,1,5
1994-1995,131496,Georgetown University,Bachelor's degree,Social Sciences and History,640,333,307,442,250,192,34,8,26,32,17,15,60,26,34,0,0,0,11,3,8,61,29,32
1994-1995,131496,Georgetown University,Bachelor's degree,Visual and Performing Arts,15,5,10,13,4,9,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1994-1995,155399,Kansas State University,Bachelor's degree,Agricultural Business and Production,119,107,12,115,103,12,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,3,0
1994-1995,155399,Kansas State University,Bachelor's degree,Agricultural Sciences,194,135,59,186,128,58,1,1,0,2,1,1,1,1,0,0,0,0,0,0,0,4,4,0
1994-1995,155399,Kansas State University,Bachelor's degree,Architecture and Related Programs,108,85,23,95,76,19,2,1,1,0,0,0,4,2,2,1,1,0,0,0,0,6,5,1
1994-1995,155399,Kansas State University,Bachelor's degree,Biological Science/Life Sciences,178,91,87,163,86,77,4,0,4,5,3,2,3,0,3,2,1,1,0,0,0,1,1,0
1994-1995,155399,Kansas State University,Bachelor's degree,Business Management and Administrative Services,507,262,245,457,235,222,8,2,6,11,6,5,10,6,4,3,1,2,0,0,0,18,12,6
1994-1995,155399,Kansas State University,Bachelor's degree,Communications,143,70,73,131,65,66,2,1,1,5,1,4,0,0,0,0,0,0,0,0,0,5,3,2
1994-1995,155399,Kansas State University,Bachelor's degree,Computer and Information Sciences,23,21,2,20,18,2,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1994-1995,155399,Kansas State University,Bachelor's degree,Education,447,122,325,429,119,310,5,2,3,7,1,6,2,0,2,3,0,3,0,0,0,1,0,1
1994-1995,155399,Kansas State University,Bachelor's degree,Engineering,310,264,46,263,222,41,4,2,2,3,2,1,19,18,1,1,1,0,0,0,0,20,19,1
1994-1995,155399,Kansas State University,Bachelor's degree,Engineering-Related Technologies,54,52,2,50,49,1,3,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1994-1995,155399,Kansas State University,Bachelor's degree,English Language and Literature/Letters,38,8,30,36,8,28,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1994-1995,155399,Kansas State University,Bachelor's degree,Foreign Languages and Literatures,22,3,19,20,3,17,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1994-1995,155399,Kansas State University,Bachelor's degree,Health Professions and Related Sciences,59,22,37,57,21,36,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
1994-1995,155399,Kansas State University,Bachelor's degree,Home Economics- General,152,19,133,145,18,127,3,0,3,0,0,0,2,0,2,0,0,0,0,0,0,2,1,1
1994-1995,155399,Kansas State University,Bachelor's degree,Liberal Arts and Studies- General Sciences and Humanities,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994-1995,155399,Kansas State University,Bachelor's degree,Mathematics,18,14,4,14,10,4,1,1,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0
1994-1995,155399,Kansas State University,Bachelor's degree,Parks- Recreation- Leisure and Fitness Studies,101,53,48,95,51,44,4,1,3,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1
1994-1995,155399,Kansas State University,Bachelor's degree,Philosophy and Religion,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994-1995,155399,Kansas State University,Bachelor's degree,Physical Sciences,37,28,9,35,27,8,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1994-1995,155399,Kansas State University,Bachelor's degree,Psychology,100,42,58,95,40,55,2,0,2,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0
1994-1995,155399,Kansas State University,Bachelor's degree,Public Administration and Services,38,5,33,34,5,29,2,0,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
1994-1995,155399,Kansas State University,Bachelor's degree,Social Sciences and History,267,170,97,248,161,87,11,6,5,5,2,3,2,1,1,0,0,0,0,0,0,1,0,1
1994-1995,155399,Kansas State University,Bachelor's degree,Visual and Performing Arts,101,31,70,93,30,63,3,0,3,1,0,1,2,1,1,0,0,0,0,0,0,2,0,2
1994-1995,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Agricultural Business and Production,32,23,9,21,15,6,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,8,7,1
1994-1995,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Agricultural Sciences,31,27,4,21,17,4,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,8,8,0
1994-1995,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Architecture and Related Programs,109,60,49,101,55,46,3,1,2,2,2,0,1,1,0,0,0,0,1,1,0,1,0,1
1994-1995,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Area- Ethnic and Cultural Studies,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994-1995,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Biological Science/Life Sciences,175,93,82,147,85,62,7,2,5,5,1,4,9,3,6,1,0,1,4,2,2,2,0,2
1994-1995,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Business Management and Administrative Services,528,286,242,433,243,190,23,7,16,8,4,4,26,13,13,0,0,0,2,1,1,36,18,18
1994-1995,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Communications,108,40,68,95,39,56,4,0,4,4,1,3,0,0,0,0,0,0,1,0,1,4,0,4
1994-1995,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Computer and Information Sciences,38,28,10,27,20,7,2,2,0,0,0,0,3,2,1,0,0,0,1,0,1,5,4,1
