Year,unitid,Institution_Name,Major,CIP_Classificaiton,cipcode,Award_Level,Total,T.M,T.F,T.AI,T.AI.M,T.AI.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.C,T.C.M,T.C.F,T.AS,T.AS.M,T.AS.W,T.PI,T.PI.M,T.PI.W,T.MIX,T.MIX.M,T.MIX.M,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W
2008-2009,100858,Auburn University,First major,Business- management- marketing- and related support services.,'52',Bachelor's degree,964,584,380,4,3,1,13,5,8,43,19,24,8,3,5,880,545,335,,,,,,,,,,8,5,3,8,4,4
2008-2009,100858,Auburn University,First major,English language and literature/letters.,'23',Bachelor's degree,164,36,128,2,1,1,2,0,2,12,2,10,4,1,3,144,32,112,,,,,,,,,,0,0,0,0,0,0
2008-2009,100858,Auburn University,First major,Family and consumer sciences/human sciences.,'19',Bachelor's degree,150,2,148,0,0,0,1,0,1,8,1,7,2,0,2,138,1,137,,,,,,,,,,0,0,0,1,0,1
2008-2009,100858,Auburn University,First major,Agriculture- agriculture operations- and related sciences.,'01',Bachelor's degree,186,117,69,2,1,1,2,1,1,3,0,3,3,2,1,175,113,62,,,,,,,,,,0,0,0,1,0,1
2008-2009,100858,Auburn University,First major,Biological and biomedical sciences.,'26',Bachelor's degree,238,111,127,1,1,0,7,4,3,9,3,6,2,1,1,213,99,114,,,,,,,,,,6,3,3,0,0,0
2008-2009,100858,Auburn University,First major,Health professions and related clinical sciences.,'51',Bachelor's degree,188,26,162,1,1,0,1,0,1,11,3,8,2,0,2,170,22,148,,,,,,,,,,2,0,2,1,0,1
2008-2009,100858,Auburn University,First major,History,'54',Bachelor's degree,55,31,24,0,0,0,0,0,0,4,2,2,0,0,0,51,29,22,,,,,,,,,,0,0,0,0,0,0
2008-2009,100858,Auburn University,First major,Multi/interdisciplinary studies.,'30',Bachelor's degree,24,1,23,0,0,0,1,1,0,1,0,1,0,0,0,22,0,22,,,,,,,,,,0,0,0,0,0,0
2008-2009,100858,Auburn University,First major,Philosophy and religious studies.,'38',Bachelor's degree,10,7,3,0,0,0,0,0,0,0,0,0,0,0,0,10,7,3,,,,,,,,,,0,0,0,0,0,0
2008-2009,100858,Auburn University,First major,Public administration and social service professions.,'44',Bachelor's degree,96,45,51,0,0,0,0,0,0,21,10,11,2,1,1,73,34,39,,,,,,,,,,0,0,0,0,0,0
