Year,unitid,Institution_Name,Major,CIP_Classificaiton,cipcode,Award_Level,Total,T.M,T.F,T.AI,T.AI.M,T.AI.F,T.AS,T.AS.M,T.AS.W,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.PI,T.PI.M,T.PI.F,T.C,T.C.M,T.C.F,T.MIX,T.MIX.M,T.MIX.M,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F
2010-2011,100751,The University of Alabama,First major,Area- Ethnic- Cultural- Gender- and Group Studies,'05',Bachelor's degree,12,4,8,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,11,3,8,0,0,0,0,0,0,0,0,0,0,0,0
2010-2011,100751,The University of Alabama,First major,Computer and Information Sciences and Support Services,'11',Bachelor's degree,19,16,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,18,15,3,0,0,0,0,0,0,0,0,0,0,0,0
2010-2011,100751,The University of Alabama,First major,English Language and Literature/Letters,'23',Bachelor's degree,85,28,57,0,0,0,1,0,1,10,3,7,2,0,2,0,0,0,72,25,47,0,0,0,0,0,0,0,0,0,1,0,1
2010-2011,100751,The University of Alabama,First major,Health Professions and Related Programs,'51',Bachelor's degree,457,89,368,4,1,3,3,1,2,54,12,42,7,1,6,0,0,0,386,72,314,0,0,0,0,0,0,3,2,1,3,1,2
2010-2011,100751,The University of Alabama,First major,Physical Sciences,'40',Bachelor's degree,54,39,15,0,0,0,1,1,0,4,1,3,1,1,0,0,0,0,48,36,12,0,0,0,0,0,0,0,0,0,1,1,0
2010-2011,100751,The University of Alabama,First major,Public Administration and Social Service Professions,'44',Bachelor's degree,48,7,41,0,0,0,0,0,0,12,1,11,2,0,2,0,0,0,32,6,26,2,0,2,0,0,0,0,0,0,0,0,0
2010-2011,100751,The University of Alabama,First major,Social Sciences,'45',Bachelor's degree,202,126,76,2,1,1,5,2,3,10,4,6,5,4,1,0,0,0,177,115,62,0,0,0,0,0,0,3,0,3,5,2,3
2010-2011,100858,Auburn University,First major,Business- Management- Marketing- and Related Support Services,'52',Bachelor's degree,923,560,363,4,3,1,20,12,8,44,16,28,11,8,3,0,0,0,825,509,316,0,0,0,8,4,4,11,8,3,20,12,8
2010-2011,100858,Auburn University,First major,Multi/Interdisciplinary Studies,'30',Bachelor's degree,58,12,46,1,0,1,1,0,1,3,1,2,1,1,0,0,0,0,52,10,42,0,0,0,0,0,0,0,0,0,1,0,1
2010-2011,100858,Auburn University,First major,Social Sciences,'45',Bachelor's degree,206,129,77,1,1,0,6,2,4,17,7,10,3,2,1,0,0,0,178,117,61,0,0,0,1,0,1,0,0,0,6,2,4
2010-2011,122755,San Jose State University,First major,Computer and Information Sciences and Support Services,'11',Bachelor's degree,68,58,10,0,0,0,30,26,4,1,0,1,1,1,0,0,0,0,19,18,1,0,0,0,11,9,2,6,4,2,30,26,4
2010-2011,122755,San Jose State University,First major,Education,'13',Bachelor's degree,172,13,159,1,0,1,42,4,38,5,1,4,38,4,34,2,0,2,68,3,65,5,0,5,10,1,9,1,0,1,44,4,40
2010-2011,122755,San Jose State University,First major,English Language and Literature/Letters,'23',Bachelor's degree,208,79,129,0,0,0,32,16,16,10,6,4,30,12,18,1,0,1,98,34,64,10,1,9,26,10,16,1,0,1,33,16,17
2010-2011,122755,San Jose State University,First major,Psychology,'42',Bachelor's degree,308,87,221,1,0,1,67,22,45,20,3,17,87,22,65,1,0,1,95,30,65,10,3,7,25,6,19,2,1,1,68,22,46
