Year,unitid,Institution_Name,Sport,Cohort_Data,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W
1999-2000,100751,The University of Alabama,All other sports,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),30,5,25,27,4,23,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
1999-2000,100751,The University of Alabama,All other sports,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,19,2,17,17,1,16,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
1999-2000,100751,The University of Alabama,Baseball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,100751,The University of Alabama,Basketball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),3,0,3,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,100751,The University of Alabama,Basketball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,3,0,3,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,100751,The University of Alabama,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),6,0,6,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
1999-2000,100751,The University of Alabama,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1999-2000,100751,The University of Alabama,Football,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),23,23,0,6,6,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,100751,The University of Alabama,Football,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,15,15,0,5,5,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,100858,Auburn University,All other sports,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),29,6,23,24,3,21,2,0,2,0,0,0,0,0,0,1,1,0,0,0,0,2,2,0
1999-2000,100858,Auburn University,All other sports,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,22,4,18,19,2,17,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0
1999-2000,100858,Auburn University,Baseball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),8,8,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,100858,Auburn University,Baseball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,100858,Auburn University,Baseball,Degree/certificate-seeking students (4-yr institution) Transfer-out students,5,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,100858,Auburn University,Basketball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),5,3,2,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1999-2000,100858,Auburn University,Basketball,Degree/certificate-seeking students (4-yr institution) Transfer-out students,2,0,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,100858,Auburn University,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),12,7,5,6,5,1,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,100858,Auburn University,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,8,6,2,5,4,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,100858,Auburn University,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Transfer-out students,2,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,100858,Auburn University,Football,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),21,21,0,4,4,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,100858,Auburn University,Football,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,8,8,0,1,1,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,100858,Auburn University,Football,Degree/certificate-seeking students (4-yr institution) Transfer-out students,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,122755,San Jose State University,All other sports,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),25,9,16,19,7,12,1,1,0,2,0,2,2,0,2,0,0,0,1,1,0,0,0,0
1999-2000,122755,San Jose State University,All other sports,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,15,3,12,12,2,10,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0
1999-2000,122755,San Jose State University,Baseball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),2,2,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,122755,San Jose State University,Baseball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,122755,San Jose State University,Basketball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),7,3,4,2,2,0,4,1,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1999-2000,122755,San Jose State University,Basketball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,122755,San Jose State University,Football,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),12,12,0,3,3,0,8,8,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1999-2000,122755,San Jose State University,Football,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,123961,University of Southern California,All other sports,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),20,1,19,14,0,14,0,0,0,3,0,3,1,0,1,0,0,0,0,0,0,2,1,1
