unitid,awlevel,crace15,crace16,cipcode
100654,5,32,3,"01000"
100654,5,6,6,"04000"
100654,5,74,60,"05000"
100654,5,8,4,"06000"
100654,5,19,11,"07000"
100654,5,36,137,"08000"
100654,5,141,1,"09000"
100654,5,1,1,"15000"
100654,5,1,1,"17000"
100654,5,8,0,"19000"
100654,5,4,5,"20000"
100654,5,1,10,"21000"
100654,5,30,14,"22000"
100654,5,361,253,"99000"
100654,7,21,2,"01000"
100654,7,0,1,"02000"
100654,7,5,3,"04000"
100654,7,40,16,"05000"
100654,7,2,0,"06000"
100654,7,6,0,"07000"
100654,7,7,80,"08000"
100654,7,6,0,"09000"
100654,7,0,4,"15000"
100654,7,1,17,"16000"
100654,7,0,6,"17000"
100654,7,0,4,"19000"
100654,7,4,1,"20000"
100654,7,1,3,"21000"
100654,7,16,3,"22000"
100654,7,109,140,"99000"
101709,5,5,4,"04000"
101709,5,100,70,"05000"
101709,5,12,5,"06000"
101709,5,35,103,"08000"
101709,5,13,23,"10000"
101709,5,0,2,"11000"
101709,5,3,25,"12000"
101709,5,0,14,"13000"
101709,5,3,9,"15000"
101709,5,2,4,"17000"
101709,5,2,4,"19000"
101709,5,4,7,"20000"
101709,5,1,22,"21000"
101709,5,18,7,"22000"
101709,5,1,1,"49000"
101709,5,199,300,"99000"
101709,7,2,0,"06000"
101709,7,39,70,"08000"
101709,7,4,0,"10000"
101709,7,0,8,"12000"
101709,7,1,5,"15000"
101709,7,0,3,"17000"
101709,7,2,1,"22000"
101709,7,48,87,"99000"
100724,5,6,4,"04000"
100724,5,55,55,"05000"
100724,5,4,3,"06000"
100724,5,17,19,"07000"
100724,5,35,171,"08000"
100724,5,18,9,"10000"
100724,5,0,2,"11000"
100724,5,3,9,"15000"
100724,5,5,3,"17000"
100724,5,4,3,"19000"
100724,5,7,15,"20000"
100724,5,39,79,"21000"
100724,5,21,14,"22000"
100724,5,214,386,"99000"
100724,7,2,7,"04000"
100724,7,55,144,"08000"
100724,7,5,7,"15000"
100724,7,1,7,"16000"
100724,7,7,4,"22000"
100724,7,70,169,"99000"
100812,5,0,4,"04000"
100812,5,104,53,"05000"
100812,5,7,0,"07000"
100812,5,59,75,"08000"
100812,5,0,2,"10000"
100812,5,1,4,"12000"
100812,5,4,4,"14000"
100812,5,2,5,"15000"
100812,5,4,3,"17000"
100812,5,21,0,"19000"
100812,5,7,12,"20000"
100812,5,15,2,"21000"
100812,5,10,18,"22000"
100812,5,9,1,"23000"
100812,5,243,183,"99000"
100858,5,212,49,"01000"
100858,5,189,20,"02000"
100858,5,60,34,"04000"
100858,5,474,284,"05000"
100858,5,15,36,"06000"
100858,5,101,370,"08000"
100858,5,455,40,"09000"
100858,5,27,45,"10000"
100858,5,6,37,"11000"
100858,5,75,94,"12000"
100858,5,1,125,"13000"
100858,5,22,67,"15000"
100858,5,11,8,"17000"
100858,5,63,8,"19000"
100858,5,20,40,"20000"
100858,5,48,32,"21000"
100858,5,50,51,"22000"
100858,5,3,5,"49000"
100858,5,1832,1345,"99000"
100858,7,63,8,"01000"
100858,7,2,0,"02000"
100858,7,12,5,"04000"
100858,7,21,9,"05000"
100858,7,1,0,"06000"
100858,7,56,163,"08000"
100858,7,56,4,"09000"
100858,7,1,3,"10000"
100858,7,0,5,"11000"
100858,7,13,27,"12000"
100858,7,3,11,"13000"
100858,7,8,21,"15000"
100858,7,3,1,"17000"
100858,7,5,2,"19000"
100858,7,7,2,"20000"
100858,7,8,12,"22000"
100858,7,259,273,"99000"
100858,9,20,0,"01000"
100858,9,9,3,"04000"
100858,9,28,14,"08000"
100858,9,9,0,"09000"
100858,9,3,11,"15000"
100858,9,3,0,"17000"
100858,9,0,1,"19000"
100858,9,3,4,"20000"
100858,9,3,3,"22000"
100858,9,78,36,"99000"
100858,10,88,27,"12180"
100858,10,88,27,"99000"
100937,5,19,12,"04000"
100937,5,48,28,"05000"
100937,5,9,24,"08000"
100937,5,9,12,"10000"
100937,5,0,1,"11000"
100937,5,11,4,"15000"
100937,5,1,2,"17000"
100937,5,8,2,"19000"
100937,5,4,5,"20000"
100937,5,16,13,"22000"
100937,5,10,4,"49000"
100937,5,135,107,"99000"
101879,5,0,4,"02000"
101879,5,19,18,"04000"
101879,5,117,84,"05000"
101879,5,5,7,"06000"
101879,5,51,127,"08000"
101879,5,25,17,"10000"
101879,5,1,45,"12000"
101879,5,0,15,"13000"
101879,5,8,22,"15000"
101879,5,3,2,"17000"
101879,5,15,5,"19000"
101879,5,5,5,"20000"
101879,5,16,46,"21000"
101879,5,36,25,"22000"
101879,5,301,422,"99000"
101879,7,5,0,"04000"
101879,7,12,3,"05000"
101879,7,65,161,"08000"
101879,7,82,164,"99000"
101435,5,8,3,"04000"
101435,5,18,11,"05000"
101435,5,6,14,"08000"
101435,5,2,4,"10000"
101435,5,0,1,"12000"
101435,5,6,4,"15000"
101435,5,2,2,"17000"
101435,5,3,0,"19000"
101435,5,1,5,"20000"
101435,5,0,4,"21000"
101435,5,6,8,"22000"
101435,5,1,7,"23000"
101435,5,53,63,"99000"
101480,5,13,20,"04000"
101480,5,129,95,"05000"
101480,5,1,1,"07000"
101480,5,62,207,"08000"
101480,5,8,6,"10000"
101480,5,1,2,"11000"
101480,5,5,59,"12000"
101480,5,3,12,"13000"
101480,5,4,24,"15000"
