unitid,awlevel,crace15,crace16,cipcode
101189,2,0,2,"50050"
101189,2,127,70,"56000"
101189,2,127,72,"99000"
100724,2,0,1,"50050"
100724,2,0,2,"55030"
100724,2,0,1,"55060"
100724,2,0,4,"99000"
100760,1,0,5,"50050"
100760,1,0,5,"99000"
100760,2,55,41,"56000"
100760,2,55,41,"99000"
100760,3,7,3,"50010"
100760,3,0,8,"50050"
100760,3,0,1,"52010"
100760,3,0,1,"52050"
100760,3,0,1,"52070"
100760,3,0,1,"52130"
100760,3,0,1,"52140"
100760,3,0,1,"52150"
100760,3,0,2,"52190"
100760,3,2,0,"53100"
100760,3,1,0,"55050"
100760,3,10,19,"99000"
101514,1,0,9,"50020"
101514,1,0,12,"50050"
101514,1,28,36,"50060"
101514,1,15,2,"53030"
101514,1,5,0,"53040"
101514,1,6,1,"53060"
101514,1,2,0,"53070"
101514,1,16,2,"53080"
101514,1,6,0,"53100"
101514,1,14,0,"53110"
101514,1,5,0,"53130"
101514,1,32,0,"53170"
101514,1,1,0,"53990"
101514,1,130,62,"99000"
101514,2,2,1,"50010"
101514,2,7,9,"50020"
101514,2,0,1,"50030"
101514,2,9,7,"50040"
101514,2,0,5,"50050"
101514,2,1,0,"50060"
101514,2,2,1,"50080"
101514,2,9,8,"50120"
101514,2,17,0,"50990"
101514,2,4,7,"51010"
101514,2,0,1,"52010"
101514,2,0,6,"52020"
101514,2,5,1,"52050"
101514,2,2,0,"52070"
101514,2,2,66,"52080"
101514,2,0,1,"52130"
101514,2,3,2,"52150"
101514,2,1,8,"52160"
101514,2,0,3,"52190"
101514,2,2,0,"53040"
101514,2,1,0,"53050"
101514,2,2,0,"53060"
101514,2,11,0,"53110"
101514,2,2,0,"53120"
101514,2,5,0,"53170"
101514,2,2,0,"54020"
101514,2,3,0,"55030"
101514,2,16,2,"55050"
101514,2,2,0,"55070"
101514,2,0,1,"55990"
101514,2,85,101,"56000"
101514,2,195,231,"99000"
101143,1,0,21,"50050"
101143,1,9,10,"51030"
101143,1,0,9,"52130"
101143,1,1,0,"54020"
101143,1,0,7,"55030"
101143,1,7,3,"55050"
101143,1,17,50,"99000"
101143,2,1,0,"50010"
101143,2,0,7,"50050"
101143,2,0,2,"50100"
101143,2,9,10,"51030"
101143,2,0,1,"52070"
101143,2,0,5,"52130"
101143,2,1,0,"54020"
101143,2,0,1,"55030"
101143,2,1,0,"55060"
101143,2,61,85,"56000"
101143,2,73,111,"99000"
101143,3,8,0,"53020"
101143,3,3,0,"53060"
101143,3,2,0,"53080"
101143,3,13,0,"99000"
101240,1,11,5,"55020"
101240,1,11,5,"99000"
101240,2,0,2,"50010"
101240,2,6,4,"50080"
101240,2,6,13,"51010"
101240,2,7,29,"52160"
101240,2,3,0,"53020"
101240,2,2,0,"54020"
101240,2,6,4,"55050"
101240,2,84,107,"56000"
101240,2,114,159,"99000"
101240,3,0,2,"50030"
101240,3,2,1,"50040"
101240,3,0,3,"50050"
101240,3,0,2,"52010"
101240,3,2,16,"52050"
101240,3,1,2,"52070"
101240,3,2,62,"52080"
101240,3,0,2,"52130"
101240,3,3,1,"52150"
101240,3,4,0,"52990"
101240,3,11,0,"53010"
101240,3,7,1,"54040"
101240,3,0,13,"55030"
101240,3,1,15,"55990"
101240,3,33,120,"99000"
101286,1,0,3,"50010"
101286,1,0,3,"50020"
101286,1,0,3,"50050"
101286,1,0,7,"50060"
101286,1,3,1,"50090"
101286,1,2,16,"52090"
101286,1,6,3,"52120"
101286,1,6,1,"53030"
101286,1,5,0,"53040"
101286,1,10,0,"53060"
101286,1,8,0,"53070"
101286,1,2,0,"53080"
101286,1,6,1,"53100"
101286,1,0,3,"53130"
101286,1,8,0,"53150"
101286,1,22,0,"53170"
101286,1,1,0,"54020"
101286,1,79,41,"99000"
101286,2,6,76,"52080"
101286,2,40,46,"56000"
101286,2,46,122,"99000"
101286,3,3,4,"50010"
101286,3,0,10,"50050"
101286,3,4,1,"50990"
101286,3,7,24,"51010"
101286,3,2,0,"52010"
101286,3,1,8,"52050"
101286,3,3,9,"52150"
101286,3,6,0,"53020"
101286,3,0,2,"53040"
101286,3,9,0,"53100"
101286,3,3,1,"55050"
101286,3,38,59,"99000"
101435,1,0,6,"50990"
101435,1,0,6,"99000"
101435,2,0,1,"50990"
101435,2,0,1,"99000"
101499,2,3,27,"52080"
101499,2,23,32,"56000"
101499,2,26,59,"99000"
101505,1,1,0,"50010"
101505,1,0,5,"50050"
101505,1,0,2,"50120"
101505,1,1,7,"99000"
101505,2,68,50,"56000"
101505,2,68,50,"99000"
101505,3,48,5,"50010"
101505,3,4,9,"50020"
101505,3,8,3,"50030"
101505,3,21,9,"50040"
101505,3,3,34,"50050"
101505,3,5,1,"50080"
101505,3,0,3,"50100"
101505,3,6,0,"50110"
101505,3,2,3,"51010"
101505,3,2,15,"52050"
101505,3,4,14,"52070"
101505,3,2,50,"52080"
101505,3,0,3,"52100"
101505,3,0,2,"52120"
101505,3,0,6,"52130"
101505,3,0,5,"52140"
101505,3,4,6,"52150"
101505,3,0,3,"52160"
101505,3,0,2,"52170"
101505,3,1,2,"52190"
101505,3,1,0,"52990"
101505,3,20,1,"53010"
101505,3,1,2,"53040"
101505,3,4,0,"53140"
101505,3,4,0,"53170"
101505,3,7,4,"54020"
101505,3,0,7,"54040"
101505,3,3,0,"55010"
101505,3,0,5,"55030"
101505,3,16,6,"55050"
101505,3,14,0,"55070"
101505,3,1,2,"55080"
101505,3,7,1,"55990"
101505,3,188,203,"99000"
101587,2,0,5,"50050"
101587,2,1,8,"52080"
101587,2,1,0,"52100"
101587,2,0,2,"52130"
101587,2,0,1,"52990"
101587,2,2,16,"99000"
1025,2,9,12,"56000"
1025,2,9,12,"99000"
101648,2,62,0,"56000"
101648,2,62,0,"99000"
101693,2,11,139,"52080"
101693,2,11,139,"99000"
102030,2,1,13,"50010"
102030,2,1,5,"50020"
102030,2,0,4,"50050"
102030,2,3,6,"51030"
102030,2,0,28,"52080"
102030,2,0,1,"52150"
102030,2,1,1,"52160"
102030,2,1,1,"52180"
102030,2,1,0,"52190"
102030,2,1,0,"53020"
102030,2,1,0,"53170"
102030,2,0,4,"55040"
102030,2,28,58,"56000"
102030,2,38,121,"99000"
102030,5,0,8,"51010"
102030,5,0,8,"99000"
101897,2,2,1,"50010"
101897,2,3,7,"50030"
101897,2,4,0,"50040"
101897,2,0,3,"50050"
101897,2,1,2,"51010"
101897,2,3,37,"52080"
101897,2,9,0,"55050"
101897,2,76,47,"56000"
101897,2,98,97,"99000"
101903,1,0,2,"50050"
101903,1,0,2,"99000"
101903,2,0,6,"50050"
101903,2,1,0,"51030"
101903,2,0,1,"52190"
101903,2,1,0,"55050"
101903,2,30,34,"56000"
101903,2,32,41,"99000"
101903,3,0,1,"50120"
101903,3,1,2,"51030"
101903,3,0,1,"52050"
101903,3,4,42,"52080"
101903,3,0,1,"52190"
101903,3,1,0,"55050"
101903,3,4,1,"55990"
101903,3,10,48,"99000"
101912,2,1,0,"50020"
101912,2,0,6,"50050"
101912,2,2,2,"50080"
101912,2,1,21,"52080"
101912,2,0,1,"55020"
101912,2,4,30,"99000"
101949,2,0,7,"50050"
101949,2,3,1,"54030"
101949,2,21,37,"56000"
101949,2,24,45,"99000"
102049,2,3,91,"52080"
102049,2,1,4,"55990"
102049,2,4,2,"56000"
102049,2,8,97,"99000"
102058,2,2,4,"50020"
102058,2,0,10,"50050"
102058,2,2,2,"51010"
102058,2,1,1,"52050"
102058,2,0,4,"52080"
102058,2,0,6,"52090"
102058,2,1,1,"52130"
102058,2,2,0,"53010"
102058,2,4,7,"54010"
102058,2,8,0,"55020"
102058,2,8,10,"55030"
102058,2,3,5,"55040"
102058,2,31,50,"99000"
102058,4,2,9,"55030"
102058,4,2,9,"99000"
102076,2,19,32,"56000"
102076,2,19,32,"99000"
102076,3,1,0,"52050"
102076,3,3,12,"52060"
102076,3,0,1,"52120"
102076,3,0,1,"52130"
102076,3,0,1,"52140"
102076,3,2,0,"52990"
102076,3,0,2,"55040"
102076,3,7,1,"55990"
102076,3,13,18,"56000"
102076,3,26,36,"99000"
102261,1,2,4,"55020"
102261,1,2,4,"99000"
102261,2,1,1,"55020"
102261,2,1,1,"99000"
251260,2,0,12,"50050"
251260,2,0,3,"51010"
251260,2,1,11,"52080"
251260,2,2,0,"53030"
251260,2,58,42,"56000"
251260,2,61,68,"99000"
102368,2,3,2,"50010"
102368,2,1,0,"51010"
102368,2,3,113,"52090"
102368,2,1,0,"53020"
102368,2,0,1,"55050"
102368,2,16,6,"56000"
102368,2,24,122,"99000"
102322,2,3,1,"50010"
102322,2,31,0,"50110"
102322,2,2,0,"50990"
102322,2,22,4,"55030"
102322,2,3,2,"56000"
