Year,unitid,Institution_Name,CIP_Classificaiton,cipcode,Award_Level,Total,T.M,T.F
1985-1986,100858,Auburn University,Agricultural Business and Production,1',Bachelor's degrees,42,38,4
1985-1986,100858,Auburn University,Computer and Information Sciences,11',Bachelor's degrees,29,16,13
1985-1986,100858,Auburn University,Education,13',Bachelor's degrees,333,76,257
1985-1986,100858,Auburn University,Engineering,14',Bachelor's degrees,668,558,110
1985-1986,100858,Auburn University,Foreign Languages,16',Bachelor's degrees,47,14,33
1985-1986,100858,Auburn University,Allied Health,17',Bachelor's degrees,26,2,24
1985-1986,100858,Auburn University,Health Sciences,18',Bachelor's degrees,90,11,79
1985-1986,100858,Auburn University,Home Economics,19',Bachelor's degrees,89,3,86
1985-1986,100858,Auburn University,Agricultural Sciences,2',Bachelor's degrees,86,68,18
1985-1986,100858,Auburn University,Letters,23',Bachelor's degrees,69,16,53
1985-1986,100858,Auburn University,Life Sciences,26',Bachelor's degrees,48,27,21
1985-1986,100858,Auburn University,Mathematics,27',Bachelor's degrees,38,26,12
1985-1986,100858,Auburn University,Renewable Natural Resources,3',Bachelor's degrees,31,23,8
1985-1986,100858,Auburn University,Parks and Recreation,31',Bachelor's degrees,15,10,5
1985-1986,100858,Auburn University,Philosophy and Religion,38',Bachelor's degrees,7,5,2
1985-1986,100858,Auburn University,Theology,39',Bachelor's degrees,1,0,1
1985-1986,100858,Auburn University,Architecture and Environmental Design,4',Bachelor's degrees,203,173,30
1985-1986,100858,Auburn University,Physical Sciences,40',Bachelor's degrees,59,48,11
1985-1986,100858,Auburn University,Science Technologies,41',Bachelor's degrees,15,2,13
1985-1986,100858,Auburn University,Psychology,42',Bachelor's degrees,55,19,36
1985-1986,100858,Auburn University,Protective Services,43',Bachelor's degrees,26,17,9
1985-1986,100858,Auburn University,Public Affairs,44',Bachelor's degrees,42,16,26
1985-1986,100858,Auburn University,Social Sciences,45',Bachelor's degrees,136,97,39
1985-1986,100858,Auburn University,Area and Ethnic Studies,5',Bachelor's degrees,4,1,3
1985-1986,100858,Auburn University,Visual and Performing Arts,50',Bachelor's degrees,114,58,56
1985-1986,100858,Auburn University,Business and Management,6',Bachelor's degrees,684,416,268
1985-1986,100858,Auburn University,Business (Administrative Support),7',Bachelor's degrees,26,0,26
1985-1986,100858,Auburn University,Marketing and Distribution,8',Bachelor's degrees,32,0,32
1985-1986,100858,Auburn University,Communications,9',Bachelor's degrees,148,35,113
1985-1986,142115,Boise State University,Computer and Information Sciences,11',Bachelor's degrees,43,19,24
1985-1986,142115,Boise State University,Education,13',Bachelor's degrees,127,30,97
1985-1986,142115,Boise State University,Engineering,14',Bachelor's degrees,3,3,0
1985-1986,142115,Boise State University,Engineering and Engineering Related Technologies,15',Bachelor's degrees,4,3,1
1985-1986,142115,Boise State University,Allied Health,17',Bachelor's degrees,10,4,6
1985-1986,142115,Boise State University,Health Sciences,18',Bachelor's degrees,28,8,20
1985-1986,142115,Boise State University,Vocational Home Economics,20',Bachelor's degrees,2,0,2
1985-1986,142115,Boise State University,Letters,23',Bachelor's degrees,18,6,12
1985-1986,142115,Boise State University,Life Sciences,26',Bachelor's degrees,11,4,7
1985-1986,142115,Boise State University,Mathematics,27',Bachelor's degrees,28,20,8
1985-1986,142115,Boise State University,Multi/Interdisciplinary Studies,30',Bachelor's degrees,9,9,0
1985-1986,142115,Boise State University,Parks and Recreation,31',Bachelor's degrees,15,10,5
1985-1986,142115,Boise State University,Physical Sciences,40',Bachelor's degrees,25,23,2
1985-1986,142115,Boise State University,Psychology,42',Bachelor's degrees,19,9,10
1985-1986,142115,Boise State University,Protective Services,43',Bachelor's degrees,19,8,11
1985-1986,142115,Boise State University,Public Affairs,44',Bachelor's degrees,20,3,17
1985-1986,142115,Boise State University,Social Sciences,45',Bachelor's degrees,97,52,45
1985-1986,142115,Boise State University,Precision Production,48',Bachelor's degrees,3,2,1
1985-1986,142115,Boise State University,Transportation and Material Moving,49',Bachelor's degrees,8,8,0
1985-1986,142115,Boise State University,Visual and Performing Arts,50',Bachelor's degrees,41,14,27
1985-1986,142115,Boise State University,Business and Management,6',Bachelor's degrees,251,156,95
1985-1986,142115,Boise State University,Business (Administrative Support),7',Bachelor's degrees,5,0,5
1985-1986,142115,Boise State University,Marketing and Distribution,8',Bachelor's degrees,3,2,1
1985-1986,142115,Boise State University,Communications,9',Bachelor's degrees,46,19,27
1985-1986,217882,Clemson University,Agricultural Business and Production,1',Bachelor's degrees,31,29,2
1985-1986,217882,Clemson University,Computer and Information Sciences,11',Bachelor's degrees,105,50,55
1985-1986,217882,Clemson University,Education,13',Bachelor's degrees,185,35,150
1985-1986,217882,Clemson University,Engineering,14',Bachelor's degrees,551,458,93
1985-1986,217882,Clemson University,Engineering and Engineering Related Technologies,15',Bachelor's degrees,83,73,10
1985-1986,217882,Clemson University,Foreign Languages,16',Bachelor's degrees,16,1,15
