Year,unitid,Institution_Name,Award_Level,CIP_Classificaiton,cipcode,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.F
1997-1998,100858,Auburn University,Bachelor's degree,Agricultural Business and Production,'01',43,34,9,40,33,7,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-1998,100858,Auburn University,Bachelor's degree,Agricultural Sciences,'02',180,129,51,174,125,49,1,0,1,3,2,1,0,0,0,2,2,0,0,0,0,0,0,0
1997-1998,100858,Auburn University,Bachelor's degree,Architecture and Related Programs,'04',78,51,27,74,48,26,2,2,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
1997-1998,100858,Auburn University,Bachelor's degree,Biological Science/Life Sciences,'26',183,87,96,165,79,86,10,5,5,2,1,1,5,2,3,1,0,1,0,0,0,0,0,0
1997-1998,100858,Auburn University,Bachelor's degree,Business Management and Administrative Services,'52',789,477,312,720,442,278,44,20,24,3,2,1,11,6,5,3,2,1,0,0,0,8,5,3
1997-1998,100858,Auburn University,Bachelor's degree,Communications,'09',132,36,96,122,34,88,8,1,7,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1997-1998,100858,Auburn University,Bachelor's degree,Computer and Information Sciences,'11',18,16,2,16,15,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-1998,100858,Auburn University,Bachelor's degree,Conservation and Renewable Natural Resources,'03',104,69,35,100,67,33,1,0,1,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0
1997-1998,100858,Auburn University,Bachelor's degree,Education,'13',424,104,320,398,95,303,16,7,9,1,0,1,6,1,5,2,1,1,0,0,0,1,0,1
1997-1998,100858,Auburn University,Bachelor's degree,Engineering,'14',586,489,97,542,459,83,25,15,10,5,4,1,12,9,3,0,0,0,0,0,0,2,2,0
1997-1998,100858,Auburn University,Bachelor's degree,English Language and Literature/Letters,'23',113,41,72,110,41,69,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1997-1998,100858,Auburn University,Bachelor's degree,Foreign Languages and Literatures,'16',42,14,28,39,14,25,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
