Year,unitid,Institution_Name,Award_Level,Major,CIP_Classificaiton,cipcode,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.F
2001-2002,100858,Auburn University,Bachelor's degree,First major,Psychology,'42',141,39,102,120,36,84,13,1,12,3,1,2,3,0,3,2,1,1,0,0,0,0,0,0
2001-2002,100858,Auburn University,Bachelor's degree,First major,Parks- Recreation- Leisure and Fitness Studies,'31',1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,100858,Auburn University,Bachelor's degree,First major,Architecture and Related Programs,'04',116,77,39,109,71,38,3,3,0,2,2,0,2,1,1,0,0,0,0,0,0,0,0,0
2001-2002,100858,Auburn University,Bachelor's degree,First major,Social Sciences and History,'45',223,140,83,201,126,75,16,10,6,2,2,0,1,1,0,2,0,2,0,0,0,1,1,0
2001-2002,100858,Auburn University,Bachelor's degree,First major,Foreign Languages and Literatures,'16',30,11,19,28,11,17,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,100858,Auburn University,Bachelor's degree,First major,Engineering,'14',577,470,107,515,431,84,29,18,11,6,3,3,12,9,3,6,3,3,0,0,0,9,6,3
2001-2002,100858,Auburn University,Bachelor's degree,First major,Agricultural Sciences,'02',143,86,57,138,81,57,0,0,0,3,3,0,0,0,0,2,2,0,0,0,0,0,0,0
2001-2002,100858,Auburn University,Bachelor's degree,First major,Education,'13',373,110,263,339,93,246,27,14,13,1,0,1,1,0,1,3,1,2,0,0,0,2,2,0
2001-2002,100858,Auburn University,Bachelor's degree,First major,Public Administration and Services,'44',28,4,24,22,4,18,5,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,100858,Auburn University,Bachelor's degree,First major,English Language and Literature/Letters,'23',106,29,77,97,27,70,4,2,2,1,0,1,2,0,2,1,0,1,0,0,0,1,0,1
2001-2002,100858,Auburn University,Bachelor's degree,First major,Home Economics- General,'19',171,5,166,165,5,160,3,0,3,0,0,0,0,0,0,2,0,2,0,0,0,1,0,1
2001-2002,100858,Auburn University,Bachelor's degree,First major,Computer and Information Sciences,'11',32,23,9,30,23,7,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,100858,Auburn University,Bachelor's degree,First major,Business Management and Administrative Services,'52',948,564,384,875,529,346,49,20,29,9,6,3,5,2,3,2,1,1,1,0,1,7,6,1
2001-2002,100858,Auburn University,Bachelor's degree,First major,Visual and Performing Arts,'50',145,61,84,134,58,76,5,2,3,0,0,0,2,1,1,1,0,1,2,0,2,1,0,1
2001-2002,100858,Auburn University,Bachelor's degree,First major,Biological Science/Life Sciences,'26',137,64,73,125,57,68,6,3,3,2,1,1,1,0,1,1,1,0,1,1,0,1,1,0
2001-2002,100858,Auburn University,Bachelor's degree,First major,Conservation and Renewable Natural Resources,'03',78,56,22,76,54,22,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0
2001-2002,100858,Auburn University,Bachelor's degree,First major,Mathematics,'27',16,5,11,14,4,10,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2001-2002,100858,Auburn University,Bachelor's degree,First major,Physical Sciences,'40',20,11,9,19,10,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
