Year,unitid,Institution_Name,Award_Level,Major,CIP_Classificaiton,cipcode,Total,T.M,T.F,T.AI,T.AI.M,T.AI.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.C,T.C.M,T.C.F,T.AS,T.AS.M,T.AS.W,T.PI,T.PI.M,T.PI.W,T.MIX,T.MIX.M,T.MIX.W,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W
2007-2008,228778,The University of Texas at Austin,Bachelor's degree,First major,Engineering.,'14',957,747,210,3,3,0,232,181,51,23,17,6,139,110,29,501,390,111,,,,,,,,,,1,0,1,58,46,12
2007-2008,209551,University of Oregon,Bachelor's degree,First major,Visual and performing arts.,'50',260,113,147,5,2,3,12,4,8,0,0,0,6,3,3,205,88,117,,,,,,,,,,20,10,10,12,6,6
2007-2008,199120,University of North Carolina at Chapel Hill,Bachelor's degree,First major,Visual and performing arts.,'50',105,33,72,1,1,0,4,1,3,4,0,4,2,0,2,86,25,61,,,,,,,,,,8,6,2,0,0,0
2007-2008,152080,University of Notre Dame,Bachelor's degree,First major,Psychology.,'42',123,33,90,2,1,1,5,1,4,7,2,5,14,2,12,92,27,65,,,,,,,,,,0,0,0,3,0,3
2007-2008,100858,Auburn University,Bachelor's degree,First major,History,'54',49,39,10,1,0,1,1,1,0,2,2,0,2,2,0,43,34,9,,,,,,,,,,0,0,0,0,0,0
2007-2008,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,First major,Liberal arts and sciences- general studies and humanities.,'24',367,190,177,1,1,0,7,5,2,39,18,21,6,4,2,290,148,142,,,,,,,,,,18,10,8,6,4,2
2007-2008,134130,University of Florida,Bachelor's degree,First major,Family and consumer sciences/human sciences.,'19',159,29,130,0,0,0,7,0,7,52,8,44,14,2,12,84,19,65,,,,,,,,,,2,0,2,0,0,0
2007-2008,181464,University of Nebraska-Lincoln,Bachelor's degree,First major,Visual and performing arts.,'50',123,48,75,2,1,1,3,0,3,0,0,0,4,1,3,103,43,60,,,,,,,,,,10,3,7,1,0,1
2007-2008,100751,The University of Alabama,Bachelor's degree,First major,Social sciences.,'45',154,101,53,1,0,1,4,1,3,16,6,10,2,2,0,130,91,39,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2007-2008,186380,Rutgers University-New Brunswick,Bachelor's degree,First major,Foreign languages- literatures- and linguistics.,'16',129,30,99,0,0,0,11,5,6,9,3,6,23,3,20,77,19,58,,,,,,,,,,8,0,8,1,0,1
2007-2008,135726,University of Miami,Bachelor's degree,First major,Legal professions and studies.,'22',27,14,13,0,0,0,2,1,1,2,2,0,7,2,5,16,9,7,,,,,,,,,,0,0,0,0,0,0
2007-2008,100751,The University of Alabama,Bachelor's degree,First major,Psychology.,'42',124,33,91,0,0,0,0,0,0,16,5,11,4,2,2,102,25,77,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
2007-2008,134130,University of Florida,Bachelor's degree,First major,Computer and information sciences and support services.,'11',27,25,2,0,0,0,4,4,0,4,4,0,1,1,0,18,16,2,,,,,,,,,,0,0,0,0,0,0
2007-2008,170976,University of Michigan-Ann Arbor,Bachelor's degree,First major,Computer and information sciences and support services.,'11',91,83,8,1,1,0,6,6,0,4,4,0,2,2,0,68,60,8,,,,,,,,,,3,3,0,7,7,0
2007-2008,170976,University of Michigan-Ann Arbor,Bachelor's degree,First major,Social sciences.,'45',1006,564,442,5,3,2,139,78,61,69,27,42,35,22,13,645,364,281,,,,,,,,,,51,32,19,62,38,24
2007-2008,204796,Ohio State University-Main Campus,Bachelor's degree,First major,Engineering.,'14',659,560,99,1,1,0,35,29,6,23,16,7,8,7,1,532,456,76,,,,,,,,,,18,14,4,42,37,5
2007-2008,228723,Texas A & M University-College Station,Bachelor's degree,First major,Communication- journalism- and related programs.,'09',23,11,12,0,0,0,0,0,0,0,0,0,1,0,1,22,11,11,,,,,,,,,,0,0,0,0,0,0
2007-2008,152080,University of Notre Dame,Bachelor's degree,First major,Social sciences.,'45',333,169,164,2,0,2,12,2,10,15,6,9,29,14,15,262,143,119,,,,,,,,,,0,0,0,13,4,9
2007-2008,170976,University of Michigan-Ann Arbor,Bachelor's degree,First major,Liberal arts and sciences- general studies and humanities.,'24',105,54,51,2,2,0,5,3,2,21,13,8,6,3,3,65,29,36,,,,,,,,,,3,3,0,3,1,2
2007-2008,186380,Rutgers University-New Brunswick,Bachelor's degree,First major,Area- ethnic- cultural- and gender studies.,'05',88,20,68,1,1,0,11,3,8,21,5,16,7,1,6,42,9,33,,,,,,,,,,5,1,4,1,0,1
2007-2008,147767,Northwestern University,Bachelor's degree,First major,Philosophy and religious studies.,'38',30,17,13,0,0,0,3,2,1,2,2,0,3,2,1,18,9,9,,,,,,,,,,4,2,2,0,0,0
2007-2008,217882,Clemson University,Bachelor's degree,First major,History,'54',69,37,32,3,3,0,1,1,0,2,1,1,1,1,0,56,28,28,,,,,,,,,,6,3,3,0,0,0
2007-2008,217882,Clemson University,Bachelor's degree,First major,English language and literature/letters.,'23',130,40,90,0,0,0,5,1,4,5,2,3,1,0,1,108,35,73,,,,,,,,,,11,2,9,0,0,0
2007-2008,155399,Kansas State University,Bachelor's degree,First major,Engineering technologies/technicians.,'15',97,87,10,0,0,0,1,0,1,2,2,0,0,0,0,88,80,8,,,,,,,,,,6,5,1,0,0,0
2007-2008,157289,University of Louisville,Bachelor's degree,First major,Biological and biomedical sciences.,'26',86,32,54,1,0,1,14,4,10,6,2,4,1,1,0,61,25,36,,,,,,,,,,1,0,1,2,0,2
2007-2008,122755,San Jose State University,Bachelor's degree,First major,Health professions and related clinical sciences.,'51',353,59,294,0,0,0,153,30,123,20,7,13,52,10,42,85,8,77,,,,,,,,,,34,3,31,9,1,8
2007-2008,131496,Georgetown University,Bachelor's degree,First major,Foreign languages- literatures- and linguistics.,'16',120,29,91,0,0,0,9,0,9,4,1,3,9,3,6,86,23,63,,,,,,,,,,8,1,7,4,1,3
2007-2008,147767,Northwestern University,Bachelor's degree,First major,Foreign languages- literatures- and linguistics.,'16',46,13,33,0,0,0,0,0,0,1,0,1,4,0,4,36,10,26,,,,,,,,,,5,3,2,0,0,0
2007-2008,134130,University of Florida,Bachelor's degree,First major,History,'54',272,156,116,1,1,0,9,3,6,7,2,5,36,17,19,217,131,86,,,,,,,,,,2,2,0,0,0,0
2007-2008,217882,Clemson University,Bachelor's degree,First major,Psychology.,'42',142,37,105,0,0,0,2,2,0,10,4,6,2,0,2,119,29,90,,,,,,,,,,8,1,7,1,1,0
2007-2008,152080,University of Notre Dame,Bachelor's degree,First major,Business- management- marketing- and related support services.,'52',512,309,203,4,2,2,20,11,9,15,13,2,53,25,28,387,243,144,,,,,,,,,,0,0,0,33,15,18
2007-2008,217882,Clemson University,Bachelor's degree,First major,Foreign languages- literatures- and linguistics.,'16',55,14,41,1,1,0,2,1,1,2,1,1,2,0,2,44,11,33,,,,,,,,,,3,0,3,1,0,1
