Year,unitid,Institution_Name,Sport,Cohort_Data,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W
2000-2001,100751,The University of Alabama,All other sports,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),31,8,23,24,6,18,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,2,4
2000-2001,100751,The University of Alabama,All other sports,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,21,7,14,16,5,11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2
2000-2001,100751,The University of Alabama,Baseball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),5,5,0,4,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,100751,The University of Alabama,Baseball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,100751,The University of Alabama,Basketball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),6,3,3,0,0,0,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,100751,The University of Alabama,Basketball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,100751,The University of Alabama,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),8,5,3,4,3,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2000-2001,100751,The University of Alabama,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,6,4,2,3,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2000-2001,100751,The University of Alabama,Football,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),13,13,0,2,2,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,100751,The University of Alabama,Football,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,4,4,0,1,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,100858,Auburn University,All other sports,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),29,11,18,26,9,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1
2000-2001,100858,Auburn University,All other sports,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,18,4,14,18,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,100858,Auburn University,Baseball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,100858,Auburn University,Baseball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,5,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,100858,Auburn University,Basketball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),7,4,3,3,0,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,100858,Auburn University,Basketball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,100858,Auburn University,Basketball,Degree/certificate-seeking students (4-yr institution) Transfer-out students,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,100858,Auburn University,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),4,3,1,2,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,100858,Auburn University,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
