Year,unitid,Institution_Name,Cohort_Data,Sport,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W
2001-2002,100751,The University of Alabama,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),All other sports,31,11,20,25,7,18,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,5,4,1
2001-2002,100751,The University of Alabama,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Baseball,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,100751,The University of Alabama,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Basketball,5,3,2,4,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,100751,The University of Alabama,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Cross-country and/or track,11,3,8,4,2,2,6,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2001-2002,100751,The University of Alabama,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Football,10,10,0,5,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,100751,The University of Alabama,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,All other sports,20,6,14,15,3,12,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4,3,1
2001-2002,100751,The University of Alabama,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Baseball,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,100751,The University of Alabama,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Basketball,5,3,2,4,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,100751,The University of Alabama,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Cross-country and/or track,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,100751,The University of Alabama,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Football,5,5,0,2,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
