Year,unitid,Institution_Name,Sport,Cohort_Data,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W,idxtable_flags2005.idx_gr:vl-unitid of parent institution reporting graduation rates
2004-2005,100751,The University of Alabama,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),All other sports,29,10,19,20,5,15,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,7,4,3,-2
2004-2005,100751,The University of Alabama,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Baseball,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2004-2005,100751,The University of Alabama,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Basketball,8,5,3,2,0,2,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2004-2005,100751,The University of Alabama,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Cross-country and/or track,7,3,4,6,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2004-2005,100751,The University of Alabama,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Football,20,20,0,7,7,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2004-2005,100751,The University of Alabama,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,All other sports,24,8,16,17,4,13,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6,3,3,-2
2004-2005,100751,The University of Alabama,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Basketball,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2004-2005,100751,The University of Alabama,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Cross-country and/or track,5,1,4,4,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2004-2005,100751,The University of Alabama,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Football,12,12,0,4,4,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2004-2005,100858,Auburn University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),All other sports,48,18,30,43,15,28,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,-2
2004-2005,100858,Auburn University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Baseball,11,11,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2004-2005,100858,Auburn University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Basketball,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2004-2005,100858,Auburn University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Cross-country and/or track,8,5,3,4,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,-2
2004-2005,100858,Auburn University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Football,18,18,0,5,5,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2004-2005,100858,Auburn University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,All other sports,26,10,16,22,8,14,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,-2
2004-2005,100858,Auburn University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Baseball,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2004-2005,100858,Auburn University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Basketball,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2004-2005,100858,Auburn University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Cross-country and/or track,5,2,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,-2
2004-2005,100858,Auburn University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Football,11,11,0,3,3,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2004-2005,100858,Auburn University,Degree/certificate-seeking students (4-yr institution) Transfer-out students,All other sports,12,5,7,11,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-2
2004-2005,100858,Auburn University,Degree/certificate-seeking students (4-yr institution) Transfer-out students,Baseball,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2004-2005,100858,Auburn University,Degree/certificate-seeking students (4-yr institution) Transfer-out students,Football,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2004-2005,122755,San Jose State University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),All other sports,25,2,23,18,1,17,0,0,0,3,0,3,1,0,1,0,0,0,0,0,0,3,1,2,-2
2004-2005,122755,San Jose State University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Baseball,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
