Year,unitid,Institution_Name,Sport,Cohort,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W
1999-2000,100751,The University of Alabama,All other sports combined,Scholarship Awards,122,33,89,79,13,66,4,0,4,7,2,5,3,0,3,1,0,1,0,0,0,28,18,10
1999-2000,100751,The University of Alabama,Baseball,Scholarship Awards,26,26,0,25,25,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,100751,The University of Alabama,Basketball,Scholarship Awards,26,12,14,8,3,5,17,9,8,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1999-2000,100751,The University of Alabama,Cross-country and/or track,Scholarship Awards,45,20,25,16,5,11,16,9,7,0,0,0,0,0,0,0,0,0,0,0,0,13,6,7
1999-2000,100751,The University of Alabama,Football,Scholarship Awards,84,84,0,25,25,0,59,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,100858,Auburn University,All other sports combined,Scholarship Awards,159,53,106,131,40,91,5,1,4,2,1,1,0,0,0,1,0,1,1,0,1,19,11,8
1999-2000,100858,Auburn University,Baseball,Scholarship Awards,26,26,0,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,100858,Auburn University,Basketball,Scholarship Awards,29,13,16,4,3,1,23,9,14,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
1999-2000,100858,Auburn University,Cross-country and/or track,Scholarship Awards,44,23,21,20,9,11,13,7,6,1,1,0,0,0,0,0,0,0,0,0,0,10,6,4
1999-2000,100858,Auburn University,Football,Scholarship Awards,86,86,0,36,36,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,122755,San Jose State University,All other sports combined,Scholarship Awards,142,25,117,84,12,72,5,1,4,26,9,17,6,1,5,1,0,1,9,1,8,11,1,10
1999-2000,122755,San Jose State University,Baseball,Scholarship Awards,25,25,0,19,19,0,0,0,0,4,4,0,0,0,0,0,0,0,2,2,0,0,0,0
1999-2000,122755,San Jose State University,Basketball,Scholarship Awards,20,9,11,3,2,1,12,5,7,1,0,1,1,0,1,0,0,0,3,2,1,0,0,0
1999-2000,122755,San Jose State University,Cross-country and/or track,Scholarship Awards,18,6,12,8,2,6,1,1,0,3,0,3,1,1,0,0,0,0,5,2,3,0,0,0
1999-2000,122755,San Jose State University,Football,Scholarship Awards,69,69,0,22,22,0,27,27,0,9,9,0,2,2,0,3,3,0,6,6,0,0,0,0
1999-2000,123961,University of Southern California,All other sports combined,Scholarship Awards,126,36,90,84,23,61,3,0,3,2,0,2,7,2,5,0,0,0,4,3,1,26,8,18
1999-2000,123961,University of Southern California,Baseball,Scholarship Awards,16,16,0,11,11,0,0,0,0,3,3,0,0,0,0,2,2,0,0,0,0,0,0,0
1999-2000,123961,University of Southern California,Basketball,Scholarship Awards,25,12,13,8,4,4,16,7,9,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1999-2000,123961,University of Southern California,Cross-country and/or track,Scholarship Awards,34,19,15,4,3,1,14,7,7,1,0,1,0,0,0,0,0,0,2,2,0,13,7,6
1999-2000,123961,University of Southern California,Football,Scholarship Awards,90,90,0,34,34,0,43,43,0,4,4,0,5,5,0,0,0,0,4,4,0,0,0,0
1999-2000,131496,Georgetown University,All other sports combined,Scholarship Awards,91,44,47,79,41,38,3,1,2,3,0,3,4,1,3,1,1,0,0,0,0,1,0,1
1999-2000,131496,Georgetown University,Baseball,Scholarship Awards,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
