Year,unitid,Institution_Name,Sport,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W
2003-2004,100751,The University of Alabama,All other sports combined,149,38,111,111,21,90,4,1,3,2,1,1,1,1,0,1,0,1,0,0,0,30,14,16
2003-2004,100751,The University of Alabama,Baseball,32,32,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2003-2004,100751,The University of Alabama,Basketball,27,12,15,3,0,3,22,10,12,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
2003-2004,100751,The University of Alabama,Cross-country and/or track,54,30,24,22,11,11,20,10,10,0,0,0,0,0,0,1,1,0,0,0,0,11,8,3
2003-2004,100751,The University of Alabama,Football,83,83,0,27,27,0,55,55,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2003-2004,100858,Auburn University,All other sports combined,178,52,126,137,41,96,8,0,8,5,0,5,1,0,1,0,0,0,2,0,2,25,11,14
2003-2004,100858,Auburn University,Baseball,29,29,0,23,23,0,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0
2003-2004,100858,Auburn University,Basketball,26,9,17,2,0,2,18,9,9,1,0,1,0,0,0,0,0,0,1,0,1,4,0,4
2003-2004,100858,Auburn University,Cross-country and/or track,46,24,22,22,13,9,6,1,5,0,0,0,0,0,0,0,0,0,0,0,0,18,10,8
2003-2004,100858,Auburn University,Football,82,82,0,29,29,0,53,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-2004,122755,San Jose State University,All other sports combined,132,26,106,78,10,68,3,2,1,15,6,9,9,1,8,3,0,3,16,6,10,8,1,7
2003-2004,122755,San Jose State University,Baseball,31,31,0,20,20,0,1,1,0,4,4,0,0,0,0,0,0,0,6,6,0,0,0,0
2003-2004,122755,San Jose State University,Basketball,26,12,14,4,2,2,20,9,11,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0
2003-2004,122755,San Jose State University,Cross-country and/or track,16,6,10,8,2,6,1,0,1,2,2,0,2,1,1,0,0,0,3,1,2,0,0,0
2003-2004,122755,San Jose State University,Football,87,87,0,23,23,0,54,54,0,3,3,0,2,2,0,1,1,0,4,4,0,0,0,0
2003-2004,123961,University of Southern California,All other sports combined,190,71,119,106,41,65,9,2,7,7,3,4,14,5,9,4,1,3,6,4,2,44,15,29
2003-2004,123961,University of Southern California,Baseball,20,20,0,16,16,0,0,0,0,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0
