Year,unitid,Institution_Name,Cohort,Sport,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W
2005-2006,100751,The University of Alabama,Scholarship Awards,All other sports combined,158,39,119,117,25,92,7,0,7,3,0,3,0,0,0,0,0,0,0,0,0,31,14,17
2005-2006,100751,The University of Alabama,Scholarship Awards,Baseball,36,36,0,34,34,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-2006,100751,The University of Alabama,Scholarship Awards,Basketball,26,11,15,5,1,4,19,9,10,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
2005-2006,100751,The University of Alabama,Scholarship Awards,Cross-country and/or track,48,26,22,21,10,11,18,10,8,0,0,0,0,0,0,0,0,0,0,0,0,9,6,3
2005-2006,100751,The University of Alabama,Scholarship Awards,Football,86,86,0,30,30,0,56,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-2006,100858,Auburn University,Scholarship Awards,All other sports combined,180,56,124,136,43,93,10,0,10,3,0,3,0,0,0,0,0,0,6,1,5,25,12,13
2005-2006,100858,Auburn University,Scholarship Awards,Baseball,32,32,0,28,28,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
2005-2006,100858,Auburn University,Scholarship Awards,Basketball,27,14,13,2,1,1,21,12,9,0,0,0,0,0,0,0,0,0,1,1,0,3,0,3
2005-2006,100858,Auburn University,Scholarship Awards,Cross-country and/or track,51,26,25,19,13,6,15,6,9,0,0,0,0,0,0,0,0,0,2,1,1,15,6,9
2005-2006,100858,Auburn University,Scholarship Awards,Football,85,85,0,23,23,0,58,58,0,1,1,0,0,0,0,0,0,0,2,2,0,1,1,0
2005-2006,122755,San Jose State University,Scholarship Awards,All other sports combined,150,28,122,107,11,96,5,0,5,22,11,11,4,1,3,0,0,0,0,0,0,12,5,7
2005-2006,122755,San Jose State University,Scholarship Awards,Baseball,32,32,0,27,27,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-2006,122755,San Jose State University,Scholarship Awards,Basketball,28,13,15,8,3,5,19,10,9,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2005-2006,122755,San Jose State University,Scholarship Awards,Cross-country and/or track,18,7,11,12,3,9,1,0,1,3,2,1,0,0,0,0,0,0,1,1,0,1,1,0
2005-2006,122755,San Jose State University,Scholarship Awards,Football,81,81,0,25,25,0,46,46,0,6,6,0,4,4,0,0,0,0,0,0,0,0,0,0
2005-2006,123961,University of Southern California,Scholarship Awards,All other sports combined,181,65,116,108,40,68,8,3,5,9,2,7,11,4,7,3,1,2,5,3,2,37,12,25
2005-2006,123961,University of Southern California,Scholarship Awards,Baseball,24,24,0,20,20,0,0,0,0,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0
2005-2006,123961,University of Southern California,Scholarship Awards,Basketball,26,13,13,8,4,4,14,6,8,0,0,0,1,0,1,0,0,0,1,1,0,2,2,0
2005-2006,123961,University of Southern California,Scholarship Awards,Cross-country and/or track,40,19,21,6,4,2,20,9,11,0,0,0,0,0,0,1,0,1,3,2,1,10,4,6
2005-2006,123961,University of Southern California,Scholarship Awards,Football,92,92,0,25,25,0,47,47,0,5,5,0,9,9,0,0,0,0,6,6,0,0,0,0
2005-2006,131496,Georgetown University,Scholarship Awards,All other sports combined,150,70,80,136,65,71,4,0,4,2,1,1,2,0,2,0,0,0,6,4,2,0,0,0
2005-2006,131496,Georgetown University,Scholarship Awards,Baseball,18,18,0,16,16,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-2006,131496,Georgetown University,Scholarship Awards,Basketball,23,13,10,6,0,6,16,12,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2005-2006,131496,Georgetown University,Scholarship Awards,Cross-country and/or track,38,15,23,28,12,16,7,1,6,2,2,0,0,0,0,0,0,0,1,0,1,0,0,0
2005-2006,131496,Georgetown University,Scholarship Awards,Football,42,42,0,18,18,0,21,21,0,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0
2005-2006,134097,Florida State University,Scholarship Awards,All other sports combined,135,46,89,84,28,56,9,1,8,5,3,2,0,0,0,0,0,0,4,4,0,33,10,23
2005-2006,134097,Florida State University,Scholarship Awards,Baseball,32,32,0,28,28,0,1,1,0,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0
2005-2006,134097,Florida State University,Scholarship Awards,Basketball,24,9,15,5,0,5,14,6,8,0,0,0,0,0,0,0,0,0,2,1,1,3,2,1
2005-2006,134097,Florida State University,Scholarship Awards,Cross-country and/or track,63,29,34,25,11,14,23,8,15,3,2,1,1,1,0,0,0,0,0,0,0,11,7,4
2005-2006,134097,Florida State University,Scholarship Awards,Football,92,92,0,20,20,0,69,69,0,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0
2005-2006,134130,University of Florida,Scholarship Awards,All other sports combined,202,57,145,145,40,105,14,1,13,10,3,7,6,3,3,1,0,1,4,1,3,22,9,13
2005-2006,134130,University of Florida,Scholarship Awards,Baseball,44,44,0,40,40,0,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-2006,134130,University of Florida,Scholarship Awards,Basketball,23,10,13,5,1,4,14,5,9,2,2,0,0,0,0,0,0,0,1,1,0,1,1,0
2005-2006,134130,University of Florida,Scholarship Awards,Cross-country and/or track,61,36,25,24,12,12,27,18,9,4,2,2,0,0,0,0,0,0,3,2,1,3,2,1
2005-2006,134130,University of Florida,Scholarship Awards,Football,89,89,0,21,21,0,59,59,0,3,3,0,1,1,0,0,0,0,4,4,0,1,1,0
2005-2006,135726,University of Miami,Scholarship Awards,All other sports combined,92,7,85,47,4,43,8,0,8,3,0,3,4,0,4,0,0,0,7,1,6,23,2,21
2005-2006,135726,University of Miami,Scholarship Awards,Baseball,20,20,0,5,5,0,2,2,0,11,11,0,0,0,0,0,0,0,2,2,0,0,0,0
2005-2006,135726,University of Miami,Scholarship Awards,Basketball,24,12,12,3,0,3,14,9,5,2,2,0,0,0,0,0,0,0,3,1,2,2,0,2
2005-2006,135726,University of Miami,Scholarship Awards,Cross-country and/or track,38,18,20,14,12,2,18,3,15,3,2,1,0,0,0,0,0,0,2,1,1,1,0,1
2005-2006,135726,University of Miami,Scholarship Awards,Football,81,81,0,14,14,0,62,62,0,1,1,0,0,0,0,0,0,0,2,2,0,2,2,0
2005-2006,139959,University of Georgia,Scholarship Awards,All other sports combined,147,40,107,113,31,82,14,1,13,3,1,2,1,0,1,0,0,0,0,0,0,16,7,9
2005-2006,139959,University of Georgia,Scholarship Awards,Baseball,42,42,0,40,40,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-2006,139959,University of Georgia,Scholarship Awards,Basketball,27,13,14,5,2,3,20,9,11,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
2005-2006,139959,University of Georgia,Scholarship Awards,Cross-country and/or track,65,29,36,35,15,20,19,10,9,0,0,0,3,2,1,0,0,0,0,0,0,8,2,6
2005-2006,139959,University of Georgia,Scholarship Awards,Football,86,86,0,25,25,0,61,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-2006,142115,Boise State University,Scholarship Awards,All other sports combined,116,39,77,81,28,53,5,0,5,3,2,1,6,1,5,1,1,0,0,0,0,20,7,13
2005-2006,142115,Boise State University,Scholarship Awards,Basketball,28,14,14,14,8,6,9,6,3,0,0,0,3,0,3,1,0,1,0,0,0,1,0,1
2005-2006,142115,Boise State University,Scholarship Awards,Cross-country and/or track,57,25,32,39,15,24,5,3,2,1,0,1,0,0,0,1,1,0,0,0,0,11,6,5
2005-2006,142115,Boise State University,Scholarship Awards,Football,88,88,0,48,48,0,25,25,0,4,4,0,3,3,0,2,2,0,2,2,0,4,4,0
2005-2006,147767,Northwestern University,Scholarship Awards,All other sports combined,218,78,140,165,60,105,8,1,7,7,5,2,8,0,8,0,0,0,19,6,13,11,6,5
