"","Year","ID_School","White.Males","Black.Males","Hispanic.Males","Other.Males"
"1","1996-1997","BAMA",6,3,0,0
"2","1996-1997","AUB",5,2,0,1
"3","1996-1997","SJ.ST",0,1,0,0
"4","1996-1997","USC",7,2,1,0
"5","1996-1997","FSU",4,3,3,0
"6","1996-1997","FLA",2,2,0,0
"7","1996-1997","UOFM",3,4,0,0
"8","1996-1997","UGA",6,1,0,0
"9","1996-1997","BOS.ST",2,1,0,0
"10","1996-1997","NWST",11,11,0,0
"11","1996-1997","ND",10,10,0,0
"12","1996-1997","KAN.ST",7,1,0,0
"13","1996-1997","LOUIS",2,3,0,0
"14","1996-1997","LSU",5,4,0,0
"15","1996-1997","UM",5,3,0,1
"16","1996-1997","NEB",5,4,0,0
"17","1996-1997","RUT",4,2,0,0
"18","1996-1997","DUKE",14,8,0,2
"19","1996-1997","UNC",11,3,0,0
"20","1996-1997","OSU",4,3,0,0
"21","1996-1997","OKSTATE",1,2,0,0
"22","1996-1997","OK",4,4,0,0
"23","1996-1997","ORE.ST",6,2,0,0
"24","1996-1997","ORE",8,3,0,0
"25","1996-1997","CLEM",4,9,0,0
"26","1996-1997","SCAR",3,9,0,0
"27","1996-1997","VANDY",8,10,1,1
"28","1996-1997","SMU",7,7,0,0
"29","1996-1997","TAM",4,6,0,0
"30","1996-1997","UT",10,2,0,0
"31","1996-1997","UTA.ST",1,2,0,0
"32","1996-1997","STAN",13,5,1,0
"33","1997-1998","BAMA",5,5,0,0
"34","1997-1998","AUB",6,4,0,0
"35","1997-1998","SJ.ST",3,1,0,1
"36","1997-1998","USC",6,4,0,1
"37","1997-1998","FSU",5,7,0,0
"38","1997-1998","FLA",5,12,0,0
"39","1997-1998","UOFM",0,8,0,0
"40","1997-1998","UGA",6,4,0,0
"41","1997-1998","BOS.ST",1,0,0,1
"42","1997-1998","NWST",15,3,0,0
"43","1997-1998","ND",10,5,0,0
"44","1997-1998","KAN.ST",4,2,0,0
"45","1997-1998","LOUIS",0,5,0,0
"46","1997-1998","LSU",4,5,0,0
"47","1997-1998","UM",4,6,0,2
"48","1997-1998","NEB",5,5,0,0
"49","1997-1998","RUT",3,2,0,0
"50","1997-1998","DUKE",5,12,1,0
"51","1997-1998","UNC",2,7,0,0
"52","1997-1998","OSU",4,3,0,0
"53","1997-1998","OKSTATE",3,1,0,0
"54","1997-1998","OK",0,6,0,0
"55","1997-1998","ORE.ST",7,0,0,0
"56","1997-1998","ORE",6,6,0,3
"57","1997-1998","CLEM",1,10,0,0
"58","1997-1998","SCAR",1,9,0,0
"59","1997-1998","VANDY",8,10,0,1
"60","1997-1998","SMU",13,5,0,0
"61","1997-1998","TAM",2,1,1,0
"62","1997-1998","UT",6,6,0,0
"63","1997-1998","UTA.ST",6,2,2,0
"64","1997-1998","STAN",8,6,1,0
"65","1998-1999","BAMA",5,5,0,0
"66","1998-1999","AUB",2,6,0,0
"67","1998-1999","SJ.ST",2,3,0,0
"68","1998-1999","USC",2,6,0,0
"69","1998-1999","FSU",3,8,0,0
"70","1998-1999","FLA",1,9,0,0
"71","1998-1999","UOFM",0,6,0,0
"72","1998-1999","UGA",4,11,0,0
"73","1998-1999","NWST",11,6,0,0
"74","1998-1999","ND",8,10,0,0
"75","1998-1999","KAN.ST",4,3,0,0
"76","1998-1999","LOUIS",3,4,0,0
"77","1998-1999","LSU",5,4,0,0
"78","1998-1999","UM",5,1,0,0
"79","1998-1999","NEB",6,1,0,0
"80","1998-1999","RUT",3,4,0,1
"81","1998-1999","DUKE",6,6,0,0
"82","1998-1999","UNC",6,7,0,0
"83","1998-1999","OSU",3,0,0,0
"84","1998-1999","OKSTATE",7,3,0,0
"85","1998-1999","OK",3,0,0,0
"86","1998-1999","ORE.ST",3,4,0,0
"87","1998-1999","ORE",5,1,0,1
"88","1998-1999","CLEM",6,3,0,0
"89","1998-1999","SCAR",3,8,0,0
"90","1998-1999","VANDY",1,14,0,0
"91","1998-1999","SMU",8,5,0,0
"92","1998-1999","TAM",2,1,0,0
"93","1998-1999","UT",5,3,0,0
"94","1998-1999","UTA.ST",3,1,0,0
"95","1998-1999","STAN",7,7,0,1
"96","1999-2000","BAMA",5,10,0,0
"97","1999-2000","AUB",1,7,0,0
"98","1999-2000","SJ.ST",0,2,0,0
"99","1999-2000","USC",5,8,0,1
"100","1999-2000","FSU",1,5,0,0
"101","1999-2000","FLA",0,5,0,0
"102","1999-2000","UOFM",4,4,0,0
"103","1999-2000","UGA",3,7,0,0
"104","1999-2000","BOS.ST",3,2,0,2
"105","1999-2000","NWST",9,5,0,1
"106","1999-2000","ND",3,7,0,1
"107","1999-2000","KAN.ST",6,4,0,0
"108","1999-2000","LOUIS",0,2,1,0
"109","1999-2000","LSU",4,3,0,0
"110","1999-2000","UM",4,8,0,0
"111","1999-2000","NEB",3,5,0,0
"112","1999-2000","RUT",1,5,0,1
"113","1999-2000","DUKE",8,3,0,2
"114","1999-2000","UNC",1,9,0,1
"115","1999-2000","OSU",4,5,0,0
"116","1999-2000","OKSTATE",0,3,0,0
"117","1999-2000","OK",4,5,0,0
"118","1999-2000","ORE.ST",0,6,0,0
"119","1999-2000","ORE",9,3,1,0
"120","1999-2000","CLEM",7,4,0,0
