"","Year","ID_School","White.Males","Black.Males","Hispanic.Males"
"1","1996-1997","BAMA",1,1,0
"2","1996-1997","AUB",0,0,0
"3","1996-1997","SJ.ST",0,1,1
"4","1996-1997","USC",0,1,0
"5","1996-1997","GTOWN",0,4,0
"6","1996-1997","FSU",0,0,0
"7","1996-1997","FLA",1,0,0
"8","1996-1997","UOFM",0,0,0
"9","1996-1997","UGA",2,2,0
"10","1996-1997","BOS.ST",1,0,0
"11","1996-1997","NWST",1,4,0
"12","1996-1997","ND",0,3,0
"13","1996-1997","KAN.ST",0,1,0
"14","1996-1997","LOUIS",0,0,0
"15","1996-1997","UM",0,0,0
"16","1996-1997","NEB",1,1,0
"17","1996-1997","RUT",0,0,0
"18","1996-1997","DUKE",1,0,0
"19","1996-1997","UNC",0,1,0
"20","1996-1997","OSU",1,0,0
"21","1996-1997","OKSTATE",0,2,0
"22","1996-1997","OK",0,0,0
"23","1996-1997","ORE",2,0,0
"24","1996-1997","CLEM",0,0,0
"25","1996-1997","SCAR",0,0,0
"26","1996-1997","VANDY",1,2,0
"27","1996-1997","SMU",1,0,0
"28","1996-1997","TAM",0,3,0
"29","1996-1997","UT",1,0,0
"30","1996-1997","UTA.ST",1,0,0
"31","1996-1997","STAN",4,0,0
"32","1997-1998","BAMA",1,0,0
"33","1997-1998","AUB",2,0,0
"34","1997-1998","USC",0,2,1
"35","1997-1998","GTOWN",0,1,0
"36","1997-1998","FSU",1,0,0
"37","1997-1998","FLA",1,1,0
"38","1997-1998","UOFM",1,3,0
"39","1997-1998","UGA",0,1,0
"40","1997-1998","BOS.ST",0,0,0
"41","1997-1998","NWST",0,0,0
"42","1997-1998","ND",1,0,0
"43","1997-1998","KAN.ST",0,1,0
"44","1997-1998","LOUIS",1,0,0
"45","1997-1998","LSU",0,0,0
"46","1997-1998","UM",1,0,0
"47","1997-1998","NEB",0,0,0
"48","1997-1998","RUT",1,0,0
"49","1997-1998","DUKE",1,0,0
"50","1997-1998","UNC",1,1,0
"51","1997-1998","OSU",1,1,0
"52","1997-1998","OKSTATE",0,1,0
"53","1997-1998","ORE.ST",2,0,0
"54","1997-1998","ORE",0,0,0
"55","1997-1998","CLEM",0,0,0
"56","1997-1998","SCAR",1,0,0
"57","1997-1998","VANDY",0,0,0
"58","1997-1998","SMU",1,0,0
"59","1997-1998","TAM",0,0,0
"60","1997-1998","UT",0,1,0
"61","1997-1998","STAN",0,1,0
"62","1998-1999","BAMA",0,0,0
"63","1998-1999","AUB",0,2,0
"64","1998-1999","SJ.ST",0,1,0
"65","1998-1999","USC",0,1,0
"66","1998-1999","GTOWN",0,0,0
"67","1998-1999","FSU",1,0,0
"68","1998-1999","UOFM",1,1,0
"69","1998-1999","UGA",0,1,0
"70","1998-1999","NWST",1,1,0
"71","1998-1999","ND",1,2,0
"72","1998-1999","KAN.ST",0,0,0
"73","1998-1999","LSU",1,0,0
"74","1998-1999","UM",0,0,0
"75","1998-1999","NEB",0,0,0
"76","1998-1999","RUT",0,0,0
"77","1998-1999","DUKE",0,2,0
"78","1998-1999","UNC",0,1,0
"79","1998-1999","OSU",0,0,0
"80","1998-1999","OKSTATE",0,0,0
"81","1998-1999","OK",0,0,0
"82","1998-1999","ORE.ST",0,0,0
"83","1998-1999","ORE",0,0,0
"84","1998-1999","CLEM",0,1,0
"85","1998-1999","SCAR",0,1,0
"86","1998-1999","VANDY",1,1,0
"87","1998-1999","SMU",0,3,0
"88","1998-1999","TAM",1,0,0
"89","1998-1999","UT",0,1,0
"90","1998-1999","STAN",1,1,0
"91","1999-2000","BAMA",0,0,0
"92","1999-2000","SJ.ST",0,0,0
"93","1999-2000","GTOWN",0,1,0
"94","1999-2000","FSU",2,0,0
"95","1999-2000","FLA",0,0,0
"96","1999-2000","UOFM",0,1,0
"97","1999-2000","UGA",0,0,0
"98","1999-2000","BOS.ST",0,0,0
"99","1999-2000","NWST",0,0,0
"100","1999-2000","ND",2,0,0
"101","1999-2000","KAN.ST",1,1,0
"102","1999-2000","LOUIS",0,0,0
"103","1999-2000","LSU",0,0,0
"104","1999-2000","UM",0,1,0
"105","1999-2000","NEB",1,0,0
"106","1999-2000","RUT",0,1,0
"107","1999-2000","DUKE",2,2,0
"108","1999-2000","UNC",0,1,0
"109","1999-2000","OKSTATE",0,0,0
"110","1999-2000","ORE.ST",0,0,0
"111","1999-2000","ORE",0,0,0
"112","1999-2000","CLEM",0,0,0
"113","1999-2000","SCAR",0,0,0
"114","1999-2000","VANDY",2,1,0
"115","1999-2000","SMU",3,2,0
"116","1999-2000","TAM",0,0,0
"117","1999-2000","UT",1,1,0
"118","1999-2000","STAN",1,1,0
"119","2000-2001","BAMA",0,0,0
"120","2000-2001","AUB",0,1,0
"121","2000-2001","SJ.ST",0,0,0
"122","2000-2001","USC",0,0,0
"123","2000-2001","GTOWN",0,1,0
"124","2000-2001","FSU",0,1,0
"125","2000-2001","FLA",3,1,0
"126","2000-2001","UOFM",0,1,0
"127","2000-2001","UGA",1,2,0
"128","2000-2001","BOS.ST",0,1,0
"129","2000-2001","NWST",2,1,0
"130","2000-2001","ND",1,1,0
"131","2000-2001","KAN.ST",1,0,0
"132","2000-2001","LOUIS",0,0,0
"133","2000-2001","LSU",0,0,0
"134","2000-2001","UM",0,0,0
"135","2000-2001","NEB",0,0,0
"136","2000-2001","RUT",1,0,0
"137","2000-2001","DUKE",2,0,0
"138","2000-2001","UNC",0,2,0
"139","2000-2001","OSU",1,2,0
"140","2000-2001","OKSTATE",0,1,0
"141","2000-2001","OK",0,0,0
"142","2000-2001","ORE.ST",0,1,0
"143","2000-2001","ORE",1,1,0
"144","2000-2001","CLEM",2,0,0
"145","2000-2001","SCAR",1,2,0
"146","2000-2001","VANDY",0,1,0
"147","2000-2001","SMU",0,0,0
"148","2000-2001","TAM",0,1,0
"149","2000-2001","UT",0,0,0
"150","2000-2001","STAN",3,2,0
"151","2001-2002","BAMA",2,1,0
"152","2001-2002","AUB",1,2,0
"153","2001-2002","USC",0,2,0
"154","2001-2002","GTOWN",0,1,0
"155","2001-2002","FSU",0,2,0
"156","2001-2002","FLA",0,1,0
"157","2001-2002","UOFM",0,2,0
"158","2001-2002","UGA",0,2,0
"159","2001-2002","BOS.ST",0,1,0
"160","2001-2002","NWST",0,0,0
"161","2001-2002","ND",2,0,0
"162","2001-2002","KAN.ST",2,0,0
"163","2001-2002","LOUIS",2,0,0
"164","2001-2002","LSU",0,0,0
"165","2001-2002","UM",0,1,0
"166","2001-2002","NEB",0,0,0
"167","2001-2002","RUT",0,0,0
"168","2001-2002","DUKE",0,1,0
"169","2001-2002","UNC",1,0,0
"170","2001-2002","OSU",0,0,0
"171","2001-2002","OKSTATE",0,0,0
"172","2001-2002","OK",2,0,0
"173","2001-2002","ORE.ST",0,0,0
"174","2001-2002","ORE",0,0,0
"175","2001-2002","SCAR",0,2,0
"176","2001-2002","VANDY",1,2,0
"177","2001-2002","SMU",0,2,0
"178","2001-2002","TAM",0,1,0
"179","2001-2002","UT",0,1,0
"180","2001-2002","STAN",1,0,1
"181","2002-2003","BAMA",0,2,0
"182","2002-2003","AUB",1,0,0
"183","2002-2003","USC",0,0,0
"184","2002-2003","GTOWN",0,1,0
"185","2002-2003","FSU",0,1,0
"186","2002-2003","FLA",0,2,0
"187","2002-2003","UOFM",0,2,0
"188","2002-2003","UGA",0,0,0
"189","2002-2003","BOS.ST",0,1,0
"190","2002-2003","NWST",1,0,0
"191","2002-2003","ND",2,0,0
"192","2002-2003","KAN.ST",0,0,0
"193","2002-2003","LOUIS",1,0,0
"194","2002-2003","LSU",0,0,0
"195","2002-2003","UM",1,0,0
"196","2002-2003","NEB",1,0,0
"197","2002-2003","RUT",0,0,0
"198","2002-2003","DUKE",0,0,0
"199","2002-2003","UNC",0,2,1
"200","2002-2003","OSU",0,0,0
"201","2002-2003","OKSTATE",0,0,0
"202","2002-2003","OK",0,0,0
"203","2002-2003","ORE.ST",1,0,0
"204","2002-2003","ORE",0,0,0
"205","2002-2003","CLEM",1,0,0
"206","2002-2003","SCAR",1,0,0
"207","2002-2003","VANDY",2,1,0
"208","2002-2003","SMU",0,2,0
"209","2002-2003","TAM",0,0,0
"210","2002-2003","UT",0,0,0
"211","2002-2003","UTA.ST",1,0,0
"212","2002-2003","STAN",0,2,0
"213","2003-2004","BAMA",1,0,0
"214","2003-2004","AUB",1,2,0
"215","2003-2004","USC",0,1,0
"216","2003-2004","GTOWN",1,0,0
"217","2003-2004","FSU",1,0,0
"218","2003-2004","FLA",1,1,0
"219","2003-2004","UOFM",0,2,0
"220","2003-2004","UGA",0,0,0
"221","2003-2004","BOS.ST",0,1,0
"222","2003-2004","NWST",0,2,0
"223","2003-2004","ND",1,1,0
"224","2003-2004","KAN.ST",0,0,0
"225","2003-2004","LOUIS",0,0,0
"226","2003-2004","LSU",0,3,0
"227","2003-2004","UM",1,1,0
"228","2003-2004","NEB",0,0,0
"229","2003-2004","RUT",0,0,0
"230","2003-2004","DUKE",0,0,0
"231","2003-2004","UNC",1,1,0
"232","2003-2004","OSU",0,1,0
"233","2003-2004","OKSTATE",0,0,0
"234","2003-2004","OK",0,0,0
"235","2003-2004","ORE.ST",1,0,0
"236","2003-2004","ORE",0,0,0
"237","2003-2004","CLEM",0,0,0
"238","2003-2004","SCAR",0,2,0
"239","2003-2004","VANDY",0,1,0
"240","2003-2004","SMU",1,2,0
"241","2003-2004","TAM",0,0,0
"242","2003-2004","UT",0,0,0
"243","2003-2004","UTA.ST",2,0,0
"244","2003-2004","STAN",1,1,0
"245","2004-2005","BAMA",0,3,0
"246","2004-2005","AUB",0,0,0
"247","2004-2005","SJ.ST",1,0,0
"248","2004-2005","USC",1,0,0
"249","2004-2005","GTOWN",1,2,0
"250","2004-2005","FSU",0,1,0
"251","2004-2005","FLA",2,1,0
"252","2004-2005","UOFM",0,1,0
"253","2004-2005","UGA",0,0,0
"254","2004-2005","BOS.ST",0,1,0
"255","2004-2005","NWST",1,1,0
"256","2004-2005","ND",1,0,0
"257","2004-2005","KAN.ST",1,1,0
"258","2004-2005","LOUIS",0,0,0
"259","2004-2005","LSU",0,0,0
"260","2004-2005","UM",1,1,0
"261","2004-2005","NEB",1,0,0
"262","2004-2005","RUT",1,1,0
"263","2004-2005","DUKE",2,2,0
"264","2004-2005","UNC",1,0,0
"265","2004-2005","OSU",0,0,0
"266","2004-2005","OKSTATE",0,0,0
"267","2004-2005","OK",0,0,0
"268","2004-2005","ORE.ST",1,1,0
"269","2004-2005","ORE",0,0,0
"270","2004-2005","CLEM",1,1,0
"271","2004-2005","SCAR",0,1,0
"272","2004-2005","VANDY",0,0,0
"273","2004-2005","SMU",0,1,0
"274","2004-2005","TAM",0,0,0
"275","2004-2005","UT",1,1,0
"276","2004-2005","UTA.ST",1,0,0
"277","2004-2005","STAN",2,1,0
"278","2005-2006","BAMA",0,2,0
"279","2005-2006","AUB",0,0,0
"280","2005-2006","SJ.ST",0,0,0
"281","2005-2006","GTOWN",0,3,0
"282","2005-2006","FSU",2,1,0
"283","2005-2006","FLA",0,1,0
"284","2005-2006","UOFM",0,0,0
"285","2005-2006","UGA",0,1,0
"286","2005-2006","BOS.ST",0,0,0
"287","2005-2006","NWST",1,1,0
"288","2005-2006","ND",0,1,0
"289","2005-2006","KAN.ST",0,0,0
"290","2005-2006","LOUIS",0,2,0
"291","2005-2006","UM",0,0,0
"292","2005-2006","NEB",0,1,0
"293","2005-2006","RUT",0,0,0
"294","2005-2006","DUKE",0,1,0
"295","2005-2006","UNC",0,0,0
"296","2005-2006","OSU",1,0,0
"297","2005-2006","OKSTATE",0,2,0
"298","2005-2006","OK",1,0,0
"299","2005-2006","ORE.ST",0,0,0
"300","2005-2006","ORE",2,1,0
"301","2005-2006","CLEM",0,1,0
"302","2005-2006","SCAR",0,1,0
"303","2005-2006","VANDY",1,1,0
"304","2005-2006","SMU",1,2,0
"305","2005-2006","TAM",1,1,0
"306","2005-2006","UT",1,0,0
"307","2005-2006","UTA.ST",0,1,0
"308","2005-2006","STAN",1,1,0
