"","Year","ID_School","Sport","White.Males","White.Females","Black.Males","Black.Females","Hispanic.Males","Hispanic.Females","Other.Males","Other.Females"
"2","1996-1997","BAMA","Basketball",3,5,10,9,0,0,0,1
"3","1996-1997","BOS.ST","Basketball",1,3,0,0,0,0,0,1
"5","1996-1997","DUKE","Basketball",3,7,7,7,0,0,1,1
"7","1996-1997","FLA","Basketball",5,2,6,8,0,0,0,1
"10","1996-1997","LOUIS","Basketball",1,7,3,0,0,0,0,0
"12","1996-1997","ND","Basketball",9,8,4,4,0,0,0,0
"14","1996-1997","NWST","Basketball",6,12,5,2,0,0,0,0
"16","1996-1997","OK","Basketball",3,7,3,5,0,0,1,0
"19","1996-1997","ORE.ST","Basketball",7,10,7,3,0,0,1,5
"21","1996-1997","OSU","Basketball",2,6,8,9,0,0,0,1
"23","1996-1997","SCAR","Basketball",3,5,10,7,0,0,1,0
"26","1996-1997","STAN","Basketball",6,8,5,5,1,1,1,1
"28","1996-1997","UGA","Basketball",3,2,11,10,0,0,0,2
"30","1996-1997","UNC","Basketball",4,3,4,10,1,0,4,1
"32","1996-1997","USC","Basketball",0,4,10,9,2,0,0,1
"35","1996-1997","VANDY","Basketball",6,6,5,6,0,0,0,1
"37","1997-1998","BAMA","Basketball",1,5,12,8,0,0,0,0
"38","1997-1998","BOS.ST","Basketball",6,8,7,4,0,1,1,0
"40","1997-1998","DUKE","Basketball",4,7,6,5,0,0,2,2
"42","1997-1998","FLA","Basketball",5,3,7,9,0,0,0,1
"44","1997-1998","GTOWN","Basketball",0,6,9,7,0,0,3,1
"45","1997-1998","KAN.ST","Basketball",5,11,7,3,1,0,0,0
"47","1997-1998","LSU","Basketball",1,3,11,9,0,0,0,2
"49","1997-1998","NEB","Basketball",6,13,6,4,0,0,1,0
"51","1997-1998","OKSTATE","Basketball",7,6,5,6,0,1,0,1
"52","1997-1998","ORE","Basketball",2,10,7,0,0,1,2,5
"54","1997-1998","RUT","Basketball",3,3,6,8,1,0,2,3
"56","1997-1998","SJ.ST","Basketball",4,6,8,5,0,1,0,2
"57","1997-1998","SMU","Basketball",6,10,8,4,0,0,0,0
"59","1997-1998","TAM","Basketball",3,9,8,6,0,0,2,0
