,Year,ID_School,Sport,White.Males,White.Females,Black.Males,Black.Females,Hispanic.Males,Hispanic.Females,Other.Males,Other.Females
1,1996-1997,AUB,Football,22,0,65,0,0,0,0,0
2,1996-1997,BAMA,Basketball,3,5,10,9,0,0,0,1
3,1996-1997,BOS.ST,Basketball,1,3,0,0,0,0,0,1
4,1996-1997,CLEM,Football,28,0,49,0,0,0,0,0
5,1996-1997,DUKE,Basketball,3,7,7,7,0,0,1,1
6,1996-1997,DUKE,Football,46,0,34,0,1,0,2,0
7,1996-1997,FLA,Basketball,5,2,6,8,0,0,0,1
8,1996-1997,FSU,Football,22,0,59,0,0,0,0,0
9,1996-1997,KAN.ST,Football,35,0,42,0,1,0,1,0
10,1996-1997,LOUIS,Basketball,1,7,3,0,0,0,0,0
11,1996-1997,LSU,Football,29,0,54,0,0,0,0,0
12,1996-1997,ND,Basketball,9,8,4,4,0,0,0,0
13,1996-1997,NEB,Football,52,0,46,0,3,0,1,0
14,1996-1997,NWST,Basketball,6,12,5,2,0,0,0,0
15,1996-1997,NWST,Football,51,0,38,0,0,0,0,0
16,1996-1997,OK,Basketball,3,7,3,5,0,0,1,0
17,1996-1997,OKSTATE,Football,23,0,50,0,2,0,4,0
18,1996-1997,ORE,Football,40,0,32,0,1,0,7,0
19,1996-1997,ORE.ST,Basketball,7,10,7,3,0,0,1,5
20,1996-1997,ORE.ST,Football,33,0,45,0,3,0,6,0
21,1996-1997,OSU,Basketball,2,6,8,9,0,0,0,1
22,1996-1997,RUT,Football,31,0,40,0,3,0,0,0
23,1996-1997,SCAR,Basketball,3,5,10,7,0,0,1,0
24,1996-1997,SJ.ST,Football,29,0,16,0,5,0,5,0
25,1996-1997,SMU,Football,36,0,44,0,4,0,0,0
26,1996-1997,STAN,Basketball,6,8,5,5,1,1,1,1
27,1996-1997,TAM,Football,29,0,46,0,0,0,2,0
28,1996-1997,UGA,Basketball,3,2,11,10,0,0,0,2
29,1996-1997,UM,Football,45,0,43,0,0,0,0,0
30,1996-1997,UNC,Basketball,4,3,4,10,1,0,4,1
31,1996-1997,UOFM,Football,15,0,59,0,2,0,0,0
32,1996-1997,USC,Basketball,0,4,10,9,2,0,0,1
33,1996-1997,UT,Football,39,0,47,0,2,0,0,0
34,1996-1997,UTA.ST,Football,35,0,33,0,1,0,7,0
35,1996-1997,VANDY,Basketball,6,6,5,6,0,0,0,1
36,1997-1998,AUB,Football,27,0,64,0,0,0,0,0
37,1997-1998,BAMA,Basketball,1,5,12,8,0,0,0,0
38,1997-1998,BOS.ST,Basketball,6,8,7,4,0,1,1,0
39,1997-1998,CLEM,Football,34,0,47,0,0,0,0,0
40,1997-1998,DUKE,Basketball,4,7,6,5,0,0,2,2
41,1997-1998,DUKE,Football,50,0,30,0,0,0,1,0
42,1997-1998,FLA,Basketball,5,3,7,9,0,0,0,1
43,1997-1998,FSU,Football,19,0,58,0,0,0,1,0
44,1997-1998,GTOWN,Basketball,0,6,9,7,0,0,3,1
45,1997-1998,KAN.ST,Basketball,5,11,7,3,1,0,0,0
46,1997-1998,LOUIS,Football,24,0,51,0,1,0,0,0
47,1997-1998,LSU,Basketball,1,3,11,9,0,0,0,2
48,1997-1998,ND,Football,27,0,48,0,0,0,4,0
49,1997-1998,NEB,Basketball,6,13,6,4,0,0,1,0
50,1997-1998,OK,Football,22,0,31,0,0,0,0,0
51,1997-1998,OKSTATE,Basketball,7,6,5,6,0,1,0,1
52,1997-1998,ORE,Basketball,2,10,7,0,0,1,2,5
53,1997-1998,OSU,Football,35,0,45,0,1,0,3,0
54,1997-1998,RUT,Basketball,3,3,6,8,1,0,2,3
55,1997-1998,SCAR,Football,25,0,50,0,1,0,0,0
56,1997-1998,SJ.ST,Basketball,4,6,8,5,0,1,0,2
57,1997-1998,SMU,Basketball,6,10,8,4,0,0,0,0
58,1997-1998,STAN,Football,43,0,33,0,1,0,4,0
59,1997-1998,TAM,Basketball,3,9,8,6,0,0,2,0
60,1997-1998,UGA,Football,32,0,49,0,0,0,0,0
61,1997-1998,UM,Basketball,4,5,6,5,0,1,1,1
62,1997-1998,UNC,Football,25,0,57,0,0,0,2,0
63,1997-1998,UOFM,Basketball,0,3,11,6,0,0,1,2
64,1997-1998,USC,Football,29,0,47,0,3,0,5,0
65,1997-1998,UT,Basketball,3,8,9,9,0,0,2,0
66,1997-1998,UTA.ST,Basketball,5,0,8,0,0,0,0,0
67,1997-1998,VANDY,Football,38,0,50,0,2,0,1,0
68,1998-1999,AUB,Basketball,2,3,8,11,0,0,1,1
69,1998-1999,BAMA,Football,25,0,64,0,1,0,0,0
70,1998-1999,BOS.ST,Football,8,0,7,0,0,0,5,0
71,1998-1999,CLEM,Basketball,2,3,8,10,0,0,3,2
72,1998-1999,FLA,Football,26,0,58,0,0,0,2,0
73,1998-1999,FSU,Basketball,1,9,5,5,0,0,0,0
74,1998-1999,KAN.ST,Football,33,0,43,0,2,0,1,0
75,1998-1999,LOUIS,Basketball,4,7,9,5,0,0,0,1
76,1998-1999,LSU,Football,24,0,60,0,0,0,1,0
77,1998-1999,ND,Basketball,8,5,3,6,0,0,1,0
78,1998-1999,NEB,Football,56,0,35,0,2,0,3,0
79,1998-1999,NWST,Basketball,8,10,3,2,0,1,2,0
80,1998-1999,NWST,Football,43,0,33,0,1,0,1,0
81,1998-1999,OK,Basketball,2,4,8,6,0,0,3,5
82,1998-1999,OKSTATE,Football,27,0,51,0,2,0,0,0
83,1998-1999,ORE,Football,38,0,32,0,6,0,10,0
84,1998-1999,ORE.ST,Basketball,4,9,2,3,0,0,4,3
85,1998-1999,ORE.ST,Football,35,0,31,0,4,0,15,0
86,1998-1999,OSU,Basketball,0,0,9,5,1,8,2,1
87,1998-1999,SCAR,Football,20,0,60,0,1,0,0,0
88,1998-1999,SJ.ST,Basketball,3,4,8,7,0,0,2,3
89,1998-1999,SMU,Basketball,4,9,8,6,0,0,0,0
90,1998-1999,STAN,Football,43,0,33,0,2,0,4,0
91,1998-1999,TAM,Basketball,3,6,9,8,0,0,1,0
92,1998-1999,UGA,Football,28,0,49,0,0,0,0,0
93,1998-1999,UM,Basketball,3,5,7,8,0,1,0,2
94,1998-1999,UNC,Football,21,0,55,0,0,0,1,0
95,1998-1999,UOFM,Basketball,0,3,7,3,0,0,1,2
96,1998-1999,USC,Football,34,0,43,0,3,0,7,0
97,1998-1999,UT,Basketball,2,6,8,10,0,0,2,0
98,1998-1999,UTA.ST,Basketball,7,0,5,0,0,0,1,0
99,1998-1999,VANDY,Football,50,0,39,0,0,0,1,0
100,1999-2000,AUB,Basketball,3,1,9,14,0,0,1,1
101,1999-2000,BAMA,Football,25,0,59,0,0,0,0,0
102,1999-2000,BOS.ST,Football,61,0,30,0,2,0,3,0
103,1999-2000,CLEM,Basketball,4,4,5,11,0,0,4,1
104,1999-2000,FLA,Football,25,0,56,0,0,0,2,0
105,1999-2000,FSU,Basketball,3,7,7,4,0,0,0,0
106,1999-2000,KAN.ST,Football,33,0,46,0,0,0,4,0
107,1999-2000,LOUIS,Basketball,2,11,9,8,0,0,0,0
108,1999-2000,LSU,Football,30,0,54,0,0,0,1,0
109,1999-2000,ND,Basketball,7,4,4,5,0,1,2,0
110,1999-2000,NEB,Football,57,0,36,0,1,0,6,0
111,1999-2000,NWST,Basketball,6,11,3,3,0,1,4,0
112,1999-2000,OK,Football,26,0,49,0,2,0,3,0
113,1999-2000,OKSTATE,Basketball,3,12,9,7,0,0,2,2
114,1999-2000,ORE,Basketball,3,9,6,4,0,0,3,3
115,1999-2000,OSU,Football,36,0,43,0,1,0,2,0
116,1999-2000,RUT,Basketball,3,2,7,11,1,0,3,3
117,1999-2000,SCAR,Football,25,0,61,0,1,0,0,0
118,1999-2000,SJ.ST,Basketball,2,1,5,7,0,1,2,2
119,1999-2000,SMU,Basketball,3,6,10,7,0,0,0,0
120,1999-2000,STAN,Football,39,0,36,0,0,0,5,0
121,1999-2000,TAM,Basketball,3,8,12,8,0,0,2,0
122,1999-2000,UGA,Football,26,0,53,0,0,0,0,0
123,1999-2000,UM,Basketball,5,5,8,5,0,1,0,2
124,1999-2000,UNC,Football,22,0,54,0,0,0,0,0
125,1999-2000,UOFM,Basketball,0,5,9,4,0,1,1,3
126,1999-2000,USC,Football,34,0,43,0,4,0,9,0
127,1999-2000,UT,Basketball,3,9,8,8,0,0,3,0
128,1999-2000,UTA.ST,Basketball,6,0,5,0,0,0,2,0
129,1999-2000,VANDY,Football,60,0,27,0,0,0,2,0
130,2000-2001,AUB,Basketball,3,3,6,11,0,0,2,1
131,2000-2001,BAMA,Football,25,0,61,0,0,0,0,0
132,2000-2001,BOS.ST,Football,56,0,28,0,3,0,5,0
133,2000-2001,CLEM,Basketball,4,2,3,4,0,0,0,0
134,2000-2001,FLA,Football,23,0,56,0,1,0,2,0
135,2000-2001,FSU,Basketball,2,7,10,5,0,0,0,2
136,2000-2001,GTOWN,Football,0,0,1,0,0,0,0,0
137,2000-2001,KAN.ST,Basketball,3,7,6,5,0,0,2,0
138,2000-2001,LOUIS,Football,27,0,50,0,1,0,2,0
139,2000-2001,LSU,Basketball,2,2,7,8,0,0,0,1
140,2000-2001,ND,Football,32,0,43,0,1,0,3,0
141,2000-2001,NEB,Basketball,3,8,9,7,0,1,2,1
142,2000-2001,OK,Football,30,0,53,0,2,0,7,0
143,2000-2001,OKSTATE,Basketball,2,7,9,6,1,0,2,2
144,2000-2001,ORE,Basketball,5,8,5,4,0,0,3,0
145,2000-2001,OSU,Football,30,0,52,0,2,0,2,0
146,2000-2001,RUT,Basketball,3,1,7,11,1,0,1,3
147,2000-2001,SCAR,Football,23,0,64,0,0,0,0,0
148,2000-2001,SJ.ST,Basketball,3,4,8,10,0,1,1,0
149,2000-2001,SMU,Basketball,3,6,9,7,0,0,0,1
150,2000-2001,STAN,Football,42,0,36,0,0,0,4,0
151,2000-2001,TAM,Basketball,4,8,9,10,0,0,2,0
152,2000-2001,UGA,Football,25,0,58,0,0,0,0,0
153,2000-2001,UM,Basketball,3,5,7,3,0,1,0,2
154,2000-2001,UNC,Football,23,0,59,0,0,0,1,0
155,2000-2001,UOFM,Basketball,0,3,9,6,0,0,2,5
156,2000-2001,USC,Football,30,0,41,0,3,0,19,0
157,2000-2001,UT,Basketball,4,7,11,8,0,0,0,0
158,2000-2001,UTA.ST,Basketball,7,0,5,0,0,0,2,0
159,2000-2001,VANDY,Football,58,0,26,0,0,0,1,0
160,2001-2002,AUB,Basketball,2,2,10,14,0,0,2,3
161,2001-2002,BAMA,Football,28,0,61,0,0,0,0,0
162,2001-2002,BOS.ST,Football,57,0,23,0,3,0,6,0
163,2001-2002,CLEM,Basketball,0,0,1,0,0,0,1,0
164,2001-2002,FLA,Football,24,0,52,0,2,0,2,0
165,2001-2002,FSU,Basketball,3,6,10,7,0,0,0,0
166,2001-2002,GTOWN,Football,6,0,10,0,0,0,0,0
167,2001-2002,KAN.ST,Basketball,1,11,7,3,0,0,3,1
168,2001-2002,LOUIS,Football,28,0,54,0,3,0,0,0
169,2001-2002,LSU,Basketball,0,1,10,11,0,0,0,0
170,2001-2002,ND,Football,34,0,46,0,0,0,3,0
171,2001-2002,NEB,Basketball,8,8,6,6,0,0,0,1
172,2001-2002,NWST,Football,41,0,38,0,4,0,6,0
173,2001-2002,OK,Basketball,2,4,8,5,1,0,2,4
174,2001-2002,OKSTATE,Football,38,0,40,0,2,0,4,0
175,2001-2002,ORE,Football,34,0,38,0,4,0,11,0
