"","Year","ID_School","Sport","White.Males","Black.Males","Hispanic.Males","Other.Males"
"1","1996-1997","AUB","Football",22,65,0,0
"4","1996-1997","CLEM","Football",28,49,0,0
"6","1996-1997","DUKE","Football",46,34,1,2
"8","1996-1997","FSU","Football",22,59,0,0
"9","1996-1997","KAN.ST","Football",35,42,1,1
"11","1996-1997","LSU","Football",29,54,0,0
"13","1996-1997","NEB","Football",52,46,3,1
"15","1996-1997","NWST","Football",51,38,0,0
"17","1996-1997","OKSTATE","Football",23,50,2,4
"18","1996-1997","ORE","Football",40,32,1,7
"20","1996-1997","ORE.ST","Football",33,45,3,6
"22","1996-1997","RUT","Football",31,40,3,0
"24","1996-1997","SJ.ST","Football",29,16,5,5
"25","1996-1997","SMU","Football",36,44,4,0
"27","1996-1997","TAM","Football",29,46,0,2
"29","1996-1997","UM","Football",45,43,0,0
"31","1996-1997","UOFM","Football",15,59,2,0
"33","1996-1997","UT","Football",39,47,2,0
"34","1996-1997","UTA.ST","Football",35,33,1,7
"36","1997-1998","AUB","Football",27,64,0,0
"39","1997-1998","CLEM","Football",34,47,0,0
"41","1997-1998","DUKE","Football",50,30,0,1
"43","1997-1998","FSU","Football",19,58,0,1
"46","1997-1998","LOUIS","Football",24,51,1,0
"48","1997-1998","ND","Football",27,48,0,4
"50","1997-1998","OK","Football",22,31,0,0
"53","1997-1998","OSU","Football",35,45,1,3
"55","1997-1998","SCAR","Football",25,50,1,0
"58","1997-1998","STAN","Football",43,33,1,4
"60","1997-1998","UGA","Football",32,49,0,0
"62","1997-1998","UNC","Football",25,57,0,2
"64","1997-1998","USC","Football",29,47,3,5
"67","1997-1998","VANDY","Football",38,50,2,1
"69","1998-1999","BAMA","Football",25,64,1,0
"70","1998-1999","BOS.ST","Football",8,7,0,5
"72","1998-1999","FLA","Football",26,58,0,2
"74","1998-1999","KAN.ST","Football",33,43,2,1
"76","1998-1999","LSU","Football",24,60,0,1
"78","1998-1999","NEB","Football",56,35,2,3
"80","1998-1999","NWST","Football",43,33,1,1
"82","1998-1999","OKSTATE","Football",27,51,2,0
"83","1998-1999","ORE","Football",38,32,6,10
"85","1998-1999","ORE.ST","Football",35,31,4,15
"87","1998-1999","SCAR","Football",20,60,1,0
"90","1998-1999","STAN","Football",43,33,2,4
"92","1998-1999","UGA","Football",28,49,0,0
"94","1998-1999","UNC","Football",21,55,0,1
"96","1998-1999","USC","Football",34,43,3,7
"99","1998-1999","VANDY","Football",50,39,0,1
"101","1999-2000","BAMA","Football",25,59,0,0
"102","1999-2000","BOS.ST","Football",61,30,2,3
"104","1999-2000","FLA","Football",25,56,0,2
"106","1999-2000","KAN.ST","Football",33,46,0,4
"108","1999-2000","LSU","Football",30,54,0,1
"110","1999-2000","NEB","Football",57,36,1,6
"112","1999-2000","OK","Football",26,49,2,3
"115","1999-2000","OSU","Football",36,43,1,2
"117","1999-2000","SCAR","Football",25,61,1,0
"120","1999-2000","STAN","Football",39,36,0,5
"122","1999-2000","UGA","Football",26,53,0,0
"124","1999-2000","UNC","Football",22,54,0,0
"126","1999-2000","USC","Football",34,43,4,9
"129","1999-2000","VANDY","Football",60,27,0,2
"131","2000-2001","BAMA","Football",25,61,0,0
"132","2000-2001","BOS.ST","Football",56,28,3,5
"134","2000-2001","FLA","Football",23,56,1,2
"136","2000-2001","GTOWN","Football",0,1,0,0
"138","2000-2001","LOUIS","Football",27,50,1,2
"140","2000-2001","ND","Football",32,43,1,3
"142","2000-2001","OK","Football",30,53,2,7
"145","2000-2001","OSU","Football",30,52,2,2
"147","2000-2001","SCAR","Football",23,64,0,0
"150","2000-2001","STAN","Football",42,36,0,4
"152","2000-2001","UGA","Football",25,58,0,0
"154","2000-2001","UNC","Football",23,59,0,1
"156","2000-2001","USC","Football",30,41,3,19
"159","2000-2001","VANDY","Football",58,26,0,1
"161","2001-2002","BAMA","Football",28,61,0,0
"162","2001-2002","BOS.ST","Football",57,23,3,6
"164","2001-2002","FLA","Football",24,52,2,2
"166","2001-2002","GTOWN","Football",6,10,0,0
"168","2001-2002","LOUIS","Football",28,54,3,0
"170","2001-2002","ND","Football",34,46,0,3
"172","2001-2002","NWST","Football",41,38,4,6
"174","2001-2002","OKSTATE","Football",38,40,2,4
"175","2001-2002","ORE","Football",34,38,4,11
"177","2001-2002","ORE.ST","Football",37,38,2,10
"179","2001-2002","RUT","Football",34,50,1,2
"181","2001-2002","SJ.ST","Football",19,36,2,13
"182","2001-2002","SMU","Football",50,33,0,2
"184","2001-2002","TAM","Football",28,53,1,1
"186","2001-2002","UM","Football",52,36,0,5
"188","2001-2002","UOFM","Football",15,54,3,5
"190","2001-2002","UT","Football",34,53,2,0
"191","2001-2002","UTA.ST","Football",39,20,7,8
