"","Year","ID_School","White.Males","White.Females","Black.Males","Black.Females","Hispanic.Males","Hispanic.Females","Other.Males","Other.Females"
"1","1996-1997","AUB",81,92,81,16,0,3,15,9
"2","1996-1997","BAMA",88,84,65,17,3,3,14,18
"3","1996-1997","BOS.ST",22,13,5,3,0,0,2,1
"4","1996-1997","CLEM",128,78,73,16,0,1,14,18
"5","1996-1997","DUKE",111,67,42,7,1,2,9,4
"6","1996-1997","FLA",94,95,73,20,11,3,9,10
"7","1996-1997","FSU",80,78,78,20,5,4,10,10
"8","1996-1997","GTOWN",62,36,13,17,0,0,4,3
"9","1996-1997","KAN.ST",95,57,54,6,2,1,1,2
"10","1996-1997","LOUIS",32,28,20,1,0,0,2,1
"11","1996-1997","LSU",87,73,71,24,2,5,21,28
"12","1996-1997","ND",134,102,57,8,3,2,15,5
"13","1996-1997","NEB",176,138,72,14,11,0,4,10
"14","1996-1997","NWST",115,104,44,7,0,0,5,3
"15","1996-1997","OK",110,71,70,16,7,2,25,16
"16","1996-1997","OKSTATE",76,42,60,12,7,4,29,23
"17","1996-1997","ORE",88,73,43,3,1,5,22,17
"18","1996-1997","ORE.ST",123,87,53,4,8,6,16,16
"19","1996-1997","OSU",161,124,63,22,9,2,34,28
"20","1996-1997","RUT",149,154,57,25,7,1,6,3
"21","1996-1997","SCAR",95,74,75,18,4,0,20,17
"22","1996-1997","SJ.ST",83,82,33,9,12,13,13,25
"23","1996-1997","SMU",74,60,53,5,6,1,19,12
"24","1996-1997","STAN",134,112,43,11,10,6,13,20
"25","1996-1997","TAM",121,107,69,17,1,5,13,11
"26","1996-1997","UGA",94,92,84,21,2,0,9,20
"27","1996-1997","UM",133,136,61,23,2,5,13,11
"28","1996-1997","UNC",165,137,82,25,5,1,10,4
"29","1996-1997","UOFM",39,34,73,22,10,3,10,15
"30","1996-1997","USC",70,46,56,16,9,5,21,21
"31","1996-1997","UT",133,83,67,28,9,7,6,13
"32","1996-1997","UTA.ST",80,85,42,0,1,2,8,3
"33","1996-1997","VANDY",77,58,61,11,3,1,6,15
"34","1997-1998","AUB",89,92,75,16,1,3,16,9
"35","1997-1998","BAMA",87,84,72,21,4,5,14,12
"36","1997-1998","BOS.ST",93,62,38,6,6,2,16,12
"37","1997-1998","CLEM",128,81,66,17,1,1,14,18
"38","1997-1998","DUKE",115,75,40,8,1,0,8,4
"39","1997-1998","FLA",101,100,81,25,9,4,11,10
"40","1997-1998","FSU",74,74,73,20,3,6,15,15
