Item,Description,Category
Year,Calendar School Year,Time
unitid,IPEDS University ID,ID
DOE.Institution_Name,University Name,Name
Sport,Sport,Name
ID_Variable,Descriptive Variable,
Variable,Variable,Var
T,Total,Sum Total
M,Male,Gender
F,Female,Gender
C,Caucasian,Race
AA,African American,Race
H,Hispanic,Race
AS.PI,Asian/Pacific Islander,Race
AI,American Indian,Race
UNK,Unknown,Race
NON,Non-resident Alien,Race
fname,Filename,File
CIP_Classificaiton,CIP Description,ID
CIPFamily,CIP ID,Name
ID_Award_Level,,ID
AS,Asian,Race
PI,Pacific Islander,Race
MIX,Mixed Race,Race
BD,Bachelors Degrees Conferred,Item
