Number,Player,PlayerBio_URL,Position,Height,Weight,Year,Hometown,City,State,High_School,ID_Player_Race,Formal_Stated_Major,College_Major_Group,DBPediaCollege_Name,Season
41,Chad Abram,http://www.seminoles.com/sports/m-footbl/mtt/chad_abram_706905.html,FB,6/1/00,235,JR,"Lakeland, Fla.",Lakeland,FLA,Kathleen,,,,Florida State University,2012-2013
40,Danny Adams,http://www.seminoles.com/sports/m-footbl/mtt/danny_adams_820208.html,LS,5/9/13,195,SO,"Ft. Lauderdale, Fla.",Ft. Lauderdale,FLA,St. Thomas Aquinas,,,,Florida State University,2012-2013
19,Roberto Aguayo,http://www.seminoles.com/sports/m-footbl/mtt/roberto_aguayo_812094.html,K,6/1/13,212,FR,"Mascotte, Fla.",Mascotte,FLA,South Lake,,,,Florida State University,2012-2013
38,Jonathan Akanbi,http://www.seminoles.com/sports/m-footbl/mtt/jonathan_akanbi_750921.html,DB,6/1/13,197,RS SO,"Orlando, Fla.",Orlando,FLA,Edgewater,,,,Florida State University,2012-2013
23,Jared Armstrong,http://www.seminoles.com/sports/m-footbl/mtt/jared_armstrong_820207.html,QB,6/1/00,180,FR,"Gainesville, Fla.",Gainesville,FLA,Oak Hall,,,,Florida State University,2012-2013
62,Austin Barron,http://www.seminoles.com/sports/m-footbl/mtt/austin_barron_763534.html,OL,6/3/13,293,SO,"Ft. Lauderdale, Fla.",Ft. Lauderdale,FLA,St. Thomas Aquinas,,,,Florida State University,2012-2013
38,Cason Beatty,http://www.seminoles.com/sports/m-footbl/mtt/cason_beatty_797268.html,P,6/3/13,229,FR,"Charlotte, N.C.",Charlotte,NC,Olympic,,,,Florida State University,2012-2013
1,Kelvin Benjamin,http://www.seminoles.com/sports/m-footbl/mtt/kelvin_benjamin_763535.html,WR,6/5/13,243,RS FR,"Belle Glade, Fla.",Belle Glade,FLA,Glades Central,,,,Florida State University,2012-2013
30,Colin Blake,http://www.seminoles.com/sports/m-footbl/mtt/colin_blake_804675.html,DB,6/3/13,194,FR,"San Antonio, Texas",San Antonio,TEXAS,Brandeis,,,,Florida State University,2012-2013
10,Marvin Bracy,http://www.seminoles.com/sports/m-footbl/mtt/marvin_bracy_804676.html,WR,5/9/13,172,FR,"Orlando, Fla.",Orlando,FLA,Boone,,,,Florida State University,2012-2013
3,Justin Bright,http://www.seminoles.com/sports/m-footbl/mtt/justin_bright_459111.html,DB,6/1/13,197,RS JR,"Duncan, S.C.",Duncan,SC,Byrnes,,,,Florida State University,2012-2013
31,Terrence Brooks,http://www.seminoles.com/sports/m-footbl/mtt/terrence_brooks_706925.html,DB,5/11/13,197,JR,"Dunnellon, Fla.",Dunnellon,FLA,Dunnellon,,,,Florida State University,2012-2013
27,Chris Brown,http://www.seminoles.com/sports/m-footbl/mtt/chris_brown_778193.html,RB,6/1/00,210,RS FR,"Tampa, Fla.",Tampa,FLA,Cambridge Christian,,,,Florida State University,2012-2013
98,Shayne Broxsie,http://www.seminoles.com/sports/m-footbl/mtt/shayne_broxsie_706906.html,DE,6/2/13,275,SR,"Monticello, Fla.",Monticello,FLA,Jefferson County,,,,Florida State University,2012-2013
42,Lamarcus Brutus,http://www.seminoles.com/sports/m-footbl/mtt/lamarcus_brutus_763538.html,DB,6/1/00,193,RS FR,"Port St. Lucie, Fla.",Port St. Lucie,FLA,Treasure Coast,,,,Florida State University,2012-2013
36,Kory Burnett,http://www.seminoles.com/sports/m-footbl/mtt/kory_burnett_778194.html,DB,6/1/00,205,RS JR,"Jacksonville, Fla.",Jacksonville,FLA,Bartram Trail,,,,Florida State University,2012-2013
45,Will Burnham,http://www.seminoles.com/sports/m-footbl/mtt/will_burnham_798998.html,RB,6/1/00,185,FR,"Lithia, Fla.",Lithia,FLA,Newsome,,,,Florida State University,2012-2013
91,Cornellius Carradine,http://www.seminoles.com/sports/m-footbl/mtt/cornellius_carradine_762910.html,DE,6/5/13,265,SR,"Cincinnati, Ohio",Cincinnati,OHIO,Taft,,,,Florida State University,2012-2013
65,Ruben Carter,http://www.seminoles.com/sports/m-footbl/mtt/ruben_carter_763539.html,OL,6/4/13,294,RS FR,"Miami, Fla.",Miami,FLA,Jackson,,,,Florida State University,2012-2013
21,Chris Casher,http://www.seminoles.com/sports/m-footbl/mtt/chris_casher_804712.html,DE,6/4/13,248,FR,"Mobile, Ala.",Mobile,ALA,Davidson,,,,Florida State University,2012-2013
49,Donald Chenault,http://www.seminoles.com/sports/m-footbl/mtt/donald_chenault_797269.html,LB,6/2/13,200,SO,"Coral Springs, Florida",Coral Springs,FLORIDA,St. Thomas Aquinas,,,,Florida State University,2012-2013
14,Jacob Coker,http://www.seminoles.com/sports/m-footbl/mtt/jacob_coker_763567.html,QB,6/6/13,227,RS FR,"Mobile, Ala.",Mobile,ALA,St. Paul's Episcopal,,,,Florida State University,2012-2013
35,Parker Conley,http://www.seminoles.com/sports/m-footbl/mtt/parker_conley_749519.html,P,6/5/13,210,SO,"Norcross, GA",Norcross,GA,Norcross,,,,Florida State University,2012-2013
47,Cory Cox,http://www.seminoles.com/sports/m-footbl/mtt/cory_cox_750923.html,LB,6/1/13,221,SR,"Blountstown, Fla.",Blountstown,FLA,Blounstown,,,,Florida State University,2012-2013
13,Ronald Darby,http://www.seminoles.com/sports/m-footbl/mtt/ronald_darby_804713.html,DB,5/11/13,189,FR,"Oxon Hill, Md.",Oxon Hill,MD,Potomac,,,,Florida State University,2012-2013
61,Myles Davis,http://www.seminoles.com/sports/m-footbl/mtt/myles_davis_812096.html,OL,6/2/13,310,FR,"Gainesville, Fla.",Gainesville,FLA,Buchholz,,,,Florida State University,2012-2013
93,Everett Dawkins,http://www.seminoles.com/sports/m-footbl/mtt/everett_dawkins_459188.html,DT,6/3/13,304,RS SR,"Spartanburg, S.C.",Spartanburg,SC,Byrnes,,,,Florida State University,2012-2013
64,Dax Dellenbach,http://www.seminoles.com/sports/m-footbl/mtt/dax_dellenbach_725037.html,DS,6/1/13,235,SR,"Ft. Lauderdale, Fla.",Ft. Lauderdale,FLA,North Broward Prep,,,,Florida State University,2012-2013
