Player,Year,Position,Height,Weight,Hometown,City,State,High_School,Prior_College,ID_Player_Race,PlayerBio_URL,Formal_Stated_Major,College_Major_Group,Season,DBPediaCollege_Name
Al Page,SO,DL,2-Jun,280,"Bronx, NY",Bronx,NY,Christopher Columbus High School,,AA,http://www.scarletknights.com/football/roster/detail.asp?id=19,Undeclared,Undeclared,2012-2013,Rutgers University
Andre Civil,SR,OL,3-Jun,275,"Brooklyn, NY",Brooklyn,NY,Sheepshead Bay High School,,AA,http://www.scarletknights.com/football/roster/detail.asp?id=4337,Criminal Justice,Criminal Studies,2012-2013,Rutgers University
Anthony DiPaula,SO,P,1-Jun,190,"Manalapan, NJ",Manalapan,NJ,St. John Vianney High School,,C,http://www.scarletknights.com/football/roster/detail.asp?id=4599,Undeclared,Undeclared,2012-2013,Rutgers University
Anthony Milito,SO,LB,11-May,240,"Basking Ridge, NJ",Basking Ridge,NJ,Ridge High School,,C,http://www.scarletknights.com/football/roster/detail.asp?id=4661,Undeclared,Undeclared,2012-2013,Rutgers University
Antwan Lowery,SR,OL,4-Jun,305,"Miami, FL",Miami,FL,Christopher Columbus High School,,AA,http://www.scarletknights.com/football/roster/detail.asp?id=4360,Labor Studies,Labor Studies,2012-2013,Rutgers University
Aubrey Lewis,FR,RB,9-May,165,"Montclair, NJ",Montclair,NJ,Montclair High School,,AA,http://www.scarletknights.com/football/roster/detail.asp?id=4659,Undeclared,Undeclared,2012-2013,Rutgers University
Beau Bachety,SR,TE,4-Jun,255,"Babylon, NY",Babylon,NY,Babylon High School,,C,http://www.scarletknights.com/football/roster/detail.asp?id=3936,Criminal Justice,Criminal Studies,2012-2013,Rutgers University
Ben Martin,SO,RB,11-May,185,"Galloway, NJ",Galloway,NJ,Absegami High School,,AA,http://www.scarletknights.com/football/roster/detail.asp?id=16,Undeclared,Undeclared,2012-2013,Rutgers University
Betim Bujari,JR,OL,4-Jun,290,"Secaucus, NJ",Secaucus,NJ,Secaucus High School,,C,http://www.scarletknights.com/football/roster/detail.asp?id=4479,Information Technology and Informatics,Science and Technology,2012-2013,Rutgers University
Blake Rankin,FR,QB,4-Jun,190,"Bloomsburg, PA",Bloomsburg,PA,Bloomsburg High School,,C,http://www.scarletknights.com/football/roster/detail.asp?id=4867,Undeclared,Undeclared,2012-2013,Rutgers University
Brandon Arcidiacono,FR,OL,4-Jun,260,"Holland, PA",Holland,PA,Archbishop Wood High School,,C,http://www.scarletknights.com/football/roster/detail.asp?id=4857,Undeclared,Undeclared,2012-2013,Rutgers University
Brandon Coleman,JR,WR,6-Jun,220,"Accokeek, MD",Accokeek,MD,Bishop McNamara,,AA,http://www.scarletknights.com/football/roster/detail.asp?id=4519,Labor Studies,Labor Studies,2012-2013,Rutgers University
Brandon Jones,SR,DB,1-Jun,185,"Sicklerville, NJ",Sicklerville,NJ,Winslow Township High School,,AA,http://www.scarletknights.com/football/roster/detail.asp?id=3979,Labor Studies,Labor Studies,2012-2013,Rutgers University
Bryan Leoni,JR,OL,6-Jun,280,"Flemington, NJ",Flemington,NJ,Hunterdon Central High School,,C,http://www.scarletknights.com/football/roster/detail.asp?id=4543,Communication,Communications,2012-2013,Rutgers University
Carlton Agudosi,FR,WR,6-Jun,200,"Somerset, NJ",Somerset,NJ,Franklin High School,,AA,http://www.scarletknights.com/football/roster/detail.asp?id=4849,Undeclared,Undeclared,2012-2013,Rutgers University
Chas Dodd,JR,QB,Jun-00,200,"Lyman, SC",Lyman,SC,West Morris Central High School,,C,http://www.scarletknights.com/football/roster/detail.asp?id=4521,Communication,Communications,2012-2013,Rutgers University
Chris Fonti,JR,OL,7-Jun,300,"Wayne, NJ",Wayne,NJ,Wayne Hills High School,,C,http://www.scarletknights.com/football/roster/detail.asp?id=4536,Economics,Economics,2012-2013,Rutgers University
Chris Muller,FR,OL,6-Jun,315,"Perkiomenville, PA",Perkiomenville,PA,Boyertown High School,,C,http://www.scarletknights.com/football/roster/detail.asp?id=4860,Undeclared,Undeclared,2012-2013,Rutgers University
Connor Lyons,FR,LB,3-Jun,230,"Flemington, NJ",Flemington,NJ,Hunterdon Central High School,,C,http://rutgers.scout.com/a.z?s=183&p=8&c=1&nid=4707110,Undeclared,Undeclared,2012-2013,Rutgers University
Dallas Hendrikson,SR,C,2-Jun,295,"Saint Ansgar, IA",Saint Ansgar,IA,St. Ansgar High School,Iowa Western Community College,C,http://www.scarletknights.com/football/roster/detail.asp?id=4600,Animal Science,Animal Science,2012-2013,Rutgers University
Dallas Whitaker,SO,LB,2-Jun,215,"Milford, NJ",Milford,NJ,Immaculata High School,,C,http://www.scarletknights.com/football/roster/detail.asp?id=4664,Undeclared,Undeclared,2012-2013,Rutgers University
Darius Hamilton,FR,DL,4-Jun,260,"West Paterson, NJ",West Paterson,NJ,Darius Hamilton,,C,http://www.scarletknights.com/football/roster/detail.asp?id=4863,Undeclared,Undeclared,2012-2013,Rutgers University
Daryl Stephenson,SO,DL,3-Jun,280,"Sayreville, NJ",Sayreville,NJ,Manalapan High School,,AA,http://www.scarletknights.com/football/roster/detail.asp?id=23,Undeclared,Undeclared,2012-2013,Rutgers University
David Milewski,JR,DE,4-Jun,245,"Sayreville, NJ",Sayreville,NJ,Sayreville High School,,C,http://www.scarletknights.com/football/roster/detail.asp?id=4525,Finance,Finance,2012-2013,Rutgers University
David Osei,SR,OL,4-Jun,280,"Abington, PA",Abington,PA,Christopher Columbus High School,,AA,http://rutgers.scout.com/a.z?s=183&p=8&c=1&nid=6473503,Labor Studies,Labor Studies,2012-2013,Rutgers University
Davon Jacobs,FR,DB,Jun-00,170,"Paterson, NJ",Paterson,NJ,DePaul Catholic High School,,AA,http://www.scarletknights.com/football/roster/detail.asp?id=4850,Undeclared,Undeclared,2012-2013,Rutgers University
Derrick Nelson,FR,OL,3-Jun,290,"Capitol Heights, MD",Capitol Heights,MD,Archbishop Carroll High School,,AA,http://www.scarletknights.com/football/roster/detail.asp?id=4855,Undeclared,Undeclared,2012-2013,Rutgers University
Desmon Peoples,FR,RB,8-May,175,"Cheltenham, PA",Cheltenham,PA,Archbishop Wood High School,,AA,http://www.scarletknights.com/football/roster/detail.asp?id=4858,Undeclared,Undeclared,2012-2013,Rutgers University
Devon Watkis,SR,OL,7-Jun,320,"Coram, NY",Coram,NY,Longwood High School,,AA,http://www.scarletknights.com/football/roster/detail.asp?id=4037,Journalism and Media Studies,Journalism,2012-2013,Rutgers University
Djwany Mera,SO,DL,4-Jun,260,"Hollywood, FL",Hollywood,FL,"South Broward High School, Hargrave Military Academy",,AA,http://rutgers.scout.com/a.z?s=183&p=8&c=1&nid=4731837,Undeclared,Undeclared,2012-2013,Rutgers University
Gareef Glashen,JR,DB,10-May,180,"Miami, FL",Miami,FL,Carol City High School,,AA,http://www.scarletknights.com/football/roster/detail.asp?id=4516,Labor Studies,Labor Studies,2012-2013,Rutgers University
Gary Nova,SO,QB,2-Jun,225,"Elmwood Park, NJ",Elmwood Park,NJ,Don Bosco Prep,,C,http://www.scarletknights.com/football/roster/detail.asp?id=18,Undeclared,Undeclared,2012-2013,Rutgers University
Griffin Murray,SO,LB,1-Jun,235,"Rye, NY",Rye,NY,Suffield Academy ,,C,http://www.scarletknights.com/football/roster/detail.asp?id=4662,Undeclared,Undeclared,2012-2013,Rutgers University
Hugh Ahern,JR,OL,7-Jun,295,"Maplewood, NJ",Maplewood,NJ,"Hudson Catholic High School, The Peddie School",,C,http://www.scarletknights.com/football/roster/detail.asp?id=4537,History,History,2012-2013,Rutgers University
Ian Thomas,FR,WR,1-Jun,200,"Baltimore, MD",Baltimore,MD,Franklin High School,,AA,http://www.scarletknights.com/football/roster/detail.asp?id=4859,Undeclared,Undeclared,2012-2013,Rutgers University
Isaac Holmes,SR,DL,3-Jun,275,"Jersey City, NJ",Jersey City,NJ,Hoboken High School,,AA,http://www.scarletknights.com/football/roster/detail.asp?id=4357,Criminal Justice,Criminal Studies,2012-2013,Rutgers University
J.J. Denman,FR,OL,6-Jun,310,"Yardley, PA",Yardley,PA,Pennsbury High School,,AA,http://www.scarletknights.com/football/roster/detail.asp?id=4851,Undeclared,Undeclared,2012-2013,Rutgers University
J.T. Tartacoff,JR,DB,11-May,190,"Skillman, NJ",Skillman,NJ,Montgomery High School,,C,http://www.scarletknights.com/football/roster/detail.asp?id=4540,Economics,Economics,2012-2013,Rutgers University
Jamal Merrell,SR,LB,4-Jun,220,"Bear, DE",Bear,DE,Hodgson Vo-Tech High School,,AA,http://www.scarletknights.com/football/roster/detail.asp?id=4361,Labor Studies,Labor Studies,2012-2013,Rutgers University
Jamil Merrell,SR,DL,4-Jun,255,"Bear, DE",Bear,DE,Hodgson Vo-Tech High School,,AA,http://www.scarletknights.com/football/roster/detail.asp?id=4362,Labor Studies,Labor Studies,2012-2013,Rutgers University
Jamil Pollard,FR,DL,3-Jun,280,"Deptford, NJ",Deptford,NJ,West Deptford High School,,AA,http://www.scarletknights.com/football/roster/detail.asp?id=4480,Undeclared,Undeclared,2012-2013,Rutgers University
Jawaun Wynn,JR,DE,3-Jun,215,"Piscataway, NJ",Piscataway,NJ,Piscataway High School,,AA,http://www.scarletknights.com/football/roster/detail.asp?id=4541,Undeclared,Undeclared,2012-2013,Rutgers University
