Number,Player,PlayerBio_URL,Position,Height,Weight,Year,Hometown,City,State,High_School,Prior_College,ID_Player_Race,Formal_Stated_Major,College_Major_Group,DBPediaCollege_Name,Season
53,Vincent Abbott,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=1552391&Q_SEASON=2012,DE,6/1/00,233,SR,"Long Beach, Calif. ",Long Beach,Calif,Lakewood High School,,,,,San Jose State University,2012-2013
99,Alex Anastasi,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=205268752&Q_SEASON=2012,PK,5/10/13,184,FR,"Pacific Palisades, Calif. ",Pacific Palisades,Calif,Palisades High School,,,,,San Jose State University,2012-2013
95,Sean Bacon,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=204973673&Q_SEASON=2012,DE,6/3/13,226,SO,"Inglewood, Calif. ",Inglewood,Calif,Serra High School,,,,,San Jose State University,2012-2013
78,Oscar Barron,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=205556834&Q_SEASON=2012,OG,6/4/13,270,FR,"Buena Park, Calif. ",Buena Park,Calif,Buena Park High School,,,,,San Jose State University,2012-2013
71,Keith Bendixen,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=204973751&Q_SEASON=2012,OG,6/4/13,291,SO,"Santa Maria, Calif. ",Santa Maria,Calif,St. Joseph High School,,,,,San Jose State University,2012-2013
21,Ben_ Benwikere,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=204973753&Q_SEASON=2012,DB,6/1/00,192,JR,"Los Angeles, Calif. ",Los Angeles,Calif,Serra High School,,,,,San Jose State University,2012-2013
56,Doug Blacksill,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=205178641&Q_SEASON=2012,C,6/5/13,275,FR,"Bakersfield, Calif. ",Bakersfield,Calif,Liberty High School,,,,,San Jose State University,2012-2013
17,Daniel Bradbury,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=205178643&Q_SEASON=2012,WR,6/1/13,189,FR,"Los Angeles, Calif. ",Los Angeles,Calif,Beverly Hills High School,,,,,San Jose State University,2012-2013
30,Josh Brown,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=204973755&Q_SEASON=2012,RB,5/7/13,180,SR,"Stockton, Calif. ",Stockton,Calif,Edison High School,,,,,San Jose State University,2012-2013
85,Keenan Brown,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=1546965&Q_SEASON=2012,TE,6/5/13,256,SR,"San Bernardino, Calif. ",San Bernardino,Calif,Arroyo Valley High School,,,,,San Jose State University,2012-2013
99,Nick Brown,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=205562012&Q_SEASON=2012,LB,6/2/13,210,FR,"Burbank, Calif. ",Burbank,Calif,John Burroughs High School,,,,,San Jose State University,2012-2013
36,Vince Buhagiar,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=204973682&Q_SEASON=2012,LB,6/4/13,237,JR,"Concord, Calif. ",Concord,Calif,Clayton Valley High School,,,,,San Jose State University,2012-2013
1,Jabari Carr,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=205178486&Q_SEASON=2012,WR,6/1/00,190,SO,"San Jose, Calif. ",San Jose,Calif,Oak Grove High School,,,,,San Jose State University,2012-2013
92,David Catalano,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=205157334&Q_SEASON=2012,DT,6/4/13,274,FR,"Tucson, Ariz. ",Tucson,Ariz,Canyon Del Oro High School,,,,,San Jose State University,2012-2013
28,Simon Connette,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=205157422&Q_SEASON=2012,S,5/11/13,193,FR,"Corona, Calif. ",Corona,Calif,Santiago High School,,,,,San Jose State University,2012-2013
13,Tim Crawley,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=205562182&Q_SEASON=2012,DB,5/7/13,160,FR,"Santa Clara, Calif. ",Santa Clara,Calif,Bellarmine Prep,,,,,San Jose State University,2012-2013
50,Nick Diaz,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=205678601&Q_SEASON=2012,OL,6/3/13,293,FR,"Downey, Calif. ",Downey,Calif,St. John Bosco High School,,,,,San Jose State University,2012-2013
59,Ryan DiSalvo,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=205556821&Q_SEASON=2012,LS,6/4/13,250,FR,"Hollister, Calif. ",Hollister,Calif,Hollister High School,,,,,San Jose State University,2012-2013
7,Tyler Ervin,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=205178497&Q_SEASON=2012,CB,5/10/13,176,SO,"Colton, Calif. ",Colton,Calif,Colton High School,,,,,San Jose State University,2012-2013
2,De'Leon Eskridge,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=205437915&Q_SEASON=2012,RB,5/11/13,215,SR,"San Francisco, Calif. ",San Francisco,Calif,Serra High School,University of Minnesota ,,,,San Jose State University,2012-2013
10,David Fales,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=205438737&Q_SEASON=2012,QB,6/3/13,220,JR,"Salinas, Calif. ",Salinas,Calif,Palma High School,Monterey Peniinsula College ,,,,San Jose State University,2012-2013
57,Nate Falo,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=205178499&Q_SEASON=2012,DT,6/1/13,286,FR,"Sacramento, Calif. ",Sacramento,Calif,Inderkum High School,,,,,San Jose State University,2012-2013
11,Josh Fasavalu,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=205178501&Q_SEASON=2012,LB,5/11/13,225,FR,"Long Beach, Calif. ",Long Beach,Calif,Poly High School,,,,,San Jose State University,2012-2013
