Number,Player,PlayerBio_URL,Position,Height,Weight,Year,Eligibility,Hometown,City,State,High_School,ID_Player_Race,Formal_Stated_Major,College_Major_Group,DBPediaCollege_Name,Season
53,Cody Adams,http://www.gatorzone.com/football/bios.php?year=2012&player_id=317,LB,"6' 0""",222,RFR,HS,"Ocala, FL",Ocala,FL,North Marion,,,,University of Florida,2012-2013
25,Gideon Ajagbe,http://www.gatorzone.com/football/bios.php?year=2012&player_id=247,LB,"6' 3""",232,RSO,1L,"Coconut Grove, FL",Coconut Grove,FL,Ransom Everglades,,,,University of Florida,2012-2013
58,Nick Alajajian,http://www.gatorzone.com/football/bios.php?year=2012&player_id=199,DL,"6' 3""",269,SR,2L,"Naples, FL",Naples,FL,Naples,,,,University of Florida,2012-2013
89,Stephen Alli,http://www.gatorzone.com/football/bios.php?year=2012&player_id=222,WR,"6' 6""",221,RJR,2L,"Andover, NH",Andover,NH,Proctor Academy,,,,University of Florida,2012-2013
86,Raphael Andrades,http://www.gatorzone.com/football/bios.php?year=2012&player_id=330,WR,"6' 0""",191,FR,HS,"Tallahassee, FL",Tallahassee,FL,Lincoln,,,,University of Florida,2012-2013
27,Willie Bailey,http://www.gatorzone.com/football/bios.php?year=2012&player_id=318,DB,"6' 0""",172,FR,HS,"Hallandale, FL",Hallandale,FL,Hallandale,,,,University of Florida,2012-2013
11,Neiron Ball,http://www.gatorzone.com/football/bios.php?year=2012&player_id=227,LB,"6' 3""",231,RSO,1L,"Jackson, GA",Jackson,GA,Jackson,,,,University of Florida,2012-2013
1,Jon Bostic,http://www.gatorzone.com/football/bios.php?year=2012&player_id=200,LB,"6' 1""",246,SR,3L,"Wellington, FL",Wellington,FL,Palm Beach Central,,,,University of Florida,2012-2013
12,Jacoby Brissett,http://www.gatorzone.com/football/bios.php?year=2012&player_id=312,QB,"6' 4""",229,SO,1L,"West Palm Beach, FL",West Palm Beach,FL,William T. Dwyer,,,,University of Florida,2012-2013
8,Jeremy Brown,http://www.gatorzone.com/football/bios.php?year=2012&player_id=167,DB,"5' 10""",184,RJR,1L,"Orlando, FL",Orlando,FL,Boone,,,,University of Florida,2012-2013
