Number,Player,PlayerBio_URL,Position,Year,Height,Weight,Hometown,City,State,High_School,Prior_College,ID_Player_Race,Formal_Stated_Major,College_Major_Group,DBPediaCollege_Name,Season
61,David Andrews,http://www.georgiadogs.com/sports/m-footbl/mtt/david_andrews_742365.html,C,SO,6/2/13,295,"Johns Creek, GA",Johns Creek,GA,Wesleyan,,,,,University of Georgia,2012-2013
31,Jon Bailey,http://www.georgiadogs.com/sports/m-footbl/mtt/jon_bailey_823509.html,CB,RS SO,6/1/00,200,"Alpharetta, GA",Alpharetta,GA,Chattahoochee,University of Kentucky,,,,University of Georgia,2012-2013
58,Sterling Bailey,http://www.georgiadogs.com/sports/m-footbl/mtt/sterling_bailey_742366.html,DE,RS FR,6/3/13,295,"Gainesville, GA",Gainesville,GA,East Hall High School,,,,,University of Georgia,2012-2013
32,Collin Barber,http://www.georgiadogs.com/sports/m-footbl/mtt/collin_barber_793111.html,P,FR,6/2/13,200,"Cartersville, GA",Cartersville,GA,Cartersville High School,,,,,University of Georgia,2012-2013
10,Faton Bauta,http://www.georgiadogs.com/sports/m-footbl/mtt/faton_bauta_793110.html,QB,FR,6/3/13,220,"West Palm Beach, FL",West Palm Beach,FL,Dwyer,,,,,University of Georgia,2012-2013
79,Mark Beard,http://www.georgiadogs.com/sports/m-footbl/mtt/mark_beard_793112.html,OG,SO,6/5/13,302,"Adamsville, AL",Adamsville,AL,Minor High School,Coffeyville Community College,,,,University of Georgia,2012-2013
93,Patrick Beless,http://www.georgiadogs.com/sports/m-footbl/mtt/patrick_beless_798307.html,PK,FR,5/9/13,155,"Atlanta, GA",Atlanta,GA,Marist,,,,,University of Georgia,2012-2013
82,Michael Bennett,http://www.georgiadogs.com/sports/m-footbl/mtt/michael_bennett_714049.html,SE,RS SO,6/3/13,204,"Alpharetta, GA",Alpharetta,GA,Alpharetta,,,,,University of Georgia,2012-2013
7,Greg Bingham,http://www.georgiadogs.com/sports/m-footbl/mtt/greg_bingham_741137.html,QB,RS SO,6/4/13,209,"Columbus, GA",Columbus,GA,Columbus,,,,,University of Georgia,2012-2013
37,Devin Bowman,http://www.georgiadogs.com/sports/m-footbl/mtt/devin_bowman_742367.html,CB,RS FR,6/1/00,180,"Rossville, GA",Rossville,GA,Ridgeland,,,,,University of Georgia,2012-2013
81,Taylor Bradberry,http://www.georgiadogs.com/sports/m-footbl/mtt/taylor_bradberry_646486.html,FLK,SR,6/3/13,200,"Winder, GA",Winder,GA,Winder-Barrow,,,,,University of Georgia,2012-2013
15,Marlon Brown,http://www.georgiadogs.com/sports/m-footbl/mtt/marlon_brown_646525.html,SE,SR,6/5/13,216,"Memphis, TN",Memphis,TN,Harding Academy,,,,,University of Georgia,2012-2013
39,Dominic Bryan,http://www.georgiadogs.com/sports/m-footbl/mtt/dominic_bryan_811404.html,RB,FR,6/1/00,235,"Germantown, MD",Germantown,MD,Georgetown Prep,,,,,University of Georgia,2012-2013
68,Chris Burnette,http://www.georgiadogs.com/sports/m-footbl/mtt/chris_burnette_646545.html,OG,JR,6/2/13,322,"LaGrange, GA",LaGrange,GA,Troup County,,,,,University of Georgia,2012-2013
41,Brandon Burrows,http://www.georgiadogs.com/sports/m-footbl/mtt/brandon_burrows_714055.html,ILB,RS SO,6/3/13,248,"Marietta, GA",Marietta,GA,Walton,,,,,University of Georgia,2012-2013
28,Corey Campbell,http://www.georgiadogs.com/sports/m-footbl/mtt/corey_campbell_741158.html,FB,RS SO,5/10/13,215,"Hephzibah, GA",Hephzibah,GA,Hephzibah,,,,,University of Georgia,2012-2013
4,Luis Capella,http://www.georgiadogs.com/sports/m-footbl/mtt/luis_capella_741159.html,CB,JR,5/10/13,180,"Augusta, GA",Augusta,GA,Richmond Academy,,,,,University of Georgia,2012-2013
41,Jared Chapple,http://www.georgiadogs.com/sports/m-footbl/mtt/jared_chapple_811451.html,TE,FR,6/4/13,218,"Alpharetta, GA",Alpharetta,GA,Greater Atlanta Christian,,,,,University of Georgia,2012-2013
19,Sanders Commings,http://www.georgiadogs.com/sports/m-footbl/mtt/sanders_commings_646605.html,CB,SR,6/2/13,216,"Augusta, GA",Augusta,GA,Westside,,,,,University of Georgia,2012-2013
31,Chris Conley,http://www.georgiadogs.com/sports/m-footbl/mtt/chris_conley_742368.html,FLK,SO,6/3/13,205,"Dallas, GA",Dallas,GA,North Paulding High School,,,,,University of Georgia,2012-2013
78,Watts Dantzler,http://www.georgiadogs.com/sports/m-footbl/mtt/watts_dantzler_742370.html,OL,SO,6/7/13,320,"Dalton, GA",Dalton,GA,Dalton,,,,,University of Georgia,2012-2013
91,Josh Dawson,http://www.georgiadogs.com/sports/m-footbl/mtt/josh_dawson_793129.html,OLB,FR,6/4/13,250,"Tucker, GA",Tucker,GA,Tucker High School,,,,,University of Georgia,2012-2013
2,Sheldon Dawson,http://www.georgiadogs.com/sports/m-footbl/mtt/sheldon_dawson_793113.html,CB,FR,5/11/13,181,"Memphis, TN",Memphis,TN,Ridgeway High School,,,,,University of Georgia,2012-2013
23,Marc Deas,http://www.georgiadogs.com/sports/m-footbl/mtt/marc_deas_714178.html,FS,RS SO,6/1/13,212,"Kissimmee, FL",Kissimmee,FL,Osceola,,,,,University of Georgia,2012-2013
76,Zach DeBell,http://www.georgiadogs.com/sports/m-footbl/mtt/zach_debell_742371.html,OT,RS FR,6/6/13,293,"Tarpon Springs, FL",Tarpon Springs,FL,Tarpon Springs,,,,,University of Georgia,2012-2013
89,James DeLoach,http://www.georgiadogs.com/sports/m-footbl/mtt/james_deloach_793114.html,OLB,FR,6/3/13,270,"Millen, GA",Millen,GA,Jenkins County High School,,,,,University of Georgia,2012-2013
73,Caleb Drake,http://www.georgiadogs.com/sports/m-footbl/mtt/caleb_drake_767349.html,OG,RS FR,6/1/13,275,"Hogansville, GA",Hogansville,GA,Callaway,,,,,University of Georgia,2012-2013
47,Ray Drew,http://www.georgiadogs.com/sports/m-footbl/mtt/ray_drew_742372.html,DE,SO,6/5/13,284,"Thomasville, GA",Thomasville,GA,Thomasville County,,,,,University of Georgia,2012-2013
91,Scott Eichler,http://www.georgiadogs.com/sports/m-footbl/mtt/scott_eichler_767352.html,PK,SR,5/11/13,182,"Oakwood, GA",Oakwood,GA,West Hall,,,,,University of Georgia,2012-2013
6,Michael Erdman,http://www.georgiadogs.com/sports/m-footbl/mtt/michael_erdman_741173.html,SE,RS SO,5/10/13,190,"Merritt Island, FL",Merritt Island,FL,Central Catholic,,,,,University of Georgia,2012-2013
97,Adam Erickson,http://www.georgiadogs.com/sports/m-footbl/mtt/adam_erickson_741174.html,P,RS SO,5/10/13,175,"Athens, GA",Athens,GA,Clarke Central,,,,,University of Georgia,2012-2013
23,James Eunice,http://www.georgiadogs.com/sports/m-footbl/mtt/james_eunice_796127.html,WR,SO,6/1/00,175,"Valdosta, GA",Valdosta,GA,Valdosta,,,,,University of Georgia,2012-2013
95,Reuben Faloughi,http://www.georgiadogs.com/sports/m-footbl/mtt/reuben_faloughi_646885.html,OLB,JR,6/5/13,253,"Martinez, GA",Martinez,GA,Evans,,,,,University of Georgia,2012-2013
80,Ty Flournoy-Smith,http://www.georgiadogs.com/sports/m-footbl/mtt/ty_flournoy_smith_793500.html,TE,FR,6/3/13,237,"Moultrie, GA",Moultrie,GA,Colquitt County High School,,,,,University of Georgia,2012-2013
69,Ty Frix,http://www.georgiadogs.com/sports/m-footbl/mtt/ty_frix_646946.html,SN,SR,6/1/00,214,"Calhoun, GA",Calhoun,GA,Calhoun,,,,,University of Georgia,2012-2013
72,Kenarious Gates,http://www.georgiadogs.com/sports/m-footbl/mtt/kenarious_gates_714179.html,OT,JR,6/5/13,318,"Grantville, GA",Grantville,GA,Greenville,,,,,University of Georgia,2012-2013
60,Wright Gazaway,http://www.georgiadogs.com/sports/m-footbl/mtt/wright_gazaway_798306.html,SN,RS FR,6/1/00,243,"Buford, GA",Buford,GA,Buford,,,,,University of Georgia,2012-2013
99,Kwame Geathers,http://www.georgiadogs.com/sports/m-footbl/mtt/kwame_geathers_647005.html,N,JR,6/6/13,355,"Georgetown, SC",Georgetown,SC,Carvers Bay,,,,,University of Georgia,2012-2013
28,Devin Gillespie,http://www.georgiadogs.com/sports/m-footbl/mtt/devin_gillespie_811521.html,S,FR,5/10/13,195,"Grayson, GA",Grayson,GA,Grayson,,,,,University of Georgia,2012-2013
35,Michael Gilliard,http://www.georgiadogs.com/sports/m-footbl/mtt/michael_gilliard_647065.html,ILB,SR,6/2/13,230,"Valdosta, GA",Valdosta,GA,Valdosta,,,,,University of Georgia,2012-2013
3,Todd Gurley,http://www.georgiadogs.com/sports/m-footbl/mtt/todd_gurley_793117.html,RB,FR,6/1/13,218,"Tarboro, NC",Tarboro,NC,Tarboro High School,,,,,University of Georgia,2012-2013
43,Merritt Hall,http://www.georgiadogs.com/sports/m-footbl/mtt/merritt_hall_767345.html,FB,RS FR,5/11/13,238,"Alpharetta, GA",Alpharetta,GA,Wesleyan School,,,,,University of Georgia,2012-2013
20,Brandon Harton,http://www.georgiadogs.com/sports/m-footbl/mtt/brandon_harton_741222.html,TB,JR,5/6/13,175,"Reidsville, GA",Reidsville,GA,Tattnall County,,,,,University of Georgia,2012-2013
25,Josh Harvey-Clemons,http://www.georgiadogs.com/sports/m-footbl/mtt/josh_harvey_clemons_793156.html,S,FR,6/5/13,207,"Valdosta, GA",Valdosta,GA,Lowndes High School,,,,,University of Georgia,2012-2013
12,Austin Herod,http://www.georgiadogs.com/sports/m-footbl/mtt/austin_herod_741224.html,SS,JR,5/10/13,183,"Woodstock, GA",Woodstock,GA,Etowah,,,,,University of Georgia,2012-2013
52,Amarlo Herrera,http://www.georgiadogs.com/sports/m-footbl/mtt/amarlo_herrera_742374.html,ILB,SO,6/2/13,245,"College Park, GA",College Park,GA,North Clayton,,,,,University of Georgia,2012-2013
48,Quayvon Hicks,http://www.georgiadogs.com/sports/m-footbl/mtt/quayvon_hicks_793118.html,FB,FR,6/2/13,262,"Blackshear, GA",Blackshear,GA,Pierce County High School,,,,,University of Georgia,2012-2013
75,Kolton Houston,http://www.georgiadogs.com/sports/m-footbl/mtt/kolton_houston_647267.html,OT,RS SO,6/5/13,280,"Buford, GA",Buford,GA,Buford,,,,,University of Georgia,2012-2013
90,Ethan Jackson,http://www.georgiadogs.com/sports/m-footbl/mtt/ethan_jackson_767351.html,P,RS FR,5/11/13,178,"Sandersville, GA",Sandersville,GA,Washington County,,,,,University of Georgia,2012-2013
6,John Jenkins,http://www.georgiadogs.com/sports/m-footbl/mtt/john_jenkins_774203.html,N,SR,6/3/13,358,"Meriden, CT",Meriden,CT,Francis T. Maloney,Gulf Coast Community College,,,,University of Georgia,2012-2013
59,Jordan Jenkins,http://www.georgiadogs.com/sports/m-footbl/mtt/jordan_jenkins_793119.html,OLB,FR,6/3/13,257,"Hamilton, GA",Hamilton,GA,Harris County High School,,,,,University of Georgia,2012-2013
38,Clay Johnson,http://www.georgiadogs.com/sports/m-footbl/mtt/clay_johnson_811554.html,WR,FR,6/1/13,170,"Calhoun, GA",Calhoun,GA,Calhoun,,,,,University of Georgia,2012-2013
98,Cody Johnson,http://www.georgiadogs.com/sports/m-footbl/mtt/cody_johnson_772446.html,P,RS SO,6/1/13,202,"Marietta, GA",Marietta,GA,Lassiter,Troy University,,,,University of Georgia,2012-2013
93,Abry Jones,http://www.georgiadogs.com/sports/m-footbl/mtt/abry_jones_647365.html,DE,SR,6/3/13,308,"Warner Robins, GA",Warner Robins,GA,Northside,,,,,University of Georgia,2012-2013
29,Jarvis Jones,http://www.georgiadogs.com/sports/m-footbl/mtt/jarvis_jones_741226.html,OLB,JR,6/3/13,241,"Columbus, GA",Columbus,GA,Carver,University of Southern California,,,,University of Georgia,2012-2013
8,Jesse Jones,http://www.georgiadogs.com/sports/m-footbl/mtt/jesse_jones_767335.html,S,RS FR,6/1/00,190,"Habersham, GA",Habersham,GA,Habersham Central,,,,,University of Georgia,2012-2013
