Number,Player,PlayerBio_URL,Position,Height,Weight,Year,Hometown,City,State,High_School,Prior_College,ID_Player_Race,Formal_Stated_Major,College_Major_Group,DBPediaCollege_Name,Season
2,Vincent Smith,http://www.mgoblue.com/sports/m-footbl/mtt/vincent_smith_472419.html,RB,5/6/13,175,SR,"Pahokee, FLA",Pahokee,FLA,Pahokee,,,,,University of Michigan,2012-2013
3,Bo Dever,http://www.mgoblue.com/sports/m-footbl/mtt/bo_dever_810679.html,WR,6/2/13,193,FR,"Lake Forest, ILL",Lake Forest,ILL,Lake Forest High School,,,,,University of Michigan,2012-2013
3,Marvin Robinson,http://www.mgoblue.com/sports/m-footbl/mtt/marvin_robinson_716247.html,S,6/2/13,200,JR,"Winter Haven, FLA",Winter Haven,FLA,Lake Region,,,,,University of Michigan,2012-2013
4,Cameron Gordon,http://www.mgoblue.com/sports/m-footbl/mtt/cameron_gordon_470903.html,LB,6/3/13,236,RS JR,"Detroit, MICH",Detroit,MICH,Inkster,,,,,University of Michigan,2012-2013
5,Justice Hayes,http://www.mgoblue.com/sports/m-footbl/mtt/justice_hayes_765119.html,RB,5/10/13,183,RS FR,"Flint, MICH",Flint,MICH,Grand Blanc High School,,,,,University of Michigan,2012-2013
5,Courtney Avery,http://www.mgoblue.com/sports/m-footbl/mtt/courtney_avery_716230.html,CB,5/11/13,173,JR,"Mansfield, OHIO",Mansfield,OHIO,Lexington,,,,,University of Michigan,2012-2013
6,Raymon Taylor,http://www.mgoblue.com/sports/m-footbl/mtt/raymon_taylor_765137.html,DB,5/10/13,182,SO,"Detroit, MICH",Detroit,MICH,Highland Park,,,,,University of Michigan,2012-2013
6,Brian Cleary,http://www.mgoblue.com/sports/m-footbl/mtt/brian_cleary_810678.html,QB,6/3/13,204,FR,"Detroit, MICH",Detroit,MICH,Detroit Jesuit High School,,,,,University of Michigan,2012-2013
7,Brandin Hawthorne,http://www.mgoblue.com/sports/m-footbl/mtt/brandin_hawthorne_471000.html,LB,6/1/00,220,SR,"Pahokee, FLA",Pahokee,FLA,Pahokee,,,,,University of Michigan,2012-2013
8,J.T. Floyd,http://www.mgoblue.com/sports/m-footbl/mtt/jt_floyd_374899.html,CB,6/1/00,183,RS SR,"Greenville, SC",Greenville,SC,J.L. Mann,,,,,University of Michigan,2012-2013
8,Russell Bellomy,http://www.mgoblue.com/sports/m-footbl/mtt/russell_bellomy_765104.html,QB,6/3/13,202,RS FR,"Arlington, TEXAS",Arlington,TEXAS,Martin,,,,,University of Michigan,2012-2013
9,Drew Dileo,http://www.mgoblue.com/sports/m-footbl/mtt/drew_dileo_716236.html,WR,5/10/13,180,JR,"Greenwell Springs, LA",Greenwell Springs,LA,Parkview Baptist,,,,,University of Michigan,2012-2013
10,Jeremy Gallon,http://www.mgoblue.com/sports/m-footbl/mtt/jeremy_gallon_470873.html,WR,5/8/13,187,RS JR,"Apopka, FLA",Apopka,FLA,Apopka,,,,,University of Michigan,2012-2013
