Number,Player,PlayerBio_URL,Position,Height,Weight,Year,Hometown,City,State,High_School,Prior_College,ID_Player_Race,Formal_Stated_Major,College_Major_Group,DBPediaCollege_Name,Season
8,Ameer Abdullah,http://www.huskers.com/ViewArticle.dbml?SPSID=4&SPID=22&DB_LANG=C&DB_OEM_ID=100&ATCLID=205097752&Q_SEASON=2012,IB,5/9/13,185,SO,"Homewood, Ala. ",Homewood,ALA,Homewood High School,,,,,University of Nebraska at Lincoln,2012-2013
33,Jared Afalava,http://www.huskers.com/ViewArticle.dbml?SPSID=4&SPID=22&DB_LANG=C&DB_OEM_ID=100&ATCLID=205371461&Q_SEASON=2012,LB,6/3/13,215,FR,"South Jordan, Utah ",South Jordan,UTAH,Bingham High School,,,,,University of Nebraska at Lincoln,2012-2013
18,LeRoy Alexander,http://www.huskers.com/ViewArticle.dbml?SPSID=4&SPID=22&DB_LANG=C&DB_OEM_ID=100&ATCLID=205371816&Q_SEASON=2012,DB,6/1/00,185,FR,"Toledo, Ohio ",Toledo,OHIO,Whitmer High School,,,,,University of Nebraska at Lincoln,2012-2013
7,Taariq Allen,http://www.huskers.com/ViewArticle.dbml?SPSID=4&SPID=22&DB_LANG=C&DB_OEM_ID=100&ATCLID=205097783&Q_SEASON=2012,WR,6/3/13,200,RFR,"Weston, Mass. ",Weston,MASS,The Rivers School High School,,,,,University of Nebraska at Lincoln,2012-2013
70,Kenny Anderson,http://www.huskers.com/ViewArticle.dbml?SPSID=4&SPID=22&DB_LANG=C&DB_OEM_ID=100&ATCLID=1515200&Q_SEASON=2012,DT,6/2/13,260,SR,"Omaha, Neb. ",Omaha,NEB,Millard West High School,,,,,University of Nebraska at Lincoln,2012-2013
8,Zaire Anderson,http://www.huskers.com/ViewArticle.dbml?SPSID=4&SPID=22&DB_LANG=C&DB_OEM_ID=100&ATCLID=205371656&Q_SEASON=2012,LB,5/11/13,220,JR,"Philadelphia, Pa. ",Philadelphia,PA,Frankford High School,Riverside Community College ,,,,University of Nebraska at Lincoln,2012-2013
9,Jason Ankrah,http://www.huskers.com/ViewArticle.dbml?SPSID=4&SPID=22&DB_LANG=C&DB_OEM_ID=100&ATCLID=3662317&Q_SEASON=2012,DE,6/4/13,265,JR,"Gaithersburg, Md. ",Gaithersburg,MD,Quince Orchard High School,,,,,University of Nebraska at Lincoln,2012-2013
4,Tommy Armstrong Jr.,http://www.huskers.com/ViewArticle.dbml?SPSID=4&SPID=22&DB_LANG=C&DB_OEM_ID=100&ATCLID=205371818&Q_SEASON=2012,QB,6/1/13,215,FR,"Cibolo, Texas ",Cibolo,TEXAS,Steele High School,,,,,University of Nebraska at Lincoln,2012-2013
70,Nick Ash,http://www.huskers.com/ViewArticle.dbml?SPSID=4&SPID=22&DB_LANG=C&DB_OEM_ID=100&ATCLID=3662127&Q_SEASON=2012,OL,6/5/13,285,JR,"Keller, Texas ",Keller,TEXAS,Keller High School,,,,,University of Nebraska at Lincoln,2012-2013
47,Walker Ashburn,http://www.huskers.com/ViewArticle.dbml?SPSID=4&SPID=22&DB_LANG=C&DB_OEM_ID=100&ATCLID=204880441&Q_SEASON=2012,DE,6/2/13,255,SO,"Kenner, La. ",Kenner,LA,John Curtis High School,,,,,University of Nebraska at Lincoln,2012-2013
2,Antonio Bell,http://www.huskers.com/ViewArticle.dbml?SPSID=4&SPID=22&DB_LANG=C&DB_OEM_ID=100&ATCLID=3662203&Q_SEASON=2012,CB,6/2/13,200,SR,"Daytona Beach, Fla. ",Daytona Beach,FLA,Mainland High School,,,,,University of Nebraska at Lincoln,2012-2013
80,Kenny Bell,http://www.huskers.com/ViewArticle.dbml?SPSID=4&SPID=22&DB_LANG=C&DB_OEM_ID=100&ATCLID=204880399&Q_SEASON=2012,WR,6/1/13,185,SO,"Boulder, Colo. ",Boulder,COLO,Fairview High School,,,,,University of Nebraska at Lincoln,2012-2013
39,Justin Blatchford,http://www.huskers.com/ViewArticle.dbml?SPSID=4&SPID=22&DB_LANG=C&DB_OEM_ID=100&ATCLID=3725623&Q_SEASON=2012,S,6/1/13,200,SR,"Ponca, Neb. ",Ponca,NEB,Ponca High School,,,,,University of Nebraska at Lincoln,2012-2013
