Number,Player,PlayerBio_URL,Position,Height,Weight,Year,Hometown,City,State,High_School,Prior_College,ID_Player_Race,Formal_Stated_Major,College_Major_Group,DBPediaCollege_Name,Season
89,Jerell Adams,http://www.gamecocksonline.com/sports/m-footbl/mtt/jerell_adams_742858.html,TE,6/6/13,224,FR,"Pinewood, S.C.",Pinewood,SC,Scott's Branch,,,,,University of South Carolina,2012-2013
81,Rory Anderson,http://www.gamecocksonline.com/sports/m-footbl/mtt/rory_anderson_742739.html,TE,6/5/13,218,SO,"Powder Springs, Ga.",Powder Springs,GA,McEachern,,,,,University of South Carolina,2012-2013
19,Landon Ard,http://www.gamecocksonline.com/sports/m-footbl/mtt/landon_ard_763568.html,P/K,5/9/13,189,RS FR,"Rock Hill, S.C.",Rock Hill,SC,South Pointe,,,,,University of South Carolina,2012-2013
3,Akeem Auguste,http://www.gamecocksonline.com/sports/m-footbl/mtt/akeem_auguste_348095.html,CB,5/9/13,188,SR,"Hollywood, Fla.",Hollywood,FLA,Chaminade-Madonna,Fork Union Military,,,,University of South Carolina,2012-2013
26,Jacob Baker,http://www.gamecocksonline.com/sports/m-footbl/mtt/jacob_baker_473674.html,FB,5/9/13,188,SR,"Ridgeland, S.C.",Ridgeland,SC,Thomas Heyward Academy,,,,,University of South Carolina,2012-2013
34,Joshua Blue,http://www.gamecocksonline.com/sports/m-footbl/mtt/joshua_blue_749302.html,TB,5/7/13,167,SO,"Tatum, S.C.",Tatum,SC,Marlboro County, ,,,,University of South Carolina,2012-2013
47,Reginald Bowens,http://www.gamecocksonline.com/sports/m-footbl/mtt/reginald_bowens_459702.html,LB,6/3/13,254,RS SR,"Holly Springs, N.C.",Holly Springs,NC,Garner,,,,,University of South Carolina,2012-2013
84,Tevin Bradshaw,http://www.gamecocksonline.com/sports/m-footbl/mtt/tevin_bradshaw_818154.html,WR,5/7/13,155,RS FR,"Moncks Corner, S.C.",Moncks Corner,SC,Berkeley,Brevard College,,,,University of South Carolina,2012-2013
80,K.J. Brent,http://www.gamecocksonline.com/sports/m-footbl/mtt/kj_brent_742567.html,WR,6/4/13,184,RS FR,"Waxhaw, N.C.",Waxhaw,NC,Marvin Ridge,,,,,University of South Carolina,2012-2013
74,Kaleb Broome,http://www.gamecocksonline.com/sports/m-footbl/mtt/kaleb_broome_742294.html,OG,6/6/13,332,SR,"Aiken, S.C.",Aiken,SC,Aiken,Georgia Military College,,,,University of South Carolina,2012-2013
3,Damiere Byrd,http://www.gamecocksonline.com/sports/m-footbl/mtt/damiere_byrd_743471.html,WR,5/9/13,168,SO,"Sicklerville, N.J.",Sicklerville,NJ,Timber Creek,,,,,University of South Carolina,2012-2013
50,A.J. Cann,http://www.gamecocksonline.com/sports/m-footbl/mtt/aj_cann_710165.html,OG,6/4/13,309,RS SO,"Bamberg, S.C.",Bamberg,SC,Bamberg-Ehrhardt,,,,,University of South Carolina,2012-2013
7,Shon Carson,http://www.gamecocksonline.com/sports/m-footbl/mtt/shon_carson_742765.html,TB,5/8/13,192,RS FR,"Scranton, S.C.",Scranton,SC,Lake City,,,,,University of South Carolina,2012-2013
4,Ahmad Christian,http://www.gamecocksonline.com/sports/m-footbl/mtt/ahmad_christian_742943.html,CB,5/10/13,189,RS FR,"Jacksonville, Fla.",Jacksonville,FLA,Trinity Christian,,,,,University of South Carolina,2012-2013
15,Andrew Clifford,http://www.gamecocksonline.com/sports/m-footbl/mtt/andrew_clifford_438048.html,QB,6/2/13,212,RS JR,"Tampa, Fla.",Tampa,FLA,Wharton,,,,,University of South Carolina,2012-2013
