Number,Player,PlayerBio_URL,Height,Weight,Position,Year,Eligibility,Hometown,City,State,High_School,Prior_College,ID_Player_Race,Formal_Stated_Major,College_Major_Group,DBPediaCollege_Name,Season
1,Nevin Lawson,http://www.utahstateaggies.com/sports/m-footbl/mtt/nevin_lawson_713507.html,5/10/13,183,CB,JR,2L,"Lauderhill, Fla.",Lauderhill,FLA,Piper,,,,,Utah State University,2012-2013
2,Adam Kennedy,http://www.utahstateaggies.com/sports/m-footbl/mtt/adam_kennedy_742459.html,6/5/13,219,QB,SR,1L,"Elk Grove, Calif.",Elk Grove,CALIF,Franklin,San Joaquin Delta College,,,,Utah State University,2012-2013
2,Cameron Sanders,http://www.utahstateaggies.com/sports/m-footbl/mtt/cameron_sanders_449968.html,5/10/13,185,S,JR,2L,"Oklahoma City, Okla.",Oklahoma City,OKLA,Millwood,,,,,Utah State University,2012-2013
3,Quinton Byrd,http://www.utahstateaggies.com/sports/m-footbl/mtt/quinton_byrd_450639.html,5/10/13,180,CB,SR,3L,"Miami, Fla.",Miami,FLA,Miramar,,,,,Utah State University,2012-2013
4,Matt Austin,http://www.utahstateaggies.com/sports/m-footbl/mtt/matt_austin_449910.html,6/2/13,202,WR,SR,2L,"Monrovia, Calif.",Monrovia,CALIF,Charter Oak,Mt. San Antonio Junior College,,,,Utah State University,2012-2013
5,Terrence Alston,http://www.utahstateaggies.com/sports/m-footbl/mtt/terrence_alston_742442.html,5/9/13,176,CB,SR,1L,"Richmond, Calif.",Richmond,CALIF,Vanden,Solano Community College,,,,Utah State University,2012-2013
6,Rashard Stewart,http://www.utahstateaggies.com/sports/m-footbl/mtt/rashard_stewart_713510.html,5/10/13,184,CB,SO,RS,"Miami, Fla.",Miami,FLA,Miami Jackson,,,,,Utah State University,2012-2013
7,Travis Van Leeuwen,http://www.utahstateaggies.com/sports/m-footbl/mtt/travis_van_leeuwen_449913.html,6/3/13,195,WR,JR,2L,"Provo, Utah",Provo,UTAH,Timpview,,,,,Utah State University,2012-2013
8,Travis Reynolds,http://www.utahstateaggies.com/sports/m-footbl/mtt/travis_reynolds_627125.html,5/11/13,180,WR,JR,2L,"Lauderdale Lakes, Fla.",Lauderdale Lakes,FLA,Boyd Anderson,,,,,Utah State University,2012-2013
9,Dwayne Lorick,http://www.utahstateaggies.com/sports/m-footbl/mtt/dwayne_lorick_793244.html,6/5/13,215,WR,JR,JC,"Washington, D.C.",Washington,DC,Anacostia,West Hills College Coalinga Junior College,,,,Utah State University,2012-2013
10,Chuck Jacobs,http://www.utahstateaggies.com/sports/m-footbl/mtt/chuck_jacobs_767532.html,6/1/00,178,WR,SR,1L,"Richmond, Calif.",Richmond,CALIF,Kennedy,Laney Junior College,,,,Utah State University,2012-2013
11,"Alex Wheat, Jr.",http://www.utahstateaggies.com/sports/m-footbl/mtt/alex_wheat_jr_812729.html,6/4/13,214,WR,SO,JC,"Alpharetta, Ga.",Alpharetta,GA,Alpharetta,Palomar Junior College,,,,Utah State University,2012-2013
