Number,Player,PlayerBio_URL,Position,Height,Weight,Year,Hometown,City,State,High_School,Prior_College,ID_Player_Race,Formal_Stated_Major,College_Major_Group,DBPediaCollege_Name,Season
94,Torey Agee,http://www.vucommodores.com/sports/m-footbl/mtt/torey_agee_807659.html,DT,6/4/13,265,FR,"Opelika, ALA",Opelika,ALA,Opelika,,,,,Vanderbilt University,2012-2013
43,Scot Aiello,http://www.vucommodores.com/sports/m-footbl/mtt/scot_aiello_769406.html,DB,5/10/13,178,SO,"Franklin, TENN",Franklin,TENN,Centennial,,,,,Vanderbilt University,2012-2013
48,Manny Amingwa,http://www.vucommodores.com/sports/m-footbl/mtt/manny_amingwa_807664.html,DB,5/11/13,190,SR,"Whitinsville, MASS",Whitinsville,MASS,Milford,,,,,Vanderbilt University,2012-2013
47,Tyler Anders,http://www.vucommodores.com/sports/m-footbl/mtt/tyler_anders_807665.html,RB,5/11/13,192,SO,"Richlands, VA",Richlands,VA,Graham,,,,,Vanderbilt University,2012-2013
55,Caleb Azubike,http://www.vucommodores.com/sports/m-footbl/mtt/caleb_azubike_807660.html,DE,6/4/13,255,FR,"Nashville, TENN",Nashville,TENN,McGavock,,,,,Vanderbilt University,2012-2013
26,Brandon Banks,http://www.vucommodores.com/sports/m-footbl/mtt/brandon_banks_807661.html,DB,5/10/13,165,FR,"Brandywine, MD",Brandywine,MD,Gwynn Park,,,,,Vanderbilt University,2012-2013
93,Ladarius Banks,http://www.vucommodores.com/sports/m-footbl/mtt/ladarius_banks_807662.html,DT,6/2/13,290,FR,"Dallas, GA",Dallas,GA,East Paulding,,,,,Vanderbilt University,2012-2013
49,Robby Barbieri,http://www.vucommodores.com/sports/m-footbl/mtt/robby_barbieri_747837.html,LB,6/2/13,228,JR,"Eden Prairie, MINN",Eden Prairie,MINN,Breck School,,,,,Vanderbilt University,2012-2013
15,Archibald Barnes,http://www.vucommodores.com/sports/m-footbl/mtt/archibald_barnes_564345.html,LB,6/4/13,235,RS SR,"Tampa, FLA",Tampa,FLA,Berkeley Prep,,,,,Vanderbilt University,2012-2013
10,Cory Batey,http://www.vucommodores.com/sports/m-footbl/mtt/cory_batey_807658.html,WR,6/1/00,205,FR,"Nashville, TENN",Nashville,TENN,Ensworth School,,,,,Vanderbilt University,2012-2013
53,Jake Bernstein,http://www.vucommodores.com/sports/m-footbl/mtt/jake_bernstein_766146.html,OL,6/4/13,295,RS FR,"Lake in the Hills, ILL",Lake in the Hills,ILL,Crystal Lake South,,,,,Vanderbilt University,2012-2013
51,Hunter Bowman,http://www.vucommodores.com/sports/m-footbl/mtt/hunter_bowman_797586.html,LB,5/11/13,216,RS FR,"Savannah, GA",Savannah,GA,Savannah Country Day,,,,,Vanderbilt University,2012-2013
80,Chris Boyd,http://www.vucommodores.com/sports/m-footbl/mtt/chris_boyd_711739.html,WR,6/4/13,205,RS SO,"Roswell, GA",Roswell,GA,Roswell,,,,,Vanderbilt University,2012-2013
52,Andrew Bridges,http://www.vucommodores.com/sports/m-footbl/mtt/andrew_bridges_711853.html,OT,6/6/13,275,RS SO,"Atlanta, GA",Atlanta,GA,Westminster,,,,,Vanderbilt University,2012-2013
79,Ryan Brockway,http://www.vucommodores.com/sports/m-footbl/mtt/ryan_brockway_817008.html,OL,6/5/13,290,JR,"Los Angeles, CALIF",Los Angeles,CALIF,Loyola High School,,,,,Vanderbilt University,2012-2013
56,Darien Bryant,http://www.vucommodores.com/sports/m-footbl/mtt/darien_bryant_766918.html,DE,6/4/13,225,RS FR,"Reynoldsburg, OHIO",Reynoldsburg,OHIO,Pickerington North,,,,,Vanderbilt University,2012-2013
71,Adam Butler,http://www.vucommodores.com/sports/m-footbl/mtt/adam_butler_807657.html,OL,6/4/13,290,FR,"Duncanville, TEXAS",Duncanville,TEXAS,Duncanville,,,,,Vanderbilt University,2012-2013
28,Karl Butler,http://www.vucommodores.com/sports/m-footbl/mtt/karl_butler_711854.html,LB,6/1/13,215,JR,"New Orleans, LA",New Orleans,LA,Brother Martin,,,,,Vanderbilt University,2012-2013
6,Austyn Carta-Samuels,http://www.vucommodores.com/sports/m-footbl/mtt/austyn_carta_samuels_795578.html,QB,6/1/13,220,RS JR,"San Jose, CALIF",San Jose,CALIF,Bellarmine Prep,University of Wyoming,,,,Vanderbilt University,2012-2013
12,Steven Clarke,http://www.vucommodores.com/sports/m-footbl/mtt/steven_clarke_711855.html,DB,5/10/13,195,JR,"Lauderdale Lakes, FLA",Lauderdale Lakes,FLA,Boyd Anderson,,,,,Vanderbilt University,2012-2013
35,Hasan Clayton,http://www.vucommodores.com/sports/m-footbl/mtt/hasan_clayton_797585.html,DB,5/11/13,180,JR,"Arlington Heights, ILL",Arlington Heights,ILL,Loyola Academy,,,,,Vanderbilt University,2012-2013
86,Damon Cole,http://www.vucommodores.com/sports/m-footbl/mtt/damon_cole_822106.html,WR,5/10/13,165,FR,"Pearl, MISS",Pearl,MISS,Park Place Christian,,,,,Vanderbilt University,2012-2013
83,John Cole,http://www.vucommodores.com/sports/m-footbl/mtt/john_cole_359925.html,WR,5/10/13,180,GS,"Somerset, KY",Somerset,KY,Somerset,,,,,Vanderbilt University,2012-2013
16,Colby Cooke,http://www.vucommodores.com/sports/m-footbl/mtt/colby_cooke_807656.html,P/PK,6/3/13,200,FR,"Goochland, VA",Goochland,VA,Goochland,,,,,Vanderbilt University,2012-2013
44,Barron Dixon,http://www.vucommodores.com/sports/m-footbl/mtt/barron_dixon_766150.html,DT,6/4/13,302,SO,"Alpharetta, GA",Alpharetta,GA,Chattahooche,,,,,Vanderbilt University,2012-2013
34,Andrew East,http://www.vucommodores.com/sports/m-footbl/mtt/andrew_east_711857.html,SN/LB,6/2/13,230,RS SO,"Indianpolis, IND",Indianpolis,IND,North Central,,,,,Vanderbilt University,2012-2013
16,Eddie Foster,http://www.vucommodores.com/sports/m-footbl/mtt/eddie_foster_439622.html,DB,5/10/13,172,SR,"Colleyville, TEXAS",Colleyville,TEXAS,Heritage,,,,,Vanderbilt University,2012-2013
48,Ryan Fowler,http://www.vucommodores.com/sports/m-footbl/mtt/ryan_fowler_360027.html,PK,5/10/13,175,RS SR,"Taylors, SC",Taylors,SC,Eastside,,,,,Vanderbilt University,2012-2013
30,Larry Franklin,http://www.vucommodores.com/sports/m-footbl/mtt/larry_franklin_766151.html,LB,6/1/13,210,RS FR,"Vero Beach, FLA",Vero Beach,FLA,Vero Beach,,,,,Vanderbilt University,2012-2013
