rank,team,value,value_change,debt_to_value,revenue,operating_income,year,debt
1,Dallas Cowboys,2300,0.10,0.12,539.00,250.70,2013,276
2,New England Patriots,1800,0.10,0.14,408.00,139.20,2013,252
3,Washington Redskins,1700,0.06,0.26,381.00,104.30,2013,442
4,New York Giants,1550,0.06,0.42,338.00,64.40,2013,651
5,Houston Texans,1450,0.11,0.13,320.00,81.50,2013,188.5
6,New York Jets,1380,0.07,0.54,321.00,52.80,2013,745.2
7,Philadelphia Eagles,1314,0.04,0.15,306.00,47.80,2013,197.1
8,Chicago Bears,1252,0.05,0.09,298.00,63.20,2013,112.68
9,Baltimore Ravens,1227,0.06,0.22,292.00,48.30,2013,269.94
10,San Francisco 49ers,1224,0.04,0.11,255.00,10.20,2013,134.64
11,Indianapolis Colts,1200,0.04,0.04,276.00,65.00,2013,48
12,Green Bay Packers,1183,0.02,0.02,282.00,54.30,2013,23.66
13,Denver Broncos,1161,0.03,0.12,283.00,31.70,2013,139.32
14,Pittsburgh Steelers,1118,0.02,0.18,266.00,28.30,2013,201.24
15,Seattle Seahawks,1081,0.04,0.11,270.00,28.20,2013,118.91
16,Miami Dolphins,1074,0.01,0.36,268.00,24.80,2013,386.64
17,Tampa Bay Buccaneers,1067,0.03,0.17,267.00,2.20,2013,181.39
18,Carolina Panthers,1057,0.01,0.06,271.00,28.90,2013,63.42
19,Tennessee Titans,1055,0.04,0.12,270.00,40.00,2013,126.6
20,Kansas City Chiefs,1009,0.00,0.07,245.00,15.00,2013,70.63
21,Minnesota Vikings,1007,0.03,0.33,234.00,28.00,2013,332.31
22,Cleveland Browns,1005,0.02,0.20,264.00,17.10,2013,201
23,New Orleans Saints,1004,0.03,0.07,276.00,22.20,2013,70.28
24,Arizona Cardinals,961,0.04,0.16,253.00,9.70,2013,153.76
25,San Diego Chargers,949,0.01,0.11,250.00,30.40,2013,104.39
26,Atlanta Falcons,933,0.11,0.29,252.00,18.50,2013,270.57
27,Cincinnati Bengals,924,0.06,0.11,250.00,37.30,2013,101.64
28,Detroit Lions,900,0.05,0.31,248.00,-3.50,2013,279
29,St Louis Rams,875,0.12,0.13,239.00,21.10,2013,113.75
30,Buffalo Bills,870,0.08,0.14,256.00,12.60,2013,121.8
31,Jacksonville Jaguars,840,0.09,0.24,260.00,15.50,2013,201.6
32,Oakland Raiders,825,0.05,0.24,229.00,19.10,2013,198
1,Dallas Cowboys,2100,14,13,500,226.7,2012,
2,New England Patriots,1635,17,16,380,118.8,2012,
3,Washington Redskins,1600,3,28,373,109,2012,
4,New York Giants,1468,13,44,326,59,2012,
5,Houston Texans,1305,9,15,304,61.9,2012,
6,New York Jets,1284,5,58,299,27,2012,
7,Philadelphia Eagles,1260,8,8,296,48.2,2012,
8,Chicago Bears,1190,9,10,286,65.3,2012,
9,San Francisco 49ers,1175,19,11,245,30,2012,
10,Green Bay Packers,1161,7,2,276,43.1,2012,
11,Baltimore Ravens,1157,6,23,279,48.6,2012,
12,Indianapolis Colts,1154,9,4,268,62.6,2012,
13,Denver Broncos,1132,8,13,276,49.3,2012,
14,Pittsburgh Steelers,1100,8,18,266,-0.8,2012,
15,Miami Dolphins,1060,5,36,265,14.5,2012,
16,Carolina Panthers,1048,5,18,269,11.5,2012,
17,Seattle Seahawks,1040,4,12,260,16.4,2012,
18,Tampa Bay Buccaneers,1033,5,17,258,44.1,2012,
19,Tennessee Titans,1011,5,12,262,38.8,2012,
20,Kansas City Chiefs,1008,2,13,259,46.4,2012,
21,Cleveland Browns,987,1,15,258,28.7,2012,
22,Minnesota Vikings,975,22,34,227,7.2,2012,
23,New Orleans Saints,971,1,13,259,37,2012,
24,San Diego Chargers,936,2,13,246,22.5,2012,
25,Arizona Cardinals,922,2,16,246,20.5,2012,
26,Cincinnati Bengals,871,0,11,235,18.1,2012,
27,Detroit Lions,855,1,32,231,-4.6,2012,
28,Atlanta Falcons,837,3,33,239,15.3,2012,
29,Buffalo Bills,805,2,16,240,29.4,2012,
30,Oakland Raiders,785,3,16,226,-15.2,2012,
31,St Louis Rams,780,1,15,231,6.7,2012,
32,Jacksonville Jaguars,770,6,19,238,29.6,2012,
