Player,DBPediaCollege_Name,Position,FormalStatedMajor,CollegeMajor,DBPediaURI_Player,DBPediaData_Player,DBPediaURI_College,DBPediaData_College,Conference,DBPediaURI_Conference,DBPediaData_Conference,Division,DraftYear,idPlayer,DraftYear.y,gradeNFL,Height.numeric,Weight,fortyYardDash,benchPress,verticalJump,broadJump,twentyYardShuttle,threeConeDrill,Wonderlic,DBPediaURI_DraftYear,DBPediaData_DraftYear
A.J. Klein,Iowa State University,ILB,Physical Therapy,"Physical Therapy, Sports Science, Kinesiology",http://live.dbpedia.org/resource/A._J._Klein,http://live.dbpedia.org/data/A._J._Klein.json,http://live.dbpedia.org/resource/Iowa_State_University,http://live.dbpedia.org/data/Iowa_State_University.json,Big 12 Conference,http://live.dbpedia.org/resource/Big_12_Conference,http://live.dbpedia.org/data/Big_12_Conference.json,Division I,2013,24965,2013,56.3,6.0833309,250,4.66,20,NA,113,NA,NA,NA,live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
Aaron Dobson,Marshall University,WR,Undisclosed,Undeclared/Undisclosed,http://live.dbpedia.org/resource/Aaron_Dobson,http://live.dbpedia.org/data/Aaron_Dobson.json,http://live.dbpedia.org/resource/Marshall_University,http://live.dbpedia.org/data/Marshall_University.json,Conference USA,http://live.dbpedia.org/resource/Conference_USA,http://live.dbpedia.org/data/Conference_USA.json,Division I,2013,24966,2013,71.7,6.25,210,NA,NA,NA,NA,NA,NA,NA,live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
Aaron Hester,"University of California, Los Angeles",CB,History,"History, Geography",http://live.dbpedia.org/resource/Aaron_Hester,http://live.dbpedia.org/data/Aaron_Hester.json,"http://live.dbpedia.org/resource/University_of_California,_Los_Angeles","http://live.dbpedia.org/data/University_of_California,_Los_Angeles.json",Pacific-12 Conference,http://live.dbpedia.org/resource/Pacific-12_Conference,http://live.dbpedia.org/data/Pacific-12_Conference.json,Division I,2013,24967,2013,55,6.1666642,198,4.62,NA,29,112,4.33,7.26,NA,live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
Aaron Mellette,Elon University,WR,Sport and Event Management,"Leisure, Sport, Recreation Studies and Management",http://live.dbpedia.org/resource/Aaron_Mellette,http://live.dbpedia.org/data/Aaron_Mellette.json,http://live.dbpedia.org/resource/Elon_University,http://live.dbpedia.org/data/Elon_University.json,Southern Conference,http://live.dbpedia.org/resource/Southern_Conference,http://live.dbpedia.org/data/Southern_Conference.json,Division I-AA,2013,24968,2013,61,6.166666667,217,4.54,9,33.5,123,4.41,7.11,NA,live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
Abry Jones,University of Georgia,DT,Communication Studies,Communications,http://live.dbpedia.org/resource/Abry_Jones,http://live.dbpedia.org/data/Abry_Jones.json,http://live.dbpedia.org/resource/University_of_Georgia,http://live.dbpedia.org/data/University_of_Georgia.json,Southeastern Conference,http://live.dbpedia.org/resource/Southeastern_Conference,http://live.dbpedia.org/data/Southeastern_Conference.json,Division I,2013,24969,2013,58.3,6.2499975,313,5.06,30,26.5,101,NA,NA,NA,live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
Ace Sanders,University of South Carolina,WR,Broadcast Journalism,"Broadcasting, Journalism & Media",http://live.dbpedia.org/resource/Ace_Sanders,http://live.dbpedia.org/data/Ace_Sanders.json,http://live.dbpedia.org/resource/University_of_South_Carolina,http://live.dbpedia.org/data/University_of_South_Carolina.json,Southeastern Conference,http://live.dbpedia.org/resource/Southeastern_Conference,http://live.dbpedia.org/data/Southeastern_Conference.json,Division I,2013,24970,2013,68,5.5833311,173,4.58,7,32,117,4.37,6.81,NA,live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
Adrian Bushell,University of Louisville,CB,Undisclosed,Undeclared/Undisclosed,http://live.dbpedia.org/resource/Adrian_Bushell,http://live.dbpedia.org/data/Adrian_Bushell.json,http://live.dbpedia.org/resource/University_of_Louisville,http://live.dbpedia.org/data/University_of_Louisville.json,Big East Conference,http://live.dbpedia.org/resource/Big_East_Conference,http://live.dbpedia.org/data/Big_East_Conference.json,Division I,2013,24971,2013,68,5.7499977,186,4.58,17,33,116,4.25,6.92,NA,live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
Akeem Spence,University of Illinois at Urbana-Champaign,DT,Communication,Communications,http://live.dbpedia.org/resource/Akeem_Spence,http://live.dbpedia.org/data/Akeem_Spence.json,http://live.dbpedia.org/resource/University_of_Illinois_at_Urbana-Champaign,http://live.dbpedia.org/data/University_of_Illinois_at_Urbana-Champaign.json,Big Ten Conference,http://live.dbpedia.org/resource/Big_Ten_Conference,http://live.dbpedia.org/data/Big_Ten_Conference.json,Division I,2013,24972,2013,66,6.0833309,307,5.15,37,30,107,4.72,7.82,NA,live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
Alan Bonner,Jacksonville State University,WR,Exercise Science and Wellness,"Physical Therapy, Sports Science, Kinesiology",http://live.dbpedia.org/resource/Alan_Bonner,http://live.dbpedia.org/data/Alan_Bonner.json,http://live.dbpedia.org/resource/Jacksonville_State_University,http://live.dbpedia.org/data/Jacksonville_State_University.json,Ohio Valley Conference,http://live.dbpedia.org/resource/Ohio_Valley_Conference,http://live.dbpedia.org/data/Ohio_Valley_Conference.json,Division I-AA,2013,24973,2013,50,5.833331,193,4.59,14,33,117,4.15,NA,NA,live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
Alec Lemon,Syracuse University,WR,Sociology,Sociology,http://live.dbpedia.org/resource/Alec_Lemon,http://live.dbpedia.org/data/Alec_Lemon.json,http://live.dbpedia.org/resource/Syracuse_University,http://live.dbpedia.org/data/Syracuse_University.json,Atlantic Coast Conference,http://live.dbpedia.org/resource/Atlantic_Coast_Conference,http://live.dbpedia.org/data/Atlantic_Coast_Conference.json,Division I,2013,24974,2013,54,6.0833309,202,4.59,7,32,112,4.29,7.04,NA,live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
Alec Ogletree,University of Georgia,ILB,Child and Family Development,"Child, Family and Community Studies/Development",http://live.dbpedia.org/resource/Alec_Ogletree,http://live.dbpedia.org/data/Alec_Ogletree.json,http://live.dbpedia.org/resource/University_of_Georgia,http://live.dbpedia.org/data/University_of_Georgia.json,Southeastern Conference,http://live.dbpedia.org/resource/Southeastern_Conference,http://live.dbpedia.org/data/Southeastern_Conference.json,Division I,2013,24975,2013,84,6.17,242,4.7,20,33.5,122,4.39,7.16,NA,live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
