Pick,Round,Player,Position,DraftFranchise,CurrentDayFranchise,DBPediaCollege_Name,Conference,Division,FormalStatedMajor,CollegeMajor,DraftYear,gradeNFL,Height.numeric,Weight,fortyYardDash,benchPress,verticalJump,broadJump,twentyYardShuttle,threeConeDrill,Wonderlic,DBPediaURI_College,DBPediaData_College,Conference.1,DBPediaURI_Conference,DBPediaData_Conference,DBPediaURI_Player,DBPediaData_Player,DBpediaURI_Position,DBpediaData_Position,DBPediaURI_DraftYear,DBPediaData_DraftYear
1,1,Eric Fisher,OT,Kansas City Chiefs,Kansas City Chiefs,Central Michigan University,Mid-American Conference,Division I,Mechanical Engineering,Engineering,2013,91.3,6.58,306,5.05,27,28.5,116,4.44,7.59,NA,http://live.dbpedia.org/resource/Central_Michigan_University,http://live.dbpedia.org/data/Central_Michigan_University.json,Mid-American Conference,http://live.dbpedia.org/resource/Mid-American_Conference,http://live.dbpedia.org/data/Mid-American_Conference.json,live.dbpedia.org/resource/Eric_Fisher_(American_football),live.dbpedia.org/data/Eric_Fisher_(American_football).json,live.dbpedia.org/resource/Tackle_(American_football)#Offensive_tackle,live.dbpedia.org/data/Tackle_(American_football)#Offensive_tackle.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
2,1,Luke Joeckel,OT,Jacksonville Jaguars,Jacksonville Jaguars,Texas A&M University,Southeastern Conference,Division I,Business,"Business Administration, Management",2013,95.3,6.5,306,5.3,27,28.5,106,4.68,7.4,NA,http://live.dbpedia.org/resource/Texas_A&M_University,http://live.dbpedia.org/data/Texas_A&M_University.json,Southeastern Conference,http://live.dbpedia.org/resource/Southeastern_Conference,http://live.dbpedia.org/data/Southeastern_Conference.json,live.dbpedia.org/resource/Luke_Joeckel,live.dbpedia.org/data/Luke_Joeckel.json,live.dbpedia.org/resource/Tackle_(American_football)#Offensive_tackle,live.dbpedia.org/data/Tackle_(American_football)#Offensive_tackle.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
3,1,Dion Jordan,DE,Miami Dolphins,Miami Dolphins,University of Oregon,Pacific-12 Conference,Division I,Sociology,Sociology,2013,88,6.5,248,4.6,NA,32.5,122,4.35,7.02,NA,http://live.dbpedia.org/resource/University_of_Oregon,http://live.dbpedia.org/data/University_of_Oregon.json,Pacific-12 Conference,http://live.dbpedia.org/resource/Pacific-12_Conference,http://live.dbpedia.org/data/Pacific-12_Conference.json,live.dbpedia.org/resource/Dion_Jordan,live.dbpedia.org/data/Dion_Jordan.json,live.dbpedia.org/resource/Defensive_end,live.dbpedia.org/data/Defensive_end.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
4,1,Lane Johnson,OT,Philadelphia Eagles,Philadelphia Eagles,University of Oklahoma,Big 12 Conference,Division I,Human Relations,Sociology,2013,86.9,6.5,303,4.72,28,34,118,4.52,7.31,NA,http://live.dbpedia.org/resource/University_of_Oklahoma,http://live.dbpedia.org/data/University_of_Oklahoma.json,Big 12 Conference,http://live.dbpedia.org/resource/Big_12_Conference,http://live.dbpedia.org/data/Big_12_Conference.json,live.dbpedia.org/resource/Lane_Johnson,live.dbpedia.org/data/Lane_Johnson.json,live.dbpedia.org/resource/Tackle_(American_football)#Offensive_tackle,live.dbpedia.org/data/Tackle_(American_football)#Offensive_tackle.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
5,1,Ezekial Ansah,DE,Detroit Lions,Detroit Lions,Brigham Young University,NCAA Division I FBS independent schools,Division I,Actuarial Science,Actuarial Science,2013,89.3,6.42,271,4.63,21,34.5,118,4.26,7.11,NA,http://live.dbpedia.org/resource/Brigham_Young_University,http://live.dbpedia.org/data/Brigham_Young_University.json,NCAA Division I FBS independent schools,http://live.dbpedia.org/resource/NCAA_Division_I_FBS_independent_schools,http://live.dbpedia.org/data/NCAA_Division_I_FBS_independent_schools.json,live.dbpedia.org/resource/Ezekiel_Ansah,live.dbpedia.org/data/Ezekiel_Ansah.json,live.dbpedia.org/resource/Defensive_end,live.dbpedia.org/data/Defensive_end.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
6,1,Barkevious Mingo,DE,Cleveland Browns,Cleveland Browns,Louisiana State University,Southeastern Conference,Division I,Sport Administration,"Leisure, Sport, Recreation Studies and Management",2013,92.8,6.33,241,4.58,NA,37,128,4.39,6.84,NA,http://live.dbpedia.org/resource/Louisiana_State_University,http://live.dbpedia.org/data/Louisiana_State_University.json,Southeastern Conference,http://live.dbpedia.org/resource/Southeastern_Conference,http://live.dbpedia.org/data/Southeastern_Conference.json,live.dbpedia.org/resource/Barkevious_Mingo,live.dbpedia.org/data/Barkevious_Mingo.json,live.dbpedia.org/resource/Defensive_end,live.dbpedia.org/data/Defensive_end.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
7,1,Jonathan Cooper,OG,Arizona Cardinals,Arizona Cardinals,University of North Carolina at Chapel Hill,Atlantic Coast Conference,Division I,Communications,Communications,2013,86.9,6.17,311,5.07,35,27,108,4.84,7.78,NA,http://live.dbpedia.org/resource/University_of_North_Carolina_at_Chapel_Hill,http://live.dbpedia.org/data/University_of_North_Carolina_at_Chapel_Hill.json,Atlantic Coast Conference,http://live.dbpedia.org/resource/Atlantic_Coast_Conference,http://live.dbpedia.org/data/Atlantic_Coast_Conference.json,live.dbpedia.org/resource/Jonathan_Cooper,live.dbpedia.org/data/Jonathan_Cooper.json,live.dbpedia.org/resource/Guard_(American_football),live.dbpedia.org/data/Guard_(American_football).json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
8,1,Tavon Austin,WR,St. Louis Rams,St. Louis Rams,West Virginia University,Big 12 Conference,Division I,Athletic Coaching Education,"Leisure, Sport, Recreation Studies and Management",2013,85.4,5.67,174,4.34,14,32,120,4.01,NA,NA,http://live.dbpedia.org/resource/West_Virginia_University,http://live.dbpedia.org/data/West_Virginia_University.json,Big 12 Conference,http://live.dbpedia.org/resource/Big_12_Conference,http://live.dbpedia.org/data/Big_12_Conference.json,live.dbpedia.org/resource/Tavon_Austin,live.dbpedia.org/data/Tavon_Austin.json,live.dbpedia.org/resource/Wide_receiver,live.dbpedia.org/data/Wide_receiver.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
9,1,Dee Milliner,CB,New York Jets,New York Jets,University of Alabama,Southeastern Conference,Division I,Undisclosed,Undeclared/Undisclosed,2013,93.2,6,201,4.37,NA,36,122,4.32,6.95,NA,http://live.dbpedia.org/resource/University_of_Alabama,http://live.dbpedia.org/data/University_of_Alabama.json,Southeastern Conference,http://live.dbpedia.org/resource/Southeastern_Conference,http://live.dbpedia.org/data/Southeastern_Conference.json,live.dbpedia.org/resource/Dee_Milliner,live.dbpedia.org/data/Dee_Milliner.json,live.dbpedia.org/resource/Cornerback,live.dbpedia.org/data/Cornerback.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
10,1,Chance Warmack,OG,Tennessee Titans,Tennessee Titans,University of Alabama,Southeastern Conference,Division I,Undeclared,Undeclared/Undisclosed,2013,95.9,6.17,317,5.49,NA,NA,110,NA,NA,NA,http://live.dbpedia.org/resource/University_of_Alabama,http://live.dbpedia.org/data/University_of_Alabama.json,Southeastern Conference,http://live.dbpedia.org/resource/Southeastern_Conference,http://live.dbpedia.org/data/Southeastern_Conference.json,live.dbpedia.org/resource/Chance_Warmack,live.dbpedia.org/data/Chance_Warmack.json,live.dbpedia.org/resource/Guard_(American_football),live.dbpedia.org/data/Guard_(American_football).json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
