CombineYear,Player,ReconciledCollege,Position,gradeNFL,Height.numeric,Weight,fortyYardDash,benchPress,verticalJump,broadJump,twentyYardShuttle,threeConeDrill,Wonderlic,Division,Conference,College
2010,A.J. Edds,University of Iowa,OLB,NA,6.3333308,246,4.62,16,33,117,4.28,7.19,NA,Division I,Big Ten,Iowa
2011,A.J. Green,University of Georgia,WR,NA,6.3333308,211,4.48,18,34.5,126,4.21,6.91,NA,Division I,Southeastern,Georgia
2012,A.J. Greene,Auburn University,OT,NA,6.4166641,298,NA,NA,NA,NA,NA,NA,NA,Division I,Southeastern,Auburn
2006,A.J. Hawk,Ohio State University,OLB,NA,6.0833309,248,4.59,24,40,115,3.96,6.82,NA,Division I,Big Ten,Ohio State
2010,A.J. Jefferson,"California State University, Fresno",CB,NA,6.0833309,193,4.42,7,44,126,4,6.72,NA,Division I,Mountain West,Fresno State
2012,A.J. Jenkins,University of Illinois,WR,NA,5.9999976,190,4.39,12,38,124,NA,NA,NA,Division I,Big Ten,Illinois
2013,A.J. Klein,Iowa State University,ILB,56.3,6.0833309,250,4.66,20,NA,113,NA,NA,NA,Division I,Big 12,Iowa State
2006,A.J. Nicholson,Florida State University,OLB,NA,6.0833309,252,4.88,25,NA,116,4.46,7.37,NA,Division I,Atlantic Coast,Florida State
2009,A.Q. Shipley,Pennsylvania State University,C,NA,6.0833309,304,5.19,33,31,100,4.4,7.46,NA,Division I,Big Ten,Penn State
1999,Aaron Brooks,University of Virginia,QB,NA,6.3333308,203,4.6,NA,35.5,120,4.29,7.52,17,Division I,Atlantic Coast,Virginia
2012,Aaron Corp,University of Richmond,QB,NA,6.3333308,215,4.72,NA,31.5,106,4.3,7.03,NA,Division I-AA,Colonial,Richmond
2009,Aaron Curry,Wake Forest University,OLB,NA,6.1666642,254,4.52,25,37,124,4.51,7.15,NA,Division I,Atlantic Coast,Wake Forest
1999,Aaron Dalan,University of Washington,OT,NA,6.666664,328,5.24,23,23.5,99,4.61,8.03,NA,Division I,Pacific-12,University of Washington
2013,Aaron Dobson,Marshall University,WR,71.7,6.25,210,NA,NA,NA,NA,NA,NA,NA,Division I,Conference USA,Marshall
2007,Aaron Fairooz,University of Central Arkansas,WR,NA,6.4999974,209,4.49,NA,36,125,4.27,6.89,NA,Division I-AA,Southland,Central Arkansas
2000,Aaron Fields,Troy University,DE,NA,6.3333308,243,4.76,22,34,115,4.56,7.51,NA,Division I,Sun Belt,Troy
2005,Aaron Francisco,Brigham Young University,FS,NA,6.1666642,211,4.74,17,35,113,4.13,6.98,NA,Division I,I-A Independent,Brigham Young
1999,Aaron Gibson,University of Wisconsin,OT,NA,6.4999974,386,5.35,31,24,111,4.54,7.99,NA,Division I,Big Ten,Wisconsin
2013,Aaron Hester,"University of California, Los Angeles",CB,55,6.1666642,198,4.62,NA,29,112,4.33,7.26,NA,Division I,Pacific-12,UCLA
2000,Aaron Humphrey,University of Texas,DE,NA,6.2499975,254,5.1,21,34,119,NA,NA,NA,Division I,Big 12,University of Texas
2003,Aaron Hunt,Texas Tech University,DE,NA,6.2499975,262,4.86,24,30,106,4.52,7.68,NA,Division I,Big 12,Texas Tech
2009,Aaron Kelly,Clemson University,WR,NA,6.4166641,204,4.49,11,38,119,4.45,7.25,NA,Division I,Atlantic Coast,Clemson
