"","rank","team","value","year","value_change","debt_percent","revenue","operating_income","player_expense","gate_receipt","comments"
"420",20,"Winnipeg Jets","200",2012,22,65,105,13.3,NA,NA,NA
"496",24,"Winnipeg Jets","164",2011,21,61,71,-5.2,NA,NA,NA
"252",12,"Anaheim Ducks","197",2007,25,0,89,6.6,NA,NA,NA
"294",14,"Anaheim Ducks","206",2009,2,17,94,4.8,NA,NA,NA
"315",15,"Anaheim Ducks","157",2006,45,0,75,-0.2,NA,NA,NA
"336",16,"Anaheim Ducks","202",2008,3,17,90,1,NA,NA,NA
"398",19,"Anaheim Ducks","184",2011,-2,35,84,-8.4,NA,NA,NA
"399",19,"Anaheim Ducks","188",2010,-9,19,85,-5.2,NA,NA,NA
"441",21,"Anaheim Ducks","192",2012,4,34,91,-10.8,NA,NA,NA
"439",21,"Winnepeg Jets","30",1991,NA,NA,NA,NA,NA,NA,NA
"440",21,"Winnepeg Jets","30",1992,NA,NA,NA,NA,NA,NA,NA
"460",22,"Winnepeg Jets","35",1993,NA,NA,NA,NA,NA,NA,NA
"495",24,"Winnepeg Jets","35",1994,NA,NA,NA,NA,NA,NA,NA
"530",26,"Winnepeg Jets","35",1995,NA,NA,NA,NA,NA,NA,NA
"478",23,"Washington Capitals ","115",2005,-11,59,61,-14.7,NA,NA,NA
"357",17,"Washington Capitals ","138",2002,3,69,50,-15.5,38.5,NA,NA
"105",5,"Washington Capitals","178",1999,NA,56,74.2,14.1,NA,NA,NA
"230",11,"Washington Capitals","144.1",2000,NA,NA,NA,NA,NA,NA,NA
"231",11,"Washington Capitals","250",2012,11,52,106,-1,NA,NA,NA
"251",12,"Washington Capitals","225",2011,14,58,94,-7.5,NA,NA,NA
"273",13,"Washington Capitals","85",1997,NA,NA,NA,NA,NA,NA,NA
"293",14,"Washington Capitals","70",1996,NA,NA,NA,NA,NA,NA,NA
"314",15,"Washington Capitals","59",1995,NA,NA,NA,NA,NA,NA,NA
"333",16,"Washington Capitals","140",2003,1,61,61,-25.4,NA,NA,NA
"334",16,"Washington Capitals","197",2010,7,40,82,-9.1,NA,NA,NA
"335",16,"Washington Capitals","38",1991,NA,NA,NA,NA,NA,NA,NA
"355",17,"Washington Capitals","134",2001,-7,66,48.8,-10.5,32,20.1,"Team owners promoting heavily since 1999 purchase; own 40% of MCI Center."
"356",17,"Washington Capitals","40",1992,NA,NA,NA,NA,NA,NA,NA
"376",18,"Washington Capitals","130",2004,-8,51,62,-21,NA,NA,NA
"377",18,"Washington Capitals","45",1993,NA,NA,NA,NA,NA,NA,NA
"378",18,"Washington Capitals","47",1994,NA,NA,NA,NA,NA,NA,NA
"419",20,"Washington Capitals","183",2009,15,37,83,-4.9,NA,NA,NA
"529",26,"Washington Capitals","160",2008,10,43,73,-6.9,NA,NA,NA
"555",28,"Washington Capitals","145",2007,14,47,66,1,NA,NA,NA
"577",30,"Washington Capitals","127",2006,10,54,63,4.6,NA,NA,NA
"313",15,"Vancouver Canucks ","148",2005,18,75,74,1.3,NA,NA,NA
"145",7,"Vancouver Canucks","300",2011,15,37,146,23.5,NA,NA,NA
"146",7,"Vancouver Canucks","342",2012,14,29,143,30.4,NA,NA,NA
"147",7,"Vancouver Canucks","87",1995,NA,NA,NA,NA,NA,NA,NA
"165",8,"Vancouver Canucks","236",2008,12,47,107,19.2,NA,NA,NA
"166",8,"Vancouver Canucks","262",2010,10,42,119,17.6,NA,NA,NA
"167",8,"Vancouver Canucks","61",1993,NA,NA,NA,NA,NA,NA,NA
"168",8,"Vancouver Canucks","91",1996,NA,NA,NA,NA,NA,NA,NA
"187",9,"Vancouver Canucks","211",2007,10,52,96,12.8,NA,NA,NA
"188",9,"Vancouver Canucks","239",2009,1,46,109,20.3,NA,NA,NA
"189",9,"Vancouver Canucks","69",1994,NA,NA,NA,NA,NA,NA,NA
"210",10,"Vancouver Canucks","192",2006,30,57,80,1.1,NA,NA,NA
"250",12,"Vancouver Canucks","91",1997,NA,NA,NA,NA,NA,NA,NA
"291",14,"Vancouver Canucks","41.6",1991,NA,NA,NA,NA,NA,NA,NA
"292",14,"Vancouver Canucks","45",1992,NA,NA,NA,NA,NA,NA,NA
"396",19,"Vancouver Canucks","100",1999,NA,69,41.8,-10.4,NA,NA,NA
"397",19,"Vancouver Canucks","125",2004,14,76,66,1,NA,NA,NA
"438",21,"Vancouver Canucks","95.2",2000,NA,NA,NA,NA,NA,NA,NA
"459",22,"Vancouver Canucks","100",2001,5,99,45.5,-11.3,36.6,14.6,"Debt not a problem for billionaire John McCaw."
"513",25,"Vancouver Canucks","106",2002,6,94,48,-3,29.5,NA,NA
"528",26,"Vancouver Canucks","110",2003,4,86,56,-0.8,NA,NA,NA
"42",2,"Toronto Maple Leafs ","280",2005,7,39,117,14.1,NA,NA,NA
"15",1,"Toronto Maple Leafs","1,000",2012,92,16,200,81.9,NA,NA,NA
"16",1,"Toronto Maple Leafs","332",2006,18,52,119,41.5,NA,NA,NA
"17",1,"Toronto Maple Leafs","413",2007,24,39,138,52.7,NA,NA,NA
"18",1,"Toronto Maple Leafs","448",2008,9,35,160,66.4,NA,NA,NA
"19",1,"Toronto Maple Leafs","470",2009,5,31,168,78.9,NA,NA,NA
"20",1,"Toronto Maple Leafs","505",2010,8,27,187,82.5,NA,NA,NA
"21",1,"Toronto Maple Leafs","521",2011,3,25,193,81.8,NA,NA,NA
"63",3,"Toronto Maple Leafs","263",2004,9,24,105,14,NA,NA,NA
"104",5,"Toronto Maple Leafs","203",2001,35,68,84.4,17.5,37.3,41.9,"Stavro wants to sell leveraged entity that owns Maple Leafs, Raptors and arena."
"124",6,"Toronto Maple Leafs","105",1997,NA,NA,NA,NA,NA,NA,NA
"125",6,"Toronto Maple Leafs","216",2002,6,64,90,15.4,45.9,NA,NA
"126",6,"Toronto Maple Leafs","90",1995,NA,NA,NA,NA,NA,NA,NA
"141",7,"Toronto Maple Leafs","241",2003,12,26,112,24.2,NA,NA,NA
"142",7,"Toronto Maple Leafs","63",1993,NA,NA,NA,NA,NA,NA,NA
"143",7,"Toronto Maple Leafs","77",1994,NA,NA,NA,NA,NA,NA,NA
"144",7,"Toronto Maple Leafs","96",1996,NA,NA,NA,NA,NA,NA,NA
"164",8,"Toronto Maple Leafs","45.2",1991,NA,NA,NA,NA,NA,NA,NA
"185",9,"Toronto Maple Leafs","150.4",2000,NA,NA,NA,NA,NA,NA,NA
"186",9,"Toronto Maple Leafs","54",1992,NA,NA,NA,NA,NA,NA,NA
"229",11,"Toronto Maple Leafs","119",1999,NA,59,47.5,6.8,NA,NA,NA
"272",13,"Tampa Bay Lightning ","150",2005,10,33,88,8.6,NA,NA,NA
"227",11,"Tampa Bay Lightning","172",2006,15,29,82,5,NA,NA,NA
"228",11,"Tampa Bay Lightning","199",2007,16,25,85,0.6,NA,NA,NA
"352",17,"Tampa Bay Lightning","136",2004,10,37,65,-1,NA,NA,NA
"353",17,"Tampa Bay Lightning","200",2008,1,53,84,1.2,NA,NA,NA
"354",17,"Tampa Bay Lightning","55",1995,NA,NA,NA,NA,NA,NA,NA
"373",18,"Tampa Bay Lightning","101",1999,NA,0,41.9,-1.7,NA,NA,NA
