rank,team,value,year,value_change,debt_percent,revenue,operating_income,player_expense,gate_receipt,comments
1,New York Rangers,234.8,2000,NA,NA,NA,NA,NA,NA,NA
2,Philadelphia Flyers,210.5,2000,NA,NA,NA,NA,NA,NA,NA
3,Boston Bruins,197.3,2000,NA,NA,NA,NA,NA,NA,NA
4,Detroit Red Wings,194.6,2000,NA,NA,NA,NA,NA,NA,NA
5,Chicago Blackhawks,184.1,2000,NA,NA,NA,NA,NA,NA,NA
6,Montreal Canadiens,175.2,2000,NA,NA,NA,NA,NA,NA,NA
7,Florida Panthers,161.5,2000,NA,NA,NA,NA,NA,NA,NA
8,Colorado Avalanche,161,2000,NA,NA,NA,NA,NA,NA,NA
9,Toronto Maple Leafs,150.4,2000,NA,NA,NA,NA,NA,NA,NA
10,Dallas Stars,149.2,2000,NA,NA,NA,NA,NA,NA,NA
11,Washington Capitals,144.1,2000,NA,NA,NA,NA,NA,NA,NA
12,New York Islanders,141.8,2000,NA,NA,NA,NA,NA,NA,NA
13,St Louis Blues,137.4,2000,NA,NA,NA,NA,NA,NA,NA
14,New Jersey Devils,134.7,2000,NA,NA,NA,NA,NA,NA,NA
15,Nashville Predators,130.3,2000,NA,NA,NA,NA,NA,NA,NA
16,San Jose Sharks,122.6,2000,NA,NA,NA,NA,NA,NA,NA
17,Mighty Ducks of Anaheim,117.2,2000,NA,NA,NA,NA,NA,NA,NA
18,Tampa Bay Lightning,112.6,2000,NA,NA,NA,NA,NA,NA,NA
19,Los Angeles Kings,108.8,2000,NA,NA,NA,NA,NA,NA,NA
20,Pittsburgh Penguins,99.2,2000,NA,NA,NA,NA,NA,NA,NA
21,Vancouver Canucks,95.2,2000,NA,NA,NA,NA,NA,NA,NA
22,Buffalo Sabres,90.7,2000,NA,NA,NA,NA,NA,NA,NA
23,Phoenix Coyotes,89.6,2000,NA,NA,NA,NA,NA,NA,NA
24,Ottawa Senators,79.2,2000,NA,NA,NA,NA,NA,NA,NA
25,Calgary Flames,77.4,2000,NA,NA,NA,NA,NA,NA,NA
26,Edmonton Oilers,72.6,2000,NA,NA,NA,NA,NA,NA,NA
27,Carolina Hurricanes,69.3,2000,NA,NA,NA,NA,NA,NA,NA
1,New York Rangers,263,2001,12,57,97.6,-1.4,62,22.5,"Team shares old, rennovated arena with Knicks."
2,Philadelphia Flyers,240,2001,14,29,88.9,3.2,49.9,43.8,Team shares new First Union Center with 76ers.
3,Detroit Red Wings,218,2001,12,0,80.7,2,48.9,40.6,Team has management contract for Joe Louis Arena.
4,Boston Bruins,217,2001,10,60,77.6,15.9,25.4,21.6,Team owns new venue. Great cable deal.
5,Toronto Maple Leafs,203,2001,35,68,84.4,17.5,37.3,41.9,"Stavro wants to sell leveraged entity that owns Maple Leafs, Raptors and arena."
6,Colorado Avalanche,198,2001,23,34,82.3,3.4,49.7,43.2,Owner of Avalanche and Nuggets owns Pepsi Center.
7,Chicago Blackhawks,197,2001,7,0,70.4,12.4,32.8,17.4,Black Hawks and Bulls each own half of United Center.
8,Montreal Canadiens,191,2001,9,22,73.5,12.7,36,25.7,Team being neglected by management as Molson prepares to sell.
9,Dallas Stars,182,2001,22,59,72.7,2.1,46.4,48.7,Moving into highly leveraged arena with Mavericks in 2001 season.
10,New Jersey Devils,163,2001,21,41,62.5,0.9,35.7,39.3,Team became part of YankeeNets in 2000. Unfavorable lease.
11,Los Angeles Kings,160,2001,47,78,63.9,8.4,36.6,21,"Anschutz owns majority of L.A. Kings, 30% of Lakers and controls arena."
12,Florida Panthers,147,2001,-9,24,64,0.2,35.9,20,Team has management contract for new arena. But highly competitive market.
13,San Jose Sharks,141,2001,15,21,61.3,3.4,37,24.5,Team has good lease at San Jose Arena.
14,New York Islanders,139,2001,-2,63,40.7,5.4,20.4,12.2,"Team will get apx $400 mill in cable revs next 30 yrs, but has horrible lease."
15,Atlanta Thrashers,138,2001,NA,44,59.9,15.9,20.6,25.1,"Strong sponsorship backing in new arena, but fan support questionable."
16,St Louis Blues,136,2001,-1,71,56.5,-5.9,34.8,28.2,Laurie purchase stabilizes team and are doing a better job marketing team.
17,Washington Capitals,134,2001,-7,66,48.8,-10.5,32,20.1,Team owners promoting heavily since 1999 purchase; own 40% of MCI Center.
18,Pittsburgh Penguins,132,2001,33,17,57.5,3.2,35.4,21.9,Emerged from Ch. 11 with better lease at Civic Arena; improved capitalization.
19,Nashville Predators,129,2001,-1,31,51.6,8.6,21.2,17.6,"Good lease and well marketed, but fan support questionable."
20,Mighty Ducks of Anaheim,116,2001,-1,0,48.1,-7.5,38.4,20.3,"Team has decent lease, but attendance has been trending downward."
21,Tampa Bay Lightning,107,2001,-5,47,44.6,-5.1,21.4,9.5,Team increased spending on marketing and investment in arena it controls.
22,Vancouver Canucks,100,2001,5,99,45.5,-11.3,36.6,14.6,Debt not a problem for billionaire John McCaw.
23,Buffalo Sabres,97,2001,7,82,48.6,-10.1,32.4,19.3,Team and new venue are highly leveraged. Owner has missed debt payments.
24,Phoenix Coyotes,86,2001,-4,70,41.9,-6.3,32.8,18.3,Team has horrible lease at AmericaWest arena; Burke trying to unload team.
25,Ottawa Senators,84,2001,6,88,46.7,-2.1,25.4,16.7,Property taxes and debt on arena are onerous. Players buying season tickets.
26,Calgary Flames,82,2001,6,61,41.2,-2.3,26.5,11.2,Team controls lease to rennovated arena. Well marketed for market size.
27,Carolina Hurricanes,79,2001,14,63,45.4,-2.4,31.5,20.2,Decent arena lease. Team team horribly managed with weak fan support.
28,Edmonton Oilers,77,2001,6,59,40.4,3.6,25.2,13.2,Team poorly capitalized and badly in need of new arena.
1,New York Rangers,277,2002,0.05,0.54,103,3.6,59.9,NA,NA
2,Philadelphia Flyers,250,2002,4,25,90,12.6,45.1,NA,NA
3,Colorado Avalanche,243,2002,23,28,93,5.9,53.5,NA,NA
4,Boston Bruins,230,2002,6,52,80,10.5,33.5,NA,NA
5,Detroit Red Wings,225,2002,3,20,83,-6.4,56.3,NA,NA
6,Toronto Maple Leafs,216,2002,6,64,90,15.4,45.9,NA,NA
7,Dallas Stars,207,2002,14,51,70,-4.3,52.9,NA,NA
8,Chicago Blackhawks,200,2002,2,0,72,13.3,32.4,NA,NA
9,Los Angeles Kings,189,2002,18,65,73,3.4,37.7,NA,NA
10,Montreal Canadiens,182,2002,-5,11,70,12.2,32.8,NA,NA
11,New Jersey Devils,175,2002,7,38,70,6.3,37.7,NA,NA
12,New York Islanders,156,2002,12,64,44,1.4,26.2,NA,NA
13,St Louis Blues,153,2002,13,63,64,-9.2,44.6,NA,NA
14,Pittsburgh Penguins,149,2002,12,15,64,7.2,36.3,NA,NA
15,San Jose Sharks,148,2002,5,27,63,4,39.1,NA,NA
16,Columbus Blue Jackets,145,2002,NA,28,60,11.3,24.4,NA,NA
17,Washington Capitals ,138,2002,3,69,50,-15.5,38.5,NA,NA
18,Minnesota Wild,135,2002,NA,56,56,11.1,18.4,NA,NA
19,Atlanta Thrashers,134,2002,-3,45,58,6.6,24.7,NA,NA
20,Nashville Predators,131,2002,2,30,53,9.8,24.1,NA,NA
21,Tampa Bay Lightning,120,2002,12,42,53,2.9,21.8,NA,NA
22,Mighty Ducks of Anaheim,118,2002,2,0,49,-5.5,37.9,NA,NA
23,Buffalo Sabres,117,2002,20,69,56,-9.7,39.8,NA,NA
24,Florida Panthers,115,2002,-22,43,64,-3.2,38,NA,NA
25,Vancouver Canucks,106,2002,6,94,48,-3,29.5,NA,NA
26,Carolina Hurricanes,103,2002,30,58,52,-5.4,34.3,NA,NA
27,Ottawa Senators,96,2002,14,94,50,-4.5,32.7,NA,NA
28,Calgary Flames,92,2002,11,55,46,2.3,27.8,NA,NA
29,Edmonton Oilers,81,2002,5,56,43,2.5,28.8,NA,NA
30,Phoenix Coyotes,79,2002,-8,76,39,-13.9,38,NA,NA
1,Detroit Red Wings,266,2003,0.18,0.17,114,-3.4,NA,NA,NA
2,New York Rangers,263,2003,-5,95,103,-2.3,NA,NA,NA
3,Philadelphia Flyers,262,2003,5,25,97,4.7,NA,NA,NA
4,Dallas Stars,254,2003,23,54,96,6.3,NA,NA,NA
5,Colorado Avalanche,250,2003,3,23,93,5.2,NA,NA,NA
6,Boston Bruins,243,2003,6,49,87,6.7,NA,NA,NA
7,Toronto Maple Leafs,241,2003,12,26,112,24.2,NA,NA,NA
8,Chicago Blackhawks,218,2003,9,0,78,6.7,NA,NA,NA
9,Los Angeles Kings,205,2003,8,64,81,7.1,NA,NA,NA
10,Montreal Canadiens,187,2003,3,32,75,6.4,NA,NA,NA
11,New Jersey Devils,159,2003,-9,42,61,-3.6,NA,NA,NA
12,San Jose Sharks,158,2003,6,29,71,-0.8,NA,NA,NA
13,New York Islanders,156,2003,0,64,51,-4.5,NA,NA,NA
14,Columbus Blue Jackets,150,2003,3,27,64,6,NA,NA,NA
15,St Louis Blues,148,2003,-3,65,70,-18,NA,NA,NA
16,Washington Capitals,140,2003,1,61,61,-25.4,NA,NA,NA
17,Minnesota Wild,139,2003,3,113,61,12.1,NA,NA,NA
18,Pittsburgh Penguins,137,2003,-8,29,59,3,NA,NA,NA
19,Atlanta Thrashers,134,2003,0,39,58,2.9,NA,NA,NA
20,Nashville Predators,132,2003,0,30,53,9,NA,NA,NA
21,Carolina Hurricanes,128,2003,23,47,67,-4.6,NA,NA,NA
22,Florida Panthers,127,2003,10,40,67,-6.5,NA,NA,NA
23,Tampa Bay Lightning,124,2003,3,40,59,-1.3,NA,NA,NA
24,Phoenix Coyotes,117,2003,48,51,42,-9.6,NA,NA,NA
25,Mighty Ducks of Anaheim ,111,2003,-6,0,48,-13.7,NA,NA,NA
26,Vancouver Canucks,110,2003,4,86,56,-0.8,NA,NA,NA
27,Ottawa Senators,95,2003,-1,98,57,2,NA,NA,NA
28,Calgary Flames,94,2003,3,28,47,-3.7,NA,NA,NA
29,Buffalo Sabres,92,2003,-21,170,46,-11.5,NA,NA,NA
30,Edmonton Oilers,86,2003,7,37,43,-0.8,NA,NA,NA
1,New York Rangers,272,2004,0,92,113,-7,NA,NA,NA
2,Dallas Stars,270,2004,7,55,108,6,NA,NA,NA
3,Toronto Maple Leafs,263,2004,9,24,105,14,NA,NA,NA
4,Philadelphia Flyers,252,2004,-4,26,101,4,NA,NA,NA
5,Detroit Red Wings,245,2004,-8,25,89,-14,NA,NA,NA
6,Colorado Avalanche,229,2004,-8,23,88,-4,NA,NA,NA
7,Boston Bruins,223,2004,-9,54,84,3,NA,NA,NA
8,Chicago Blackhawks,192,2004,-12,0,74,1,NA,NA,NA
9,Los Angeles Kings,183,2004,-11,72,78,2,NA,NA,NA
10,Montreal Canadiens,170,2004,-9,47,71,-5,NA,NA,NA
11,Minnesota Wild,166,2004,20,71,79,20,NA,NA,NA
12,New York Islanders,151,2004,-3,66,56,-11,NA,NA,NA
13,St Louis Blues,147,2004,-1,66,67,-29,NA,NA,NA
14,New Jersey Devils,145,2004,-9,46,73,-9,NA,NA,NA
15,Columbus Blue Jackets,144,2004,-4,31,66,4,NA,NA,NA
16,San Jose Sharks,137,2004,-13,33,65,-9,NA,NA,NA
17,Tampa Bay Lightning,136,2004,10,37,65,-1,NA,NA,NA
18,Washington Capitals,130,2004,-8,51,62,-21,NA,NA,NA
19,Vancouver Canucks,125,2004,14,76,66,1,NA,NA,NA
20,Phoenix Coyotes^^,120,2004,2,84,43,-21,NA,NA,NA
21,Ottawa Senators,117,2004,23,20,59,-2,NA,NA,NA
