FundAssetClass,FreebaseURI_FundAssetClass,FundType,FundManager,OpenCorporatesURI_FundManager,DBPediaURI_FundManager,DBPediaJSON_FundManager,FundName,FundTargetSize.Billions,FundTargetNetIRR,FeeDescription,FundManagementFees,FundOtherFees,FundOtherFeeType,FundPref,FundWaterfallDescription,FundWaterfallTier1Description,FundWaterfallTier1Split,FundWaterfallTier1GP,FundWaterfallTier1LP,FundWaterfallTier1HurdleRate,FundWaterfallTier1HurdleRateType,FundWaterfallTier2,FundWaterfallTier2GP,FundWaterfallTier2LP,FundIRRForPromote,DateData,Source
Real Estate Private Equity,http://freebase.com/en/private_equity_real_estate,Opportunity,Blackstone,http://opencorporates.com/companies/us_ma/000213550,http://dbpedia.org/resource/Blackstone_Group,http://dbpedia.org/data/Blackstone_Group.json,Blackstone Real Estate Partners Asia,3500,16+,1.5% management (1.25% for $200 mil.+) ,0.015,,,0.08,"80/20 to 20% Distribution, then 20/80",80/20 to 20% Distribution,80/20,0.90,0.20,0.20, Distribution,20/80,0.20,0.80,0.11,3/27/13,Real Estate Alert
Real Estate Private Equity,http://freebase.com/en/private_equity_real_estate,Opportunity,Blue Vista Capital,http://opencorporates.com/companies/us_la/36275271K,,,Blue Vista Sponsor Equity Fund 3,300,18,1.5% management ,0.015,,,0.08,"100/0 to 20% Distribution, then 20/80",100/0 to 20% Distribution,100/0,0.80,0.00,0.20, Distribution,20/80,0.20,0.80,0.10,3/27/13,Real Estate Alert
Real Estate Private Equity,http://freebase.com/en/private_equity_real_estate,Opportunity,Brookwood Financial,http://opencorporates.com/companies/us_nj/0100564121,,,Brookwood U.S. Real Estate Fund,700,15-18,1.5% management ,0.015,,,0.08,20/80,20/80,20/80,0.20,0.80,,,,,,0.00,3/27/13,Real Estate Alert
Real Estate Private Equity,http://freebase.com/en/private_equity_real_estate,Opportunity,Dune Real Estate,http://opencorporates.com/companies/us_de/4709240,,,Dune Real Estate Fund 3,850,20,1.5% management ,0.015,,,0.09,"60/40 to 20% Distribution, then 20/80",60/40 to 20% Distribution,60/40,0.60,0.40,0.20, Distribution,20/80,0.20,0.80,0.14,3/27/13,Real Estate Alert
Real Estate Private Equity,http://freebase.com/en/private_equity_real_estate,Opportunity,Fortress Investment,http://opencorporates.com/companies/us_nj/0600075448,http://dbpedia.org/resource/Fortress_Investment_Group,http://dbpedia.org/data/Fortress_Investment_Group.json,Fortress Real Estate Opportunities,1000,17,1.5% management ,0.015,,,0.08,"50/50 to 20% Distribution, then 20/80",50/50 to 20% Distribution,50/50,0.50,0.50,0.20, Distribution,20/80,0.20,0.80,0.13,3/27/13,Real Estate Alert
Real Estate Private Equity,http://freebase.com/en/private_equity_real_estate,Opportunity,Guardian Realty Investors,http://opencorporates.com/companies/us_md/W05567748,,,Guardian Realty Fund 3,200,18,1.5% management ,0.015,,,0.09,"40/60 to 20% Distribution, then 20/80",40/60 to 20% Distribution,40/60,0.40,0.60,0.20, Distribution,20/80,0.20,0.80,0.18,3/27/13,Real Estate Alert
Real Estate Private Equity,http://freebase.com/en/private_equity_real_estate,Opportunity,Hungerford Properties,http://opencorporates.com/companies/us_md/W06864649,,,Hungerford Properties Western Canada Opp.,145,17,1.5% management ,0.015,,,0.1,"50/50 to 20% Distribution, then 20/80",50/50 to 20% Distribution,50/50,0.50,0.50,0.20, Distribution,20/80,0.20,0.80,0.17,3/27/13,Real Estate Alert
Real Estate Private Equity,http://freebase.com/en/private_equity_real_estate,Opportunity,Iron Stone Strategic Capital,,http://dbpedia.org/resource/Iron_Stone_Strategic_Capital_Partners,http://dbpedia.org/data/Iron_Stone_Strategic_Capital_Partners.json,Iron Stone Real Estate Fund 3,75,18,2% management ,0.02,,,0.09,"100/0 to 20% Distribution, then 20/80",100/0 to 20% Distribution,100/0,0.80,0.00,0.20, Distribution,20/80,0.20,0.80,0.11,3/27/13,Real Estate Alert
Real Estate Private Equity,http://freebase.com/en/private_equity_real_estate,Opportunity,JMI Realty,http://opencorporates.com/companies/us_ca/C2231878,,,JMI Realty Partners 4,300,18-20,2% management ,0.02,,,0.1,"70/30 to 20% Distribution, then 20/80",70/30 to 20% Distribution,70/30,0.70,0.30,0.20, Distribution,20/80,0.20,0.80,0.14,3/27/13,Real Estate Alert
Real Estate Private Equity,http://freebase.com/en/private_equity_real_estate,Opportunity,Moonbridge Capital,,,,Moonbridge Capital Greater China Devel.,400,18-20,2% management ,0.02,,,0.09,20/80,20/80,20/80,0.20,0.80,,,,,,0.00,3/27/13,Real Estate Alert
