"","Fund_Name","Fund_Manager","Fund_Contact","Fund_Contact_Telephone","Fund_Type","Fund_Projected_Equity","Fund_Equity_Raised","Fund_Equity_Invested","Fund_Target_IRR","Fund_Minimum_IRR","Fund_Asset_Classes","Fund_Target_Locations","Fund_Data_Date"
"1","Abacus Multifamily Partners 2","Abacus Capital","Greg Lyden, Benjamin Friedman","212-203-4963","Value Add","$250,000,000 ","$75,000,000 ","$25,000,000 ","13-15","13","Office, Retail, Multifamily, Lodging, Industrial","United States","1/11/12"
"2","Aberdeen Asia 3 Property Fund of Funds","Aberdeen Asset Management","Roberto Varandas","44-207-463-6437","Fund of Funds","$400,000,000 ","$0 ","$0 ","13-17","13","Office, Retail","Asia","1/11/12"
"3","Aberdeen European Opportunties Fund of Funds","Aberdeen Asset Management","Roberto Varandas","215-405-5759","Fund of Funds","$133,110,000 ","$113,153,630 ","$0 ","15","15","Office","Europe","1/11/12"
"4","Acacia Property Fund 2010","Acacia Capital","Todd Darling","650-372-6472","Value Add","$218,000,000 ","$218,000,000 ","$90,000,000 ","13-16","13","Multifamily","United States","1/11/12"
"5","Acadia Strategic Opportunity Fund 3","Acadia Realty","Joel Braun","914-288-8146","Opportunity","$502,500,000 ","$502,500,000 ","$250,000,000 ","","","Retail","United States","1/11/12"
"6","Activum Fund 2","Activum SG Capital","Saul Goldstein","44-153-482-5215","Opportunity","$316,801,800 ","$316,801,800 ","$71,935,014 ","20","20","Office","Germany","1/11/12"
"7","Advalurem Group Middle Market Fund 1","Advalurem Group","Paul Sygrove","212-634-6890","Core","$100,000,000 ","$0 ","$0 ","10-12","10","Office","United States","1/11/12"
"8","Aetos Capital Asia Fund 4","Aetos Capital","Chris Taube","212-201-2553","Opportunity","$1,000,000,000 ","$250,000,000 ","$0 ","","","Office","Asia","1/11/12"
"9","Aew Partners 6","AEW Capital","Marc Davidson","617-261-9287","Opportunity","$424,000,000 ","$424,000,000 ","$267,000,000 ","16-18","16","Office","United States","1/11/12"
"10","Aew Value Investors 3","AEW Capital","Robert Plumb","617-261-9325","Core","$350,000,000 ","$0 ","$0 ","10+","10+","Office","United States","1/11/12"
"11","Aew Europe Partners","AEW Capital","Russell Jewel","44-207-016-4867","Opportunity","$465,885,000 ","$0 ","$0 ","17","17","Office","Europe","1/11/12"
