"","Fund_Type","Fund_Manager","Fund_Name","Fund_Contact","Fund_Contact_Telephone","Fund_Projected_Equity","Fund_Equity_Raised","Fund_Equity_Invested","Fund_Target_IRR","Fund_Minimum_IRR","Fund_Asset_Classes","Fund_Target_Locations","Fund_Data_Date","Fund_Currency"
"1","Core","AEW Capital","AEW Senior Housing Investors 2","Chris Kazantis","617-261-9360","300,000,000","114,000,000","13,000,000","12-Oct","0.1","Senior Housing","United States","3/1/13","USD"
"2","Core","AEW Capital","Aew Senior Housing Investors","Chris Kazantis","617-261-9360","$188,000,000 ","$188,000,000 ","$116,000,000 ","10-12","10","Senior Housing","United States","1/11/12",NA
"3","Core","AEW Capital","Aew Value Investors 3","Robert Plumb","617-261-9325","$350,000,000 ","$0 ","$0 ","10+","10+","Office","United States","1/11/12",NA
"4","Core","Angelo Gordon & Co.","AG Core Plus Realty Fund 3","Adam Schwartz","212-692-2059","1,014,000,000","1,014,000,000","422,000,000","12","0.12","Office, Hotel, Residential, Multifamily, Residential, Niche","United States, Asia, Europe","3/1/13","USD"
"5","Core","Angelo Gordon & Co.","Ag Core Plus Realty Fund 3","Adam Schwartz","212-692-2059","$1,000,000,000 ","$200,000,000 ","","12","12","Office, Multifamily, Retail, Lodging, Self Storage","Western United States, Los Angeles, San Francisco, Seattle, San Diego","1/11/12",NA
"6","Core","Angelo Gordon & Co.","Ag Core Plus Realty Fund 3","Adam Schwartz","212-692-2059","$1,000,000,000 ","$780,000,000 ","$200,000,000 ","","","Office, Retail, Multifamily","United States, Asia, Europe","1/11/12",NA
"7","Core","Angelo Gordon & Co.","Ag Net Lease Realty Fund 2","Gordon Whiting","212-883-4157","$560,000,000 ","$560,000,000 ","$140,000,000 ","10-12","10","Office","United States","1/11/12",NA
"8","Core","Angelo Gordon & Co.","Ag Net Lease Realty Fund 2","Gordon Whiting","212-883-4157","$560,000,000 ","$560,000,000 ","$297,000,000 ","10-12","10","Office, Retail","United States, Canada","1/11/12",NA
"9","Core","Berkshire Property Advisors","Berkshire Multifamily Value Fund 3","David Olney","617-646-2300","400,000,000","169,000,000","0","11","0.11","Multifamily","United States","3/1/13","USD"
"10","Core","Berkshire Property Advisors","Berkshire Multifamily Value Fund 3","David Olney","617-646-2300","$400,000,000 ","$0 ","$0 ","11-13","11","Multifamily","United States","1/11/12",NA
"11","Core","Bristol Group","Bristol Industrial 2","Jim Curtis","415-398-1022","150,000,000","150,000,000","50,000,000","12-Sep","0.09","Industrial","United States","3/1/13","USD"
"12","Core","Bristol Group","Bristol Industrial 2","Jim Curtis","415-398-1022","$150,000,000 ","$150,000,000 ","$50,000,000 ","9-12","9","Industrial","United States","1/11/12",NA
"13","Core","Bristol Group","Bristol Industrial 2","Jim Curtis","415-398-1022","$250,000,000 ","$150,000,000 ","","9-12","9","Industrial","Texas","1/11/12",NA
"14","Core","Brookfield Asset Management","Brookfield Core-Plus Office Fund","Scott White","212-417-2578","1,000,000,000","0","0","10","0.1","Office","United States","3/1/13","USD"
"15","Core","Brookfield Asset Management","Brookfield Core-plus Office Fund","Scott White","212-417-2578","$1,000,000,000 ","","","10-13","10","Office","United States","1/11/12",NA
"16","Core","Brookfield Asset Management","Brookfield Core-plus Office Fund","Scott White","212-417-2578","$1,000,000,000 ","$0 ","$0 ","10-13","10","Office","United States","1/11/12",NA
"17","Core","Buchanan Street Partners","TCW/Buchanan Fund 6","Tim Ballard","949-219-1584","600,000,000","75,000,000","25,000,000","12","0.12","Office, Retail, Multifamily, Niche","United States","3/1/13","USD"
"18","Core","Buchanan Street Partners","Buchanan Fund 5","Tim Ballard","949-219-1584","$414,000,000 ","$414,000,000 ","$270,000,000 ","12","12","Office, Multifamily","United States","1/11/12",NA
"19","Core","Buchanan Street Partners","Tcw/buchanan Fund 6","Tim Ballard","949-219-1584","$600,000,000 ","$75,000,000 ","$25,000,000 ","","","Office","United States","1/11/12",NA
"20","Core","Buchanan Street Partners","Tcw/buchanan Fund 6","Tim Ballard","949-219-1584","$600,000,000 ","$75,000,000 ","$25,000,000 ","12","12","Office","United States","1/11/12",NA
"21","Core","CBRE Global Investors","CBRE European Shopping Center Fund","Will Rowson","31-20-202-2300","974,000,000","296,000,000","0","11","0.11","Retail, Retail","Europe","3/1/13","EU"
"22","Core","CMDL Managing GP","CapRocq Core Real Estate Fund","Dewitt Smith","501-372-6161","50,000,000","17,000,000","10,000,000","12-Aug","0.08","Office, Retail","Southeastern United States","3/1/13","USD"
"23","Core","Colony Capital","Colony Realty Partners 4","Scott Freeman","617-235-6363","$500,000,000 ","","","10-13","10","Office","United States","1/11/12",NA
"24","Core","Colony Realty Partners","Colony Realty Partners 4","Scott Freeman","617-235-6363","500,000,000","225,000,000","0","10","0.1","Office, Industrial, Retail, Multifamily","United States","3/1/13","USD"
"25","Core","Composition Capital","Composition Cap. Europe Sustainable Inc","Maarten Vermeulen","31-20-570-8187","325,000,000","0","0","12-Oct","0.1","Net Lease, Preferred Equity, Office, Hotel, Retail, Industrial, Multifamily, Niche","Europe","3/1/13","EU"
"26","Core","Composition Capital","Composition Capital Europe Sustainable Income Fund","Morag Beers","31-20-570-8186","$332,775,000 ","$0 ","$0 ","10-12","10","Other","Europe","1/11/12",NA
"27","Core","Crow Holdings","Crow Holdings Realty Partners 6","Bob McClain","214-661-8136","750,000,000","604,000,000","0","12","0.12","Office, Hotel, Industrial, Multifamily, Debt, Niche, Land","United States","3/1/13","USD"
"28","Core","Crow Holdings","Crow Holdings Realty Partners 6","Bob Mcclain","214-661-8136","$750,000,000 ","$0 ","$0 ","12","12","Office","United States","1/11/12",NA
"29","Core","Crow Holdings","Crow Holdings Realty Partners 6","Bob Mcclain","214-661-8136","$950,000,000 ","$950,000,000 ","$266,000,000 ","12","12","Office","United States","1/11/12",NA
"30","Core","Easterly Partners","U.S. Government Prop. Income & Growth 2","Bill Trimble","202-741-8400","250,000,000","26,000,000","0","12-Oct","0.1","Government Office","United States","3/1/13","USD"
"31","Core","Easterly Partners","U.S. Government Properties Income & Growth Fund","Bill Trimble","202-741-8400","$105,000,000 ","$105,000,000 ","$80,000,000 ","","","Office","United States","1/11/12",NA
"32","Core","Hayden Real Estate, Miller Investment","MIM-Hayden Real Estate Fund 1","Radcliffe Hastings","610-834-9820","108,000,000","108,000,000","0","10","0.1","Distressed, Office, Industrial, Industrial","Philadelphia, Eastern United States","3/1/13","USD"
"33","Core","Hayden Real Estate, Miller Investment","Mim-hayden Real Estate Fund 1","Radcliffe Hastings","610-834-9820","$108,000,000 ","$108,000,000 ","$0 ","10","10","Distressed, Office, Industrial","Philadelphia, Boston, Philadelphia","1/11/12",NA
"34","Core","Hunt Investment Management","Hunt Value Add Fund 4","Ed Oprindick","610-729-0039","300,000,000","0","0","12","0.12","Multifamily, Retail","United States","3/1/13","USD"
"35","Core","Niam AB","Niam Nordic Core-Plus Fund","Fredrik Jonsson","46-70-844-3023","390,000,000","234,000,000","0","12-Oct","0.1","Office, Retail, Multifamily","Scandinavia","3/1/13","EU"
"36","Core","Niam AB","Niam Nordic Core-plus Fund","Fredrik Jonsson","46-70-844-3023","$399,330,000 ","$0 ","$0 ","10-12","10","Office","Europe","1/11/12",NA
"37","Core","Niam AB","Niam Nordic Core-plus Fund","Fredrik Jonsson","46-70-844-3023","$413,310,000 ","","","10-12","10","Office","United States","1/11/12",NA
"38","Core","Northlight Financial","Northlight Net Lease Fund","Chris Jahrmarkt","212-247-3330","125,000,000","0","0","14-Oct","0.1","Office, Hotel, Industrial, Multifamily, Debt, Niche, Land","United States","3/1/13","USD"
"39","Core","Paradigm Capital","Paradigm Industrial Partners 2","Steve Allison","617-933-8260","75,000,000","10,000,000","0","10","0.1","Industrial","United States","3/1/13","USD"
"40","Core","Paramount Group","Paramount Group Real Estate Fund 7","Dan Lauer","212-237-3109","1,000,000,000","300,000,000","0","12-Nov","0.11","Office","United States","3/1/13","USD"
"41","Core","Paramount Group","Paramount Group Real Estate Fund 7","Dan Lauer","212-237-3109","$1,000,000,000 ","","","11-12","11","Office","United States","1/11/12",NA
"42","Core","Paramount Group","Paramount Group Real Estate Fund 7","Dan Lauer","212-237-3109","$1,000,000,000 ","$0 ","$0 ","11-12","11","Office","Eastern United States","1/11/12",NA
