id_sport,id_division,id_conference,team_name,,variable,value,Column
cfb,I,,,,division,Division I Football Fbs Schools,
,,ACC,,,cfb_conference,American Athletic Conference,
,,,,,league_update,"This League Went Into Effect On July 1, 2013, And Is Comprised Of Former Big East Conference Member Universities (university Of Cincinnati; University Of Connecticut; University Of Louisville; Rutgers, The State University Of New Jersey; Temple University; And University Of South Florida), And Former Conference Usa Member Universities (university Of Central Florida University Of Houston, University Of Memphis, And Southern Methodist University).",
,,,Cincinnati Bearcats,,team_name,Cincinnati Bearcats,
,,,,,school_name,University Of Cincinnati,
,,,,,year_team_established,1885,
,,,,,team_website,,
,,,,,stadium_name,Nippert Stadium,
,,,,,principal_owner,University Of Cincinnati,
,,,,,stadium_date_built,1924,
,,,,,facility_cost,$10.5 Million,
,,,,,public_financing,N/a,
,,,,,facility_financing,"100% Privately Financed. Funds Were Being Privately Raised In Hopes Of Building A New Stadium. James N. Gamble, Of Procter And Gamble, Provided The Funds Needed To Complete The Horseshoe Shaped Stadium.",
,,,,,facility_website,,
,,,,,team_stadium_update,"In December 2012, The University Of Cincinnati Announced Plans To Update And Expand Nippert Stadium. Renovations Are Expected To Cost Around $70 Million With The Main Focus On Adding More Seating And Suites. The Goal Is To Increase Capacity To Over 40,000. The Project Is Projected To Cost Between $60â€“70 Million And Utilize Private Donations, Not Public Funds.",
,,,,,naming_rights,"The Stadium Was Named After Gambleâ€™s Grandson, James Gamble Nippert. Nippert Was A Uc Football Player Who Was Injured During A 1923 Game And Died As A Result Of His Injuries.",
,,,,,team_name,Connecticut Huskies,
,,,,,school_name,University Of Connecticut,
,,,,,year_team_established,1896,
,,,,,stadium_name,Rentschler Field,
,,,,,principal_owner,State Of Connecticut,
,,,,,stadium_date_built,2003,
,,,,,facility_cost,$91.2 Million Percentage Of Stadium Publicly Financed, The State of Connecticut contributed an unspecified percentage of funds and has invested more than $92 million in the stadium to attract the best events and concerts to the state. 
,,,,,facility_financing,"The Facility Is The Result Of Teamwork And Dedication Between The Stateâ€™s Office Of Policy And Management, The Town Of East Hartford, United Technologies Corporation, And The Assistance Of Numerous Public And Private Sector Organizations. The State Of Connecticut Owns The Stadium.",
,,,,,facility_website,,
,,,,,team_stadium_update,"In October 2012, The Capital Regional Development Authority Announced They Were Seeking Proposals For Both The Xl Center And Rentschler Field To Be Managed By One Company.In February 2013, The Contract Was Awarded To Global Spectrum.",
,,,,,naming_rights,"The Stadium Is Named After Frederick Brant Rentschler. Rentschler Was The Founder Of The Aircraft Company Pratt & Whitney, Which Created Revolutionary Aircraft Engines.",
,,,,,team_name,Houston Cougars,
,,,,,school_name,University Of Houston,
,,,,,year_team_established,1946,
,,,,,stadium_name,Robertson Stadium,
,,,,,principal_owner,University Of Houston,
,,,,,stadium_date_built,1941,
,,,,,facility_cost,"$650,000 ",
,,,,,public_financing,100%,
,,,,,facility_financing,"Robertson Stadium Was A Joint Project Between The Houston School District, And The Works Progress Administration (wpa), A Federal Agency Created Under President Rooseveltâ€™s New Deal. In March 1941, A Resolution Was Passed To Provide $650,000 For Stadium Construction.",
,,,,,team_stadium_update,"Robertson Stadium Was Demolished In December 2010 To Make Way For The New Houston Stadium The Facility Is Expected To Open In August 2014. The Groundbreaking Ceremony Took Place On February 8, 2013. In March 2013, The Universityâ€™s Board Of Regents Finalized The New Stadiumâ€™s Location As The Former Robertson Stadium Site. The New Stadium Is Expected To Cost Upwards Of $100 Million. It Is Likely That Reliant Stadium In Houston Will End Up As The Cougars Home Stadium Forthe Upcoming Season.",
,,,,,naming_rights,The University Owns The Naming Rights To The Stadium.,
,,,,,team_name,Louisville Cardinals,
,,,,,school_name,University Of Louisville,
,,,,,year_team_established,1912,
,,,,,stadium_name,Papa Johnâ€™s Cardinal Stadium,
,,,,,principal_owner,University Of Louisville,
,,,,,stadium_date_built,1998,
,,,,,facility_cost,$63 Million; $72 Million Of Renovations In 2010,
,,,,,facility_financing,N/a,
