"","rank","team","value","value_change","debt_percent","revenue","operating_income","year"
"1",1,"New York Yankees",548,11,47,195.6,17.5,2000
"2",2,"Atlanta Braves",388,9,9,155.2,18.3,2000
"3",3,"Cleveland Indians",364,1,37,151.7,16.5,2000
"4",4,"Baltimore Orioles",347,-1,43,138.8,-0.7,2000
"5",5,"Los Angeles Dodgers",325,20,11,120.3,-21.1,2000
"6",6,"New York Mets",314,26,19,125.6,-1.2,2000
"7",7,"Colorado Rockies",305,-2,14,122.2,7.9,2000
"8",8,"Texas Rangers",294,5,68,117.5,-9.5,2000
"9",9,"Seattle Mariners",290,23,59,111.6,5.5,2000
"10",10,"Boston Red Sox",284,11,13,123.3,2.4,2000
"11",11,"Houston Astros",280,17,57,93.3,-5.5,2000
"12",12,"Arizona Diamondbacks",268,-8,50,111.5,12.9,2000
"13",13,"Chicago Cubs",242,8,15,105.4,-1.6,2000
"14",14,"San Francisco Giants",237,12,76,71.9,-9,2000
"15",15,"St Louis Cardinals",219,7,16,104.5,5.4,2000
"16",16,"Detroit Tigers",200,32,87,71.5,1.1,2000
"17",17,"San Diego Padres",197,-4,94,78.9,-8.8,2000
"18",18,"Anaheim Angels",195,0,10,90.7,-2.5,2000
"19",19,"Cincinnati Reds",175,7,37,59.4,-5.1,2000
"20",20,"Milwaukee Brewers",167,8,84,60.8,-14.4,2000
"21",21,"Chicago White Sox",166,-7,22,73.8,11.7,2000
"22",22,"Tampa Bay Devil Rays",163,-28,61,77.5,-6.5,2000
"23",23,"Toronto Blue Jays",162,0,22,73.7,-2.8,2000
"24",24,"Pittsburgh Pirates",161,11,56,57.6,0.2,2000
"25",25,"Philadelphia Phillies",150,3,24,68.1,3,2000
"26",26,"Oakland Athletics",134,7,45,60.9,3.9,2000
"27",27,"Florida Marlins",125,-19,14,59.3,2.4,2000
"28",28,"Kansas City Royals",122,27,30,62.5,5.8,2000
"29",29,"Minnesota Twins",91,2,91,47.7,2.2,2000
"30",30,"Montreal Expos",89,7,75,47.1,1.9,2000
"31",1,"New York Yankees",635,16,40,192.4,21.9,2001
"32",2,"New York Mets ",454,44,13,162,21.3,2001
"33",3,"Atlanta Braves ",407,5,10,145.5,7.7,2001
"34",4,"Los Angeles Dodgers ",381,17,11,131.3,-17.4,2001
"35",5,"Cleveland Indians ",372,2,36,142.9,4.2,2001
"36",6,"Texas Rangers ",342,16,51,126.5,7.4,2001
"37",7,"Boston Red Sox ",339,20,12,125.7,-7.3,2001
"38",8,"Baltimore Orioles ",335,-3,45,124,2.1,2001
"39",9,"Colorado Rockies ",334,9,12,119.1,6.4,2001
"40",10,"San Francisco Giants ",333,40,59,138.8,27.4,2001
"41",11,"Seattle Mariners ",332,14,51,138.3,17.8,2001
"42",12,"Houston Astros ",318,14,50,122.2,22.3,2001
"43",13,"Detroit Tigers ",290,45,66,120.8,12.1,2001
"44",14,"Chicago Cubs ",247,2,16,112.4,9.1,2001
"45",15,"Arizona Diamondbacks ",245,-8,63,109.1,-7.9,2001
"46",16,"St Louis Cardinals ",243,11,16,110.5,-3,2001
"47",17,"Chicago White Sox ",213,28,19,92.6,17.8,2001
"48",18,"Pittsburgh Pirates ",211,31,43,70.4,2.3,2001
"49",19,"Milwaukee Brewers ",209,25,67,69.6,-1.6,2001
"50",20,"Anaheim Angels ",198,2,13,94.4,-8.9,2001
"51",21,"Cincinnati Reds ",187,7,35,77.8,6.9,2001
"52",22,"San Diego Padres ",176,-11,108,84,-8,2001
"53",23,"Toronto Blue Jays ",161,-1,25,80.3,-5.9,2001
"54",24,"Philadelphia Phillies ",158,6,25,79.2,-1.1,2001
"55",25,"Tampa Bay Devil Rays ",150,-8,66,81.3,-11.3,2001
"56",26,"Oakland Athletics ",149,11,40,74.7,5.2,2001
"57",27,"Kansas City Royals ",138,13,29,72.6,4.3,2001
"58",28,"Florida Marlins ",128,3,30,67.3,6.5,2001
"59",29,"Minnesota Twins ",99,9,84,58,5.8,2001
"60",30,"Montreal Expos ",92,3,73,53.9,-8.1,2001
"61",1,"New York Yankees",751.3,NA,NA,NA,NA,2002
"62",2,"New York Mets",483.5,NA,NA,NA,NA,2002
"63",3,"Los Angeles Dodgers",435.9,NA,NA,NA,NA,2002
"64",4,"Boston Red Sox",428.1,NA,NA,NA,NA,2002
"65",5,"Atlanta Braves",423,NA,NA,NA,NA,2002
"66",6,"Seattle Mariners",373.8,NA,NA,NA,NA,2002
"67",7,"Cleveland Indians",359.8,NA,NA,NA,NA,2002
"68",8,"Texas Rangers",357,NA,NA,NA,NA,2002
"69",9,"San Francisco Giants",353.7,NA,NA,NA,NA,2002
"70",10,"Colorado Rockies",345.5,NA,NA,NA,NA,2002
"71",11,"Houston Astros",337.1,NA,NA,NA,NA,2002
"72",12,"Baltimore Orioles",319.6,NA,NA,NA,NA,2002
"73",13,"Chicago Cubs",286.3,NA,NA,NA,NA,2002
"74",14,"Arizona Diamondbacks",271.7,NA,NA,NA,NA,2002
"75",15,"St Louis Cardinals",270.2,NA,NA,NA,NA,2002
"76",16,"Detroit Tigers",263.3,NA,NA,NA,NA,2002
"77",17,"Pittsburgh Pirates",240.9,NA,NA,NA,NA,2002
"78",18,"Milwaukee Brewers",239.5,NA,NA,NA,NA,2002
"79",19,"Philadelphia Phillies",232,NA,NA,NA,NA,2002
"80",20,"Chicago White Sox",221.9,NA,NA,NA,NA,2002
"81",21,"San Diego Padres",207.3,NA,NA,NA,NA,2002
"82",22,"Cincinnati Reds",202.7,NA,NA,NA,NA,2002
"83",23,"Anaheim Angels",195.7,NA,NA,NA,NA,2002
"84",24,"Toronto Blue Jays",182.4,NA,NA,NA,NA,2002
"85",25,"Oakland Athletics",156.4,NA,NA,NA,NA,2002
"86",26,"Kansas City Royals",153,NA,NA,NA,NA,2002
"87",27,"Tampa Bay Devil Rays",142.2,NA,NA,NA,NA,2002
"88",28,"Florida Marlins",137.4,NA,NA,NA,NA,2002
"89",29,"Minnesota Twins",127.6,NA,NA,NA,NA,2002
"90",30,"Montreal Expos",107.6,NA,NA,NA,NA,2002
"91",1,"New York Yankees",849,13,14,223,16.1,2003
"92",2,"New York Mets",498,3,65,175,11.6,2003
"93",3,"Boston Red Sox",488,14,49,171,-2.1,2003
"94",4,"Los Angeles Dodgers",449,3,22,150,-25,2003
"95",5,"Atlanta Braves",423,0,7,163,9.5,2003
"96",6,"Seattle Mariners",385,3,30,167,23.3,2003
"97",7,"San Francisco Giants",382,8,46,159,13.9,2003
"98",8,"Chicago Cubs",335,17,12,143,11.9,2003
"99",9,"Texas Rangers",332,-7,43,131,-24.5,2003
"100",10,"Cleveland Indians",331,-8,33,141,-1,2003
"101",11,"Houston Astros",327,-3,15,121,-0.8,2003
"102",12,"Baltimore Orioles",310,-3,48,129,12.4,2003
"103",13,"St. Louis Cardinals",308,14,13,128,-2,2003
"104",14,"Colorado Rockies",304,-12,40,121,7.1,2003
"105",15,"Arizona Diamondbacks",269,-1,104,122,-22.2,2003
"106",16,"Philadelphia Phillies",239,3,75,97,-11.9,2003
"107",17,"Detroit Tigers",237,-10,74,108,-5.3,2003
"108",18,"Chicago White Sox",233,5,13,106,1.2,2003
"109",19,"San Diego Padres",226,9,68,98,4.6,2003
"110",20,"Anaheim Angels",225,15,18,118,-3.7,2003
"111",21,"Pittsburgh Pirates",224,-7,40,101,-1.6,2003
"112",22,"Cincinnati Reds",223,10,0,91,4.9,2003
"113",23,"Milwaukee Brewers",206,-14,68,98,-6.1,2003
"114",24,"Oakland Athletics",172,10,35,96,6.6,2003
"115",25,"Toronto Blue Jays",166,-9,0,90,-23.9,2003
"116",26,"Kansas City Royals",153,0,20,85,-11.2,2003
"117",27,"Minnesota Twins",148,16,55,87,0.4,2003
"118",28,"Tampa Bay Devil Rays",145,2,76,91,1.4,2003
"119",29,"Florida Marlins",136,-1,51,76,-14,2003
"120",30,"Montreal Expos",113,5,106,66,-9.1,2003
"121",1,"New York Yankees",832,-2,14,238,-26.3,2004
"122",2,"Boston Red Sox",533,9,45,190,11.4,2004
"123",3,"New York Mets",442,-11,57,158,-19.3,2004
"124",4,"Los Angeles Dodgers",399,-11,105,154,-19.1,2004
"125",5,"Seattle Mariners",396,3,29,169,17,2004
"126",6,"Atlanta Braves",374,-12,8,156,-0.3,2004
"127",7,"San Francisco Giants",368,-4,46,153,0.7,2004
"128",8,"Chicago Cubs",358,7,11,156,8.3,2004
"129",9,"Houston Astros",320,-2,17,128,-1.9,2004
"130",10,"St Louis Cardinals",314,2,43,131,-11.1,2004
"131",11,"Texas Rangers",306,-8,47,127,-28.5,2004
"132",12,"Baltimore Orioles",296,-5,51,129,9.1,2004
"133",13,"Cleveland Indians",292,-12,37,127,10.4,2004
"134",14,"Colorado Rockies",285,-6,35,124,-6.3,2004
"135",15,"Philadelphia Phillies",281,18,64,115,-12.5,2004
"136",16,"Arizona Diamondbacks",276,3,109,126,-15.2,2004
"137",17,"San Diego Padres",265,17,59,106,4.9,2004
"138",18,"Chicago White Sox",248,6,12,124,12.8,2004
"139",19,"Cincinnati Reds",245,10,27,123,11.7,2004
"140",20,"Anaheim Angels",241,7,0,127,-5.5,2004
"141",21,"Detroit Tigers",235,-1,85,117,0.3,2004
"142",22,"Pittsburgh Pirates",217,-3,41,109,-0.3,2004
"143",23,"Oakland Athletics",186,8,32,110,11.2,2004
"144",24,"Milwaukee Brewers",174,-16,63,102,5.1,2004
"145",25,"Florida Marlins",172,27,41,101,-11.6,2004
"146",26,"Kansas City Royals",171,12,18,98,6.6,2004
"147",27,"Toronto Blue Jays",169,2,0,99,0,2004
