team,team,colors,city,state.abb,country,name,team_id,dbpedia_url,dbpedia_data_json,sports_reference_URL,wiki_url,logo_image_url,league
Arizona Diamondbacks,Phoenix,"Sedona Red, Sonoran Sand, and Black",Phoenix,AZ,US,Diamondbacks,ARI,live.dbpedia.org/resource/Arizona_Diamondbacks,live.dbpedia.org/data/Arizona_Diamondbacks.json,http://www.baseball-reference.com/teams/ARI/,wikipedia.org/wiki/Arizona_Diamondbacks,http://upload.wikimedia.org/wikipedia/en/thumb/4/44/Arizona_Diamondbacks_Logo.PNG/258px-Arizona_Diamondbacks_Logo.PNG,MLB
Atlanta Braves,Atlanta,"Navy, Scarlet, White",Atlanta,GA,US,Braves,ATL,live.dbpedia.org/resource/Atlanta_Braves,live.dbpedia.org/data/Atlanta_Braves.json,http://www.baseball-reference.com/teams/ATL/,wikipedia.org/wiki/Atlanta_Braves,http://upload.wikimedia.org/wikipedia/en/thumb/f/f2/Atlanta_Braves.svg/516px-Atlanta_Braves.svg.png,MLB
Baltimore Orioles,Baltimore,"Black, orange, white",Baltimore,MD,US,Orioles,BAL,live.dbpedia.org/resource/Baltimore_Orioles,live.dbpedia.org/data/Baltimore_Orioles.json,http://www.baseball-reference.com/teams/BAL/,wikipedia.org/wiki/Baltimore_Orioles,http://upload.wikimedia.org/wikipedia/en/thumb/c/cc/Orioles_new.PNG/249px-Orioles_new.PNG,MLB
Boston Red Sox,Boston,"Red, midnight navy, white",Boston,MA,US,Red Sox,BOS,live.dbpedia.org/resource/Boston_Red_Sox,live.dbpedia.org/data/Boston_Red_Sox.json,http://www.baseball-reference.com/teams/BOS/,wikipedia.org/wiki/Boston_Red_Sox,http://upload.wikimedia.org/wikipedia/en/thumb/6/6d/RedSoxPrimary_HangingSocks.svg/205px-RedSoxPrimary_HangingSocks.svg.png,MLB
Chicago Cubs,Chicago,"Blue, red, white, gray",Chicago,IL,US,Cubs,CHC,live.dbpedia.org/resource/Chicago_Cubs,live.dbpedia.org/data/Chicago_Cubs.json,http://www.baseball-reference.com/teams/CHC/,wikipedia.org/wiki/Chicago_Cubs,http://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Chicago_Cubs_Logo.svg/200px-Chicago_Cubs_Logo.svg.png,MLB
Chicago White Sox,Chicago,"Black, Silver, White",Chicago,IL,US,White Sox,CHW,live.dbpedia.org/resource/Chicago_White_Sox,live.dbpedia.org/data/Chicago_White_Sox.json,http://www.baseball-reference.com/teams/CHW/,wikipedia.org/wiki/Chicago_White_Sox,http://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Chicago_White_Sox.svg/145px-Chicago_White_Sox.svg.png,MLB
Cincinnati Reds,Cincinnati,"Red, white, black",Cincinnati,OH,US,Reds,CIN,live.dbpedia.org/resource/Cincinnati_Reds,live.dbpedia.org/data/Cincinnati_Reds.json,http://www.baseball-reference.com/teams/CIN/,wikipedia.org/wiki/Cincinnati_Reds,http://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Cincinnati_Reds_Logo.svg/292px-Cincinnati_Reds_Logo.svg.png,MLB
Cleveland Indians,Cleveland,"Navy, Red, White",Cleveland,OH,US,Indians,CLE,live.dbpedia.org/resource/Cleveland_Indians,live.dbpedia.org/data/Cleveland_Indians.json,http://www.baseball-reference.com/teams/CLE/,wikipedia.org/wiki/Cleveland_Indians,http://upload.wikimedia.org/wikipedia/en/thumb/5/52/Cleveland_Indians_logo.svg/154px-Cleveland_Indians_logo.svg.png,MLB
Colorado Rockies,Denver,"Black, purple, silver, white",Denver,CO,US,Rockies,COL,live.dbpedia.org/resource/Colorado_Rockies,live.dbpedia.org/data/Colorado_Rockies.json,http://www.baseball-reference.com/teams/COL/,wikipedia.org/wiki/Colorado_Rockies,http://upload.wikimedia.org/wikipedia/en/thumb/3/31/Colorado_Rockies_logo.svg/291px-Colorado_Rockies_logo.svg.png,MLB
Detroit Tigers,Detroit,"Navy blue, white, orange",Detroit,MI,US,Tigers,DET,live.dbpedia.org/resource/Detroit_Tigers,live.dbpedia.org/data/Detroit_Tigers.json,http://www.baseball-reference.com/teams/DET/,wikipedia.org/wiki/Detroit_Tigers,http://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Detroit_tigers_textlogo.svg/200px-Detroit_tigers_textlogo.svg.png,MLB
Florida Marlins,Miami,"Teal, Black, Silver",Miami,FL,US,Marlins,FLA,live.dbpedia.org/resource/Florida_Marlins,live.dbpedia.org/data/Florida_Marlins.json,http://www.baseball-reference.com/teams/FLA/,wikipedia.org/wiki/Florida_Marlins,http://upload.wikimedia.org/wikipedia/en/thumb/4/49/Florida_Marlins.svg/300px-Florida_Marlins.svg.png,MLB
Houston Astros,Houston,"Navy Blue, Orange, White",Houston,TX,US,Astros,HOU,live.dbpedia.org/resource/Houston_Astros,live.dbpedia.org/data/Houston_Astros.json,http://www.baseball-reference.com/teams/HOU/,wikipedia.org/wiki/Houston_Astros,http://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Houston_astros_logo.png/199px-Houston_astros_logo.png,MLB
Kansas City Royals,Kansas City,"Royal Blue, White, Powder Blue",Kansas City,MO,US,Royals,KCR,live.dbpedia.org/resource/Kansas_City_Royals,live.dbpedia.org/data/Kansas_City_Royals.json,http://www.baseball-reference.com/teams/KCR/,wikipedia.org/wiki/Kansas_City_Royals,http://upload.wikimedia.org/wikipedia/en/thumb/1/1c/Kansas_City_Royals.svg/200px-Kansas_City_Royals.svg.png,MLB
Los Angeles Angels of Anaheim,Anaheim,"Carnelian, Midnight Blue, White",Anaheim,CA,US,Angels,ANA,live.dbpedia.org/resource/Los_Angeles_Angels_of_Anaheim,live.dbpedia.org/data/Los_Angeles_Angels_of_Anaheim.json,http://www.baseball-reference.com/teams/ANA/,wikipedia.org/wiki/Los_Angeles_Angels_of_Anaheim,http://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Los_Angeles_Angels_of_Anaheim.svg/149px-Los_Angeles_Angels_of_Anaheim.svg.png,MLB
Los Angeles Dodgers,Los Angeles,"Dodger blue, white",Los Angeles,CA,US,Dodgers,LAD,live.dbpedia.org/resource/Los_Angeles_Dodgers,live.dbpedia.org/data/Los_Angeles_Dodgers.json,http://www.baseball-reference.com/teams/LAD/,wikipedia.org/wiki/Los_Angeles_Dodgers,http://upload.wikimedia.org/wikipedia/en/thumb/2/20/Los_Angeles_Dodgers_Logo.png/190px-Los_Angeles_Dodgers_Logo.png,MLB
Miami Marlins,Miami,"Black, Red-Orange, Silver, Blue, Yellow, White",Miami,FL,US,Marlins,FLA,live.dbpedia.org/resource/Miami_Marlins,live.dbpedia.org/data/Miami_Marlins.json,http://www.baseball-reference.com/teams/FLA/,wikipedia.org/wiki/Miami_Marlins,http://upload.wikimedia.org/wikipedia/en/thumb/b/b4/MiamiMarlins.svg/182px-MiamiMarlins.svg.png,MLB
Milwaukee Brewers,Milwaukee,"Navy blue, metallic gold, white",Milwaukee,WI,US,Brewers,MIL,live.dbpedia.org/resource/Milwaukee_Brewers,live.dbpedia.org/data/Milwaukee_Brewers.json,http://www.baseball-reference.com/teams/MIL/,wikipedia.org/wiki/Milwaukee_Brewers,http://upload.wikimedia.org/wikipedia/en/thumb/1/11/Milwaukee_Brewers_Logo.svg/360px-Milwaukee_Brewers_Logo.svg.png,MLB
