"","date","player","season","team","notes","new_contract_source","pst_contract_value_millions","contract_term","contract_start_season","contract_end_season","contract_option","year"
"1",1975-02-13,"Ken Berry",1975,"Indians","signed free agent","free agency",0,1,1975,"1976","",1975
"2",1975-02-14,"Lew Krausse",1975,"Athletics","signed free agent","free agency",0,1,1975,"1976","",1975
"3",1975-02-18,"Bill Gogolewski",1975,"White Sox","signed free agent","free agency",0,1,1975,"1976","",1975
"4",1975-02-19,"Jerry DaVanon",1975,"Indians","signed free agent","free agency",0,1,1975,"1976","",1975
"5",1975-02-20,"Jerry Johnson",1975,"Padres","signed free agent","free agency",0,1,1975,"1976","",1975
"14",1975-03-05,"Tony Conigliaro",1975,"Red Sox","signed free agent","free agency",0,1,1975,"1976","",1975
"20",1975-03-15,"Juan Marichal",1975,"Dodgers","signed free agent","free agency",0,1,1975,"1976","",1975
"42",1975-04-01,"Charlie Sands",1975,"Athletics","signed free agent (date approximate)","free agency",0,1,1975,"1976","",1975
"44",1975-04-02,"Sam McDowell",1975,"Pirates","signed","free agency",0,1,1975,"1976","",1975
"54",1975-04-05,"Roger Nelson",1975,"Athletics","signed","free agency",0,1,1975,"1976","",1975
"60",1975-04-05,"Deron Johnson",1975,"White Sox","signed free agent (from Red Sox)","free agency",0,1,1975,"1976","",1975
"62",1975-04-06,"Billy Grabarkewitz",1975,"Athletics","signed free agent","free agency",0,1,1975,"1976","",1975
"72",1975-04-10,"Jesus Alou",1975,"Mets","signed free agent","free agency",0,1,1975,"1976","",1975
"75",1975-04-11,"Claude Osteen",1975,"White Sox","signed free agent","free agency",0,1,1975,"1976","",1975
"80",1975-04-25,"Eddie Watt",1975,"Cubs","signed free agent","free agency",0,1,1975,"1976","",1975
"81",1975-04-25,"Bill Laxton",1975,"Mets","signed","free agency",0,1,1975,"1976","",1975
"86",1975-05-01,"Jimmy Rosario",1975,"Brewers","signed free agent (date approximate)","free agency",0,1,1975,"1976","",1975
"93",1975-05-06,"Doug Corbett",1975,"Reds","signed free agent","free agency",0,1,1975,"1976","",1975
"108",1975-05-21,"Don Hahn",1975,"Cardinals","signed","free agency",0,1,1975,"1976","",1975
"110",1975-05-23,"Chuck Hartenstein",1975,"Padres","signed free agent","free agency",0,1,1975,"1976","",1975
"131",1975-06-11,"Leron Lee",1975,"Dodgers","signed free agent","free agency",0,1,1975,"1976","",1975
"144",1975-06-15,"Sammy Stewart",1975,"Orioles","signed free agent","free agency",0,1,1975,"1976","",1975
"157",1975-06-16,"Mark Clear",1975,"Angels","signed free agent","free agency",0,1,1975,"1976","",1975
"165",1975-06-24,"Earl Stephenson",1975,"Braves","signed free agent","free agency",0,1,1975,"1976","",1975
"170",1975-06-30,"Bill Sudakis",1975,"Indians","signed free agent","free agency",0,1,1975,"1976","",1975
"173",1975-07-01,"Tim McCarver",1975,"Phillies","signed","free agency",0,1,1975,"1976","",1975
"186",1975-07-22,"Tony Pena Sr.",1975,"Pirates","signed free agent (N)","free agency",0,1,1975,"1976","",1975
"242",1975-11-14,"Ed Romero",1976,"Brewers","signed free agent","free agency",0,1,1976,"1977","",1975
"248",1975-12-03,"Kelvin Chapman",1976,"Mets","signed free agent","free agency",0,1,1976,"1977","",1975
"286",1975-12-12,"Julio Valdez",1976,"Red Sox","signed","free agency",0,1,1976,"1977","",1975
"304",1975-12-17,"Luis Aguayo",1976,"Phillies","signed free agent","free agency",0,1,1976,"1977","",1975
"316",1976-01-01,"Rich Chiles",1976,"Astros","signed free agent (date approximate)","free agency",0,1,1976,"1977","",1976
"317",1976-01-04,"Bob Oliver",1976,"White Sox","signed free agent","free agency",0,1,1976,"1977","",1976
"318",1976-01-06,"Joe Hoerner",1976,"Rangers","signed free agent","free agency",0,1,1976,"1977","",1976
"320",1976-01-07,"Alex Johnson",1976,"Tigers","signed free agent","free agency",0,1,1976,"1977","",1976
"325",1976-01-27,"Pascual Perez",1976,"Pirates","signed free agent","free agency",0,1,1976,"1977","",1976
"330",1976-02-14,"Wayne Granger",1976,"Expos","signed free agent","free agency",0,1,1976,"1977","",1976
"335",1976-02-24,"Tommy Davis",1976,"Yankees","signed free agent","free agency",0,1,1976,"1977","",1976
"340",1976-03-03,"Roger Nelson",1976,"Royals","signed free agent","free agency",0,1,1976,"1977","",1976
"350",1976-04-01,"Bobby Tolan",1976,"Phillies","signed free agent","free agency",0,1,1976,"1977","",1976
"357",1976-04-03,"Cleon Jones",1976,"White Sox","signed free agent","free agency",0,1,1976,"1977","",1976
"373",1976-04-09,"Tommy Harper",1976,"Orioles","signed free agent","free agency",0,1,1976,"1977","",1976
"377",1976-04-10,"Andy Messersmith",1976,"Braves","signed free agent (from Dodgers)","free agency",0,1,1976,"1977","",1976
"381",1976-04-16,"Orlando Sanchez",1976,"Phillies","signed free agent","free agency",0,1,1976,"1977","",1976
"382",1976-04-17,"Nardi Contreras",1976,"Phillies","signed free agent","free agency",0,1,1976,"1977","",1976
"392",1976-05-13,"Ray Sadecki",1976,"Brewers","signed free agent","free agency",0,1,1976,"1977","",1976
"409",1976-05-30,"Mario Ramirez",1976,"Mets","signed free agent","free agency",0,1,1976,"1977","",1976
"411",1976-05-30,"Teddy Martinez",1976,"Reds","signed free agent (from Athletics)","free agency",0,1,1976,"1977","",1976
"416",1976-06-02,"Tommy Davis",1976,"Angels","signed free agent","free agency",0,1,1976,"1977","",1976
"452",1976-06-21,"Casey Parsons",1976,"Giants","signed","free agency",0,1,1976,"1977","",1976
"460",1976-06-28,"Joe Decker",1976,"Tigers","signed free agent","free agency",0,1,1976,"1977","",1976
"479",1976-08-03,"Carlton Fisk",1976,"Red Sox","re-signed to a multi-year contract","re-signinging",0,1,1976,"1977","",1976
"480",1976-08-03,"Rick Burleson",1976,"Red Sox","re-signed to a multi-year contract","re-signinging",0,1,1976,"1977","",1976
"482",1976-08-11,"Jim Lyttle",1976,"Dodgers","signed","free agency",0,1,1976,"1977","",1976
"488",1976-08-31,"Rafael Santana",1976,"Yankees","signed free agent","free agency",0,1,1976,"1977","",1976
"489",1976-09-01,"Cesar Tovar",1976,"Yankees","signed","free agency",0,1,1976,"1977","",1976
"498",1976-09-10,"Minnie Minoso",1976,"White Sox","signed free agent","free agency",0,1,1976,"1977","",1976
"502",1976-09-17,"Greg Harris",1976,"Mets","signed free agent","free agency",0,1,1976,"1977","",1976
"676",1976-11-06,"Bill Campbell",1977,"Red Sox","signed free agent","free agency",0,1,1977,"1978","",1976
"681",1976-11-16,"Don Baylor",1977,"Angels","signed free agent","free agency",0,1,1977,"1978","",1976
"682",1976-11-16,"Buddy Bell",1977,"Indians","re-signed","re-signinging",0,1,1977,"1978","",1976
"683",1976-11-16,"Jon Matlack",1977,"Mets","re-signed","re-signinging",0,1,1977,"1978","",1976
"686",1976-11-16,"Gene Tenace",1977,"Padres","signed free agent (from Athletics) (date 12-14 per BTR)","free agency",0,1,1977,"1978","",1976
"687",1976-11-17,"Joe Rudi",1977,"Angels","signed free agent","free agency",0,1,1977,"1978","",1976
"690",1976-11-17,"Gary Matthews Sr.",1977,"Braves","signed free agent (from Giants)","free agency",0,1,1977,"1978","",1976
"691",1976-11-17,"Dave Cash",1977,"Expos","signed free agent (from Phillies)","free agency",0,1,1977,"1978","",1976
"695",1976-11-18,"Don Gullett",1977,"Yankees","signed free agent (from Reds)","free agency",0,1,1977,"1978","",1976
"696",1976-11-19,"Wayne Garland",1977,"Indians","signed free agent","free agency",0,1,1977,"1978","",1976
"698",1976-11-19,"Sal Bando",1977,"Brewers","signed free agent (from Athletics)","free agency",0,1,1977,"1978","",1976
"703",1976-11-23,"Doyle Alexander",1977,"Rangers","signed free agent","free agency",0,1,1977,"1978","",1976
"704",1976-11-24,"Bobby Grich",1977,"Angels","signed free agent","free agency",0,1,1977,"1978","",1976
"706",1976-11-24,"Steve Stone",1977,"White Sox","signed free agent (from Cubs)","free agency",0,1,1977,"1978","",1976
"708",1976-11-26,"Eric Soderholm",1977,"White Sox","signed free agent","free agency",0,1,1977,"1978","",1976
"709",1976-11-29,"Jim Fuller",1977,"Astros","signed free agent","free agency",0,1,1977,"1978","",1976
"712",1976-11-29,"Reggie Jackson",1977,"Yankees","signed free agent to a 5-year contract","free agency",0,5,1977,"1982","",1976
"714",1976-12-02,"Tim Nordbrook",1977,"White Sox","signed free agent","free agency",0,1,1977,"1978","",1976
"717",1976-12-05,"Royle Stillman",1977,"White Sox","signed free agent","free agency",0,1,1977,"1978","",1976
"769",1976-12-14,"Rollie Fingers",1977,"Padres","signed free agent","free agency",0,1,1977,"1978","",1976
"772",1976-12-15,"Richie Hebner",1977,"Phillies","signed free agent","free agency",0,1,1977,"1978","",1976
"784",1977-01-01,"Dan Ford",1977,"Twins","signed to a 3-year contract","free agency",0,3,1977,"1980","",1977
"785",1977-01-03,"Pedro Garcia",1977,"Blue Jays","signed free agent","free agency",0,1,1977,"1978","",1977
"792",1977-01-06,"Willie McCovey",1977,"Giants","signed free agent (from Padres)","free agency",0,1,1977,"1978","",1977
"802",1977-01-25,"Mike Cuellar",1977,"Angels","signed free agent","free agency",0,1,1977,"1978","",1977
"803",1977-01-31,"Ed Crosby",1977,"Athletics","signed free agent","free agency",0,1,1977,"1978","",1977
"806",1977-02-03,"Davey Johnson",1977,"Phillies","signed free agent","free agency",0,1,1977,"1978","",1977
"811",1977-02-08,"Billy Smith",1977,"Orioles","signed free agent","free agency",0,1,1977,"1978","",1977
"812",1977-02-10,"Paul Dade",1977,"Indians","signed free agent","free agency",0,1,1977,"1978","",1977
"815",1977-02-11,"Victor Rodriguez",1977,"Orioles","signed free agent","free agency",0,1,1977,"1978","",1977
"822",1977-02-23,"Tito Fuentes",1977,"Tigers","signed free agent (from Padres)","free agency",0,1,1977,"1978","",1977
"831",1977-03-02,"Ed Farmer",1977,"Orioles","signed free agent","free agency",0,1,1977,"1978","",1977
"839",1977-03-15,"Richie Allen",1977,"Athletics","signed free agent","free agency",0,1,1977,"1978","",1977
"848",1977-03-18,"Geoff Zahn",1977,"Twins","signed free agent","free agency",0,1,1977,"1978","",1977
"849",1977-03-20,"Joe Decker",1977,"Cubs","signed free agent","free agency",0,1,1977,"1978","",1977
"856",1977-03-22,"Joe Lahoud",1977,"Royals","signed free agent","free agency",0,1,1977,"1978","",1977
"890",1977-03-31,"Ray Sadecki",1977,"Mets","signed free agent","free agency",0,1,1977,"1978","",1977
"894",1977-04-01,"Gary Sutherland",1977,"Padres","signed free agent","free agency",0,1,1977,"1978","",1977
"895",1977-04-03,"Earl Williams",1977,"Athletics","signed free agent","free agency",0,1,1977,"1978","",1977
"898",1977-04-04,"Bruce Dal Canton",1977,"White Sox","signed free agent","free agency",0,1,1977,"1978","",1977
"899",1977-04-05,"Roric Harrison",1977,"Tigers","signed free agent","free agency",0,1,1977,"1978","",1977
"903",1977-04-05,"John Powell",1977,"Dodgers","signed free agent","free agency",0,1,1977,"1978","",1977
"906",1977-04-07,"Pete Redfern",1977,"Twins","signed to a multi-year contract","free agency",0,1,1977,"1978","",1977
"907",1977-04-07,"Jim Bouton",1977,"White Sox","signed free agent","free agency",0,1,1977,"1978","",1977
"908",1977-04-08,"Tim Stoddard",1977,"Orioles","signed free agent","free agency",0,1,1977,"1978","",1977
"909",1977-04-08,"Kurt Bevacqua",1977,"Rangers","signed free agent","free agency",0,1,1977,"1978","",1977
"911",1977-04-09,"Jim Obradovich",1977,"Astros","signed free agent","free agency",0,1,1977,"1978","",1977
"912",1977-04-10,"Tom Walker",1977,"Expos","signed free agent","free agency",0,1,1977,"1978","",1977
"923",1977-04-27,"Joe Hoerner",1977,"Reds","signed free agent","free agency",0,1,1977,"1978","",1977
"926",1977-05-02,"Bret Pena",1977,"Astros","signed","free agency",0,1,1977,"1978","",1977
"937",1977-05-16,"Jay Loviglio",1977,"Phillies","signed free agent","free agency",0,1,1977,"1978","",1977
"944",1977-05-22,"Dave Huppert",1977,"Orioles","signed free agent","free agency",0,1,1977,"1978","",1977
"945",1977-05-23,"Carlos Lezcano",1977,"Cubs","signed","free agency",0,1,1977,"1978","",1977
"954",1977-06-01,"Steve Kline",1977,"Braves","signed free agent (date approximate)","free agency",0,1,1977,"1978","",1977
"959",1977-06-10,"Bobby Tolan",1977,"Pirates","signed free agent","free agency",0,1,1977,"1978","",1977
"960",1977-06-10,"Kelley Becker",1977,"Reds","signed free agent","free agency",0,1,1977,"1978","",1977
"961",1977-06-10,"Larry Jackson",1977,"Reds","signed free agent","free agency",0,1,1977,"1978","",1977
"962",1977-06-10,"Richard Lombardo",1977,"Reds","signed free agent","free agency",0,1,1977,"1978","",1977
"963",1977-06-10,"Robert Potts",1977,"Reds","signed free agent","free agency",0,1,1977,"1978","",1977
"1002",1977-06-16,"Henry Bender",1977,"Mariners","signed","free agency",0,1,1977,"1978","",1977
"1003",1977-06-16,"Ralph Musselman",1977,"Mariners","signed","free agency",0,1,1977,"1978","",1977
"1004",1977-06-16,"Tracy Harris",1977,"Mariners","signed","free agency",0,1,1977,"1978","",1977
"1005",1977-06-20,"Steve Lubratich",1977,"Angels","signed","free agency",0,1,1977,"1978","",1977
"1006",1977-06-23,"Dan Morgan",1977,"Expos","signed","free agency",0,1,1977,"1978","",1977
"1007",1977-06-23,"Tom Pettini",1977,"Expos","signed","free agency",0,1,1977,"1978","",1977
"1008",1977-06-23,"Mookie Wilson",1977,"Mets","signed","free agency",0,1,1977,"1978","",1977
"1011",1977-06-23,"Ricky Adams",1977,"Astros","signed","free agency",0,1,1977,"1978","",1977
"1012",1977-06-23,"Paul Molitor",1977,"Brewers","signed","free agency",0,1,1977,"1978","",1977
"1013",1977-06-23,"Brian Greer",1977,"Padres","signed","free agency",0,1,1977,"1978","",1977
"1014",1977-06-24,"Karl Anderson",1977,"Mariners","signed","free agency",0,1,1977,"1978","",1977
"1015",1977-06-25,"Chris Nyman",1977,"White Sox","signed","free agency",0,1,1977,"1978","",1977
"1017",1977-07-05,"Pedro Garcia",1977,"Padres","signed free agent","free agency",0,1,1977,"1978","",1977
"1025",1977-07-26,"Jim Wynn",1977,"Brewers","signed free agent","free agency",0,1,1977,"1978","",1977
"1061",1977-09-02,"Ed Petryschuk",1977,"Blue Jays","signed","free agency",0,1,1977,"1978","",1977
"1071",1977-09-05,"Lou Piniella",1977,"Yankees","re-signed to a 2-year contract","re-signinging",0,2,1977,"1979","",1977
"1085",1977-09-09,"Steve Carlton",1977,"Phillies","re-signed","re-signinging",0,1,1977,"1978","",1977
"1095",1977-09-12,"Keith Macwhorter",1977,"Red Sox","signed free agent","free agency",0,1,1977,"1978","",1977
"1096",1977-09-13,"Jim Dwyer",1977,"Cardinals","signed free agent","free agency",0,1,1977,"1978","",1977
"1100",1977-09-14,"",1977,"Royals","resigned (effective at the end of the season)","free agency",0,1,1977,"1978","",1977
"1114",1977-09-20,"Ken Brett",1977,"Angels","re-signed to a contract through 1979","re-signinging",0,1,1977,"1979","",1977
"1133",1977-10-03,"Eric Soderholm",1978,"White Sox","re-signed to a 2-year contract","re-signinging",0,2,1978,"1980","",1977
"1178",1977-11-06,"Randy Scarbery",1978,"White Sox","signed free agent","free agency",0,1,1978,"1979","",1977
"1183",1977-11-10,"Doug Capilla",1978,"Reds","signed","free agency",0,1,1978,"1979","",1977
"1184",1977-11-10,"Paul Moskau",1978,"Reds","signed","free agency",0,1,1978,"1979","",1977
"1185",1977-11-10,"Tom Hume",1978,"Reds","signed","free agency",0,1,1978,"1979","",1977
"1187",1977-11-10,"George Medich",1978,"Rangers","signed free agent (from Mets) to a 4-year contract","free agency",0,4,1978,"1982","",1977
"1188",1977-11-11,"Luis Gomez",1978,"Blue Jays","signed free agent","free agency",0,1,1978,"1979","",1977
"1189",1977-11-11,"Bob Robertson",1978,"Mariners","signed","free agency",0,1,1978,"1979","",1977
"1190",1977-11-17,"Ron Blomberg",1978,"White Sox","signed free agent","free agency",0,1,1978,"1979","",1977
"1192",1977-11-17,"Larry Hisle",1978,"Brewers","signed free agent (from Twins) to a multi-year contract","free agency",0,1,1978,"1979","",1977
"1193",1977-11-18,"Oscar Zamora",1978,"Astros","signed free agent","free agency",0,1,1978,"1979","",1977
"1194",1977-11-18,"Don Money",1978,"Brewers","re-signed to a multi-year contract","re-signinging",0,1,1978,"1979","",1977
"1197",1977-11-18,"Terry Forster",1978,"Dodgers","signed free agent (from Pirates) to a 5-year contract","free agency",0,5,1978,"1983","",1977
"1198",1977-11-18,"Tom Hausman",1978,"Mets","signed free agent (from Brewers) to a 3-year contract","free agency",0,3,1978,"1981","",1977
"1199",1977-11-21,"Lyman Bostock",1978,"Angels","signed free agent","free agency",0,1,1978,"1979","",1977
"1200",1977-11-22,"Mike Proly",1978,"White Sox","signed free agent","free agency",0,1,1978,"1979","",1977
"1201",1977-11-22,"Rich Gossage",1978,"Yankees","signed free agent","free agency",0,1,1978,"1979","",1977
"1202",1977-11-22,"Mac Scarce",1978,"Twins","signed free agent (date 11-29 per one source)","free agency",0,1,1978,"1979","",1977
"1208",1977-11-23,"Mike Torrez",1978,"Red Sox","signed free agent (from Yankees)","free agency",0,1,1978,"1979","",1977
"1213",1977-11-24,"Larry Johnson",1978,"White Sox","signed free agent","free agency",0,1,1978,"1979","",1977
"1215",1977-11-24,"Arthur James",1978,"White Sox","signed","free agency",0,1,1978,"1979","",1977
"1216",1977-11-24,"Cleo Smith",1978,"White Sox","signed","free agency",0,1,1978,"1979","",1977
"1217",1977-11-24,"Larry Doby Johnson",1978,"White Sox","re-signed","re-signinging",0,1,1978,"1979","",1977
"1218",1977-11-24,"Quency Hill",1978,"White Sox","signed","free agency",0,1,1978,"1979","",1977
"1219",1977-11-24,"Randy Scarbery",1978,"White Sox","signed","free agency",0,1,1978,"1979","",1977
"1220",1977-11-24,"Oscar Gamble",1978,"Padres","signed free agent (from White Sox)","free agency",0,1,1978,"1979","",1977
"1225",1977-11-28,"Alvin Moore",1978,"White Sox","signed free agent","free agency",0,1,1978,"1979","",1977
"1226",1977-11-28,"Greg Pryor",1978,"White Sox","signed free agent","free agency",0,1,1978,"1979","",1977
"1227",1977-11-28,"Rich Hinton",1978,"White Sox","signed free agent","free agency",0,1,1978,"1979","",1977
"1232",1977-11-30,"Elliott Maddox",1978,"Mets","signed free agent","free agency",0,1,1978,"1979","",1977
"1233",1977-11-30,"Jack Brohamer",1978,"Red Sox","signed free agent","free agency",0,1,1978,"1979","",1977
"1235",1977-11-30,"Dave Kingman",1978,"Cubs","signed free agent (from Yankees)","free agency",0,1,1978,"1979","",1977
"1236",1977-12-03,"Ron Schueler",1978,"White Sox","signed free agent","free agency",0,1,1978,"1979","",1977
"1296",1977-12-09,"Rawly Eastwick",1978,"Yankees","signed free agent","free agency",0,1,1978,"1979","",1977
"1300",1977-12-12,"Mike Eden",1978,"White Sox","signed free agent","free agency",0,1,1978,"1979","",1977
"1302",1977-12-13,"Phil Niekro",1978,"Braves","signed to a 3-year contract","free agency",0,3,1978,"1981","",1977
"1310",1977-12-15,"Mario Guerrero",1978,"Giants","signed free agent (from Angels)","free agency",0,1,1978,"1979","",1977
"1313",1977-12-19,"Jesus Alou",1978,"Astros","signed free agent","free agency",0,1,1978,"1979","",1977
"1314",1977-12-20,"Bruce Bochte",1978,"Mariners","signed free agent","free agency",0,1,1978,"1979","",1977
"1315",1977-12-21,"Rick Miller",1978,"Angels","signed free agent","free agency",0,1,1978,"1979","",1977
"1318",1977-12-21,"Ross Grimsley",1978,"Expos","signed free agent (from Orioles)","free agency",0,1,1978,"1979","",1977
"1319",1977-12-27,"Dick Drago",1978,"Red Sox","signed free agent","free agency",0,1,1978,"1979","",1977
"1320",1978-01-01,"Enzo Hernandez",1978,"Dodgers","signed (date approximate)","free agency",0,1,1978,"1979","",1978
"1324",1978-01-03,"Gary Sutherland",1978,"Cardinals","signed free agent","free agency",0,1,1978,"1979","",1978
"1327",1978-01-05,"Mario Guerrero",1978,"Giants","signed","free agency",0,1,1978,"1979","",1978
"1328",1978-01-11,"Andy Merchant",1978,"Red Sox","signed","free agency",0,1,1978,"1979","",1978
"1329",1978-01-11,"Joel Finch",1978,"Red Sox","signed","free agency",0,1,1978,"1979","",1978
"1330",1978-01-11,"Rich Waller",1978,"Red Sox","signed","free agency",0,1,1978,"1979","",1978
"1331",1978-01-11,"Tommy Helms",1978,"Red Sox","signed","free agency",0,1,1978,"1979","",1978
"1332",1978-01-11,"Win Remmerswaal",1978,"Red Sox","signed","free agency",0,1,1978,"1979","",1978
"1336",1978-01-13,"Mark Paradise",1978,"Red Sox","signed","free agency",0,1,1978,"1979","",1978
"1337",1978-01-16,"Randy Stein",1978,"Brewers","signed free agent","free agency",0,1,1978,"1979","",1978
"1338",1978-01-24,"Steve Luebber",1978,"White Sox","signed free agent","free agency",0,1,1978,"1979","",1978
"1341",1978-01-27,"Tom Griffin",1978,"Angels","signed free agent","free agency",0,1,1978,"1979","",1978
"1343",1978-01-30,"Rob Ellis",1978,"Indians","signed free agent","free agency",0,1,1978,"1979","",1978
"1349",1978-02-02,"Mickey Lolich",1978,"Padres","signed","free agency",0,1,1978,"1979","",1978
"1350",1978-02-07,"Craig Skok",1978,"Braves","signed free agent","free agency",0,1,1978,"1979","",1978
"1352",1978-02-08,"Earl Bass",1978,"Cardinals","signed","free agency",0,1,1978,"1979","",1978
