"","player","season","salary","inflation_adjusted_salary","games","war"
"1","Albert Belle",1989,68000,128059.060402685,62,0
"2","Albert Belle",1990,117000,209056.291390728,9,-0.1
"3","Albert Belle",1991,130000,222807.231859272,123,2.5
"4","Albert Belle",1992,175000,291113.350723263,153,1.9
"5","Albert Belle",1993,1675000,2706778.39207556,159,4.7
"6","Albert Belle",1994,2775000,4370593.84822631,106,5.7
"7","Albert Belle",1995,4500000,6893972.48307491,143,6.9
"8","Albert Belle",1996,5700000,8484086.56906429,158,5.7
"9","Albert Belle",1997,1e+07,14541873.9635158,161,1.5
"10","Albert Belle",1998,1e+07,14322172.3152307,163,7
"11","Albert Belle",1999,11949794,16745466.4222932,161,3.4
"12","Albert Belle",2000,12868670,17444197.1111111,141,0.6
"13","Alex Rodriguez",1994,442333,696669.509429726,17,-0.2
"14","Alex Rodriguez",1995,442333,677651.451190216,48,-0.4
"15","Alex Rodriguez",1996,442334,658385.955866751,146,9.3
"16","Alex Rodriguez",1997,1062500,1545074.10862355,141,5.6
"17","Alex Rodriguez",1998,2162500,3097169.76316864,161,8.5
"18","Alex Rodriguez",1999,3112500,4361603.57570915,129,4.8
"19","Alex Rodriguez",2000,4362500,5913611.11111111,148,10.3
"20","Alex Rodriguez",2001,2.2e+07,29003946.626574,162,8.4
"21","Alex Rodriguez",2002,2.2e+07,28553191.4893617,162,8.8
"22","Alex Rodriguez",2003,2.2e+07,27917872.6483358,161,8.4
"23","Alex Rodriguez",2004,2.2e+07,27189922.4806202,155,7.6
"24","Alex Rodriguez",2005,2.6e+07,31076844.4368717,162,9.4
"25","Alex Rodriguez",2006,21680727,25105694.9331463,154,4.5
"26","Alex Rodriguez",2007,22708525,25565768.3959236,158,9.4
"27","Alex Rodriguez",2008,2.8e+07,30358578.0525502,138,6.8
"28","Alex Rodriguez",2009,3.3e+07,35907398.7901349,124,4.2
"29","Alex Rodriguez",2010,3.3e+07,35326567.9841294,137,4.2
"30","Alex Rodriguez",2011,3.2e+07,33207100.591716,99,3.8
"31","Alex Rodriguez",2012,2.9e+07,29487606.8995507,122,2.3
"32","Alex Rodriguez",2013,2.8e+07,2.8e+07,44,0.3
"33","Carlos Beltran",1998,170000,243476.929358922,14,0.3
"34","Carlos Beltran",1999,2e+05,280263.683579704,156,4.7
"35","Carlos Beltran",2000,350000,474444.444444444,98,0.9
"36","Carlos Beltran",2001,425000,560303.514376997,155,6.4
"37","Carlos Beltran",2002,3500000,4542553.19148936,162,4.3
"38","Carlos Beltran",2003,6e+06,7613965.26772793,141,5.8
"39","Carlos Beltran",2004,9e+06,11123150.1057082,159,3.54528301886792
"40","Carlos Beltran",2004,9e+06,11123150.1057082,159,3.54528301886792
"41","Carlos Beltran",2005,11571429,13830903.8055887,151,2.9
"42","Carlos Beltran",2006,13571428,15715346.223176,140,8.2
"43","Carlos Beltran",2007,13571429,15279020.1307976,144,5.4
"44","Carlos Beltran",2008,18622809,20191500.0208655,161,6.9
"45","Carlos Beltran",2009,19243682,20939107.9928649,81,3.6
"46","Carlos Beltran",2010,19401569,20769419.5841599,64,0.7
"47","Carlos Beltran",2011,19325436,20054428.0384615,142,2.72535211267606
"48","Carlos Beltran",2011,19325436,20054428.0384615,142,2.72535211267606
"49","Carlos Beltran",2012,1.3e+07,13218582.4032468,151,3.8
"50","Carlos Beltran",2013,1.3e+07,1.3e+07,145,2.4
"51","Grady Sizemore",2005,318300,380452.291702164,158,6.6
"52","Grady Sizemore",2006,5e+05,578986.464179597,162,6.6
"53","Grady Sizemore",2007,916667,1032004.33397528,162,5.5
"54","Grady Sizemore",2008,3166666,3433409.89026275,157,5.9
"55","Grady Sizemore",2009,4766666,5186623.54428416,106,2.2
"56","Grady Sizemore",2010,5766666,6173227.83305356,33,-0.4
"57","Grady Sizemore",2011,7666666,7955867.15828402,71,0
"58","Reggie Jackson",1967,4800,33604.7904191617,35,-0.5
"59","Reggie Jackson",1968,8100,54374.6411483254,154,5.2
"60","Reggie Jackson",1969,20000,127313.974591652,152,9.2
"61","Reggie Jackson",1970,47000,282523.564695801,149,2.2
"62","Reggie Jackson",1971,45000,259387.838948233,150,6.5
"63","Reggie Jackson",1972,55000,306941.129673827,135,5.6
"64","Reggie Jackson",1973,70000,368103.448275862,151,7.8
"65","Reggie Jackson",1974,135000,639018.218623482,148,5.7
"66","Reggie Jackson",1975,140000,607359.307359307,157,6.7
"67","Reggie Jackson",1976,2e+05,820467.83625731,134,5.3
"68","Reggie Jackson",1977,525000,2022446.45799012,146,4.5
"69","Reggie Jackson",1978,525000,1879017.85714286,139,3.5
"70","Reggie Jackson",1979,525000,1688617.60660248,131,3.5
"71","Reggie Jackson",1980,525000,1487429.32148627,143,4.8
"72","Reggie Jackson",1981,588000,1509816.98389458,94,1
"73","Reggie Jackson",1982,1103000,2668118.96551724,153,3.1
"74","Reggie Jackson",1983,975000,2285207.15001671,116,-1.8
"75","Reggie Jackson",1984,975000,2190783.15182575,143,-0.2
"76","Reggie Jackson",1985,1058894,2298311.07982673,143,1
"77","Reggie Jackson",1986,1102946,2348866.48148148,132,1.2
