,team,season,player,position,age,salary_millions,salary_2013_millions,sources,notes_other,table_name,player_bref_url,disputed_salary,tm,pst_team
1,Anaheim Angels,2003,John Lackey,Pitcher,24,0.315,0.4,4/3/03 AP,,salaries,http://www.baseball-reference.com/players/l/lackejo01.shtml,FALSE,ANA,Angels
2,Anaheim Angels,2004,John Lackey,Pitcher,25,0.375,0.463,4/7/04 AP,,salaries,http://www.baseball-reference.com/players/l/lackejo01.shtml,FALSE,ANA,Angels
3,Anaheim Angels,2004,Vladimir Guerrero,Rightfielder,29,11,13.595,4/7/04 AP,,salaries,http://www.baseball-reference.com/players/g/guerrvl01.shtml,FALSE,ANA,Angels
4,Arizona Diamondbacks,2008,Justin Upton,Rightfielder,20,0.393,0.426,,,salaries,http://www.baseball-reference.com/players/u/uptonju01.shtml,FALSE,ARI,Diamondbacks
5,Arizona Diamondbacks,2011,Miguel Montero,Catcher,27,3.2,3.321,,,salaries,http://www.baseball-reference.com/players/m/montemi01.shtml,FALSE,ARI,Diamondbacks
6,Arizona Diamondbacks,2010,Chris Young,Centerfielder,26,3.45,3.693,,,salaries,http://www.baseball-reference.com/players/y/youngch04.shtml,FALSE,ARI,Diamondbacks
7,Arizona Diamondbacks,2007,Miguel Montero,Catcher,23,0.38,0.428,,,salaries,http://www.baseball-reference.com/players/m/montemi01.shtml,FALSE,ARI,Diamondbacks
8,Arizona Diamondbacks,2011,Stephen Drew,Shortstop,28,4.65,4.825,,,salaries,http://www.baseball-reference.com/players/d/drewst01.shtml,FALSE,ARI,Diamondbacks
9,Arizona Diamondbacks,2005,Shawn Green,"Rightfielder, First Baseman",32,7.833,9.363,,,salaries,http://www.baseball-reference.com/players/g/greensh01.shtml,FALSE,ARI,Diamondbacks
10,Arizona Diamondbacks,2009,Justin Upton,Rightfielder,21,0.412,0.448,,,salaries,http://www.baseball-reference.com/players/u/uptonju01.shtml,FALSE,ARI,Diamondbacks
11,Arizona Diamondbacks,2008,Chris Young,Centerfielder,24,0.406,0.44,,,salaries,http://www.baseball-reference.com/players/y/youngch04.shtml,FALSE,ARI,Diamondbacks
12,Arizona Diamondbacks,2012,Justin Upton,Rightfielder,24,6.75,6.863,contracts,,salaries,http://www.baseball-reference.com/players/u/uptonju01.shtml,FALSE,ARI,Diamondbacks
13,Arizona Diamondbacks,2005,Stephen Drew,Shortstop,22,0.3,0.359,,,salaries,http://www.baseball-reference.com/players/d/drewst01.shtml,FALSE,ARI,Diamondbacks
14,Arizona Diamondbacks,2009,Chris Young,Centerfielder,25,1.95,2.122,,,salaries,http://www.baseball-reference.com/players/y/youngch04.shtml,FALSE,ARI,Diamondbacks
15,Arizona Diamondbacks,2012,Trevor Cahill,Pitcher,24,3.5,3.559,contracts,,salaries,http://www.baseball-reference.com/players/c/cahiltr01.shtml,FALSE,ARI,Diamondbacks
16,Arizona Diamondbacks,2008,Stephen Drew,Shortstop,25,1.5,1.626,,,salaries,http://www.baseball-reference.com/players/d/drewst01.shtml,FALSE,ARI,Diamondbacks
17,Arizona Diamondbacks,2012,Miguel Montero,Catcher,28,5.9,5.999,contracts,,salaries,http://www.baseball-reference.com/players/m/montemi01.shtml,FALSE,ARI,Diamondbacks
18,Arizona Diamondbacks,2008,Miguel Montero,Catcher,24,0.4,0.434,,,salaries,http://www.baseball-reference.com/players/m/montemi01.shtml,FALSE,ARI,Diamondbacks
19,Arizona Diamondbacks,2006,Shawn Green,"Rightfielder, First Baseman",33,10.214,11.827,,,salaries,http://www.baseball-reference.com/players/g/greensh01.shtml,FALSE,ARI,Diamondbacks
20,Arizona Diamondbacks,2009,Stephen Drew,Shortstop,26,1.5,1.632,,,salaries,http://www.baseball-reference.com/players/d/drewst01.shtml,FALSE,ARI,Diamondbacks
21,Arizona Diamondbacks,2007,Chris Young,Centerfielder,23,0.38,0.428,,,salaries,http://www.baseball-reference.com/players/y/youngch04.shtml,FALSE,ARI,Diamondbacks
22,Arizona Diamondbacks,2006,Stephen Drew,Shortstop,23,0.3,0.347,,,salaries,http://www.baseball-reference.com/players/d/drewst01.shtml,FALSE,ARI,Diamondbacks
23,Arizona Diamondbacks,2011,Chris Young,Centerfielder,27,5.2,5.396,,,salaries,http://www.baseball-reference.com/players/y/youngch04.shtml,FALSE,ARI,Diamondbacks
24,Arizona Diamondbacks,2007,Stephen Drew,Shortstop,24,1.5,1.689,,,salaries,http://www.baseball-reference.com/players/d/drewst01.shtml,FALSE,ARI,Diamondbacks
25,Arizona Diamondbacks,2010,Miguel Montero,Catcher,26,2,2.141,,,salaries,http://www.baseball-reference.com/players/m/montemi01.shtml,FALSE,ARI,Diamondbacks
26,Arizona Diamondbacks,2012,Paul Goldschmidt,First Baseman,24,0.482,0.49,contracts,,salaries,http://www.baseball-reference.com/players/g/goldspa01.shtml,FALSE,ARI,Diamondbacks
27,Arizona Diamondbacks,2009,Miguel Montero,Catcher,25,0.425,0.462,,,salaries,http://www.baseball-reference.com/players/m/montemi01.shtml,FALSE,ARI,Diamondbacks
28,Arizona Diamondbacks,2011,Justin Upton,Rightfielder,23,4.458,4.627,,,salaries,http://www.baseball-reference.com/players/u/uptonju01.shtml,FALSE,ARI,Diamondbacks
29,Arizona Diamondbacks,2010,Stephen Drew,Shortstop,27,3.4,3.64,,,salaries,http://www.baseball-reference.com/players/d/drewst01.shtml,FALSE,ARI,Diamondbacks
30,Arizona Diamondbacks,2010,Justin Upton,Rightfielder,22,0.708,0.758,,,salaries,http://www.baseball-reference.com/players/u/uptonju01.shtml,FALSE,ARI,Diamondbacks
31,Arizona Diamondbacks,2012,Chris Young,Centerfielder,28,7,7.118,contracts,,salaries,http://www.baseball-reference.com/players/y/youngch04.shtml,FALSE,ARI,Diamondbacks
