tm,team,pst_team
ANA,Anaheim Angels,Angels
ARI,Arizona Diamondbacks,Diamondbacks
ATL,Atlanta Braves,Braves
BAL,Baltimore Orioles,Orioles
BOS,Boston Red Sox,Red Sox
CAL,California Angels,Angels
CHC,Chicago Cubs,Cubs
CHW,Chicago White Sox,White Sox
CIN,Cincinnati Reds,Reds
CLE,Cleveland Indians,Indians
COL,Colorado Rockies,Rockies
DET,Detroit Tigers,Tigers
FLA,Florida Marlins,Marlins
HOU,Houston Astros,Astros
KCA,Kansas City Athletics,Athletics
KCR,Kansas City Royals,Royals
LAA,Los Angeles Angels of Anaheim,Angels
LAD,Los Angeles Dodgers,Dodgers
MIA,Miami Marlins,Marlins
MIL,Milwaukee Brewers,Brewers
MIN,Minnesota Twins,Twins
MON,Montreal Expos,Expos
NYM,New York Mets,Mets
NYY,New York Yankees,Yankees
OAK,Oakland Athletics,Athletics
PHI,Philadelphia Phillies,Phillies
PIT,Pittsburgh Pirates,Pirates
SDP,San Diego Padres,Padres
SEA,Seattle Mariners,Mariners
SFG,San Francisco Giants,Giants
STL,St. Louis Cardinals,Cardinals
TBD,Tampa Bay Devil Rays,Rays
TBR,Tampa Bay Rays,Rays
TEX,Texas Rangers,Rangers
TOR,Toronto Blue Jays,Blue Jays
WSN,Washington Nationals,Nationals
