"","player","date","season","pst_team","notes","new_contract_source","pst_contract_value_millions","contract_term","contract_start_season","contract_end_season","contract_option","year","player_bref_url"
"1","A.J. Burnett","12/12/08",2009,"Yankees","signed free agent to a 5-year contract through 2014 (date 12-18 per CBC ESPN MLB)","free agency",0,5,2009,2014,"",2008,"http://www.baseball-reference.com/players/b/burnea.01.shtml"
"2","A.J. Burnett","12/6/05",2006,"Blue Jays","signed free agent to a 5-year contract","free agency",0,5,2006,2011,"",2005,"http://www.baseball-reference.com/players/b/burnea.01.shtml"
"3","Aaron Rowand","12/12/07",2008,"Giants","signed free agent (from Phillies) to a 5-year contract","free agency",0,5,2008,2013,"",2007,"http://www.baseball-reference.com/players/r/rowanaa01.shtml"
"4","Adam Jones","5/27/12",2012,"Orioles","re-signed to a 6-year contract extension through 2018","re-signinging",0,6,2012,2018,"",2012,"http://www.baseball-reference.com/players/j/jonesad01.shtml"
"5","Adam Wainwright","3/27/13",2013,"Cardinals","re-signed to a 5-year contract extension through 2018","re-signinging",0,5,2013,2018,"",2013,"http://www.baseball-reference.com/players/w/wainwad01.shtml"
"6","Adrian Beltre","12/17/04",2005,"Mariners","signed free agent to a 5-year contract","free agency",0,5,2005,2010,"",2004,"http://www.baseball-reference.com/players/b/beltrad01.shtml"
"7","Adrian Beltre","1/5/11",2011,"Rangers","signed free agent to a 5-year contract through 2015 with an option for 2016","free agency",0,5,2011,2015,"an option for 2016",2011,"http://www.baseball-reference.com/players/b/beltrad01.shtml"
"8","Adrian Gonzalez","4/15/11",2011,"Red Sox","re-signed to a 7-year contract extension through 2018","re-signinging",0,7,2011,2018,"",2011,"http://www.baseball-reference.com/players/g/gonzaad01.shtml"
"9","Al Hrabosky","11/20/79",1980,"Braves","signed free agent (from Royals) to a 5-year contract","free agency",0,5,1980,1985,"",1979,"http://www.baseball-reference.com/players/h/hraboal01.shtml"
"10","Albert Belle","12/1/98",1999,"Orioles","signed free agent (from White Sox) to a 5-year, $65M contract","free agency",65,5,1999,2004,"",1998,"http://www.baseball-reference.com/players/b/belleal01.shtml"
"11","Albert Pujols","2/20/04",2004,"Cardinals","re-signed to a 7-year contract with a 1-year team option","re-signinging",0,7,2004,2011,"",2004,"http://www.baseball-reference.com/players/p/pujolal01.shtml"
"12","Albert Pujols","12/7/11",2012,"Angels","signed free agent to a 10-year contract through 2021","free agency",0,10,2012,2021,"",2011,"http://www.baseball-reference.com/players/p/pujolal01.shtml"
"13","Alex Rios","4/4/08",2008,"Blue Jays","re-signed to a 6-year, $64M contract through 2014 with a $13.5M team option for 2015","re-signinging",0,6,2008,2014,"$13.5M team option for 2015",2008,"http://www.baseball-reference.com/players/r/riosal01.shtml"
"14","Alex Rodriguez","12/13/07",2008,"Yankees","re-signed to a 10-year contract through 2015","re-signinging",0,10,2008,2015,"",2007,"http://www.baseball-reference.com/players/r/rodrial01.shtml"
"15","Alfredo Griffin","12/7/83",1984,"Blue Jays","re-signed to a 5-year contract","re-signinging",0,5,1984,1989,"",1983,"http://www.baseball-reference.com/players/g/griffal01.shtml"
"16","Allen Craig","3/8/13",2013,"Cardinals","re-signed to a 5-year contract extension through 2017 with a 1-year option for 2018","re-signinging",0,5,2013,2017,"1-year option for 2018",2013,"http://www.baseball-reference.com/players/c/craigal01.shtml"
"17","Andre Ethier","6/12/12",2012,"Dodgers","re-signed to a 5-year contract extension through 2017","re-signinging",0,5,2012,2017,"",2012,"http://www.baseball-reference.com/players/e/ethiean01.shtml"
"18","Andrew McCutchen","3/4/12",2012,"Pirates","re-signed to a 6-year contract extension through 2017 with an option for 2018","re-signinging",0,6,2012,2017,"an option for 2018",2012,"http://www.baseball-reference.com/players/m/mccutan01.shtml"
"19","Andruw Jones","11/13/01",2002,"Braves","re-signed to a 6-year contract extension","re-signinging",0,6,2002,2008,"",2001,"http://www.baseball-reference.com/players/j/jonesan01.shtml"
"20","Anibal Sanchez","12/14/12",2013,"Tigers","re-signed free agent to a 5-year contract through 2017 with a 1-year option for 2018","re-signinging",0,5,2013,2017,"1-year option for 2018",2012,"http://www.baseball-reference.com/players/s/sanchan01.shtml"
"21","Anthony Rizzo","5/12/13",2013,"Cubs","re-signed to a 7-year contract extension through 2019 with options for 2020-21","re-signinging",0,7,2013,2019,"options for 2020-21",2013,"http://www.baseball-reference.com/players/r/rizzoan01.shtml"
"22","Aramis Ramirez","11/12/06",2007,"Cubs","re-signed free agent to a 5-year, $75M contract through 2011 with a mutual option for 2012","re-signinging",75,5,2007,2011,"mutual option for 2012",2006,"http://www.baseball-reference.com/players/r/ramirar01.shtml"
"23","Aroldis Chapman","1/11/10",2010,"Reds","signed free agent to a 6-year contract through 2015","free agency",0,6,2010,2015,"",2010,"http://www.baseball-reference.com/players/c/chapmar01.shtml"
"24","B.J. Ryan","11/28/05",2006,"Blue Jays","signed free agent to a 5-year, $47M contract","free agency",47,5,2006,2011,"",2005,"http://www.baseball-reference.com/players/r/ryanb.01.shtml"
"25","B.J. Upton","11/28/12",2013,"Braves","signed free agent to a 5-year contract through 2017","free agency",0,5,2013,2017,"",2012,"http://www.baseball-reference.com/players/u/uptonbj01.shtml"
"26","Barry Bonds","1/14/02",2002,"Giants","re-signed to a 5-year contract","re-signinging",0,5,2002,2007,"",2002,"http://www.baseball-reference.com/players/b/bondsba01.shtml"
"27","Barry Zito","12/29/06",2007,"Giants","signed unrestricted free agent to a 7-year contract through 2013 with a team option for 2014","free agency",0,7,2007,2013,"team option for 2014",2006,"http://www.baseball-reference.com/players/z/zitoba01.shtml"
"28","Bill Buckner","2/18/82",1982,"Cubs","re-signed to a 5-year, $2.6M contract","re-signinging",2.6,5,1982,1987,"",1982,"http://www.baseball-reference.com/players/b/bucknbi01.shtml"
