"","player","season","salary","inflation_adjusted_salary","games","war"
"1","A.J. Burnett",1999,0.2,0.28,7,0.3
"2","A.J. Burnett",2000,0.204,0.277,13,0.7
"3","A.J. Burnett",2001,0.25,0.33,27,1.7
"4","A.J. Burnett",2002,0.368,0.477,31,4
"5","A.J. Burnett",2003,2.5,3.172,4,0.1
"6","A.J. Burnett",2004,2.5,3.09,20,1.8
"7","A.J. Burnett",2005,3.65,4.363,32,3.4
"8","A.J. Burnett",2006,2.2,2.548,21,1.9
"9","A.J. Burnett",2007,13.2,14.861,25,2.4
"10","A.J. Burnett",2008,13.2,14.312,35,2.4
"11","A.J. Burnett",2009,16.5,17.954,33,4.4
"12","A.J. Burnett",2010,16.5,17.663,33,-0.8
"13","A.J. Burnett",2011,16.5,17.122,33,0.8
"14","A.J. Burnett",2012,16.5,16.777,31,2.2
"15","Aaron Rowand",2002,0.225,0.292,126,1.2
"16","Aaron Rowand",2003,0.32,0.406,93,0.8
"17","Aaron Rowand",2004,0.34,0.42,140,5.7
"18","Aaron Rowand",2005,2,2.391,157,3.7
"19","Aaron Rowand",2006,3.25,3.763,109,0.5
"20","Aaron Rowand",2007,4.35,4.897,161,5.1
"21","Aaron Rowand",2008,9.6,10.409,152,0.6
"22","Aaron Rowand",2009,9.6,10.446,144,0.9
"23","Aaron Rowand",2010,13.6,14.559,105,0.3
"24","Aaron Rowand",2011,13.6,14.113,108,0.5
"25","Adam Jones",2008,0.39,0.423,132,2.1
"26","Adam Jones",2009,0.435,0.473,119,2.6
"27","Adam Jones",2010,0.465,0.498,149,2.4
"28","Adam Jones",2011,3.25,3.373,151,3.2
"29","Adam Jones",2012,6.15,6.253,162,3.8
"30","Adam Wainwright",2006,0.327,0.379,61,1.4
"31","Adam Wainwright",2007,0.41,0.462,32,2.8
"32","Adam Wainwright",2008,0.688,0.745,20,2.6
"33","Adam Wainwright",2009,2.788,3.033,34,6.2
"34","Adam Wainwright",2010,4.838,5.179,33,6.3
"35","Adam Wainwright",2012,9,9.151,32,1.1
"36","Adrian Beltre",1998,0.17,0.243,77,0.2
"37","Adrian Beltre",1999,0.22,0.308,152,3.8
"38","Adrian Beltre",2000,1,1.356,138,3.4
"39","Adrian Beltre",2001,1.25,1.648,126,0.8
"40","Adrian Beltre",2002,2.8,3.634,159,2
"41","Adrian Beltre",2003,3.7,4.695,158,3.6
"42","Adrian Beltre",2004,5,6.18,156,9.6
"43","Adrian Beltre",2005,11.4,13.626,156,3.2
"44","Adrian Beltre",2006,12.9,14.938,156,5.4
"45","Adrian Beltre",2007,12.9,14.523,149,3.8
"46","Adrian Beltre",2008,13.4,14.529,143,5.5
"47","Adrian Beltre",2009,13.4,14.581,111,3.3
"48","Adrian Beltre",2010,9,9.635,154,7.8
"49","Adrian Beltre",2011,14,14.528,124,5.8
"50","Adrian Beltre",2012,15,15.252,156,7
"51","Adrian Gonzalez",2005,0.316,0.378,43,-0.6
"52","Adrian Gonzalez",2006,0.328,0.379,156,3
"53","Adrian Gonzalez",2007,0.5,0.563,161,2.5
"54","Adrian Gonzalez",2008,0.875,0.949,162,3.5
"55","Adrian Gonzalez",2009,3.125,3.4,160,6.9
"56","Adrian Gonzalez",2010,4.875,5.219,160,4.3
"57","Adrian Gonzalez",2011,6.3,6.538,159,6.9
"58","Adrian Gonzalez",2012,21,21.353,159,2.32452830188679
"59","Adrian Gonzalez",2012,21,21.353,159,2.32452830188679
"60","Al Hrabosky",1976,0.045,0.185,68,0.2
"61","Al Hrabosky",1980,0.44,1.247,45,0.2
"62","Al Hrabosky",1981,0.44,1.13,24,1.2
"63","Al Hrabosky",1982,0.44,1.064,31,-0.8
"64","Albert Belle",1989,0.068,0.128,62,0
"65","Albert Belle",1990,0.117,0.209,9,-0.1
"66","Albert Belle",1991,0.13,0.223,123,2.5
"67","Albert Belle",1992,0.175,0.291,153,1.9
"68","Albert Belle",1993,1.675,2.707,159,4.7
