,year,name,team_id,colors,franchise,current_franchise,buyer,details,price,inflation_adusted_price,franchise_url,current_franchiseurl,current_pic_url,,,,
140,1968,Wizards,WAS,"Red, White, Navy, Silver",Baltimore Bullets,Washington Wizards,Abe Pollin,Became Sole Owner,0,0,wikipedia.org/wiki/Baltimore_Bullets,wikipedia.org/wiki/Washington_Wizards,http://upload.wikimedia.org/wikipedia/en/thumb/b/bd/Washington_Wizards_Logo.svg/400px-Washington_Wizards_Logo.svg.png,,,,
138,1964,Wizards,WAS,"Red, White, Navy, Silver",Baltimore Bullets,Washington Wizards,"Abe Pollin, Arnold Heft, Earl Foreman",Purchased Team,1100000,7700000,wikipedia.org/wiki/Baltimore_Bullets,wikipedia.org/wiki/Washington_Wizards,http://upload.wikimedia.org/wikipedia/en/thumb/b/bd/Washington_Wizards_Logo.svg/400px-Washington_Wizards_Logo.svg.png,,,,
141,1964,Wizards,WAS,"Red, White, Navy, Silver",Baltimore Bullets,Washington Wizards,Bob Trager,Sold Team,1100000,7700000,wikipedia.org/wiki/Baltimore_Bullets,wikipedia.org/wiki/Washington_Wizards,http://upload.wikimedia.org/wikipedia/en/thumb/b/bd/Washington_Wizards_Logo.svg/400px-Washington_Wizards_Logo.svg.png,,,,
139,2010,Wizards,WAS,"Red, White, Navy, Silver",Washington Wizards,Washington Wizards,Ted Leonsis,Purchased the Remaining 56% Including Debt,550000000,550000000,wikipedia.org/wiki/Washington_Wizards,wikipedia.org/wiki/Washington_Wizards,http://upload.wikimedia.org/wikipedia/en/thumb/b/bd/Washington_Wizards_Logo.svg/400px-Washington_Wizards_Logo.svg.png,,,,
49,1946,Warriors,GSW,"Blue, Gold, Yellow",Philadelphia Warriors,Golden State Warriors,Peter Tyrrell,Created in Baa,0,0,wikipedia.org/wiki/Philadelphia_Warriors,wikipedia.org/wiki/Golden_State_Warriors,http://upload.wikimedia.org/wikipedia/en/thumb/0/01/Golden_State_Warriors_logo.svg/400px-Golden_State_Warriors_logo.svg.png,,,,
52,1986,Warriors,GSW,"Blue, Gold, Yellow",Golden State Warriors,Golden State Warriors,Jim Fitzgerald & Daniel Finnane,Bought the Team,0,0,wikipedia.org/wiki/Golden_State_Warriors,wikipedia.org/wiki/Golden_State_Warriors,http://upload.wikimedia.org/wikipedia/en/thumb/0/01/Golden_State_Warriors_logo.svg/400px-Golden_State_Warriors_logo.svg.png,,,,
50,1951,Warriors,GSW,"Blue, Gold, Yellow",Philadelphia Warriors,Golden State Warriors,Eddie Gottlieb,Bought the Team,25000,210000,wikipedia.org/wiki/Philadelphia_Warriors,wikipedia.org/wiki/Golden_State_Warriors,http://upload.wikimedia.org/wikipedia/en/thumb/0/01/Golden_State_Warriors_logo.svg/400px-Golden_State_Warriors_logo.svg.png,,,,
48,1962,Warriors,GSW,"Blue, Gold, Yellow",San Francisco Warriors,Golden State Warriors,Franklin Mieuli with 32 Other Local Investors,Purchased Team and Moved It to Bay Area,850000,6100000,wikipedia.org/wiki/San_Francisco_Warriors,wikipedia.org/wiki/Golden_State_Warriors,http://upload.wikimedia.org/wikipedia/en/thumb/0/01/Golden_State_Warriors_logo.svg/400px-Golden_State_Warriors_logo.svg.png,,,,
51,1992,Warriors,GSW,"Blue, Gold, Yellow",Golden State Warriors,Golden State Warriors,Christopher Cohan,Purchased 25%,21000000,32600000,wikipedia.org/wiki/Golden_State_Warriors,wikipedia.org/wiki/Golden_State_Warriors,http://upload.wikimedia.org/wikipedia/en/thumb/0/01/Golden_State_Warriors_logo.svg/400px-Golden_State_Warriors_logo.svg.png,,,,
54,1995,Warriors,GSW,"Blue, Gold, Yellow",Golden State Warriors,Golden State Warriors,Christopher Cohan,Purchased Remaining 75%,95000000,135900000,wikipedia.org/wiki/Golden_State_Warriors,wikipedia.org/wiki/Golden_State_Warriors,http://upload.wikimedia.org/wikipedia/en/thumb/0/01/Golden_State_Warriors_logo.svg/400px-Golden_State_Warriors_logo.svg.png,,,,
53,2010,Warriors,GSW,"Blue, Gold, Yellow",Golden State Warriors,Golden State Warriors,Peter Guber & Joe Lacob,Purchased Team,450000000,450000000,wikipedia.org/wiki/Golden_State_Warriors,wikipedia.org/wiki/Golden_State_Warriors,http://upload.wikimedia.org/wikipedia/en/thumb/0/01/Golden_State_Warriors_logo.svg/400px-Golden_State_Warriors_logo.svg.png,,,,
114,1973,Trail Blazers,POR,"Red, Silver, Black, White",Portland Trail Blazers,Portland Trail Blazers,"Larry Weinberg, Herman Sarkowsky",Bought Out Schmertz,0,0,wikipedia.org/wiki/Portland_Trail_Blazers,wikipedia.org/wiki/Portland_Trail_Blazers,http://upload.wikimedia.org/wikipedia/en/thumb/7/74/Portland_Trail_Blazers.svg/205px-Portland_Trail_Blazers.svg.png,,,,
116,1974,Trail Blazers,POR,"Red, Silver, Black, White",Portland Trail Blazers,Portland Trail Blazers,Larry Weinberg,Purchased the Remainder of Stake,0,0,wikipedia.org/wiki/Portland_Trail_Blazers,wikipedia.org/wiki/Portland_Trail_Blazers,http://upload.wikimedia.org/wikipedia/en/thumb/7/74/Portland_Trail_Blazers.svg/205px-Portland_Trail_Blazers.svg.png,,,,
115,1971,Trail Blazers,POR,"Red, Silver, Black, White",Portland Trail Blazers,Portland Trail Blazers,"Larry Weinberg, Herman Sarkowsky, Robert Schmertz",Expansion Fee,3700000,19900000,wikipedia.org/wiki/Portland_Trail_Blazers,wikipedia.org/wiki/Portland_Trail_Blazers,http://upload.wikimedia.org/wikipedia/en/thumb/7/74/Portland_Trail_Blazers.svg/205px-Portland_Trail_Blazers.svg.png,,,,
117,1988,Trail Blazers,POR,"Red, Silver, Black, White",Portland Trail Blazers,Portland Trail Blazers,Paul Allen,Transfer of Ownership,70000000,129000000,wikipedia.org/wiki/Portland_Trail_Blazers,wikipedia.org/wiki/Portland_Trail_Blazers,http://upload.wikimedia.org/wikipedia/en/thumb/7/74/Portland_Trail_Blazers.svg/205px-Portland_Trail_Blazers.svg.png,,,,
86,1989,Timberwolves,MIN,"Blue, Black, Silver, Green",Minnesota Timberwolves,Minnesota Timberwolves,"Marv Wolfenson, Harvey Ratner",Expansion Fee,32500000,57200000,wikipedia.org/wiki/Minnesota_Timberwolves,wikipedia.org/wiki/Minnesota_Timberwolves,http://upload.wikimedia.org/wikipedia/en/thumb/7/78/Minnesota_Timberwolves.svg/400px-Minnesota_Timberwolves.svg.png,,,,
87,1995,Timberwolves,MIN,"Blue, Black, Silver, Green",Minnesota Timberwolves,Minnesota Timberwolves,Glen Taylor,Transfer of Ownership,89000000,127300000,wikipedia.org/wiki/Minnesota_Timberwolves,wikipedia.org/wiki/Minnesota_Timberwolves,http://upload.wikimedia.org/wikipedia/en/thumb/7/78/Minnesota_Timberwolves.svg/400px-Minnesota_Timberwolves.svg.png,,,,
101,1967,Thunder,OKC,"Blue, Yellow, Navy, White",Seattle SuperSonics,Oklahoma City Thunder,Sam Schulman,Created Franchise in Seattle,1750000,11400000,wikipedia.org/wiki/Seattle_SuperSonics,wikipedia.org/wiki/Oklahoma_City_Thunder,http://upload.wikimedia.org/wikipedia/en/thumb/5/5d/Oklahoma_City_Thunder.svg/400px-Oklahoma_City_Thunder.svg.png,,,,
98,1983,Thunder,OKC,"Blue, Yellow, Navy, White",Seattle SuperSonics,Oklahoma City Thunder,Barry Ackerley,Transfer of Ownership,21000000,46000000,wikipedia.org/wiki/Seattle_SuperSonics,wikipedia.org/wiki/Oklahoma_City_Thunder,http://upload.wikimedia.org/wikipedia/en/thumb/5/5d/Oklahoma_City_Thunder.svg/400px-Oklahoma_City_Thunder.svg.png,,,,
99,2001,Thunder,OKC,"Blue, Yellow, Navy, White",Seattle SuperSonics,Oklahoma City Thunder,Howard Schultz,Transfer of Ownership,200000000,246300000,wikipedia.org/wiki/Seattle_SuperSonics,wikipedia.org/wiki/Oklahoma_City_Thunder,http://upload.wikimedia.org/wikipedia/en/thumb/5/5d/Oklahoma_City_Thunder.svg/400px-Oklahoma_City_Thunder.svg.png,,,,
100,2006,Thunder,OKC,"Blue, Yellow, Navy, White",Oklahoma City Thunder,Oklahoma City Thunder,Clay Bennett,Purchased Team (and WNBA Storm),350000000,378600000,wikipedia.org/wiki/Oklahoma_City_Thunder,wikipedia.org/wiki/Oklahoma_City_Thunder,http://upload.wikimedia.org/wikipedia/en/thumb/5/5d/Oklahoma_City_Thunder.svg/400px-Oklahoma_City_Thunder.svg.png,,,,
113,1969,Suns,PHX,"Purple, Orange, Black",Phoenix Suns,Phoenix Suns,"Richard Bloch & Karl Eller, Don Pitt, Don Diamond, Bhavik Darji, Marvin Meyer",Expansion Fee,2000000,11900000,wikipedia.org/wiki/Phoenix_Suns,wikipedia.org/wiki/Phoenix_Suns,http://upload.wikimedia.org/wikipedia/en/thumb/c/ca/Phoenix_Suns.svg/400px-Phoenix_Suns.svg.png,,,,
111,1987,Suns,PHX,"Purple, Orange, Black",Phoenix Suns,Phoenix Suns,Jerry Colangelo,Purchased Team,44500000,85400000,wikipedia.org/wiki/Phoenix_Suns,wikipedia.org/wiki/Phoenix_Suns,http://upload.wikimedia.org/wikipedia/en/thumb/c/ca/Phoenix_Suns.svg/400px-Phoenix_Suns.svg.png,,,,
112,2004,Suns,PHX,"Purple, Orange, Black",Phoenix Suns,Phoenix Suns,Robert Sarver,Purchased Team,401000000,462900000,wikipedia.org/wiki/Phoenix_Suns,wikipedia.org/wiki/Phoenix_Suns,http://upload.wikimedia.org/wikipedia/en/thumb/c/ca/Phoenix_Suns.svg/400px-Phoenix_Suns.svg.png,,,,
123,1968,Spurs,SAS,"Black, Silver, White",Dallas Chaparrals,San Antonio Spurs,Dallas ownership group,Created Dallas Chaparrals,0,0,wikipedia.org/wiki/Dallas_Chaparrals,wikipedia.org/wiki/San_Antonio_Spurs,http://upload.wikimedia.org/wikipedia/en/thumb/a/a2/San_Antonio_Spurs.svg/250px-San_Antonio_Spurs.svg.png,,,,
124,1973,Spurs,SAS,"Black, Silver, White",Dallas Chaparrals,San Antonio Spurs,"36 San Antonio businessmen, led by Angelo Drossos, John Schaefer & Red McCombs",Lease Deal With An Option to Buy Within 3 Years,0,0,wikipedia.org/wiki/Dallas_Chaparrals,wikipedia.org/wiki/San_Antonio_Spurs,http://upload.wikimedia.org/wikipedia/en/thumb/a/a2/San_Antonio_Spurs.svg/250px-San_Antonio_Spurs.svg.png,,,,
