team_id,primary,secondary,third,fourth,fifth
ATL,#FF0000,#000080,#C0C0C0,,
BKN,#000000,#FFFFFF,,,
BOS,#009E60,#FFFFFF,#000000,,
CHA,#002B5C,#5191CD,#F26531,#A1A1A4,#FFFFFF
CHI,#D4001F,#000000,#FFFFFF,,
CLE,#b3121d,#FFD700,#000080,#A1A1A4,
DAL,#0b60ad,#072156,#A9A9A9,#FFFFFF,
DEN,#4b90cd,#fdb827,#FFFFFF,#002D62,
DET,00519a,#EB003C,#FFFFFF,,
GSW,#04529c,#FFCC33,,,
HOU,#CE1138,#CCCCCC,#000000,,
IND,#ffc322,#092c57,#C0C0C0,,
LAC,#EE2944,#146AA2,#FFFFFF,,
LAL,#4A2583,#F5AF1B,#FFFFFF,,
MEM,#7399C6,#001F70,#BED4E9,#FDB927,
MIA,#B62630,#1E3344,#FFFFFF,#FF9F00,
MIL,#FF9F00,#072156,#C0C0C0,#FFFFFF,
MIN,#0F4D92,#000000,#8c92ac,#50c878,
NOH,#b5986e,#000b43,#e71837,,
NYK,#FF7518,#0953a0,#C0C0C0,#FFFFFF,
OKC,#007DC3,#F05133,#FDBB30,#002D62,
ORL,#0047AB,#000000,#708090,#FFFFFF,
PHL,#D0103A,#0046AD,#FFFFFF,,
PHX,#FF8800,#423189,#000000,#FFFFFF,#708090
POR,#F0163A,#B6BFBF,#000000,#FFFFFF,
SAC,#753BBD,#000000,#8A8D8F,#FFFFFF,
SAS,#000000,#BEC8C9,#FFFFFF,,
TOR,#B31B1B,#000000,#708090,,
UTA,#00275D,#FF9100,#0D4006,#B5B5B5,
WAS,#C60C30,#FFFFFF,#002244,#BCC4CC,
